datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,17.85,18.03,17.78,17.97,92178,165241628,0
2025-11-26 11:30:00,17.97,18.03,17.93,18.0,46770,84144145,0
2025-11-26 14:00:00,18.0,18.03,17.91,17.94,44812,80488451,0
2025-11-26 15:00:00,17.93,18.0,17.9,17.94,66307,118958985,0
2025-11-27 10:30:00,18.04,18.28,17.98,18.0,139764,253508672,0
2025-11-27 11:30:00,18.0,18.01,17.92,17.92,34789,62497462,0
2025-11-27 14:00:00,17.94,18.01,17.88,17.9,39459,70762685,0
2025-11-27 15:00:00,17.9,17.92,17.77,17.82,64448,114889911,0
2025-11-28 10:30:00,17.73,17.96,17.66,17.89,75205,134330527,0
2025-11-28 11:30:00,17.89,17.93,17.86,17.88,26572,47549198,0
2025-11-28 14:00:00,17.89,18.0,17.85,17.96,43257,77512269,0
2025-11-28 15:00:00,17.96,18.02,17.94,18.02,75847,136520229,0
2025-12-01 10:30:00,17.94,18.06,17.9,17.98,69582,125136407,0
2025-12-01 11:30:00,17.97,18.12,17.94,17.99,37216,67050896,0
2025-12-01 14:00:00,18.0,18.0,17.88,17.91,46130,82636540,0
2025-12-01 15:00:00,17.91,17.96,17.86,17.96,64875,116189190,0
2025-12-02 10:30:00,17.85,17.89,17.71,17.76,80569,143173718,0
2025-12-02 11:30:00,17.75,17.8,17.73,17.75,26424,46918684,0
2025-12-02 14:00:00,17.74,17.88,17.74,17.81,26650,47477776,0
2025-12-02 15:00:00,17.82,17.83,17.79,17.8,34530,61489171,0
2025-12-03 10:30:00,17.87,17.93,17.57,17.62,81646,144455976,0
2025-12-03 11:30:00,17.6,17.65,17.55,17.63,26466,46592066,0
2025-12-03 14:00:00,17.63,17.64,17.51,17.51,31694,55704866,0
2025-12-03 15:00:00,17.51,17.55,17.46,17.53,55331,96860975,0
2025-12-04 10:30:00,17.5,17.65,17.38,17.53,67931,118890059,0
2025-12-04 11:30:00,17.52,17.65,17.52,17.6,33364,58708214,0
2025-12-04 14:00:00,17.59,17.59,17.52,17.54,19650,34469240,0
2025-12-04 15:00:00,17.53,17.58,17.53,17.54,31511,55291494,0
2025-12-05 10:30:00,17.53,17.62,17.45,17.47,43670,76464176,0
2025-12-05 11:30:00,17.48,17.56,17.47,17.52,22403,39198964,0
2025-12-05 14:00:00,17.52,18.09,17.48,18.05,203780,364134704,0
2025-12-05 15:00:00,18.05,18.08,17.86,17.88,146183,262286702,0
2025-12-08 10:30:00,18.1,18.27,17.94,18.01,298869,541314852,0
2025-12-08 11:30:00,18.01,18.07,17.96,17.99,55255,99479017,0
2025-12-08 14:00:00,18.0,18.05,17.96,17.97,52217,94003816,0
2025-12-08 15:00:00,17.97,17.98,17.86,17.92,80666,144577645,0
2025-12-09 10:30:00,17.75,17.83,17.57,17.58,132482,234554128,0
2025-12-09 11:30:00,17.57,17.63,17.56,17.58,38885,68379848,0
2025-12-09 14:00:00,17.58,17.6,17.45,17.47,56445,98811204,0
2025-12-09 15:00:00,17.46,17.51,17.42,17.46,50865,88793584,0
2025-12-10 10:30:00,17.42,17.44,17.3,17.34,66363,115180956,0
2025-12-10 11:30:00,17.34,17.42,17.31,17.33,27509,47740379,0
2025-12-10 14:00:00,17.33,17.55,17.31,17.46,55052,96112367,0
2025-12-10 15:00:00,17.46,17.53,17.46,17.52,42012,73512344,0
2025-12-11 10:30:00,17.46,17.49,17.12,17.22,105560,182358740,0
2025-12-11 11:30:00,17.21,17.27,17.14,17.16,31859,54724123,0
2025-12-11 14:00:00,17.15,17.16,17.06,17.13,44162,75548929,0
2025-12-11 15:00:00,17.14,17.18,16.96,16.96,76472,130266502,0
2025-12-12 10:30:00,17.02,17.18,16.98,17.0,63095,107722539,0
