datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,13.02,13.32,11.3,11.5,4365091,5420415950.0,0
2020-02-29,10.35,12.35,9.32,10.69,5919952,6557457250.0,0
2020-03-31,10.85,12.26,9.5,9.73,4539560,4948503316.0,0
2020-04-30,9.77,10.43,8.31,8.75,3278809,3155735057.0,0
2020-05-31,8.52,9.16,8.35,8.61,1507158,1319476536.0,0
2020-06-30,8.81,9.88,8.66,9.15,3821115,3521030487.0,0
2020-07-31,9.14,12.32,9.08,10.19,10452829,11356908631.0,0
2020-08-31,10.3,12.31,9.8,10.06,9575337,10491301072.0,0
2020-09-30,10.08,10.65,9.2,9.58,3547552,3521878097.0,0
2020-10-31,9.85,10.42,8.85,8.85,2130472,2077050832.0,0
2020-11-30,8.85,12.72,8.85,12.38,6207002,6606860705.0,0
2020-12-31,12.41,17.5,11.11,13.75,28809485,39486070128.0,0
2021-01-31,14.29,14.3,9.53,9.64,12510374,14613767760.0,0
2021-02-28,9.2,10.18,8.59,9.76,5132623,4769396546.0,0
2021-03-31,9.78,11.63,8.85,10.22,9358891,9325118311.0,0
2021-04-30,10.22,12.62,9.82,10.68,10837846,11784152592.0,0
2021-05-31,10.87,12.11,9.0,11.33,9723647,10397935629.0,0
2021-06-30,11.2,11.62,10.03,11.39,8137021,8873865387.0,0
2021-07-31,11.6,11.62,9.23,9.3,6815727,6983010238.0,0
2021-08-31,9.25,10.2,9.08,9.43,5454511,5231700719.0,0
2021-09-30,9.37,10.3,9.06,9.15,4700258,4585261763.0,0
2021-10-31,9.2,9.69,9.11,9.33,1849767,1725302416.0,0
2021-11-30,9.33,9.8,9.13,9.65,2686855,2536132154.0,0
2021-12-31,9.63,10.2,9.42,9.6,4165188,4059118410.0,0
2022-01-31,9.64,9.84,8.61,8.66,2437121,2283742645.0,0
2022-02-28,8.81,9.16,8.7,8.87,1416982,1270589611.0,0
2022-03-31,8.9,10.59,7.88,9.09,8954833,8445800581.0,0
2022-04-30,9.03,10.81,7.97,8.33,14186953,13606952911.0,0
2022-05-31,8.11,10.1,7.55,9.6,8648575,7872610310.0,0
2022-07-31,9.99,10.55,8.23,8.31,4509200,4014394131.12,0
2022-08-31,8.29,9.03,7.88,8.38,4773009,4010283470.44,0
2022-09-30,8.35,8.68,7.39,7.63,3114417,2516128168.33,0
2022-10-31,7.56,8.03,7.27,7.46,2087740,1607922931.66,0
2022-11-30,7.46,8.48,7.45,8.08,3217778,2586059577.13,0
2022-12-31,8.2,8.83,7.36,7.41,2520886,2028873469.15,0
2023-01-31,7.46,10.77,7.35,9.46,7642446,7069806134.49,0
2023-02-28,9.19,9.73,8.55,9.21,9804551,9002778275.02,0
2023-03-31,9.1,9.45,8.52,8.72,4917280,4389319458.69,0
2023-04-30,8.69,9.17,7.76,8.18,2977338,2529900199.99,0
2023-05-31,8.12,8.72,7.92,8.05,2482763,2057472510.9,0
2023-06-30,8.01,8.85,7.87,8.78,4248096,3569633963.8,0
2023-07-31,8.7,9.79,8.55,9.41,10682029,9769538915.29,0
2023-08-31,9.42,12.52,9.37,10.52,25147561,26909769206.97,0
2023-09-30,10.62,10.7,9.35,9.41,8556297,8447752012.48,0
2023-10-31,9.39,10.72,9.02,9.93,7033554,6900041293.58,0
2023-11-30,10.0,10.59,9.28,9.35,6484228,6466136068.13,0
2023-12-31,9.34,9.54,8.58,9.32,3522717,3247749223.16,0
2024-01-31,9.3,11.78,8.7,10.26,15174970,15481277913.06,0
2024-02-29,9.95,10.59,8.14,10.12,9650241,9387046717.21,0
2024-03-31,10.07,10.88,9.08,9.36,8932359,9014650286.84,0
2024-04-30,9.46,11.94,8.46,11.94,6732397,6470426834.559999,0
2024-05-31,12.45,13.4,9.55,9.57,18114822,20927366666.71,0
2024-06-30,9.37,9.6,8.42,8.47,5848373,5326425476.39,0
2024-07-31,8.47,10.27,7.93,10.27,10495572,9466953582.5,0
2024-08-31,10.1,10.91,8.7,9.36,15914676,15340986477.05,0
2024-09-30,9.17,12.44,8.5,12.44,11317559,11180721141.92,0
2024-10-31,13.68,13.68,10.6,11.49,12595046,14726831451.41,0
2024-11-30,11.45,12.87,10.81,12.8,11714475,13898125717.67,0
2024-12-31,12.69,19.14,12.42,13.09,25373224,37264381806.05,0
2025-01-31,12.96,14.98,11.64,13.4,14661575,19701821221.34,0
2025-02-28,13.42,15.18,13.25,14.02,12664002,18050244508.29,0
2025-03-31,13.9,14.68,13.01,13.14,9756616,13300687891.13,0
2025-04-30,13.2,13.25,10.88,12.07,5049092,6134979870.57,0
2025-05-31,12.17,12.99,11.7,12.09,4613911,5677611266.15,0
2025-06-30,11.96,17.0,11.7,15.05,10564401,15074231031.05,0
2025-07-31,15.17,16.19,14.18,15.28,23046176,34782819376.94,0
2025-08-31,15.31,22.01,14.88,19.53,24205430,45256298526.77,0
2025-09-30,19.27,24.34,18.1,24.34,19540095,39475737614.18,0
2025-10-31,23.0,23.57,20.23,20.91,16419867,35534334409.73,0
2025-11-30,20.8,21.26,17.26,18.02,7116095,13469508199.28,0
2025-12-31,17.94,18.27,16.35,16.84,5372566,9266745019.44,0
2026-01-31,16.93,17.81,16.86,17.07,1688526,2921872613.92,0
