datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,13.02,13.32,12.53,12.8,1028469,1326228736.0,0
2020-01-10,12.4,12.98,12.08,12.2,1603940,1999135264.0,0
2020-01-17,12.07,12.38,11.94,12.07,945281,1149445499.0,0
2020-01-24,12.07,12.28,11.3,11.5,787401,945606451.0,0
2020-02-07,10.35,10.47,9.32,10.27,1061295,1072481525.0,0
2020-02-14,10.2,10.78,10.17,10.58,969659,1016335478.0,0
2020-02-21,10.8,12.28,10.63,11.71,1991364,2253688567.0,0
2020-02-28,11.6,12.35,10.58,10.69,1897634,2214951680.0,0
2020-03-06,10.85,12.26,10.85,11.58,1692726,1965766224.0,0
2020-03-13,11.27,11.57,10.23,10.82,1212638,1345694035.0,0
2020-03-20,10.83,10.83,9.62,10.03,856431,866195172.0,0
2020-03-27,9.76,10.26,9.5,10.01,614390,610145371.0,0
2020-04-03,9.9,10.28,9.68,9.94,657023,654764043.0,0
2020-04-10,10.12,10.25,9.91,9.94,502155,507033688.0,0
2020-04-17,9.95,10.43,9.56,9.61,1033293,1034790763.0,0
2020-04-24,9.61,9.63,8.66,8.73,726194,669763828.0,0
2020-05-01,8.78,8.81,8.31,8.75,523519,450085249.0,0
2020-05-08,8.52,9.16,8.52,9.0,409855,363773020.0,0
2020-05-15,9.09,9.1,8.77,8.87,411218,367062930.0,0
2020-05-22,8.75,8.82,8.35,8.38,337592,292017711.0,0
2020-05-29,8.38,8.66,8.35,8.61,348493,296622875.0,0
2020-06-05,8.81,9.04,8.66,8.87,600845,532012427.0,0
2020-06-12,8.88,9.59,8.67,9.2,1122973,1029449673.0,0
2020-06-19,9.3,9.58,8.94,9.49,1160397,1076686042.0,0
2020-06-26,9.4,9.88,9.31,9.33,668253,638136148.0,0
2020-07-03,9.3,10.7,8.95,10.54,1413647,1375899164.0,0
2020-07-10,10.72,12.32,10.64,11.73,3119876,3553717680.0,0
2020-07-17,11.51,12.1,10.46,10.88,2438203,2769724896.0,0
2020-07-24,10.5,11.4,9.6,9.73,2524611,2682453600.0,0
