datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,9.38,9.73,9.3,9.57,21256,47501591.0,0
2020-01-03,9.5,9.61,9.38,9.44,13368,29877982.0,0
2020-01-06,9.34,9.55,9.26,9.43,13282,29624250.0,0
2020-01-07,9.51,9.91,9.41,9.79,24092,54867549.0,0
2020-01-08,9.73,9.92,9.63,9.8,15657,35963813.0,0
2020-01-09,9.87,10.2,9.87,10.0,19498,45993314.0,0
2020-01-10,9.96,10.45,9.93,10.43,27787,67103357.0,0
2020-01-13,10.52,10.52,10.13,10.38,18033,43568593.0,0
2020-01-14,10.33,10.36,10.12,10.16,15892,38159529.0,0
2020-01-15,10.02,10.19,9.98,10.16,9726,23059303.0,0
2020-01-16,10.16,10.38,10.05,10.09,9256,22174075.0,0
2020-01-17,10.14,10.21,10.02,10.09,7821,18606762.0,0
2020-01-20,10.16,10.16,9.84,10.07,9456,22251859.0,0
2020-01-21,10.06,10.31,9.98,10.02,11509,27452478.0,0
2020-01-22,10.04,10.17,9.8,10.14,10855,25509377.0,0
2020-01-23,10.05,10.26,9.44,9.65,11148,26012878.0,0
2020-02-03,8.61,8.61,8.61,8.61,1992,4085592.0,0
2020-02-04,7.72,8.56,7.72,8.19,14293,28100883.0,0
2020-02-05,8.13,8.59,8.13,8.52,10624,21430692.0,0
2020-02-06,8.68,9.27,8.46,8.97,16903,35913194.0,0
2020-02-07,9.14,9.33,9.02,9.13,11387,24681224.0,0
2020-02-10,9.13,9.22,9.03,9.16,7676,16639787.0,0
2020-02-11,9.15,9.41,9.09,9.1,7611,16575042.0,0
2020-02-12,9.08,9.38,9.07,9.3,7709,16832473.0,0
2020-02-13,9.51,9.51,9.14,9.15,9559,21003597.0,0
2020-02-14,9.15,9.33,9.1,9.17,7890,17216496.0,0
2020-02-17,9.14,9.61,9.14,9.5,10876,24183993.0,0
2020-02-18,9.5,9.83,9.5,9.78,10402,23853483.0,0
2020-02-19,9.69,10.29,9.69,10.12,21995,51962393.0,0
2020-02-20,10.14,10.27,9.89,10.04,15826,37436762.0,0
2020-02-21,10.05,10.26,9.98,10.04,13676,32444369.0,0
2020-02-24,10.07,10.51,9.98,10.4,21144,51245344.0,0
2020-02-25,10.16,10.26,9.84,10.18,17192,40820813.0,0
2020-02-26,9.94,10.53,9.94,10.16,18285,44255664.0,0
2020-02-27,10.36,10.54,10.15,10.41,16831,41086094.0,0
2020-02-28,10.16,10.34,9.67,9.75,17275,40704965.0,0
2020-03-02,9.82,10.8,9.82,10.8,35153,86605246.0,0
2020-03-03,10.89,11.39,10.58,11.25,52330,133745078.0,0
2020-03-04,11.01,11.2,10.67,10.9,30771,78736001.0,0
2020-03-05,10.98,11.58,10.83,11.44,42497,112500593.0,0
2020-03-06,11.3,11.91,11.17,11.57,32493,87416980.0,0
2020-03-09,11.25,11.47,10.66,10.78,26260,67777303.0,0
2020-03-10,10.57,10.87,10.26,10.79,20618,51016852.0,0
2020-03-11,10.66,10.95,10.39,10.4,14447,36026599.0,0
2020-03-12,10.19,10.27,10.02,10.2,11138,26615025.0,0
2020-03-13,9.77,10.09,9.54,9.97,12306,28583153.0,0
2020-03-16,10.11,10.19,9.37,9.37,12273,28346126.0,0
2020-03-17,9.45,9.7,9.03,9.32,8924,19655570.0,0
2020-03-18,9.52,9.53,8.75,8.75,14431,31509854.0,0
2020-03-19,8.78,8.96,8.59,8.8,12093,25283858.0,0
2020-03-20,9.01,9.04,8.75,8.93,7472,15763697.0,0
2020-03-23,8.75,8.98,8.52,8.63,10605,22208513.0,0
2020-03-24,8.79,8.91,8.56,8.85,7063,14709078.0,0
2020-03-25,9.02,9.17,8.92,9.11,10230,21935138.0,0
2020-03-26,9.08,9.1,8.92,8.95,5780,12366202.0,0
2020-03-27,9.0,9.09,8.79,8.82,7347,15606163.0,0
2020-03-30,8.83,8.83,8.33,8.45,10230,20684373.0,0
2020-03-31,8.51,8.61,8.26,8.28,9844,19751452.0,0
2020-04-01,8.34,8.45,8.21,8.25,7126,14180491.0,0
2020-04-02,8.24,8.61,8.16,8.56,12228,24498538.0,0
2020-04-03,8.59,8.61,8.32,8.4,8500,17107846.0,0
2020-04-07,8.51,8.77,8.49,8.73,12501,25768311.0,0
2020-04-08,8.7,8.95,8.67,8.92,10154,21342633.0,0
2020-04-09,8.94,9.07,8.88,8.97,8426,17973975.0,0
2020-04-10,8.97,9.13,8.7,8.74,8248,17378768.0,0
2020-04-13,8.75,8.85,8.6,8.78,5090,10570454.0,0
2020-04-14,8.8,9.06,8.78,8.97,6973,14760161.0,0
2020-04-15,8.99,9.07,8.85,8.85,8007,16946929.0,0
2020-04-16,8.61,8.73,8.45,8.68,12035,24646373.0,0
2020-04-17,8.73,8.97,8.67,8.77,10499,22123181.0,0
2020-04-20,8.74,9.08,8.7,8.97,9953,21139172.0,0
2020-04-21,9.02,9.16,8.7,8.77,11075,23328345.0,0
2020-04-22,8.67,9.02,8.66,8.88,11771,24713904.0,0
2020-04-23,8.97,8.97,8.68,8.7,7744,16183374.0,0
2020-04-24,8.66,8.68,8.5,8.53,5952,12163105.0,0
2020-04-27,8.5,8.72,8.45,8.53,6712,13694998.0,0
2020-04-28,8.55,8.61,7.93,8.27,11460,22438784.0,0
2020-04-29,8.26,8.44,8.04,8.08,10257,20078159.0,0
2020-04-30,8.12,8.35,8.05,8.3,9113,18026119.0,0
2020-05-06,8.19,8.55,8.16,8.53,7802,15665430.0,0
2020-05-07,8.55,8.6,8.41,8.43,7170,14504049.0,0
2020-05-08,8.56,8.65,8.51,8.57,7840,16002018.0,0
2020-05-11,8.61,8.71,8.57,8.69,9188,18912519.0,0
2020-05-12,8.7,8.72,8.52,8.64,5958,12229964.0,0
2020-05-13,8.62,9.58,8.53,8.93,19458,41158714.0,0
2020-05-14,8.86,8.93,8.65,8.75,12311,25608496.0,0
2020-05-15,8.7,8.79,8.65,8.66,7540,15617365.0,0
2020-05-18,8.75,8.75,8.43,8.49,7814,15868949.0,0
2020-05-19,8.61,8.63,8.5,8.59,5421,11078781.0,0
2020-05-20,8.59,8.64,8.43,8.5,5681,11517146.0,0
2020-05-21,8.53,8.73,8.51,8.56,10125,20807537.0,0
2020-05-22,8.67,9.48,8.41,9.48,26656,57614310.0,0
2020-05-25,9.66,9.66,9.07,9.25,38194,83847608.0,0
2020-05-26,9.25,9.28,9.02,9.18,22828,49471196.0,0
2020-05-27,9.18,9.2,8.98,9.09,16746,36072224.0,0
2020-05-28,9.09,9.17,8.77,8.92,13244,28103258.0,0
2020-05-29,8.95,9.05,8.84,8.95,10675,22732239.0,0
2020-06-01,8.97,9.29,8.97,9.23,20474,44537104.0,0
2020-06-02,9.29,9.29,9.09,9.17,13403,29103946.0,0
2020-06-03,9.21,9.37,9.16,9.26,16200,35615545.0,0
2020-06-04,9.27,9.35,9.17,9.33,10636,23325516.0,0
2020-06-05,9.33,9.48,8.88,9.37,15710,34607840.0,0
2020-06-08,9.45,9.45,9.24,9.24,8882,19601365.0,0
2020-06-09,9.22,10.23,9.2,9.28,18327,40699959.0,0
2020-06-10,9.37,9.37,9.06,9.06,10709,23196742.0,0
2020-06-11,9.06,9.23,9.0,9.02,7587,16403418.0,0
2020-06-12,8.91,9.01,8.84,8.92,7084,14997945.0,0
2020-06-15,8.92,9.09,8.91,9.03,7541,16089062.0,0
2020-06-16,8.96,9.24,8.96,9.2,9536,20661522.0,0
2020-06-17,9.16,9.23,9.08,9.2,6415,13919567.0,0
2020-06-18,9.2,9.33,9.17,9.25,7513,16461498.0,0
2020-06-19,9.19,9.45,9.19,9.38,12338,27325607.0,0
2020-06-22,9.44,9.44,9.28,9.31,10168,22470389.0,0
2020-06-23,9.31,9.43,9.29,9.4,10087,22358067.0,0
2020-06-24,9.38,9.45,9.22,9.33,7795,17154046.0,0
2020-06-29,9.29,9.29,9.07,9.15,7722,16731956.0,0
2020-06-30,9.16,9.96,9.16,9.79,24008,54469660.0,0
2020-07-01,9.73,9.88,9.61,9.75,13507,31029746.0,0
2020-07-02,9.65,9.95,9.65,9.73,9683,22266001.0,0
2020-07-03,9.71,10.1,9.69,10.0,13547,31692005.0,0
2020-07-06,10.0,10.32,9.9,10.19,25367,60288473.0,0
2020-07-07,10.19,10.29,10.06,10.19,19350,46364449.0,0
2020-07-08,10.13,10.59,10.13,10.42,19358,47021352.0,0
2020-07-09,10.43,10.75,10.34,10.59,14453,35661750.0,0
2020-07-10,10.57,10.9,10.52,10.72,18369,45965476.0,0
