datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,82.88,83.88,81.8,83.63,20098,166932222,0
2025-11-26 11:30:00,83.62,84.9,83.48,84.25,19016,160298186,0
2025-11-26 14:00:00,84.21,84.25,83.38,83.43,7970,66843675,0
2025-11-26 15:00:00,83.43,83.66,83.15,83.48,9215,76839902,0
2025-11-27 10:30:00,82.88,84.88,82.88,83.69,20813,175121024,0
2025-11-27 11:30:00,83.69,83.94,83.13,83.3,9046,75494212,0
2025-11-27 14:00:00,83.3,84.19,83.11,83.44,6978,58278266,0
2025-11-27 15:00:00,83.44,84.13,83.18,83.47,10448,87174309,0
2025-11-28 10:30:00,83.01,84.59,82.13,83.62,22146,183830631,0
2025-11-28 11:30:00,83.61,84.4,83.41,84.07,13026,109386202,0
2025-11-28 14:00:00,84.06,84.5,83.89,84.14,11272,94942841,0
2025-11-28 15:00:00,84.18,84.49,84.0,84.45,12752,107502824,0
2025-12-01 10:30:00,84.42,85.58,84.0,84.95,25256,214568601,0
2025-12-01 11:30:00,84.93,85.49,84.8,85.14,10408,88620154,0
2025-12-01 14:00:00,85.15,85.38,84.51,84.75,8259,70072805,0
2025-12-01 15:00:00,84.83,85.3,84.76,85.29,11163,94956592,0
2025-12-02 10:30:00,84.6,85.2,83.68,83.88,21177,178218923,0
2025-12-02 11:30:00,83.87,83.95,82.8,83.1,12475,103976317,0
2025-12-02 14:00:00,83.1,83.39,82.8,83.21,8016,66506816,0
2025-12-02 15:00:00,83.2,83.53,83.08,83.3,6994,58282443,0
2025-12-03 10:30:00,83.27,84.05,82.08,82.27,14840,122673463,0
2025-12-03 11:30:00,82.23,82.5,81.85,82.3,9135,74974267,0
2025-12-03 14:00:00,82.44,82.44,81.6,81.63,6946,56879121,0
2025-12-03 15:00:00,81.65,81.66,81.3,81.41,11405,92924184,0
2025-12-04 10:30:00,83.0,84.21,82.02,83.87,42193,350582998,0
2025-12-04 11:30:00,83.94,84.5,83.0,83.81,24824,208311059,0
2025-12-04 14:00:00,83.81,83.99,83.11,83.11,7266,60710801,0
2025-12-04 15:00:00,83.12,83.46,83.0,83.46,11510,95674873,0
2025-12-05 10:30:00,82.27,84.25,81.4,83.34,31794,262588573,0
2025-12-05 11:30:00,83.31,84.47,83.05,83.94,12526,105076064,0
2025-12-05 14:00:00,83.94,84.84,83.92,84.46,19626,165737724,0
