datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,9.38,10.52,9.26,9.65,238636,557726710.0,0
2020-02-29,8.61,10.54,7.72,9.75,259146,590472860.0,0
2020-03-31,9.82,11.91,8.26,8.28,394305,956842854.0,0
2020-04-30,8.34,9.16,7.93,8.3,193824,399063620.0,0
2020-05-31,8.19,9.66,8.16,8.95,234651,496811803.0,0
2020-06-30,8.97,10.23,8.84,9.79,232135,509730754.0,0
2020-07-31,9.73,13.09,9.61,12.27,537924,1450998974.0,0
2020-08-31,12.3,13.8,11.59,12.78,389383,1143729717.0,0
2020-09-30,12.83,14.88,11.61,11.9,330120,1025891620.0,0
2020-10-31,12.06,14.86,11.98,14.29,252590,776973034.0,0
2020-11-30,14.35,16.03,13.68,13.98,391327,1336958237.0,0
2020-12-31,14.04,14.57,10.95,11.85,288653,854068073.0,0
2021-01-31,12.39,12.98,10.25,12.42,411278,1105790847.0,0
2021-02-28,11.97,12.07,8.89,10.01,275760,662229980.0,0
2021-03-31,10.11,11.09,9.43,9.81,304506,728184575.0,0
2021-04-30,9.75,11.29,9.63,10.7,264425,655455758.0,0
2021-05-31,10.68,11.15,10.03,10.48,208644,453537774.0,0
2021-06-30,10.54,11.15,10.16,10.97,252449,476967411.0,0
2021-07-31,11.03,11.73,10.17,10.9,299566,587198089.0,0
2021-08-31,10.98,15.72,10.87,14.09,776767,1870106587.0,0
2021-09-30,14.02,14.21,11.51,12.09,272449,620920048.0,0
2021-10-31,12.24,13.41,11.22,11.45,241017,524565911.0,0
2021-11-30,11.35,14.61,11.28,14.61,325754,736907863.0,0
2021-12-31,14.61,15.9,12.99,13.66,488594,1230839281.0,0
2022-01-31,13.64,13.95,11.76,12.13,184568,426804825.0,0
2022-02-28,12.34,12.85,11.89,12.55,103026,225256264.0,0
2022-03-31,12.6,12.71,10.02,10.89,177407,350708905.0,0
2022-04-30,10.74,12.04,8.52,9.26,194942,354185422.0,0
2022-05-31,9.22,10.32,8.98,10.21,125754,207312492.0,0
2022-06-30,10.21,16.74,10.06,13.75,1051532,1929455007.0,0
2022-07-31,13.8,29.28,13.54,29.28,2495799,6115481167.94,0
2022-08-31,30.45,37.81,22.3,23.75,4647922,18116816851.5,0
2022-09-30,24.09,29.13,19.3,19.39,4435533,14206861387.61,0
2022-10-31,18.92,20.65,17.8,18.48,1976009,5019861223.55,0
2022-11-30,18.25,21.91,17.54,18.65,2240778,5845384191.72,0
2022-12-31,18.61,20.63,16.65,17.08,1800122,4453067357.77,0
2023-01-31,16.8,20.98,16.8,20.53,1614310,4037179297.03,0
2023-02-28,20.45,22.58,19.45,19.86,2116120,5878566614.21,0
2023-03-31,19.86,20.92,17.98,20.36,1222696,3165188130.7,0
2023-04-30,20.19,20.3,15.59,16.38,974620,2417908290.33,0
2023-05-31,16.38,23.44,15.88,21.07,2438988,6501456852.45,0
2023-06-30,20.67,36.82,19.25,35.25,4397909,16893298758.41,0
2023-07-31,35.16,35.19,23.07,23.75,3380342,12774249106.87,0
2023-08-31,23.58,28.96,22.88,27.73,4058144,13628676744.85,0
2023-09-30,27.95,30.85,25.18,29.85,3337501,12286353237.36,0
2023-10-31,28.97,31.32,24.55,27.91,1775861,6502544814.23,0
2023-11-30,27.66,32.65,26.85,29.4,2514541,9854975809.51,0
2023-12-31,29.2,30.35,26.06,27.7,1185731,4391687168.07,0
2024-01-31,27.57,27.82,20.33,20.35,880553,2808169530.94,0
2024-02-29,20.19,26.03,16.46,24.73,1727210,4947771537.42,0
2024-03-31,24.78,30.89,24.62,26.99,2196517,7872078426.36,0
2024-04-30,27.21,27.23,22.1,25.52,1051600,3437563234.17,0
2024-05-31,26.05,26.62,23.05,24.05,682095,2243620431.27,0
2024-06-30,24.2,24.97,20.58,21.2,612611,1820442658.75,0
2024-07-31,21.19,21.51,18.19,20.76,685728,1786220032.28,0
2024-08-31,22.11,22.42,18.18,20.52,1451081,3881887112.8,0
2024-09-30,20.31,24.35,18.61,24.34,914525,2484946264.01,0
2024-10-31,26.75,26.79,21.5,23.18,1309704,4046554240.09,0
2024-11-30,23.13,26.95,22.32,26.03,2016888,6614004022.86,0
2024-12-31,26.72,34.22,26.12,29.35,4108304,16100315848.2,0
2025-01-31,29.22,45.65,26.05,44.05,3397689,14784159546.73,0
2025-02-28,44.18,89.24,43.62,80.29,3965978,31249713672.23,0
2025-03-31,72.25,86.4,63.92,66.68,3688135,36422766597.36,0
2025-04-30,67.1,72.8,47.92,69.88,2738833,23061838072.42,0
2025-05-31,69.88,73.79,56.57,56.95,1449221,12395898136.64,0
2025-06-30,56.18,59.18,52.53,57.91,1340771,9636926327.79,0
2025-07-31,57.85,92.58,53.66,79.77,5665878,42615986301.81,0
2025-08-31,78.98,106.66,77.55,92.77,5109015,48763581063.93,0
2025-09-30,92.67,109.35,85.0,96.53,3952330,38617503032.8,0
2025-10-31,96.01,97.79,86.01,90.29,1408972,12735841623.67,0
2025-11-30,91.02,94.0,80.4,84.45,1245547,10616798684.04,0
2025-12-31,84.42,92.2,78.26,89.36,1694639,14369604276.02,0
2026-01-31,88.08,90.72,86.78,89.04,466037,4127101237.52,0
