datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,9.38,9.73,9.3,9.44,34624,77379573.0,0
2020-01-10,9.34,10.45,9.26,10.43,100316,233552283.0,0
2020-01-17,10.52,10.52,9.98,10.09,60728,145568262.0,0
2020-01-24,10.16,10.31,9.44,9.65,42968,101226592.0,0
2020-02-07,8.61,9.33,7.72,9.13,55199,114211585.0,0
2020-02-14,9.13,9.51,9.03,9.17,40445,88267395.0,0
2020-02-21,9.14,10.29,9.14,10.04,72775,169881000.0,0
2020-02-28,10.07,10.54,9.67,9.75,90727,218112880.0,0
2020-03-06,9.82,11.91,9.82,11.57,193244,499003898.0,0
2020-03-13,11.25,11.47,9.54,9.97,84769,210018932.0,0
2020-03-20,10.11,10.19,8.59,8.93,55193,120559105.0,0
2020-03-27,8.75,9.17,8.52,8.82,41025,86825094.0,0
2020-04-03,8.83,8.83,8.16,8.4,47928,96222700.0,0
2020-04-10,8.51,9.13,8.49,8.74,39329,82463687.0,0
2020-04-17,8.75,9.07,8.45,8.77,42604,89047098.0,0
2020-04-24,8.74,9.16,8.5,8.53,46495,97527900.0,0
2020-05-01,8.5,8.72,7.93,8.3,37542,74238060.0,0
2020-05-08,8.19,8.65,8.16,8.57,22812,46171497.0,0
2020-05-15,8.61,9.58,8.52,8.66,54455,113527058.0,0
2020-05-22,8.75,9.48,8.41,9.48,55697,116886723.0,0
2020-05-29,9.66,9.66,8.77,8.95,101687,220226525.0,0
2020-06-05,8.97,9.48,8.88,9.37,76423,167189951.0,0
2020-06-12,9.45,10.23,8.84,8.92,52589,114899429.0,0
2020-06-19,8.92,9.45,8.91,9.38,43343,94457256.0,0
2020-06-26,9.44,9.45,9.22,9.33,28050,61982502.0,0
2020-07-03,9.29,10.1,9.07,10.0,68467,156189368.0,0
2020-07-10,10.0,10.9,9.9,10.72,96897,235301500.0,0
2020-07-17,10.85,12.74,10.65,11.6,159249,439295569.0,0
2020-07-24,11.48,13.09,11.43,11.81,146223,416151173.0,0
2020-07-31,11.93,12.52,11.46,12.27,98818,275262980.0,0
2020-08-07,12.3,13.2,12.16,12.46,109099,318212980.0,0
2020-08-14,12.34,13.0,11.59,12.07,53240,149667994.0,0
2020-08-21,12.08,13.66,12.03,13.03,95799,284060066.0,0
2020-08-28,13.02,13.8,11.89,12.82,111314,332110909.0,0
2020-09-04,12.87,14.59,12.73,14.26,110708,351906622.0,0
2020-09-11,14.35,14.88,12.53,12.76,73512,228477531.0,0
2020-09-18,12.93,14.5,12.75,14.38,71294,220990731.0,0
2020-09-25,14.25,14.48,12.54,12.54,60377,187830653.0,0
2020-10-02,12.57,12.74,11.61,11.9,34160,96363851.0,0
2020-10-09,12.06,12.62,11.98,12.5,16053,45901650.0,0
2020-10-16,12.61,13.76,12.42,13.57,99118,298957724.0,0
2020-10-23,13.72,13.76,12.68,12.68,56466,173103763.0,0
2020-10-30,12.73,14.86,12.6,14.29,80953,259009897.0,0
2020-11-06,14.35,15.46,14.2,15.08,99906,340364198.0,0
2020-11-13,15.21,15.5,14.08,14.78,79062,270612256.0,0
2020-11-20,14.97,16.03,13.68,15.75,84309,289604720.0,0
2020-11-27,15.86,15.88,14.24,14.55,104840,360922024.0,0
2020-12-04,14.53,14.57,13.71,14.12,77761,252927597.0,0
2020-12-11,14.34,14.44,12.69,12.89,59362,185922689.0,0
2020-12-18,12.73,13.18,12.44,12.52,51054,150978353.0,0
2020-12-25,12.52,12.7,11.62,11.81,64026,180403615.0,0
2021-01-01,11.68,11.92,10.95,11.85,59660,159290858.0,0
2021-01-08,12.39,12.98,10.52,11.31,114278,315836620.0,0
2021-01-15,11.33,11.7,10.25,11.48,105331,265457023.0,0
2021-01-22,11.41,12.32,11.35,12.0,80415,219484665.0,0
2021-01-29,11.99,12.7,10.93,12.42,111254,305012539.0,0
2021-02-05,11.97,12.07,10.02,10.02,128821,329419639.0,0
2021-02-12,9.84,9.87,8.89,9.23,70070,151708374.0,0
2021-02-19,9.38,10.19,9.38,10.19,29200,67280472.0,0
2021-02-26,10.16,10.56,9.75,10.01,47669,113821495.0,0
2021-03-05,10.11,10.79,9.98,10.21,49919,120309699.0,0
2021-03-12,10.24,10.38,9.43,10.0,44637,102925915.0,0
2021-03-19,9.96,10.74,9.87,10.52,63989,154913063.0,0
2021-03-26,10.59,11.09,9.64,9.84,109898,266696652.0,0
2021-04-02,9.9,10.23,9.57,10.03,59886,138462217.0,0
2021-04-09,10.02,10.3,9.87,10.23,42017,99144015.0,0
2021-04-16,10.22,11.01,10.16,10.93,76373,188545921.0,0
2021-04-23,10.97,11.29,10.82,10.85,60040,154775687.0,0
2021-04-30,10.84,11.19,10.51,10.7,62172,157867164.0,0
2021-05-07,10.68,11.15,10.44,10.51,28171,71053641.0,0
2021-05-14,10.52,10.93,10.23,10.69,54094,133675727.0,0
2021-05-21,10.71,10.82,10.25,10.3,61936,131461262.0,0
2021-05-28,10.23,10.48,10.03,10.03,49126,89461390.0,0
2021-06-04,10.03,10.67,10.03,10.62,60711,111668267.0,0
2021-06-11,10.62,10.93,10.39,10.6,59266,111330596.0,0
2021-06-18,10.55,10.79,10.28,10.55,39263,73189749.0,0
2021-06-25,10.48,11.09,10.45,10.83,69346,132774887.0,0
2021-07-02,10.83,11.15,10.61,10.7,59106,113905442.0,0
2021-07-09,10.7,11.48,10.7,11.32,94233,185898284.0,0
2021-07-16,11.34,11.73,11.0,11.31,71895,143942908.0,0
2021-07-23,11.3,11.5,10.96,11.05,57017,112742524.0,0
2021-07-30,11.05,11.05,10.17,10.9,56495,106598597.0,0
2021-08-06,10.98,13.55,10.87,12.72,228241,502836602.0,0
2021-08-13,12.82,14.97,12.52,14.03,187414,450704362.0,0
2021-08-20,14.15,14.53,13.13,14.0,108285,260443652.0,0
2021-08-27,14.31,15.72,14.16,14.68,204170,534277008.0,0
2021-09-03,14.77,14.83,13.11,13.57,109591,266714100.0,0
2021-09-10,13.57,14.06,12.8,13.13,77107,182437790.0,0
2021-09-17,13.11,13.33,12.29,12.49,65693,148390794.0,0
2021-09-24,12.42,12.61,12.1,12.12,28181,61069054.0,0
2021-10-01,12.13,12.17,11.51,12.09,40534,84153273.0,0
2021-10-08,12.24,12.37,11.99,12.28,9285,19966789.0,0
2021-10-15,12.21,12.34,11.7,12.1,38083,80528774.0,0
