datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,47.76,49.83,47.76,48.93,43553,308188528.0,0
2020-01-03,49.3,49.3,47.63,47.87,33535,234198995.0,0
2020-01-06,46.61,47.38,46.52,46.71,30592,208343031.0,0
2020-01-07,46.67,47.16,46.36,46.84,22404,152332105.0,0
2020-01-08,46.41,46.74,45.06,45.15,28716,192331585.0,0
2020-01-09,45.96,46.88,45.57,45.7,23957,161003642.0,0
2020-01-10,45.86,46.56,45.53,46.26,18288,122731852.0,0
2020-01-13,46.11,46.44,45.3,46.44,20516,137437103.0,0
2020-01-14,46.5,47.66,46.3,47.43,32204,220585700.0,0
2020-01-15,47.15,47.96,46.91,47.36,23707,163436310.0,0
2020-01-16,47.35,47.76,45.86,45.93,24366,164529105.0,0
2020-01-17,45.84,46.23,45.73,45.75,12698,84994230.0,0
2020-01-20,45.61,45.61,44.17,45.33,20733,136316712.0,0
2020-01-21,45.44,45.44,43.76,43.76,18583,120693220.0,0
2020-01-22,43.49,43.69,42.15,43.23,20111,126296196.0,0
2020-01-23,42.39,42.92,39.84,40.7,23072,141005145.0,0
2020-02-03,36.08,36.08,36.08,36.08,8618,46631998.0,0
2020-02-04,34.63,37.15,34.63,36.75,24480,133917357.0,0
2020-02-05,36.7,38.14,36.7,37.36,19685,110021746.0,0
2020-02-06,37.3,40.61,36.59,40.06,30279,172877739.0,0
2020-02-07,39.48,40.23,39.15,39.81,17440,102492473.0,0
2020-02-10,39.83,41.99,39.53,41.48,20205,122645712.0,0
2020-02-11,41.69,41.97,40.84,41.16,14249,86926288.0,0
2020-02-12,41.04,41.96,41.04,41.78,12986,79704407.0,0
2020-02-13,41.73,42.69,40.77,42.15,19568,119621154.0,0
2020-02-14,41.78,42.46,41.23,41.32,14527,89580201.0,0
2020-02-17,41.47,42.36,41.47,42.27,14401,89057924.0,0
2020-02-18,42.69,45.35,42.69,44.84,35202,229054164.0,0
2020-02-19,44.7,47.21,44.19,44.89,34923,233365445.0,0
2020-02-20,45.11,46.13,44.68,45.86,22940,152493181.0,0
2020-02-21,45.38,46.26,45.22,45.63,20096,134056265.0,0
2020-02-24,45.61,48.27,45.52,46.96,27599,188730144.0,0
2020-02-25,48.69,52.22,48.67,52.22,66756,496701456.0,0
2020-02-26,52.41,55.69,51.39,52.64,67164,515138976.0,0
2020-02-27,54.46,56.53,52.3,54.56,50194,394222752.0,0
2020-02-28,52.14,54.84,51.54,51.91,42846,327714912.0,0
2020-03-02,52.9,57.66,52.73,57.66,53507,427103616.0,0
2020-03-03,58.03,59.79,55.07,55.99,39377,321544096.0,0
2020-03-04,55.99,57.84,55.29,56.8,25370,204593084.0,0
2020-03-05,56.92,57.99,55.64,56.99,22191,179125496.0,0
2020-03-06,56.9,58.53,55.63,55.95,19378,156867265.0,0
2020-03-09,54.45,58.01,54.06,55.73,31884,258316672.0,0
2020-03-10,55.69,58.76,53.43,58.76,29038,234204749.0,0
2020-03-11,58.68,59.84,57.15,57.26,21065,173855223.0,0
2020-03-12,56.67,58.19,53.76,55.19,26790,213191753.0,0
2020-03-13,51.79,57.13,51.61,54.67,26602,208318191.0,0
2020-03-16,55.12,55.99,51.39,52.07,18795,145470287.0,0
2020-03-17,53.09,54.37,49.53,53.26,21272,160176643.0,0
2020-03-18,53.71,56.44,50.96,50.96,25299,194889643.0,0
2020-03-19,50.99,52.36,48.61,51.39,23527,172747605.0,0
2020-03-20,52.37,54.05,50.42,53.73,21157,158731738.0,0
2020-03-23,52.15,52.79,50.73,51.3,14622,108543781.0,0
2020-03-24,52.42,56.99,52.13,56.99,29662,229967737.0,0
2020-03-25,58.87,61.9,57.53,61.36,35456,301766112.0,0
2020-03-26,61.6,62.81,59.61,60.2,23520,203027684.0,0
2020-03-27,61.36,61.76,58.38,59.22,19722,168191522.0,0
2020-03-30,58.54,60.3,57.21,59.8,19173,160773961.0,0
2020-03-31,60.23,61.99,58.8,58.99,22462,191430514.0,0
2020-04-01,58.24,60.69,57.92,58.9,17295,145851829.0,0
2020-04-02,58.3,59.99,58.03,59.62,14513,121652286.0,0
2020-04-03,59.62,60.05,53.1,54.1,47965,380573456.0,0
2020-04-07,54.59,54.73,50.65,53.3,30214,231007656.0,0
2020-04-08,52.92,54.27,51.56,53.69,25657,194836014.0,0
2020-04-09,53.69,54.43,52.82,53.82,19019,146533812.0,0
2020-04-10,53.83,55.45,52.13,52.95,21344,164490012.0,0
2020-04-13,52.49,53.83,51.38,52.85,9696,73486650.0,0
2020-04-14,58.69,58.69,58.32,58.69,13476,112517478.0,0
2020-04-15,60.79,62.46,59.29,59.99,41433,358200064.0,0
2020-04-16,60.84,65.38,59.48,63.92,33177,294142608.0,0
2020-04-17,63.22,63.97,62.2,62.94,22887,204354261.0,0
2020-04-20,63.53,66.09,62.39,65.59,18975,173031558.0,0
2020-04-21,64.5,67.52,63.72,65.0,16361,150413465.0,0
2020-04-22,64.08,66.67,63.69,65.53,14849,136518604.0,0
2020-04-23,65.61,68.15,64.46,65.98,16300,151556669.0,0
2020-04-24,65.9,66.76,64.67,65.96,11730,108772993.0,0
2020-04-27,66.69,73.11,66.69,73.11,26739,266240914.0,0
2020-04-28,73.11,77.72,70.59,76.67,26579,277390192.0,0
2020-04-29,72.93,76.19,70.69,74.07,31237,320363968.0,0
2020-04-30,74.26,74.26,69.84,72.38,29578,295854960.0,0
2020-05-06,71.07,73.19,70.62,72.69,16682,168068779.0,0
2020-05-07,72.69,73.69,71.16,72.45,14605,147749559.0,0
2020-05-08,72.76,78.56,72.76,76.86,23335,246413145.0,0
2020-05-11,77.06,81.22,76.17,77.36,16689,180803274.0,0
2020-05-12,77.37,85.45,75.99,84.36,24824,280234528.0,0
2020-05-13,83.69,90.61,81.55,87.28,31205,372570832.0,0
2020-05-14,86.01,89.15,85.5,86.07,18369,221465144.0,0
