datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,44.28,44.73,44.28,44.58,4078,18165629,0
2025-11-26 11:30:00,44.52,44.58,44.37,44.4,1618,7192902,0
2025-11-26 14:00:00,44.4,44.48,44.35,44.43,1756,7797596,0
2025-11-26 15:00:00,44.44,44.59,44.39,44.48,2600,11556456,0
2025-11-27 10:30:00,44.61,44.72,44.46,44.59,4562,20325141,0
2025-11-27 11:30:00,44.58,44.75,44.51,44.59,2579,11511966,0
2025-11-27 14:00:00,44.6,44.61,44.38,44.46,2503,11135342,0
2025-11-27 15:00:00,44.46,44.46,44.13,44.17,3911,17304424,0
2025-11-28 10:30:00,44.1,44.12,43.72,43.85,4239,18598050,0
2025-11-28 11:30:00,43.85,44.0,43.84,43.92,1447,6356023,0
2025-11-28 14:00:00,43.92,44.07,43.88,43.93,1679,7381479,0
2025-11-28 15:00:00,43.95,44.17,43.93,44.15,2060,9080981,0
2025-12-01 10:30:00,44.14,44.28,43.91,44.2,4720,20828354,0
2025-12-01 11:30:00,44.21,44.44,44.12,44.33,2694,11923745,0
2025-12-01 14:00:00,44.33,44.33,44.18,44.2,2807,12422811,0
2025-12-01 15:00:00,44.2,44.25,44.15,44.23,3146,13908012,0
2025-12-02 10:30:00,44.27,44.27,43.93,44.0,3068,13508071,0
2025-12-02 11:30:00,44.0,44.07,43.94,43.97,1842,8105445,0
2025-12-02 14:00:00,43.98,43.99,43.68,43.88,3143,13775794,0
2025-12-02 15:00:00,43.89,43.89,43.73,43.76,2226,9749686,0
2025-12-03 10:30:00,43.75,44.07,43.57,43.76,5907,25877131,0
2025-12-03 11:30:00,43.74,44.1,43.71,43.93,2560,11245465,0
2025-12-03 14:00:00,43.91,44.04,43.71,43.71,2336,10248676,0
2025-12-03 15:00:00,43.71,43.82,43.59,43.82,2982,13028697,0
2025-12-04 10:30:00,43.8,43.85,43.01,43.25,6116,26502977,0
2025-12-04 11:30:00,43.25,43.45,43.23,43.28,2692,11664527,0
2025-12-04 14:00:00,43.28,43.28,43.07,43.09,2353,10152896,0
2025-12-04 15:00:00,43.09,43.27,43.07,43.1,2900,12512040,0
2025-12-05 10:30:00,43.1,43.16,42.7,42.94,4343,18635093,0
2025-12-05 11:30:00,42.91,43.2,42.88,43.14,1743,7498816,0
2025-12-05 14:00:00,43.14,43.37,42.99,43.35,1996,8611775,0
2025-12-05 15:00:00,43.35,43.49,43.31,43.42,2422,10510910,0
2025-12-08 10:30:00,43.56,43.69,43.32,43.53,4105,17843266,0
2025-12-08 11:30:00,43.52,43.56,43.35,43.51,1994,8672251,0
2025-12-08 14:00:00,43.48,43.52,43.37,43.43,1939,8424542,0
2025-12-08 15:00:00,43.44,43.47,43.35,43.36,2556,11094209,0
2025-12-09 10:30:00,43.15,43.52,43.1,43.15,3141,13587435,0
2025-12-09 11:30:00,43.14,43.2,42.93,42.94,3247,13973692,0
2025-12-09 14:00:00,42.95,43.0,42.88,42.91,2529,10856370,0
2025-12-09 15:00:00,42.9,42.92,42.78,42.84,3500,14993069,0
2025-12-10 10:30:00,42.56,43.07,42.51,42.79,3656,15639730,0
2025-12-10 11:30:00,42.79,42.89,42.68,42.82,2192,9373275,0
2025-12-10 14:00:00,42.84,43.07,42.77,42.98,2060,8847224,0
2025-12-10 15:00:00,42.99,43.18,42.97,43.09,2693,11610805,0
2025-12-11 10:30:00,43.04,43.24,42.88,43.02,2955,12705571,0
2025-12-11 11:30:00,43.01,43.01,42.75,42.75,2472,10596222,0
2025-12-11 14:00:00,42.77,42.78,42.58,42.67,2202,9399478,0
2025-12-11 15:00:00,42.67,42.74,42.52,42.74,3620,15421861,0
2025-12-12 10:30:00,42.65,42.85,42.07,42.4,6923,29390710,0
2025-12-12 11:30:00,42.38,42.74,42.33,42.49,3294,14007173,0
2025-12-12 14:00:00,42.49,42.9,42.49,42.77,4158,17778034,0
2025-12-12 15:00:00,42.79,42.87,42.42,42.42,7758,33054149,0
2025-12-15 10:30:00,42.42,42.63,42.05,42.5,5468,23102022,0
2025-12-15 11:30:00,42.5,42.64,42.45,42.47,2843,12091637,0
2025-12-15 14:00:00,42.49,42.67,42.49,42.56,2210,9408837,0
2025-12-15 15:00:00,42.56,42.64,42.24,42.3,3672,15579665,0
2025-12-16 10:30:00,42.3,42.8,42.17,42.46,6953,29539476,0
2025-12-16 11:30:00,42.5,42.56,42.17,42.21,5505,23298609,0
2025-12-16 14:00:00,42.24,43.3,42.22,42.81,13529,58064602,0
2025-12-16 15:00:00,42.8,42.8,42.55,42.68,3300,14077745,0
2025-12-17 10:30:00,43.06,43.25,42.33,43.13,9307,39883502,0
2025-12-17 11:30:00,43.13,43.35,42.94,42.94,6087,26261768,0
2025-12-17 14:00:00,42.92,42.92,42.51,42.84,2551,10893177,0
2025-12-17 15:00:00,42.84,43.03,42.76,42.93,6035,25863017,0
2025-12-18 10:30:00,42.79,43.08,42.51,42.95,6579,28185171,0
2025-12-18 11:30:00,42.95,42.97,42.84,42.88,2444,10484702,0
2025-12-18 14:00:00,42.89,43.03,42.82,42.9,2415,10369071,0
2025-12-18 15:00:00,42.9,42.98,42.87,42.92,3250,13952086,0
2025-12-19 10:30:00,42.99,43.42,42.83,43.3,6900,29797464,0
2025-12-19 11:30:00,43.29,43.88,43.22,43.87,6520,28385962,0
2025-12-19 14:00:00,43.88,43.88,43.56,43.68,3262,14249952,0
2025-12-19 15:00:00,43.68,43.82,43.57,43.77,4467,19535806,0
2025-12-22 10:30:00,43.7,43.98,43.58,43.85,7223,31639855,0
2025-12-22 11:30:00,43.85,43.93,43.78,43.86,2344,10280450,0
2025-12-22 14:00:00,43.86,43.87,43.75,43.81,1942,8510027,0
2025-12-22 15:00:00,43.81,44.06,43.81,43.97,6014,26417872,0
2025-12-23 10:30:00,43.97,44.01,43.65,43.79,7019,30742521,0
2025-12-23 11:30:00,43.74,43.93,43.72,43.81,2600,11394116,0
2025-12-23 14:00:00,43.82,43.82,43.6,43.62,3679,16073733,0
2025-12-23 15:00:00,43.62,43.65,43.42,43.5,3596,15648693,0
2025-12-24 10:30:00,43.78,43.85,43.34,43.36,3055,13288067,0
2025-12-24 11:30:00,43.37,43.5,43.35,43.4,1577,6844731,0
2025-12-24 14:00:00,43.4,43.54,43.35,43.53,1927,8369825,0
2025-12-24 15:00:00,43.53,43.55,43.39,43.45,2935,12758766,0
2025-12-25 10:30:00,43.09,43.24,42.7,42.83,8454,36277972,0
2025-12-25 11:30:00,42.83,42.96,42.77,42.79,2553,10941265,0
2025-12-25 14:00:00,42.81,43.02,42.76,42.94,3142,13473231,0
2025-12-25 15:00:00,42.94,43.0,42.73,42.78,8410,36031564,0
2025-12-26 10:30:00,42.75,42.94,42.67,42.93,4184,17915930,0
2025-12-26 11:30:00,42.92,42.95,42.6,42.65,2881,12332951,0
2025-12-26 14:00:00,42.64,42.84,42.62,42.8,1841,7869340,0
2025-12-26 15:00:00,42.8,42.88,42.7,42.78,2280,9750065,0
2025-12-29 10:30:00,42.79,43.04,42.66,42.86,4796,20549526,0
2025-12-29 11:30:00,42.87,42.9,42.64,42.71,2603,11131421,0
2025-12-29 14:00:00,42.71,42.76,42.59,42.59,2248,9589015,0
2025-12-29 15:00:00,42.58,42.61,42.39,42.54,3732,15857024,0
2025-12-30 10:30:00,42.4,42.48,42.12,42.32,4403,18625982,0
2025-12-30 11:30:00,42.33,42.41,42.31,42.32,1356,5741556,0
2025-12-30 14:00:00,42.32,42.32,42.11,42.11,3108,13123918,0
2025-12-30 15:00:00,42.12,42.23,42.11,42.11,3182,13413141,0
2025-12-31 10:30:00,42.28,42.54,41.72,42.0,6652,27954315,0
2025-12-31 11:30:00,41.98,42.09,41.97,42.08,1012,4254508,0
2025-12-31 14:00:00,42.08,42.08,41.93,42.03,1344,5643536,0
2025-12-31 15:00:00,41.99,42.3,41.99,42.23,3614,15239082,0
2026-01-05 10:30:00,42.3,42.68,42.3,42.57,6818,28983321,0
2026-01-05 11:30:00,42.57,42.68,42.57,42.59,2834,12079275,0
2026-01-05 14:00:00,42.6,42.65,42.57,42.62,2559,10902769,0
2026-01-05 15:00:00,42.62,42.68,42.61,42.68,3317,14147673,0
2026-01-06 10:30:00,42.7,42.99,42.58,42.85,6968,29879572,0
2026-01-06 11:30:00,42.85,42.93,42.7,42.93,3694,15813909,0
2026-01-06 14:00:00,42.93,42.95,42.82,42.93,2452,10520225,0
2026-01-06 15:00:00,42.93,43.16,42.91,43.15,5860,25222643,0
2026-01-07 10:30:00,43.29,43.29,42.91,42.97,5719,24619386,0
2026-01-07 11:30:00,42.97,43.1,42.9,43.04,1402,6024687,0
