datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,47.76,49.83,39.84,40.7,397035,2674423459.0,0
2020-02-29,36.08,56.53,34.63,51.91,564158,3824954294.0,0
2020-03-31,52.9,62.81,48.61,58.99,569869,4572837372.0,0
2020-04-30,58.24,77.72,50.65,72.38,489024,4307789449.0,0
2020-05-31,71.07,96.75,70.62,94.46,339782,3942777049.0,0
2020-06-30,96.84,122.88,91.38,118.23,442830,5240491342.0,0
2020-07-31,117.23,161.13,104.8,146.33,760680,10398388372.0,0
2020-08-31,145.63,158.54,128.23,134.33,439058,6348661267.0,0
2020-09-30,134.81,137.83,112.43,119.32,356215,4548049048.0,0
2020-10-31,121.53,131.73,103.43,111.47,288887,3596012926.0,0
2020-11-30,113.1,121.11,94.73,96.77,352844,4046008598.0,0
2020-12-31,96.23,123.73,95.61,108.58,444549,5078067033.0,0
2021-01-31,108.48,129.91,86.07,87.83,644034,7312054064.0,0
2021-02-28,87.22,88.56,74.4,76.41,351852,3077565707.0,0
2021-03-31,77.23,83.23,67.63,81.79,358157,2845750366.0,0
2021-04-30,81.0,81.83,67.75,68.23,332848,2662020022.0,0
2021-05-31,68.03,68.53,60.54,67.31,235405,1652420181.0,0
2021-06-30,67.35,70.73,62.03,62.87,253605,1781209679.0,0
2021-07-31,62.97,68.43,45.67,48.32,287148,1761044116.0,0
2021-08-31,48.19,60.42,42.73,43.63,443912,2465371531.0,0
2021-09-30,43.69,47.43,42.03,44.83,233852,1126639477.0,0
2021-10-31,44.68,54.14,42.2,53.58,456804,2352384349.0,0
2021-11-30,53.49,63.93,50.48,56.38,731008,4458166859.0,0
2021-12-31,55.98,62.93,52.22,60.3,485836,2978271306.0,0
2022-01-31,59.63,69.06,46.34,46.38,600210,3870586045.0,0
2022-02-28,46.98,49.87,43.61,44.99,194905,991747474.0,0
2022-03-31,44.99,46.73,35.66,41.54,361313,1625697069.0,0
2022-04-30,41.31,52.37,38.25,44.72,600743,2891428162.0,0
2022-05-31,46.43,58.02,45.93,55.56,626133,3422302913.0,0
2022-06-30,55.8,61.23,52.03,59.36,482661,2865197233.0,0
2022-07-31,58.88,59.33,51.16,52.93,312126,1815849481.56,0
2022-08-31,52.72,53.03,44.98,50.54,380019,1938015528.35,0
2022-09-30,51.03,52.28,45.54,48.15,331714,1733176837.81,0
2022-10-31,49.03,55.31,41.83,54.21,302333,1557983816.47,0
2022-11-30,54.8,65.02,54.13,58.6,434483,2723772396.66,0
2022-12-31,58.63,64.95,56.03,57.35,295952,1850097829.28,0
2023-01-31,57.21,72.03,56.55,66.18,224498,1520865258.39,0
2023-02-28,66.19,74.02,63.44,70.59,310302,2197945225.24,0
2023-03-31,71.03,72.21,60.07,67.43,297357,2057472432.77,0
2023-04-30,67.42,88.27,64.03,81.45,532854,4336953725.53,0
2023-05-31,82.41,84.37,74.92,78.93,290438,2405583042.78,0
2023-06-30,78.75,95.53,77.69,81.33,374665,3249798558.99,0
2023-07-31,81.32,85.92,62.17,66.92,471711,3367098886.3,0
2023-08-31,66.43,66.8,56.31,57.53,264095,1691563560.74,0
2023-09-30,57.85,64.43,55.45,56.02,283737,1745212868.47,0
2023-10-31,56.01,56.61,50.14,52.41,221023,1213469995.75,0
2023-11-30,52.56,56.19,51.08,51.17,324241,1803146621.24,0
2023-12-31,51.33,51.34,44.28,49.76,229440,1150183658.23,0
2024-01-31,49.85,51.91,43.07,45.63,337833,1706137145.22,0
2024-02-29,45.62,55.93,42.04,53.6,384214,2033548418.98,0
2024-03-31,53.41,59.43,50.63,52.44,496965,2778933963.13,0
2024-04-30,52.46,59.41,49.63,56.3,600181,3391496328.92,0
2024-05-31,56.51,66.83,55.16,58.16,744331,4685326498.58,0
2024-06-30,57.96,60.86,46.82,47.12,336132,1831297925.96,0
2024-07-31,47.12,47.91,43.08,47.48,340477,1590386749.02,0
2024-08-31,47.47,47.93,36.87,38.09,274227,1210741835.71,0
2024-09-30,37.79,46.49,33.81,46.49,428817,1680213302.18,0
2024-10-31,51.24,51.24,40.51,44.07,491411,2228541482.44,0
2024-11-30,43.8,47.96,40.61,42.96,476700,2161416405.72,0
2024-12-31,43.06,49.47,41.86,46.92,673146,3152671119.75,0
2025-01-31,46.52,48.48,40.21,41.27,544056,2428915185.5,0
2025-02-28,41.57,43.37,40.66,41.1,331753,1420101195.4,0
2025-03-31,41.14,45.01,40.72,42.02,411749,1807024496.25,0
2025-04-30,42.01,46.81,36.9,44.31,425090,1863395062.23,0
2025-05-31,44.32,53.09,44.01,46.81,514417,2526987528.78,0
2025-06-30,46.67,49.14,44.46,46.44,364982,1731846785.42,0
2025-07-31,46.53,50.47,46.4,48.06,377702,1813327189.98,0
2025-08-31,48.1,56.41,47.74,52.46,449042,2298553066.78,0
2025-09-30,52.25,56.14,48.69,49.97,519256,2757067097.63,0
2025-10-31,49.93,50.95,47.36,48.2,230123,1127505323.83,0
2025-11-30,48.19,48.29,43.67,44.15,427918,1945574749.41,0
2025-12-31,44.14,44.44,41.72,42.23,347995,1498688346.53,0
2026-01-31,42.3,43.76,42.3,43.67,83397,358495479.85,0
