datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,47.76,49.83,47.63,47.87,77088,542387523.0,0
2020-01-10,46.61,47.38,45.06,46.26,123957,836742215.0,0
2020-01-17,46.11,47.96,45.3,45.75,113491,770982448.0,0
2020-01-24,45.61,45.61,39.84,40.7,82499,524311273.0,0
2020-02-07,36.08,40.61,34.63,39.81,100502,565941313.0,0
2020-02-14,39.83,42.69,39.53,41.32,81535,498477762.0,0
2020-02-21,41.47,47.21,41.47,45.63,127562,838026979.0,0
2020-02-28,45.61,56.53,45.52,51.91,254559,1922508240.0,0
2020-03-06,52.9,59.79,52.73,55.95,159823,1289233557.0,0
2020-03-13,54.45,59.84,51.61,54.67,135379,1087886588.0,0
2020-03-20,55.12,56.44,48.61,53.73,110050,832015916.0,0
2020-03-27,52.15,62.81,50.73,59.22,122982,1011496836.0,0
2020-04-03,58.54,61.99,53.1,54.1,121408,1000282046.0,0
2020-04-10,54.59,55.45,50.65,52.95,96234,736867494.0,0
2020-04-17,52.49,65.38,51.38,62.94,120669,1042701061.0,0
2020-04-24,63.53,68.15,62.39,65.96,78215,720293289.0,0
2020-05-01,66.69,77.72,66.69,72.38,114133,1159850034.0,0
2020-05-08,71.07,78.56,70.62,76.86,54622,562231483.0,0
2020-05-15,77.06,90.61,75.99,84.92,102125,1185721123.0,0
2020-05-22,84.92,89.07,78.39,80.49,85376,997693611.0,0
2020-05-29,80.46,96.75,79.21,94.46,97659,1197130832.0,0
2020-06-05,96.84,102.4,91.38,96.29,98085,1296393872.0,0
2020-06-12,96.33,99.22,91.58,95.13,96617,1062583891.0,0
2020-06-19,94.97,116.35,93.76,114.48,136573,1519706027.0,0
2020-06-26,114.46,122.88,112.83,118.23,73093,893750020.0,0
2020-07-03,117.6,126.33,108.53,111.21,142334,1725037756.0,0
2020-07-10,110.03,121.23,104.8,117.59,190025,2223093824.0,0
2020-07-17,116.24,148.63,116.23,148.63,182759,2624665892.0,0
2020-07-24,154.23,161.13,141.15,141.15,156931,2406216624.0,0
2020-07-31,138.29,150.66,132.22,146.33,127093,1887431808.0,0
2020-08-07,145.63,158.54,141.98,146.43,133829,2045596496.0,0
2020-08-14,143.34,144.73,128.23,134.22,99125,1395598681.0,0
2020-08-21,135.23,140.1,129.03,133.71,90355,1261113165.0,0
2020-08-28,135.23,141.23,130.23,138.69,89576,1274638285.0,0
2020-09-04,139.05,143.02,127.79,131.23,131561,1820580857.0,0
2020-09-11,131.23,133.27,113.24,117.43,91779,1150400561.0,0
2020-09-18,119.22,120.13,115.43,118.02,56580,693965729.0,0
2020-09-25,118.73,121.13,113.61,116.74,58032,709700539.0,0
2020-10-02,116.23,123.22,112.43,119.32,44436,545116002.0,0
2020-10-09,121.53,122.58,116.74,119.42,18843,232994752.0,0
2020-10-16,119.42,131.73,119.24,128.35,111679,1453480010.0,0
2020-10-23,129.23,129.23,109.67,110.83,87205,1092449528.0,0
2020-10-30,109.13,114.28,103.43,111.47,71160,817088636.0,0
2020-11-06,113.1,121.11,111.37,115.33,99801,1210385370.0,0
2020-11-13,115.61,119.47,108.23,109.13,100820,1197613816.0,0
2020-11-20,109.34,110.39,101.42,107.2,70449,782434591.0,0
2020-11-27,108.25,108.29,95.81,98.03,61130,646519102.0,0
2020-12-04,97.42,107.03,94.73,104.27,95000,1010208147.0,0
2020-12-11,104.12,107.7,100.84,102.48,59535,653084210.0,0
2020-12-18,102.74,123.73,101.94,120.88,136345,1629229253.0,0
2020-12-25,121.24,121.3,98.23,102.62,112203,1299639496.0,0
2021-01-01,103.92,110.21,103.53,108.58,62110,694961646.0,0
2021-01-08,108.48,109.99,100.65,103.6,129816,1423130267.0,0
2021-01-15,103.63,122.8,101.83,118.59,175994,2089015040.0,0
2021-01-22,116.23,129.91,110.13,126.33,125457,1560257112.0,0
2021-01-29,126.74,128.15,86.07,87.83,212767,2239651645.0,0
2021-02-05,87.22,88.56,80.83,83.45,151651,1363035558.0,0
2021-02-12,83.1,84.43,78.23,83.24,58740,506542178.0,0
2021-02-19,84.43,85.22,78.93,83.23,53055,456151918.0,0
2021-02-26,83.48,84.93,74.4,76.41,88406,751836053.0,0
2021-03-05,77.23,80.16,74.55,76.94,65119,535570296.0,0
2021-03-12,77.02,77.06,67.63,71.24,85295,655250988.0,0
2021-03-19,71.23,72.23,68.3,69.49,42352,316821837.0,0
2021-03-26,69.48,76.38,68.64,76.38,70401,536610136.0,0
2021-04-02,77.97,83.23,75.7,79.37,127262,1074946854.0,0
2021-04-09,79.24,80.21,75.9,76.43,38496,317962769.0,0
2021-04-16,76.42,77.23,70.46,72.03,46539,359868547.0,0
2021-04-23,72.05,79.43,71.69,77.63,94978,762837055.0,0
2021-04-30,77.23,80.22,67.75,68.23,120563,947901906.0,0
2021-05-07,68.03,68.06,62.23,62.71,35922,250296775.0,0
2021-05-14,62.67,66.05,60.54,65.1,57352,392910253.0,0
2021-05-21,65.1,67.71,63.22,64.54,72691,510771755.0,0
2021-05-28,64.54,68.53,64.21,66.99,59666,428727237.0,0
2021-06-04,66.53,68.55,64.93,65.69,43849,313775418.0,0
2021-06-11,65.98,70.73,64.23,69.21,89844,653881446.0,0
2021-06-18,69.19,69.19,63.41,63.57,49737,347652312.0,0
2021-06-25,63.33,65.04,62.03,63.43,56170,377061682.0,0
2021-07-02,63.43,65.93,62.41,64.29,49398,331983745.0,0
2021-07-09,63.74,68.43,62.71,63.41,73480,509795599.0,0
2021-07-16,63.48,64.41,60.53,60.54,41777,275950649.0,0
2021-07-23,60.53,60.53,52.23,52.33,61524,363961995.0,0
2021-07-30,52.23,52.23,45.67,48.32,84748,437905110.0,0
2021-08-06,48.19,50.53,46.44,47.4,73708,385866084.0,0
2021-08-13,47.6,60.42,47.33,55.42,157160,928835504.0,0
2021-08-20,54.72,57.01,51.42,52.12,100445,577758367.0,0
2021-08-27,51.43,53.63,44.34,44.49,83394,435629811.0,0
2021-09-03,43.96,45.83,42.73,45.13,72444,345841969.0,0
2021-09-10,45.09,46.01,44.68,45.43,51649,252692316.0,0
2021-09-17,45.22,45.31,42.23,42.99,42601,201313467.0,0
2021-09-24,42.21,45.52,42.03,45.12,33473,158360105.0,0
2021-10-01,45.11,47.43,42.64,44.83,62890,305713385.0,0
2021-10-08,44.68,47.05,44.48,46.24,15862,78620514.0,0
