datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,7.72,7.81,7.4,7.42,852397,897157184.0,0
2020-01-03,7.27,7.43,7.25,7.27,473328,484390592.0,0
2020-01-06,7.13,7.32,7.09,7.17,387159,390618688.0,0
2020-01-07,7.21,7.32,7.12,7.32,398749,403788432.0,0
2020-01-08,7.24,7.24,7.02,7.02,389041,390537232.0,0
2020-01-09,7.12,7.27,7.08,7.19,307916,309409344.0,0
2020-01-10,7.22,7.25,7.05,7.1,211783,212277526.0,0
2020-01-13,7.12,7.14,7.02,7.14,216205,215771437.0,0
2020-01-14,7.17,7.22,7.07,7.08,249315,250106332.0,0
2020-01-15,7.09,7.1,6.96,6.96,209722,207403564.0,0
2020-01-16,6.98,7.0,6.73,6.78,300469,291706928.0,0
2020-01-17,6.81,6.9,6.78,6.82,170757,165637998.0,0
2020-01-20,6.8,6.94,6.79,6.92,174615,170354923.0,0
2020-01-21,6.89,6.98,6.81,6.88,212895,208013438.0,0
2020-01-22,6.86,6.93,6.75,6.88,190887,185385647.0,0
2020-01-23,6.81,6.82,6.32,6.42,278220,262108939.0,0
2020-02-03,5.59,5.77,5.59,5.59,285841,238989956.0,0
2020-02-04,5.38,5.73,5.38,5.68,295626,248551247.0,0
2020-02-05,5.68,5.99,5.62,5.75,329897,281443120.0,0
2020-02-06,5.72,6.27,5.66,6.12,485464,423697776.0,0
2020-02-07,6.01,6.16,5.96,6.08,314348,277313776.0,0
2020-02-10,6.0,6.12,5.98,6.12,237119,209904445.0,0
2020-02-11,6.14,6.42,6.07,6.14,370380,335060288.0,0
2020-02-12,6.06,6.24,6.02,6.16,257651,229337313.0,0
2020-02-13,6.11,6.16,5.98,5.99,219661,194079916.0,0
2020-02-14,5.96,6.28,5.94,6.15,328369,292855760.0,0
2020-02-17,6.16,6.59,6.1,6.58,541367,492249088.0,0
2020-02-18,6.43,6.52,6.33,6.44,389784,360802784.0,0
2020-02-19,6.39,6.73,6.36,6.5,419189,393305296.0,0
2020-02-20,6.49,7.34,6.37,7.18,1047431,1028759664.0,0
2020-02-21,7.02,7.35,6.9,7.0,861186,857304912.0,0
2020-02-24,6.9,7.11,6.85,7.03,502812,494554848.0,0
2020-02-25,6.77,6.93,6.62,6.84,476427,459695312.0,0
2020-02-26,6.7,7.63,6.66,7.1,821742,829816464.0,0
2020-02-27,7.04,7.36,6.92,7.27,702662,706322560.0,0
2020-02-28,7.05,7.24,6.83,6.85,544786,540003984.0,0
2020-03-02,6.81,7.27,6.74,7.15,588330,582819712.0,0
2020-03-03,7.2,7.35,7.06,7.12,571167,576545200.0,0
2020-03-04,7.01,7.13,6.91,7.12,419796,416047520.0,0
2020-03-05,7.24,7.81,7.11,7.62,1069744,1118478336.0,0
2020-03-06,7.41,7.62,7.28,7.29,631706,651813408.0,0
2020-03-09,7.02,7.08,6.82,6.82,543681,533188272.0,0
2020-03-10,6.66,7.07,6.66,6.99,406527,398086240.0,0
2020-03-11,6.99,7.05,6.74,6.75,365928,357929456.0,0
2020-03-12,6.82,7.02,6.74,6.86,360767,351262736.0,0
2020-03-13,6.41,7.12,6.36,7.12,558249,540398896.0,0
2020-03-16,6.92,6.95,6.33,6.38,492662,472149296.0,0
2020-03-17,6.5,6.62,6.05,6.31,256582,235129331.0,0
2020-03-18,6.38,6.4,5.97,5.97,251626,227046378.0,0
2020-03-19,5.94,6.14,5.76,6.02,230860,201535372.0,0
2020-03-20,6.05,6.12,5.97,6.1,157107,138839258.0,0
2020-03-23,5.87,5.94,5.62,5.63,172805,147884242.0,0
2020-03-24,5.78,5.82,5.61,5.77,144438,122620754.0,0
2020-03-25,5.92,6.02,5.84,5.96,191792,167088337.0,0
2020-03-26,5.87,6.07,5.85,5.93,156149,136351107.0,0
2020-03-27,6.0,6.04,5.89,5.9,141269,123413027.0,0
2020-03-30,5.72,5.78,5.63,5.68,133044,112313284.0,0
2020-03-31,5.76,5.78,5.66,5.66,86922,73573963.0,0
2020-04-01,5.71,5.83,5.69,5.7,133807,113930417.0,0
2020-04-02,5.61,5.78,5.59,5.78,116711,98641722.0,0
2020-04-03,5.77,5.92,5.73,5.76,134799,115642539.0,0
2020-04-07,5.92,5.94,5.84,5.91,173581,150425663.0,0
2020-04-08,5.85,5.91,5.84,5.87,111349,96186767.0,0
2020-04-09,5.9,5.94,5.85,5.87,126967,109963262.0,0
2020-04-10,5.88,5.93,5.73,5.73,145015,124413231.0,0
2020-04-13,5.67,5.69,5.6,5.62,97388,81634812.0,0
2020-04-14,5.65,5.74,5.62,5.72,85312,71977723.0,0
2020-04-15,5.73,5.74,5.64,5.65,93686,79087868.0,0
2020-04-16,5.62,6.18,5.62,5.95,268815,233169708.0,0
2020-04-17,5.93,5.99,5.84,5.88,242339,210796518.0,0
2020-04-20,5.85,6.0,5.82,5.92,139688,121242208.0,0
2020-04-21,5.88,6.0,5.8,5.94,150962,130815246.0,0
2020-04-22,5.92,5.92,5.83,5.91,103727,89637611.0,0
2020-04-23,5.89,5.89,5.74,5.76,125359,107383901.0,0
2020-04-24,5.75,5.76,5.61,5.62,117622,98869041.0,0
2020-04-27,5.65,5.92,5.61,5.76,211535,181462984.0,0
2020-04-28,5.71,5.73,5.5,5.62,129420,108243902.0,0
2020-04-29,5.67,5.84,5.62,5.76,142017,120903502.0,0
2020-04-30,5.87,5.88,5.77,5.83,160436,137700628.0,0
2020-05-06,5.75,5.85,5.71,5.84,115280,98404042.0,0
2020-05-07,5.84,5.92,5.8,5.88,134549,116216555.0,0
2020-05-08,5.88,6.04,5.86,5.96,222045,193798970.0,0
2020-05-11,5.96,5.99,5.84,5.89,152525,132647954.0,0
2020-05-12,5.88,5.9,5.77,5.83,104588,89797890.0,0
2020-05-13,5.77,5.85,5.74,5.82,77998,66722376.0,0
2020-05-14,5.76,5.81,5.74,5.75,69711,59415120.0,0
2020-05-15,5.82,5.82,5.73,5.74,69574,59392091.0,0
2020-05-18,5.72,5.81,5.7,5.72,67100,57071414.0,0
2020-05-19,5.79,5.8,5.75,5.79,72490,61878567.0,0
2020-05-20,5.77,5.98,5.72,5.84,164766,141749083.0,0
2020-05-21,5.84,5.88,5.76,5.76,107164,91772378.0,0
2020-05-22,5.73,5.75,5.58,5.59,127549,107170544.0,0
2020-05-25,5.59,5.62,5.52,5.54,63960,53058756.0,0
2020-05-26,5.55,5.61,5.55,5.61,60639,50468769.0,0
2020-05-27,5.63,5.68,5.57,5.61,71159,59548690.0,0
2020-05-28,5.62,5.72,5.6,5.65,96299,80911440.0,0
2020-05-29,5.62,5.62,5.58,5.61,59365,49565015.0,0
2020-06-01,5.62,5.79,5.62,5.76,130364,110493162.0,0
2020-06-02,5.82,5.88,5.76,5.83,146879,126025713.0,0
2020-06-03,5.86,5.93,5.79,5.82,169328,146029862.0,0
2020-06-04,5.82,5.82,5.71,5.72,117741,97594947.0,0
2020-06-05,5.72,5.74,5.67,5.74,80854,66733961.0,0
2020-06-08,5.74,5.77,5.71,5.72,70851,58710344.0,0
2020-06-09,5.72,5.77,5.7,5.72,88334,73132810.0,0
2020-06-10,5.73,5.73,5.66,5.68,65825,54207054.0,0
2020-06-11,5.67,5.75,5.66,5.68,99723,82351284.0,0
2020-06-12,5.56,5.66,5.52,5.63,82333,67063282.0,0
2020-06-15,5.6,5.64,5.57,5.6,73150,59570158.0,0
2020-06-16,5.61,5.63,5.59,5.63,60363,49283187.0,0
2020-06-17,5.63,5.65,5.59,5.62,59615,48596989.0,0
2020-06-18,5.6,5.77,5.57,5.73,157641,129908525.0,0
2020-06-19,5.72,5.77,5.68,5.76,130912,108376978.0,0
