datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,8.23,8.35,8.22,8.32,249494,207284839,0
2025-11-26 11:30:00,8.32,8.35,8.26,8.28,90348,75070778,0
2025-11-26 14:00:00,8.29,8.34,8.27,8.32,66504,55207631,0
2025-11-26 15:00:00,8.33,8.34,8.3,8.3,82329,68493660,0
2025-11-27 10:30:00,8.28,8.31,8.23,8.26,84421,69696301,0
2025-11-27 11:30:00,8.26,8.3,8.25,8.29,49157,40662921,0
2025-11-27 14:00:00,8.3,8.32,8.28,8.3,34954,29016265,0
2025-11-27 15:00:00,8.3,8.31,8.27,8.27,47676,39524037,0
2025-11-28 10:30:00,8.27,8.28,8.21,8.22,70637,58202187,0
2025-11-28 11:30:00,8.22,8.24,8.21,8.23,41048,33748552,0
2025-11-28 14:00:00,8.23,8.24,8.21,8.22,42025,34555404,0
2025-11-28 15:00:00,8.21,8.23,8.18,8.2,85357,70003754,0
2025-12-01 10:30:00,8.19,8.33,8.17,8.31,196993,162672552,0
2025-12-01 11:30:00,8.31,8.33,8.27,8.27,55565,46143911,0
2025-12-01 14:00:00,8.27,8.32,8.25,8.31,67435,55898602,0
2025-12-01 15:00:00,8.32,8.35,8.3,8.34,108587,90383003,0
2025-12-02 10:30:00,8.32,8.36,8.28,8.29,110503,91895124,0
2025-12-02 11:30:00,8.29,8.31,8.27,8.27,46822,38785172,0
2025-12-02 14:00:00,8.28,8.31,8.27,8.3,37420,31036502,0
2025-12-02 15:00:00,8.3,8.32,8.29,8.31,43414,36064197,0
2025-12-03 10:30:00,8.29,8.41,8.29,8.41,169976,142299241,0
2025-12-03 11:30:00,8.4,8.43,8.38,8.38,74786,62919350,0
2025-12-03 14:00:00,8.38,8.39,8.33,8.33,42532,35527572,0
2025-12-03 15:00:00,8.33,8.34,8.28,8.29,135051,112073238,0
2025-12-04 10:30:00,8.29,8.31,8.23,8.24,123559,102007211,0
2025-12-04 11:30:00,8.24,8.28,8.23,8.25,47619,39283898,0
2025-12-04 14:00:00,8.25,8.26,8.23,8.24,32060,26425361,0
2025-12-04 15:00:00,8.24,8.25,8.23,8.24,42771,35226669,0
2025-12-05 10:30:00,8.25,8.27,8.15,8.17,151663,124322481,0
2025-12-05 11:30:00,8.16,8.17,8.14,8.16,93999,76659778,0
2025-12-05 14:00:00,8.16,8.19,8.14,8.17,93425,76183020,0
2025-12-05 15:00:00,8.18,8.2,8.16,8.19,74054,60577508,0
2025-12-08 10:30:00,8.19,8.21,8.15,8.19,118515,96908469,0
2025-12-08 11:30:00,8.18,8.2,8.17,8.17,58950,48240142,0
2025-12-08 14:00:00,8.17,8.18,8.15,8.17,64253,52467058,0
2025-12-08 15:00:00,8.17,8.18,8.13,8.14,77823,63396465,0
2025-12-09 10:30:00,8.15,8.2,8.14,8.19,73318,59897218,0
2025-12-09 11:30:00,8.2,8.23,8.18,8.22,108578,89161561,0
2025-12-09 14:00:00,8.21,8.23,8.18,8.19,61475,50463704,0
2025-12-09 15:00:00,8.19,8.19,8.15,8.15,57588,47012673,0
2025-12-10 10:30:00,8.15,8.22,8.08,8.09,152095,123992628,0
2025-12-10 11:30:00,8.08,8.11,8.04,8.09,123548,99690581,0
2025-12-10 14:00:00,8.09,8.14,8.08,8.11,72763,58975899,0
2025-12-10 15:00:00,8.11,8.11,8.08,8.08,67986,55046492,0
2025-12-11 10:30:00,8.11,8.12,8.08,8.11,68970,55853132,0
2025-12-11 11:30:00,8.11,8.12,8.09,8.12,26525,21488389,0
2025-12-11 14:00:00,8.12,8.12,8.06,8.08,47626,38500911,0
2025-12-11 15:00:00,8.09,8.13,8.08,8.1,71059,57626310,0
2025-12-12 10:30:00,8.11,8.12,8.07,8.11,91241,73843741,0
2025-12-12 11:30:00,8.1,8.11,8.07,8.08,77656,62815357,0
2025-12-12 14:00:00,8.09,8.11,8.08,8.1,61566,49874925,0
2025-12-12 15:00:00,8.11,8.12,8.09,8.11,75862,61481660,0
2025-12-15 10:30:00,8.1,8.13,8.07,8.11,89694,72654131,0
2025-12-15 11:30:00,8.1,8.15,8.1,8.14,48324,39288422,0
2025-12-15 14:00:00,8.15,8.16,8.13,8.14,32986,26874929,0
2025-12-15 15:00:00,8.15,8.15,8.11,8.14,46580,37890098,0
2025-12-16 10:30:00,8.14,8.15,8.06,8.1,90827,73571039,0
2025-12-16 11:30:00,8.09,8.12,8.08,8.12,35601,28833995,0
2025-12-16 14:00:00,8.12,8.13,8.08,8.11,38626,31325900,0
2025-12-16 15:00:00,8.13,8.13,8.08,8.1,41279,33417139,0
2025-12-17 10:30:00,8.1,8.1,8.02,8.03,112858,90832777,0
2025-12-17 11:30:00,8.03,8.03,8.0,8.02,75551,60537389,0
2025-12-17 14:00:00,8.03,8.1,8.01,8.09,59399,47881328,0
2025-12-17 15:00:00,8.09,8.12,8.06,8.07,93250,75440843,0
2025-12-18 10:30:00,8.07,8.22,8.06,8.21,235906,192442629,0
2025-12-18 11:30:00,8.21,8.28,8.2,8.27,146072,120392858,0
2025-12-18 14:00:00,8.27,8.33,8.26,8.3,161984,134378353,0
2025-12-18 15:00:00,8.31,8.32,8.3,8.31,93264,77530169,0
2025-12-19 10:30:00,8.3,8.37,8.27,8.37,196253,163609971,0
2025-12-19 11:30:00,8.37,8.43,8.36,8.42,124752,104749042,0
2025-12-19 14:00:00,8.42,8.47,8.4,8.42,159781,134729171,0
2025-12-19 15:00:00,8.4,8.46,8.39,8.45,119580,100824946,0
2025-12-22 10:30:00,8.41,8.43,8.36,8.4,117882,98961574,0
2025-12-22 11:30:00,8.4,8.41,8.33,8.34,70509,58943361,0
2025-12-22 14:00:00,8.34,8.35,8.3,8.32,59366,49413356,0
