datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,7.72,7.81,7.25,7.27,1325725,1381547776.0,0
2020-01-10,7.13,7.32,7.02,7.1,1694648,1706631222.0,0
2020-01-17,7.12,7.22,6.73,6.82,1146468,1130626259.0,0
2020-01-24,6.8,6.98,6.32,6.42,856617,825862947.0,0
2020-02-07,5.59,6.27,5.38,6.08,1711176,1469995875.0,0
2020-02-14,6.0,6.42,5.94,6.15,1413180,1261237722.0,0
2020-02-21,6.16,7.35,6.1,7.0,3258957,3132421744.0,0
2020-02-28,6.9,7.63,6.62,6.85,3048429,3030393168.0,0
2020-03-06,6.81,7.81,6.74,7.29,3280743,3345704176.0,0
2020-03-13,7.02,7.12,6.36,7.12,2235152,2180865600.0,0
2020-03-20,6.92,6.95,5.76,6.1,1388837,1274699635.0,0
2020-03-27,5.87,6.07,5.61,5.9,806453,697357467.0,0
2020-04-03,5.72,5.92,5.59,5.76,605283,514101925.0,0
2020-04-10,5.92,5.94,5.73,5.73,556912,480988923.0,0
2020-04-17,5.67,6.18,5.6,5.88,787540,676666629.0,0
2020-04-24,5.85,6.0,5.61,5.62,637358,547948007.0,0
2020-05-01,5.65,5.92,5.5,5.83,643408,548311016.0,0
2020-05-08,5.75,6.04,5.71,5.96,471874,408419567.0,0
2020-05-15,5.96,5.99,5.73,5.74,474396,407975431.0,0
2020-05-22,5.72,5.98,5.58,5.59,539069,459641986.0,0
2020-05-29,5.59,5.72,5.52,5.61,351422,293552670.0,0
2020-06-05,5.62,5.93,5.62,5.74,645166,546877645.0,0
2020-06-12,5.74,5.77,5.52,5.63,407066,335464774.0,0
2020-06-19,5.6,5.77,5.57,5.76,481681,395735837.0,0
2020-06-26,5.72,5.93,5.62,5.8,585131,488322218.0,0
2020-07-03,5.92,6.63,5.69,6.55,1943431,1703273289.0,0
2020-07-10,6.61,7.64,6.61,6.7,3622461,3521045216.0,0
2020-07-17,6.62,7.08,6.42,6.44,2215308,2077132272.0,0
