datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,6.6,6.79,6.6,6.78,5623000,37733320,0
2020-01-03,6.79,6.8,6.7,6.76,4091000,27655625,0
2020-01-06,6.76,6.8,6.62,6.66,2677000,18005730,0
2020-01-07,6.66,6.8,6.63,6.76,2659000,17837490,0
2020-01-08,6.75,6.75,6.65,6.66,1914145,12769678,0
2020-01-09,6.72,6.88,6.68,6.87,6381000,43268470,0
2020-01-10,6.88,6.9,6.75,6.86,5041000,34486210,0
2020-01-13,6.86,6.99,6.86,6.99,2788000,19418325,0
2020-01-14,6.99,7.1,6.97,7.07,3884000,27403260,0
2020-01-15,7.1,7.1,7.01,7.05,1399000,9855700,0
2020-01-16,7.01,7.17,6.95,7.07,3331000,23403385,0
2020-01-17,7.02,7.18,6.97,7.18,2278000,16144020,0
2020-01-20,7.19,7.19,7.08,7.1,1990000,14175670,0
2020-01-21,7.08,7.08,6.88,6.93,3682000,25637960,0
2020-01-22,6.91,6.95,6.82,6.91,1270000,8777450,0
2020-01-23,6.88,6.91,6.72,6.82,1868000,12717050,0
2020-01-24,6.82,6.86,6.73,6.81,289000,1963340,0
2020-01-29,6.8,6.8,6.64,6.7,1616000,10842188,0
2020-01-30,6.73,6.77,6.45,6.46,2548000,16762110,0
2020-01-31,6.47,6.62,6.46,6.56,2498000,16279960,0
2020-02-03,6.47,6.75,6.42,6.6,10733336,71052607,0
2020-02-04,6.68,6.86,6.61,6.84,2600000,17627650,0
2020-02-05,6.86,7.06,6.78,6.85,3864000,26714990,0
2020-02-06,6.92,7.0,6.91,6.99,2841000,19794880,0
2020-02-07,6.98,7.15,6.94,7.08,3569116,25216275,0
2020-02-10,7.11,7.11,6.87,7.01,2209000,15468859,0
2020-02-11,7.07,7.07,6.91,7.01,1828000,12771765,0
2020-02-12,6.98,7.04,6.94,6.98,2811860,19667192,0
2020-02-13,6.99,7.04,6.9,6.95,2792000,19388290,0
2020-02-14,6.92,6.92,6.79,6.84,3284000,22542280,0
2020-02-17,6.81,6.93,6.81,6.82,4484000,30729875,0
2020-02-18,6.86,6.93,6.82,6.9,2984800,20517118,0
2020-02-19,6.97,6.99,6.87,6.91,1684000,11676910,0
