datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,6.6,7.19,6.45,6.56,57827145,395136941,0
2020-02-29,6.47,7.15,6.42,6.66,62686825,428288408,0
2020-03-31,6.63,6.9,5.75,6.82,125735811,808898323,0
2020-04-30,6.78,7.22,6.52,6.98,64724635,443081597,0
2020-05-31,6.97,8.28,6.76,7.22,140896368,1076996142,0
2020-06-30,7.22,7.72,7.05,7.09,118622575,868449400,0
2020-07-31,7.2,8.13,7.17,7.35,134327193,1025439017,0
2020-08-31,7.55,8.77,7.5,8.02,151541368,1241995239,0
2020-09-30,8.03,8.21,7.21,7.54,112694811,872266675,0
2020-10-31,7.54,8.25,7.33,7.98,70961254,559006594,0
2020-11-30,7.99,8.41,7.66,7.8,75702743,604581890,0
2020-12-31,7.8,7.86,7.06,7.28,129862729,965795248,0
2021-01-31,7.34,8.03,7.15,7.39,146037281,1101205841,0
2021-02-28,7.39,8.21,7.39,7.79,96462541,760947377,0
2021-03-31,7.79,8.03,7.17,7.97,89762259,680960472,0
2021-04-30,8.01,8.66,7.8,8.4,77823557,645471295,0
2021-05-31,8.4,8.68,8.06,8.28,68859746,575171321,0
2021-06-30,8.32,8.59,7.35,7.58,91554152,715286820,0
2021-07-31,7.6,7.73,6.33,7.41,115203383,827154569,0
2021-08-31,7.42,7.7,6.8,7.01,93311796,672392164,0
2021-09-30,7.03,7.28,6.28,6.49,83523301,564677026,0
2021-10-31,6.61,7.05,6.17,6.69,59901641,400017689,0
2021-11-30,6.69,6.86,6.21,6.3,72670494,471350183,0
2021-12-31,6.3,6.37,5.33,6.13,118251690,700799045,0
2022-01-31,6.18,6.44,5.8,6.1,49119776,299362350,0
2022-02-28,6.28,6.34,5.74,5.79,33790286,203666379,0
2022-03-31,5.75,5.9,4.97,5.78,116650487,642710318,0
2022-04-30,5.7,6.09,5.12,5.45,45248464,255149139,0
2022-05-31,5.45,5.47,4.9,5.46,47912406,245878712,0
2022-06-30,5.49,5.92,5.39,5.65,48111664,272280005,0
2022-07-31,5.73,5.85,5.24,5.35,48971346,267650264,0
2022-08-31,5.39,5.39,4.94,5.03,45385180,233424726,0
2022-09-30,5.0,5.06,4.27,4.33,49408576,232927806,0
2022-10-31,4.33,4.66,3.89,3.92,65971221,283084583,0
2022-11-30,3.99,5.82,3.91,5.68,172680931,904456469,0
2022-12-31,6.02,7.45,5.55,6.7,359222597,2328207768,0
2023-01-31,6.7,7.39,6.49,6.61,222008135,1541815367,0
2023-02-28,6.61,6.7,5.86,5.91,110054994,692933276,0
2023-03-31,5.99,6.81,5.53,6.36,136727987,835807825,0
2023-04-30,6.36,6.44,5.86,6.36,70431828,431797198,0
2023-05-31,6.36,6.48,5.67,5.71,54717184,334738324,0
2023-06-30,5.71,6.1,5.19,5.39,58668354,332412219,0
2023-07-31,5.4,6.11,5.27,6.02,52029772,291770381,0
2023-08-31,5.98,6.12,5.54,5.84,70447364,414175727,0
2023-09-30,5.86,6.03,5.41,5.46,37797063,216154180,0
2023-10-31,5.35,5.75,5.2,5.25,47354998,256035784,0
2023-11-30,5.28,5.55,5.03,5.08,61839862,327207457,0
2023-12-31,5.09,5.35,4.98,5.3,63543848,327083473,0
2024-01-31,5.33,5.43,4.55,4.69,92546505,460798209,0
2024-02-29,4.69,5.38,4.59,5.12,68611612,346309350,0
2024-03-31,5.13,5.54,4.77,4.84,130331414,669405329,0
2024-04-30,4.87,5.41,4.8,5.31,105433733,539089927,0
2024-05-31,5.21,5.61,5.13,5.14,117987279,632856922,0
2024-06-30,5.2,5.31,4.88,4.88,57752426,294486210,0
2024-07-31,4.97,5.09,4.73,4.9,75701924,370182039,0
2024-08-31,4.93,4.94,3.9,3.96,105493405,453951643,0
2024-09-30,3.96,4.58,3.68,4.54,134660115,536380806,0
2024-10-31,4.54,4.79,3.81,3.95,156565891,657873150,0
2024-11-30,3.95,4.15,3.75,3.87,96793993,379327388,0
2024-12-31,3.88,4.07,3.8,3.86,86074655,334289003,0
2025-01-31,3.86,4.43,3.58,4.27,135123424,531031479,0
2025-02-28,4.24,4.37,4.11,4.23,148289448,628473224,0
2025-03-31,4.27,4.55,3.74,3.76,257495593,1043182714,0
2025-04-30,3.8,3.85,3.34,3.52,208285405,746169715,0
2025-05-31,3.53,3.65,3.51,3.6,124402600,444719759,0
2025-06-30,3.6,3.82,3.51,3.72,143430903,531002370,0
2025-07-31,3.73,3.81,3.6,3.61,167462919,622915253,0
2025-08-31,3.63,3.66,3.23,3.33,302195599,1017845645,0
2025-09-30,3.0,3.21,2.8,2.85,331493906,996282598,0
2025-10-31,2.86,3.08,2.74,2.94,188691140,549576574,0
2025-11-30,2.94,3.01,2.8,2.92,132434517,386132471,0
2025-12-31,2.92,2.97,2.77,2.81,96768058,275285936,0
2026-01-31,2.81,2.86,2.7,2.72,45631979,125996355,0
