datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,6.6,6.8,6.6,6.76,9714000,65388945,0
2020-01-10,6.76,6.9,6.62,6.86,18672145,126367578,0
2020-01-17,6.86,7.18,6.86,7.18,13680000,96224690,0
2020-01-24,7.19,7.19,6.72,6.81,9099000,63271470,0
2020-01-31,6.8,6.8,6.45,6.56,6662000,43884258,0
2020-02-07,6.47,7.15,6.42,7.08,23607452,160406402,0
2020-02-14,7.11,7.11,6.79,6.84,12924860,89838386,0
2020-02-21,6.81,6.99,6.81,6.84,13219013,90881560,0
2020-02-28,6.84,6.86,6.64,6.66,12935500,87162060,0
2020-03-06,6.63,6.9,6.6,6.71,14001778,94450186,0
2020-03-13,6.63,6.7,6.12,6.39,31584005,203710083,0
2020-03-20,6.52,6.7,5.75,6.39,40987299,254365776,0
2020-03-27,6.2,6.84,6.05,6.78,31780706,206996364,0
2020-04-03,6.73,6.82,6.53,6.65,13402023,89537059,0
2020-04-10,6.71,6.84,6.52,6.81,12463713,83323191,0
2020-04-17,6.8,7.06,6.6,7.04,18697689,127323111,0
2020-04-24,7.01,7.22,6.72,6.91,23209897,161894480,0
2020-05-01,6.97,7.1,6.91,6.98,4333336,30379670,0
2020-05-08,6.97,7.06,6.76,7.04,10356100,71850888,0
2020-05-15,7.02,7.85,6.95,7.78,37324694,278560845,0
2020-05-22,7.78,8.28,7.6,7.7,55289224,443275878,0
2020-05-29,7.56,7.97,7.13,7.22,37926350,283308531,0
2020-06-05,7.22,7.72,7.05,7.23,45921628,335206286,0
2020-06-12,7.27,7.57,7.14,7.46,28645953,210216105,0
2020-06-19,7.36,7.64,7.34,7.45,18696520,139687539,0
2020-06-26,7.47,7.48,7.15,7.2,11599690,84520071,0
2020-07-03,7.3,7.65,7.09,7.54,27423600,200314183,0
2020-07-10,7.64,8.13,7.51,7.86,54954244,428773660,0
2020-07-17,7.86,8.0,7.45,7.56,21974000,169291870,0
2020-07-24,7.63,7.72,7.25,7.25,25589133,191238108,0
2020-07-31,7.33,7.6,7.3,7.35,18145000,134640595,0
2020-08-07,7.55,8.77,7.5,8.48,58976401,484053179,0
2020-08-14,8.48,8.61,8.15,8.33,20959950,175333145,0
2020-08-21,8.37,8.46,8.0,8.33,28983017,237899820,0
2020-08-28,8.33,8.37,7.88,8.07,37272000,301436805,0
2020-09-04,8.14,8.25,7.76,7.97,34540034,274437935,0
2020-09-11,8.03,8.09,7.21,7.4,36302594,273232545,0
2020-09-18,7.42,8.21,7.4,7.92,28696194,226516733,0
2020-09-25,7.92,7.97,7.45,7.52,14068489,108002202,0
2020-10-02,7.56,7.65,7.47,7.54,4437500,33349550,0
2020-10-09,7.54,7.84,7.33,7.64,14909299,112027555,0
2020-10-16,7.63,8.1,7.62,8.1,23148554,182239642,0
2020-10-23,8.1,8.25,7.83,8.06,17241665,138518956,0
2020-10-30,8.07,8.25,7.91,7.98,15661736,126220441,0
2020-11-06,7.99,8.41,7.97,8.18,16331916,133777702,0
2020-11-13,8.25,8.34,7.66,8.08,19207245,153155862,0
2020-11-20,8.13,8.13,7.93,7.99,13825809,110627127,0
2020-11-27,8.0,8.05,7.73,7.94,23011750,180875308,0
2020-12-04,7.94,7.99,7.48,7.67,33308075,254972498,0
2020-12-11,7.65,7.8,7.32,7.43,28757011,215795431,0
2020-12-18,7.43,7.57,7.31,7.45,25935478,192521419,0
2020-12-25,7.47,7.5,7.22,7.27,22383188,163961042,0
2021-01-01,7.27,7.37,7.06,7.28,22805000,164690749,0
2021-01-08,7.34,7.5,7.15,7.39,33572650,245616881,0
2021-01-15,7.4,7.41,7.18,7.18,27186652,197080259,0
2021-01-22,7.2,8.0,7.2,7.91,48838879,377399951,0
2021-01-29,7.9,8.03,7.39,7.39,36439100,281108750,0
2021-02-05,7.39,8.11,7.39,7.89,29256276,227611412,0
2021-02-12,7.93,8.13,7.73,7.8,13546544,108109409,0
2021-02-19,7.8,8.21,7.75,8.05,17495230,140305743,0
2021-02-26,8.06,8.14,7.68,7.79,36164491,284920813,0
2021-03-05,7.79,7.99,7.4,7.57,19326967,148087090,0
2021-03-12,7.57,7.67,7.3,7.56,19639102,146689911,0
2021-03-19,7.52,7.7,7.35,7.51,11659388,87612670,0
2021-03-26,7.47,7.7,7.17,7.35,13741302,101320251,0
2021-04-02,7.62,8.08,7.39,8.08,31564500,246644020,0
2021-04-09,8.18,8.44,8.01,8.1,18257679,149568544,0
2021-04-16,8.07,8.34,7.91,8.3,17845387,145770611,0
2021-04-23,8.3,8.61,7.8,8.48,20548188,173070197,0
2021-04-30,8.39,8.66,8.31,8.4,15003303,127668473,0
2021-05-07,8.4,8.68,8.27,8.29,13720566,115984210,0
2021-05-14,8.48,8.49,8.06,8.18,17654600,145470760,0
2021-05-21,8.18,8.49,8.18,8.38,9570323,79697419,0
2021-05-28,8.4,8.6,8.18,8.33,24545937,206046674,0
2021-06-04,8.33,8.59,8.12,8.12,16243645,135318615,0
2021-06-11,8.12,8.16,7.81,7.85,17047103,136085244,0
2021-06-18,7.89,7.99,7.35,7.5,21550779,163885343,0
2021-06-25,7.59,7.89,7.49,7.74,29181017,224161934,0
2021-07-02,7.74,7.88,7.47,7.5,14846523,113565590,0
2021-07-09,7.51,7.57,7.2,7.44,18790847,138882500,0
2021-07-16,7.44,7.62,7.31,7.42,18157295,135082960,0
2021-07-23,7.49,7.62,7.28,7.43,12692223,94209731,0
2021-07-30,7.38,7.73,6.33,7.41,61616423,429221730,0
2021-08-06,7.42,7.51,6.95,7.38,28236010,204318365,0
2021-08-13,7.3,7.68,7.23,7.6,10826077,81101676,0
2021-08-20,7.6,7.7,7.07,7.24,15468848,114952111,0
2021-08-27,7.3,7.35,6.92,7.03,26080061,184323067,0
2021-09-03,7.0,7.28,6.8,7.2,27119135,189801447,0
2021-09-10,7.2,7.28,6.8,6.82,19325256,134112413,0
2021-09-17,6.93,6.93,6.31,6.49,23060142,153538649,0
2021-09-24,6.85,6.85,6.28,6.58,16792850,109405785,0
2021-10-01,6.62,6.83,6.45,6.49,9926718,65515677,0
2021-10-08,6.61,6.7,6.17,6.58,18378774,118480490,0
2021-10-15,6.58,6.9,6.41,6.83,15383211,103714548,0
2021-10-22,6.8,7.05,6.69,6.9,15206596,104829923,0
2021-10-29,6.97,6.99,6.52,6.69,10933060,72992728,0
2021-11-05,6.69,6.74,6.25,6.3,17760208,114300528,0
2021-11-12,6.3,6.86,6.3,6.45,13720000,89537897,0
2021-11-19,6.61,6.74,6.29,6.69,17657293,114238742,0
2021-11-26,6.7,6.79,6.46,6.53,14179483,93813013,0
2021-12-03,6.47,6.65,6.15,6.17,17172327,108173089,0
2021-12-10,6.15,6.17,5.91,6.01,26579221,160496346,0
2021-12-17,6.05,6.14,5.33,5.63,39253491,227130366,0
2021-12-24,5.58,6.17,5.54,6.06,34271161,201586867,0
2021-12-31,6.1,6.23,5.99,6.13,10329000,62872380,0
2022-01-07,6.18,6.24,5.81,5.96,16536799,99429292,0
2022-01-14,5.85,6.24,5.85,6.23,10712000,65262477,0
2022-01-21,6.26,6.34,6.09,6.3,9801580,61066689,0
2022-01-28,6.3,6.44,5.8,5.99,11704000,71394760,0
2022-02-04,6.0,6.32,5.97,6.29,1882397,11729972,0
2022-02-11,6.18,6.34,6.16,6.3,5929362,37094105,0
2022-02-18,6.3,6.3,6.01,6.02,9949100,60878564,0
2022-02-25,6.01,6.08,5.74,5.8,13776824,81103720,0
2022-03-04,5.8,5.89,5.64,5.7,11655026,67098828,0
2022-03-11,5.64,5.9,5.38,5.72,18268141,102569947,0
2022-03-18,5.7,5.84,4.97,5.73,39389119,212721427,0
2022-03-25,5.8,5.85,5.3,5.45,33445211,181668042,0
2022-04-01,5.4,5.9,5.38,5.9,17782990,101142459,0
2022-04-08,5.89,6.09,5.73,5.78,13291781,78272550,0
2022-04-15,5.86,5.86,5.56,5.73,10244427,58250374,0
2022-04-22,5.73,5.75,5.31,5.4,12968488,71652401,0
2022-04-29,5.42,5.45,5.12,5.45,7471768,39552579,0
2022-05-06,5.45,5.45,5.0,5.04,13928058,71597557,0
2022-05-13,5.0,5.17,4.9,5.02,9987783,50075096,0
