datetime,open,high,low,close,volume,turnover,open_interest
2020-10-31,70.55,78.8,57.5,57.95,71247462,5097069032,0
2020-11-30,58.9,69.95,57.15,63.05,8587423,546032502,0
2020-12-31,62.6,71.0,60.45,67.7,3820627,249176513,0
2021-01-31,67.55,101.2,64.5,84.15,10677579,894792841,0
2021-02-28,84.15,104.8,79.05,80.5,5069825,462723805,0
2021-03-31,80.95,95.25,57.55,73.55,7645182,572951570,0
2021-04-30,73.5,82.8,68.0,68.7,6216694,449690956,0
2021-05-31,69.45,77.8,62.35,74.95,5273070,371597950,0
2021-06-30,74.95,77.5,67.0,77.25,11830744,854833266,0
2021-07-31,77.5,79.9,53.3,58.9,8101833,552602403,0
2021-08-31,59.05,68.05,45.2,48.0,6179236,347069395,0
2021-09-30,48.05,66.5,48.05,49.2,8418011,495569211,0
2021-10-31,49.1,50.05,42.0,44.95,6003043,275549949,0
2021-11-30,44.0,45.95,35.4,35.4,10814849,422519841,0
2021-12-31,35.4,40.6,31.8,34.8,8017219,278905172,0
2022-01-31,34.8,46.8,24.55,25.9,13346330,458092476,0
2022-02-28,25.9,29.65,22.35,24.0,6009710,153221002,0
2022-03-31,23.9,27.3,13.86,25.95,26182870,512723248,0
2022-04-30,25.6,30.5,18.16,18.4,12227827,292877330,0
2022-05-31,18.42,23.5,15.4,22.05,21753473,433535020,0
2022-06-30,22.05,25.1,18.12,22.5,31200306,678008382,0
2022-07-31,22.0,24.0,16.14,16.28,12427174,247456611,0
2022-08-31,16.1,17.44,10.82,11.96,29042233,385124230,0
2022-09-30,12.02,12.14,7.27,7.5,22251561,218955315,0
2022-10-31,7.31,7.94,5.98,6.18,18667421,127605756,0
2022-11-30,6.34,12.7,6.19,11.46,78547832,794115507,0
2022-12-31,11.8,17.64,11.0,17.38,120767343,1674310623,0
2023-01-31,17.38,30.0,16.8,25.0,84696948,1914826075,0
2023-02-28,25.0,28.95,16.3,17.0,111569019,2354833010,0
2023-03-31,17.14,21.15,14.8,15.44,121755250,2111823967,0
2023-04-30,15.44,17.58,13.34,14.22,68563175,1039692329,0
2023-05-31,14.4,14.84,10.64,10.88,38368391,495697877,0
2023-06-30,10.76,24.85,10.32,23.8,174506287,3005842242,0
2023-07-31,24.3,24.8,18.6,21.75,128005176,2699367481,0
2023-08-31,22.15,22.5,16.82,18.1,81171746,1534726305,0
2023-09-30,18.6,26.2,16.9,25.0,79549926,1637150718,0
2023-10-31,25.55,29.2,21.65,27.8,85580010,2198969555,0
2023-11-30,27.6,32.2,19.8,20.45,148523756,3908960964,0
2023-12-31,20.8,21.6,18.1,20.9,59052546,1152924668,0
2024-01-31,20.8,21.35,15.46,15.68,56687772,1038387769,0
2024-02-29,15.98,25.25,14.34,24.15,74835498,1442315874,0
2024-03-31,23.95,30.65,20.95,23.5,125796211,3209864574,0
2024-04-30,24.0,27.2,21.3,24.45,73011787,1747425252,0
2024-05-31,24.45,27.1,21.65,22.05,75323522,1823038148,0
2024-06-30,22.5,22.9,19.52,19.58,36485010,759139498,0
2024-07-31,19.6,20.9,18.18,19.54,27298916,529380418,0
2024-08-31,19.7,22.7,18.18,20.7,34962178,701074588,0
2024-09-30,21.1,27.45,20.75,27.15,60196677,1453318966,0
2024-10-31,26.95,37.15,22.85,31.5,118737536,3539754454,0
2024-11-30,32.0,40.5,30.1,34.3,112285232,4023964553,0
2024-12-31,34.9,52.15,34.8,48.4,105271346,4830942165,0
2025-01-31,48.65,52.85,37.2,40.3,124485114,5408513858,0
2025-02-28,38.5,49.45,36.3,46.8,88196775,3805307820,0
2025-03-31,47.45,69.0,47.2,53.55,129609028,7343196639,0
2025-04-30,53.5,59.45,41.35,49.25,115342188,5575228851,0
2025-05-31,50.0,51.15,41.4,44.15,79900690,3630831818,0
2025-06-30,42.0,63.75,41.55,62.2,184974193,9767737547,0
2025-07-31,64.7,77.55,62.65,63.9,182141387,12658813661,0
2025-08-31,64.45,75.15,61.5,63.55,127392553,8780178051,0
2025-09-30,64.0,66.35,54.25,56.3,109253011,6474318744,0
2025-10-31,57.9,58.6,47.5,48.98,68334859,3543540462,0
2025-11-30,49.54,51.2,42.72,47.14,67358106,3127374112,0
2025-12-31,47.58,50.3,36.7,36.98,83989426,3710859535,0
2026-01-31,37.28,40.72,36.84,39.16,19039034,751848061,0
