datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,3.51,3.58,3.5,3.56,9180000,32622770,0
2020-01-03,3.56,3.79,3.56,3.75,26109000,96710970,0
2020-01-06,3.82,3.88,3.71,3.81,24699532,93727316,0
2020-01-07,3.8,3.83,3.7,3.72,8101000,30350261,0
2020-01-08,3.76,3.84,3.72,3.74,19665550,74180311,0
2020-01-09,3.74,3.74,3.66,3.68,11490000,42363410,0
2020-01-10,3.68,3.76,3.65,3.71,34758000,128642660,0
2020-01-13,3.71,3.74,3.66,3.7,11197899,41327937,0
2020-01-14,3.73,3.75,3.66,3.71,10121000,37404220,0
2020-01-15,3.72,3.72,3.61,3.62,13012446,47321611,0
2020-01-16,3.62,3.67,3.59,3.59,11631987,42025672,0
2020-01-17,3.61,3.62,3.55,3.59,14462580,51740436,0
2020-01-20,3.59,3.62,3.56,3.59,9794526,35167308,0
2020-01-21,3.6,3.6,3.34,3.37,30469000,104889910,0
2020-01-22,3.42,3.5,3.34,3.49,9193000,31574740,0
2020-01-23,3.46,3.46,3.28,3.32,10085000,33624580,0
2020-01-24,3.35,3.46,3.3,3.45,5138148,17507996,0
2020-01-29,3.3,3.37,3.29,3.33,12823000,42622830,0
2020-01-30,3.33,3.38,3.25,3.3,11231000,37149197,0
2020-01-31,3.36,3.37,3.24,3.26,9326009,30779199,0
2020-02-03,3.22,3.22,3.13,3.18,17966043,56859382,0
2020-02-04,3.19,3.27,3.15,3.18,17030748,54334018,0
2020-02-05,3.2,3.31,3.2,3.24,9081048,29549191,0
2020-02-06,3.24,3.37,3.24,3.3,23612500,78203260,0
2020-02-07,3.3,3.32,3.24,3.29,8446250,27603275,0
2020-02-10,3.26,3.32,3.25,3.29,8124000,26729640,0
2020-02-11,3.3,3.31,3.24,3.25,5853000,19106730,0
2020-02-12,3.25,3.32,3.23,3.3,7117639,23445806,0
2020-02-13,3.31,3.4,3.3,3.33,8903000,29807520,0
2020-02-14,3.35,3.37,3.3,3.32,3853000,12846000,0
2020-02-17,3.31,3.51,3.31,3.49,21279000,73568135,0
2020-02-18,3.5,3.54,3.43,3.5,14193000,49623000,0
2020-02-19,3.53,3.64,3.48,3.56,15508750,55500855,0
2020-02-20,3.54,3.63,3.52,3.58,16733000,59773500,0
2020-02-21,3.51,3.58,3.5,3.5,8919000,31514460,0
2020-02-24,3.5,3.5,3.36,3.43,14938000,51134050,0
2020-02-25,3.4,3.44,3.33,3.38,22043000,74304350,0
2020-02-26,3.34,3.59,3.33,3.45,20736473,72210475,0
2020-02-27,3.47,3.53,3.44,3.5,14442232,50383065,0
2020-02-28,3.43,3.47,3.34,3.39,22550000,76584395,0
2020-03-02,3.39,3.56,3.39,3.49,14096910,49331258,0
2020-03-03,3.52,3.56,3.44,3.45,11219719,39338207,0
2020-03-04,3.49,3.49,3.26,3.3,33112845,109994974,0
2020-03-05,3.33,3.35,3.28,3.3,17799000,58855120,0
2020-03-06,3.28,3.29,3.22,3.22,12976147,42151217,0
2020-03-09,3.16,3.18,3.08,3.08,21354000,66811314,0
2020-03-10,3.08,3.13,3.02,3.1,13416008,41336701,0
2020-03-11,3.1,3.26,3.09,3.12,24365008,77234094,0
2020-03-12,3.08,3.1,3.0,3.01,17751884,53909442,0
2020-03-13,2.88,3.08,2.83,3.07,23489684,69196948,0
2020-03-16,2.99,3.05,2.91,2.96,26928000,80452687,0
2020-03-17,2.91,3.04,2.87,3.01,23233394,68986549,0
2020-03-18,2.97,3.06,2.9,2.91,17661831,52744010,0
2020-03-19,2.89,2.95,2.75,2.84,30012229,84655104,0
2020-03-20,2.89,2.95,2.75,2.83,41846554,117788626,0
2020-03-23,2.77,2.77,2.63,2.71,19967044,53699560,0
2020-03-24,2.75,2.81,2.71,2.8,15800115,43689081,0
2020-03-25,2.9,2.95,2.78,2.83,24546476,69470631,0
2020-03-26,2.84,2.96,2.82,2.92,22587000,65460790,0
2020-03-27,2.93,2.98,2.86,2.9,12525000,36323770,0
2020-03-30,2.87,2.96,2.8,2.96,13052800,38064732,0
2020-03-31,3.0,3.03,2.93,2.99,12936000,38363470,0
2020-04-01,2.92,3.0,2.88,2.89,12432666,36374558,0
2020-04-02,2.88,2.93,2.84,2.93,9194000,26474950,0
2020-04-03,2.86,2.91,2.83,2.83,2363190,6749717,0
2020-04-06,2.85,2.87,2.77,2.83,4100000,11547860,0
2020-04-07,2.88,2.97,2.88,2.92,13789000,40176610,0
2020-04-08,2.93,2.99,2.88,2.96,11529000,34028500,0
2020-04-09,3.0,3.0,2.94,2.96,6859000,20325635,0
2020-04-14,2.93,3.06,2.93,3.01,15933000,48254190,0
2020-04-15,3.02,3.1,2.98,3.01,9683000,29435760,0
2020-04-16,2.99,3.01,2.9,2.94,18176000,53579825,0
2020-04-17,2.97,3.02,2.93,2.96,11367766,33750356,0
2020-04-20,2.98,3.03,2.94,2.97,7872000,23534745,0
2020-04-21,2.97,3.0,2.88,2.91,8816480,25793217,0
2020-04-22,2.9,2.94,2.84,2.92,6850136,19795444,0
2020-04-23,2.96,3.09,2.95,3.04,19085621,57934245,0
2020-04-24,3.04,3.1,3.0,3.03,14183450,43407194,0
2020-04-27,3.05,3.1,2.99,3.02,6513160,19707370,0
2020-04-28,3.08,3.08,2.98,3.03,3929000,11862810,0
2020-04-29,3.04,3.1,3.03,3.06,4532116,13884841,0
2020-05-04,3.0,3.01,2.92,2.94,7607116,22433014,0
2020-05-05,2.95,2.97,2.89,2.92,3958000,11522175,0
2020-05-06,2.97,3.05,2.97,3.0,11782142,35516531,0
2020-05-07,3.0,3.05,2.99,3.01,7205355,21703279,0
2020-05-08,3.06,3.12,3.02,3.05,11956000,36713590,0
2020-05-11,3.07,3.18,3.06,3.13,9828000,30747285,0
2020-05-12,3.13,3.14,3.08,3.1,5389656,16729283,0
2020-05-13,3.06,3.13,3.06,3.07,5744000,17745340,0
2020-05-14,3.07,3.09,3.03,3.06,6004000,18324450,0
2020-05-15,3.08,3.08,3.0,3.03,7603000,23004317,0
2020-05-18,3.07,3.18,3.03,3.15,16120000,50423186,0
2020-05-19,3.19,3.41,3.18,3.39,28159000,93378320,0
2020-05-20,3.41,3.41,3.26,3.34,15177000,50325120,0
2020-05-21,3.37,3.37,3.25,3.27,11215564,36854958,0
2020-05-22,3.3,3.31,3.14,3.2,16540000,53280995,0
2020-05-25,3.28,3.34,3.23,3.29,17303400,56851118,0
2020-05-26,3.31,3.5,3.27,3.4,30935000,104233530,0
2020-05-27,3.42,3.66,3.4,3.57,40300822,143743137,0
2020-05-28,3.63,3.64,3.42,3.52,27594076,98003855,0
2020-05-29,3.5,3.63,3.48,3.53,20012480,71372755,0
2020-06-01,3.58,3.7,3.55,3.63,18041233,65595025,0
2020-06-02,3.68,3.74,3.65,3.7,18226000,67556505,0
2020-06-03,3.74,3.83,3.72,3.8,19716000,74715920,0
2020-06-04,3.86,4.01,3.8,4.01,30565731,119751500,0
2020-06-05,4.02,4.05,3.91,4.01,21617218,86126566,0
2020-06-08,4.04,4.06,3.9,3.99,25781000,101932625,0
2020-06-09,4.0,4.03,3.95,3.99,13472331,53866704,0
2020-06-10,3.99,3.99,3.89,3.96,22571907,88716445,0
2020-06-11,3.96,4.01,3.93,4.0,15063311,59907330,0
2020-06-12,3.9,4.01,3.88,4.01,14100826,55790095,0
2020-06-15,3.95,4.19,3.95,4.0,43116873,174675668,0
2020-06-16,4.07,4.08,3.94,3.96,24468000,97444050,0
2020-06-17,4.02,4.06,3.82,3.88,39603676,154246030,0
2020-06-18,3.88,3.88,3.75,3.81,27038300,102323367,0
2020-06-19,3.81,3.84,3.71,3.73,19713661,73854762,0
