datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,3.51,3.88,3.24,3.26,292488677,1051733334,0
2020-02-29,3.22,3.64,3.13,3.39,281329683,953081107,0
2020-03-31,3.39,3.56,2.63,2.99,450677648,1357858285,0
2020-04-30,2.92,3.1,2.77,3.06,187208585,556617827,0
2020-05-31,3.0,3.66,2.89,3.53,300434611,992906238,0
2020-06-30,3.58,4.19,3.51,3.51,449345557,1725800209,0
2020-07-31,3.54,5.13,3.52,4.61,1066882256,4834564971,0
2020-08-31,4.66,5.75,4.61,4.84,833722050,4274475586,0
2020-09-30,4.86,5.07,4.15,4.41,345906515,1600959856,0
2020-10-31,4.44,4.7,3.72,3.99,287990670,1193126345,0
2020-11-30,4.18,4.86,4.02,4.72,537231664,2379063198,0
2020-12-31,4.75,5.47,4.19,5.41,570176176,2752485442,0
2021-01-31,5.6,8.13,5.57,5.81,1759184307,12023037072,0
2021-02-28,5.83,6.36,5.22,5.25,654084979,3830082851,0
2021-03-31,5.33,5.81,4.58,5.21,663750754,3377451744,0
2021-04-30,5.2,5.54,5.0,5.0,268268631,1409942687,0
2021-05-31,5.0,5.45,4.72,5.39,325739029,1665019317,0
2021-06-30,5.42,5.87,4.9,5.14,459972529,2488494954,0
2021-07-31,5.15,5.92,4.76,5.82,708742497,3734044471,0
2021-08-31,5.9,6.82,5.14,6.52,1194061010,7133291042,0
2021-09-30,6.52,6.52,4.77,4.92,443824569,2508665434,0
2021-10-31,4.92,5.11,4.67,4.96,297139085,1448615821,0
2021-11-30,4.99,5.68,4.89,5.14,449052263,2393977368,0
2021-12-31,5.14,5.63,5.0,5.39,239058164,1254148640,0
2022-01-31,5.4,5.72,4.3,4.38,360837490,1834639361,0
2022-02-28,4.38,4.89,4.38,4.84,218435589,1023091806,0
2022-03-31,4.85,4.95,3.51,4.35,313571201,1331964932,0
2022-04-30,4.37,4.49,3.71,4.3,164061045,677701959,0
2022-05-31,4.2,4.64,3.87,4.52,177148358,748479462,0
2022-06-30,4.5,4.68,3.86,4.49,297346893,1276262361,0
2022-07-31,4.51,4.65,4.09,4.19,144940764,627223278,0
2022-08-31,4.17,4.46,3.77,3.83,279565708,1140886643,0
2022-09-30,3.81,3.88,2.96,3.04,176847506,620735321,0
2022-10-31,3.0,3.62,2.85,3.44,266860542,883767594,0
2022-11-30,3.48,3.79,3.28,3.66,343192997,1220801760,0
2022-12-31,3.7,3.88,3.32,3.51,323003476,1163457441,0
2023-01-31,3.53,4.39,3.45,4.07,372905975,1461884723,0
2023-02-28,4.1,4.35,3.73,3.74,291036214,1161725606,0
2023-03-31,3.75,4.53,3.75,4.12,458750576,1953653303,0
2023-04-30,4.12,4.44,4.02,4.23,200249781,831842912,0
2023-05-31,4.3,4.66,3.76,3.79,269250893,1146239811,0
2023-06-30,3.79,4.08,3.6,3.8,164374727,635261175,0
2023-07-31,3.8,3.97,3.75,3.9,117677369,454876730,0
2023-08-31,3.9,3.97,3.37,3.52,220364740,792550911,0
2023-09-30,3.54,3.73,3.49,3.72,109784215,397846227,0
2023-10-31,3.72,3.73,3.29,3.54,100199219,355394938,0
2023-11-30,3.56,3.7,3.45,3.54,101790716,365765123,0
2023-12-31,3.51,3.51,3.18,3.35,112456781,372373038,0
2024-01-31,3.36,3.4,2.75,2.89,197138731,595195266,0
2024-02-29,2.86,3.28,2.72,3.21,132978696,409224593,0
2024-03-31,3.2,3.54,2.98,3.08,178647005,579389689,0
2024-04-30,3.1,3.47,2.92,3.38,179477349,574282696,0
2024-05-31,3.38,4.06,3.26,3.54,299806093,1118705178,0
2024-06-30,3.58,3.8,3.35,3.51,173471245,622789834,0
2024-07-31,3.51,3.91,3.47,3.82,212730985,777334851,0
2024-08-31,3.84,3.9,3.26,3.34,216238865,776415958,0
2024-09-30,3.34,3.85,3.03,3.8,260534201,872718865,0
2024-10-31,3.9,5.33,3.64,4.19,1188651693,5069570349,0
2024-11-30,4.19,4.72,3.66,3.78,621652814,2637331911,0
2024-12-31,3.79,4.01,3.57,3.86,318342484,1202466375,0
2025-01-31,3.86,3.86,3.56,3.62,217853507,804688752,0
2025-02-28,3.62,4.25,3.49,3.86,542008560,2167019519,0
2025-03-31,3.89,4.62,3.85,3.9,776111974,3315180266,0
2025-04-30,3.93,4.02,3.02,3.56,1321348145,4620358687,0
2025-05-31,3.55,4.39,3.55,3.95,1472393347,5882321286,0
2025-06-30,3.98,4.51,3.81,4.43,954188573,3970454864,0
2025-07-31,4.43,4.96,4.21,4.64,853301604,3881570731,0
2025-08-31,4.68,5.01,4.35,4.42,996596890,4649081666,0
2025-09-30,4.36,4.43,3.88,4.36,1071132714,4393580692,0
2025-10-31,4.36,4.51,3.96,3.96,653036115,2779162953,0
2025-11-30,3.99,4.09,3.75,3.88,564081263,2214938890,0
2025-12-31,3.91,4.12,3.75,3.97,407664111,1602851898,0
2026-01-31,3.97,4.66,3.95,4.39,422736850,1826667980,0
