datetime,open,high,low,close,volume,turnover,open_interest
2023-03-10,17.02,17.14,16.56,17.14,13967684,237289461,0
2023-03-13,17.02,17.12,16.18,17.08,6127500,103955230,0
2023-03-14,16.96,17.68,16.68,17.34,1803000,30980870,0
2023-03-15,17.34,17.58,17.12,17.12,320000,5538940,0
2023-03-16,17.0,17.06,16.8,17.0,270000,4592850,0
2023-03-17,17.0,17.08,16.78,16.86,215500,3638550,0
2023-03-20,16.86,17.1,16.1,16.86,904500,15092350,0
2023-03-21,16.84,16.9,16.6,16.6,605000,10131240,0
2023-03-22,16.6,16.78,16.46,16.52,354500,5886000,0
2023-03-23,16.52,16.7,16.32,16.66,464500,7658850,0
2023-03-24,16.56,16.76,16.52,16.52,282500,4699480,0
2023-03-27,16.54,16.76,16.46,16.46,470000,7797720,0
2023-03-28,16.44,16.6,15.7,16.2,368000,6034270,0
2023-03-29,16.2,16.32,15.46,16.2,701000,11605820,0
2023-03-30,16.2,16.34,15.64,15.64,94500,1509591,0
2023-03-31,15.66,17.5,15.0,17.18,2757300,46457532,0
2023-04-03,17.18,17.58,16.88,17.12,3750500,63833160,0
2023-04-04,17.02,17.2,16.26,16.7,161000,2722490,0
2023-04-06,16.8,16.94,15.54,16.68,145500,2407110,0
2023-04-11,15.9,16.8,15.86,15.98,123000,1986830,0
2023-04-12,16.38,16.38,15.62,15.68,131000,2086480,0
2023-04-13,15.68,15.7,15.4,15.7,148500,2306610,0
2023-04-14,15.78,15.86,15.48,15.5,128000,2005740,0
2023-04-17,15.36,15.54,14.72,15.2,191500,2897600,0
2023-04-18,15.02,15.42,14.76,15.42,161000,2431620,0
2023-04-19,15.3,15.72,15.26,15.7,136500,2112930,0
2023-04-20,15.66,15.8,15.52,15.8,83000,1301620,0
2023-04-21,15.82,15.96,15.6,15.94,120000,1893760,0
2023-04-24,16.0,16.16,16.0,16.1,128000,2059610,0
2023-04-25,15.96,16.5,15.94,16.5,129500,2088300,0
2023-04-26,16.8,17.0,16.4,17.0,2013500,34170030,0
2023-04-27,17.0,17.2,16.84,17.04,125000,2126130,0
2023-04-28,16.98,17.2,16.5,17.2,363000,6184690,0
2023-05-02,17.18,17.2,16.7,16.88,121000,2041790,0
2023-05-03,16.72,17.04,16.72,16.88,126000,2134670,0
2023-05-04,16.94,16.96,16.7,16.96,136500,2298370,0
