datetime,open,high,low,close,volume,turnover,open_interest
2023-03-10,17.02,17.14,16.56,17.14,13967684,237289461,0
2023-03-17,17.02,17.68,16.18,16.86,8736000,148706440,0
2023-03-24,16.86,17.1,16.1,16.52,2611000,43467920,0
2023-03-31,16.54,17.5,15.0,17.18,4390800,73404933,0
2023-04-07,17.18,17.58,15.54,16.68,4057000,68962760,0
2023-04-14,15.9,16.8,15.4,15.5,530500,8385660,0
2023-04-21,15.36,15.96,14.72,15.94,692000,10637530,0
2023-04-28,16.0,17.2,15.94,17.2,2759000,46628760,0
2023-05-05,17.18,17.2,16.7,16.86,506500,8554000,0
2023-05-12,16.84,16.96,16.36,16.54,773500,12884510,0
2023-05-19,16.64,16.78,16.14,16.28,674500,11095840,0
2023-05-26,16.36,16.52,16.0,16.26,527500,8535200,0
2023-06-02,16.3,16.46,15.72,16.32,612500,9959150,0
2023-06-09,16.4,16.98,16.14,16.8,833500,13751400,0
2023-06-16,16.7,16.8,15.9,16.3,1549000,25738710,0
2023-06-23,16.4,16.88,16.1,16.8,643500,10504258,0
2023-06-30,16.9,17.44,16.0,16.82,975500,16051990,0
2023-07-07,16.68,17.02,15.82,16.2,796000,12926900,0
2023-07-14,16.2,16.48,16.0,16.18,1935000,32305050,0
2023-07-21,16.2,16.28,15.32,16.0,585500,9353293,0
2023-07-28,15.96,16.42,15.9,16.34,716000,11507910,0
2023-08-04,16.3,16.52,16.1,16.5,732500,11995770,0
2023-08-11,16.4,16.78,15.64,16.22,2425500,40714170,0
2023-08-18,16.04,16.4,16.0,16.02,720500,11642435,0
2023-08-25,16.0,16.7,15.9,16.52,868000,14120245,0
2023-09-01,16.54,17.4,16.26,17.4,1833000,31300723,0
2023-09-08,17.6,18.36,15.4,15.52,1636000,27341391,0
2023-09-15,15.22,15.76,13.52,14.8,3659500,57308516,0
2023-09-22,14.8,17.0,14.68,15.68,1318500,20666100,0
2023-09-29,15.1,15.8,14.76,15.08,1605768,24694448,0
2023-10-06,14.9,15.6,14.22,15.42,951500,14087930,0
2023-10-13,15.08,15.62,13.24,13.4,964000,13911440,0
2023-10-20,12.52,13.5,11.76,12.3,1819500,23258665,0
2023-10-27,12.34,13.78,12.0,12.24,901500,11242770,0
2023-11-03,12.26,13.18,12.0,12.84,1082500,13593250,0
2023-11-10,13.0,13.66,12.38,13.34,1296000,16588870,0
2023-11-17,12.78,13.64,12.76,12.92,1128500,14844080,0
2023-11-24,12.94,13.14,12.64,12.8,1229500,15826200,0
2023-12-01,12.96,12.96,11.92,12.64,1426000,17805790,0
2023-12-08,12.32,13.56,12.32,13.3,1307000,17147720,0
2023-12-15,13.18,13.56,12.92,13.12,1157000,15342220,0
2023-12-22,12.84,13.16,11.58,11.94,2373000,32238945,0
2023-12-29,12.1,12.2,11.5,11.9,767000,9127500,0
2024-01-05,12.0,12.38,11.78,12.0,806000,9674180,0
2024-01-12,12.3,12.3,11.58,11.76,725000,8621246,0
2024-01-19,11.68,11.76,9.85,10.44,656000,7167975,0
2024-01-26,10.52,10.8,10.0,10.04,591500,6143800,0
2024-02-02,10.52,10.86,10.14,10.68,757000,7916560,0
2024-02-09,10.98,10.98,8.4,9.0,2135500,22428170,0
2024-02-16,9.18,9.72,8.85,9.42,328500,3054045,0
2024-02-23,9.48,9.94,9.33,9.67,577000,5559145,0
2024-03-01,9.37,10.82,8.48,9.56,599000,5649020,0
2024-03-08,9.52,10.44,9.13,9.18,590000,5684515,0
2024-03-15,9.18,9.72,9.15,9.16,561000,5246060,0
2024-03-22,9.55,9.76,9.02,9.7,998000,9443165,0
2024-03-29,9.2,12.82,8.8,9.9,4158500,41577780,0
2024-04-05,9.8,11.4,9.07,10.0,4399000,45014885,0
2024-04-12,10.0,10.4,8.91,9.41,9275500,88431325,0
2024-04-19,9.44,10.82,9.3,10.6,8917300,89016241,0
2024-04-26,10.78,11.14,10.24,11.06,7462000,80442460,0
2024-05-03,11.08,11.6,10.98,11.44,7397500,83371070,0
2024-05-10,11.44,12.46,11.3,12.36,9217500,107715910,0
2024-05-17,12.4,12.78,11.04,11.66,10078500,120891390,0
2024-05-24,11.68,12.64,11.12,12.5,9464000,110708479,0
2024-05-31,12.4,12.76,12.08,12.48,12004500,149559740,0
2024-06-07,12.5,12.7,10.94,11.1,12743500,152481490,0
2024-06-14,11.3,11.32,9.1,9.56,9640000,95756083,0
2024-06-21,9.6,9.6,8.96,9.32,7276400,65483150,0
2024-06-28,9.3,9.35,8.6,9.13,3513500,31420570,0
2024-07-05,9.1,9.52,8.76,9.39,5257100,46768347,0
2024-07-12,9.2,9.9,9.1,9.17,2212000,21117290,0
2024-07-19,9.11,9.67,8.62,9.2,7418500,67415210,0
2024-07-26,9.25,9.76,9.18,9.34,1569500,14825560,0
2024-08-02,9.34,9.9,8.92,8.92,1239000,11496235,0
2024-08-09,9.2,9.2,7.7,7.86,1589500,13124725,0
2024-08-16,7.77,8.18,6.62,7.1,1526500,11712585,0
2024-08-23,7.4,7.4,6.87,7.07,1586500,11149215,0
2024-08-30,7.07,7.1,6.71,6.99,1611000,11196830,0
2024-09-06,7.06,7.07,6.04,6.51,1745500,11232640,0
2024-09-13,6.5,6.6,6.13,6.5,3015000,19289065,0
2024-09-20,6.85,7.2,6.22,6.49,3051000,19679640,0
2024-09-27,6.5,10.78,5.66,8.86,23118258,193340792,0
2024-10-04,10.0,18.0,9.56,16.24,45393320,600751402,0
2024-10-11,18.66,21.15,9.6,10.0,99809500,1583390657,0
2024-10-18,10.1,10.88,7.91,10.08,67151500,611043927,0
2024-10-25,10.3,15.3,9.59,13.34,65265500,839797525,0
2024-11-01,13.7,16.58,13.7,15.12,22731500,339372340,0
2024-11-08,15.28,24.5,14.62,20.05,108094530,2133835093,0
2024-11-15,19.54,29.6,19.52,24.8,81058494,2057887120,0
2024-11-22,25.2,29.75,22.75,22.75,40820792,1063359325,0
2024-11-29,22.95,26.5,20.25,23.4,42114950,954668706,0
2024-12-06,22.85,28.75,22.85,25.0,37926155,990348272,0
2024-12-13,25.5,31.8,23.6,25.5,36387500,996165239,0
2024-12-20,25.5,26.35,23.9,24.55,14372106,357275218,0
2024-12-27,25.05,25.65,23.6,25.15,6870000,170069803,0
2025-01-03,25.75,27.0,22.2,23.1,12842148,324375469,0
2025-01-10,22.5,23.7,20.45,21.25,10005000,219566075,0
2025-01-17,20.3,23.35,20.3,22.65,12380500,277988634,0
2025-01-24,23.5,25.25,22.75,24.15,9471500,227462450,0
2025-01-31,24.4,25.05,22.5,22.55,1454500,34798076,0
2025-02-07,21.9,26.95,21.25,26.15,11685600,290649425,0
2025-02-14,27.3,28.7,24.8,25.1,20792044,559726439,0
2025-02-21,26.6,30.25,26.3,29.15,28338898,798767340,0
2025-02-28,30.15,39.85,28.75,34.3,49693422,1745471613,0
2025-03-07,34.3,40.0,33.3,38.8,23810850,904726223,0
2025-03-14,39.5,44.75,36.9,44.5,29736972,1235795124,0
2025-03-21,45.0,47.4,39.8,40.55,18874000,828754536,0
2025-03-28,41.85,42.0,37.25,37.45,14659500,573969129,0
2025-04-04,38.25,39.25,34.8,36.85,12370534,451261746,0
2025-04-11,33.15,34.7,28.1,32.15,25546294,790694080,0
2025-04-18,32.8,33.45,29.75,30.0,4899035,154794261,0
2025-04-25,31.1,37.55,30.15,35.85,14270770,489579131,0
2025-05-02,36.0,37.5,34.8,37.05,5876517,211475127,0
2025-05-09,36.9,41.55,36.9,39.5,13748298,545109976,0
2025-05-16,39.5,43.25,38.15,39.1,14690788,599306854,0
2025-05-23,38.5,41.15,38.05,38.5,7584314,296716600,0
2025-05-30,38.5,42.35,37.35,41.6,11850000,475511409,0
2025-06-06,41.0,43.9,39.3,41.9,8878092,374281087,0
2025-06-13,43.15,44.4,39.25,39.95,13752826,563370933,0
2025-06-20,40.5,41.25,37.9,38.15,7768830,305505485,0
2025-06-27,38.15,49.3,37.5,47.15,31719345,1429707765,0
2025-07-04,47.15,48.6,41.2,43.4,13124308,581354118,0
2025-07-11,43.7,53.0,43.1,50.55,28608436,1403949344,0
2025-07-18,54.0,54.0,40.1,46.05,76023170,3311780583,0
2025-07-25,46.7,52.05,46.5,48.4,31965100,1572996152,0
2025-08-01,48.4,55.1,48.0,50.15,40609413,2114956698,0
2025-08-08,49.0,52.25,44.6,45.5,27912138,1339956330,0
2025-08-15,45.5,60.5,44.4,59.85,47948882,2526175050,0
2025-08-22,60.0,76.8,60.0,74.8,62502655,4350949200,0
2025-08-29,77.3,84.05,69.15,76.25,40441372,3078033389,0
2025-09-05,79.1,79.1,65.7,70.25,30754697,2225145056,0
2025-09-12,71.45,76.4,67.25,71.35,21930323,1581617912,0
2025-09-19,71.6,72.1,64.2,66.45,30215324,2039262128,0
2025-09-26,66.6,70.35,62.75,68.45,21926352,1464593424,0
2025-10-03,69.75,78.1,68.0,77.05,19532036,1442308644,0
2025-10-10,76.15,78.95,68.2,70.6,13047080,949817255,0
2025-10-17,65.75,70.1,61.0,61.7,19695282,1287431019,0
2025-10-24,63.25,63.5,56.35,60.65,15100888,908064509,0
2025-10-31,62.95,64.55,54.5,55.25,18076666,1065445063,0
2025-11-07,55.5,56.3,50.3,53.8,20106910,1069168992,0
2025-11-14,56.0,61.6,54.5,61.3,19068437,1101184383,0
2025-11-21,61.35,62.15,51.85,52.9,19253325,1089470463,0
