datetime,open,high,low,close,volume,turnover,open_interest
2023-12-31,89.9,93.45,88.25,90.85,1657500,149800267,0
2024-01-31,90.7,96.5,69.8,91.3,1985490,177081124,0
2024-02-29,90.95,99.85,81.4,97.7,516755,48157667,0
2024-03-31,98.6,328.0,93.75,226.2,19139452,3958694023,0
2024-04-30,230.0,239.8,151.1,184.5,6391844,1188768684,0
2024-05-31,184.5,207.0,152.6,163.9,3992225,703919675,0
2024-06-30,167.7,176.2,151.1,153.0,2522350,406996906,0
2024-07-31,154.0,168.8,97.65,109.7,4801690,568726021,0
2024-08-31,110.1,110.1,80.65,92.25,5240118,485753370,0
2024-09-30,92.25,117.0,79.0,111.3,7008070,659295368,0
2024-10-31,118.0,126.0,83.0,93.4,32328255,3328460761,0
2024-11-30,94.55,117.1,80.05,85.85,38332991,3749722466,0
2024-12-31,88.2,107.8,54.6,54.95,96067197,7526997462,0
2025-01-31,54.95,75.95,40.8,71.3,259750501,14506328430,0
2025-02-28,72.05,113.0,69.15,90.35,345403870,31070448558,0
2025-03-31,93.5,113.3,76.25,78.6,268213201,25951899472,0
2025-04-30,80.3,89.15,57.6,87.0,187768916,14047845687,0
2025-05-31,86.95,103.9,77.6,83.7,192554651,17353394764,0
2025-06-30,83.7,85.7,73.5,82.9,111428197,9068562659,0
2025-07-31,83.2,94.95,75.5,90.0,232137990,20071022241,0
2025-08-31,90.3,102.2,87.2,95.7,228831950,21570919216,0
2025-09-30,99.25,155.2,97.4,154.1,411158327,49024014384,0
2025-10-31,154.9,161.0,121.5,137.7,209116223,28702835712,0
2025-11-30,136.4,139.9,105.1,113.0,168552566,20365498336,0
2025-12-31,113.0,132.0,105.9,126.3,162735769,18825465584,0
2026-01-31,127.0,132.2,124.4,126.7,36617447,4673362192,0
