datetime,open,high,low,close,volume,turnover,open_interest
2020-12-31,77.1,96.45,61.2,81.35,206886626,15726738067,0
2021-01-31,81.3,88.5,72.8,74.0,92363064,7263180581,0
2021-02-28,73.6,107.6,72.5,89.9,68898997,6278186349,0
2021-03-31,93.05,99.9,46.65,59.35,170837257,10998033781,0
2021-04-30,59.35,70.8,56.6,64.3,64342263,4131623176,0
2021-05-31,64.45,70.9,54.6,69.5,47739068,2995174388,0
2021-06-30,69.5,78.15,60.8,77.0,85959175,5878245505,0
2021-07-31,77.0,77.25,54.55,56.9,82273553,5436989699,0
2021-08-31,57.2,60.5,50.0,58.75,137816922,7478840757,0
2021-09-30,58.75,63.65,51.6,53.25,99532573,5837803465,0
2021-10-31,53.25,57.0,45.15,45.95,67297486,3470570373,0
2021-11-30,45.95,61.5,45.3,53.9,208552650,11620939244,0
2021-12-31,53.35,55.8,40.85,44.7,89407398,4224374957,0
2022-01-31,44.7,49.4,37.1,38.45,137040858,5985024062,0
2022-02-28,39.0,42.8,34.35,39.15,97027611,3770665551,0
2022-03-31,39.15,42.35,27.45,34.4,207795641,6957025672,0
2022-04-30,33.4,38.4,30.65,36.2,111420597,3854496785,0
2022-05-31,36.2,37.05,27.85,30.25,210548235,6454053662,0
2022-06-30,30.6,39.95,30.5,37.9,172898767,6104856215,0
2022-07-31,37.9,38.85,17.56,18.0,319417779,7904402502,0
2022-08-31,17.88,20.8,16.9,20.45,191693204,3573653652,0
2022-09-30,20.4,20.85,14.26,14.44,127086293,2229355710,0
2022-10-31,14.44,16.72,9.95,10.16,203947316,2492911970,0
2022-11-30,10.3,17.34,10.14,17.34,249402968,3487034079,0
2022-12-31,18.0,22.65,16.6,19.82,254389584,4920608311,0
2023-01-31,19.7,28.0,19.36,25.35,167074637,4051438400,0
2023-02-28,25.5,27.4,20.55,21.8,134098502,3107076419,0
2023-03-31,22.05,24.55,17.82,21.4,183406377,3791885749,0
2023-04-30,21.6,21.75,17.08,18.94,89177305,1708790861,0
2023-05-31,19.18,20.3,16.1,17.2,96623439,1765335987,0
2023-06-30,17.2,18.96,16.22,17.42,101832586,1786713200,0
2023-07-31,17.66,23.15,16.68,21.95,147551688,2904509201,0
2023-08-31,21.7,26.9,20.2,25.5,156508807,3600561077,0
2023-09-30,25.6,26.6,22.5,23.15,96205568,2330044348,0
2023-10-31,23.05,25.0,21.2,21.55,79627672,1842570983,0
2023-11-30,21.55,25.2,21.15,23.45,76334686,1776789904,0
2023-12-31,22.85,23.45,18.7,20.25,78413445,1603779311,0
2024-01-31,20.0,20.6,16.98,17.52,103906584,1943325916,0
2024-02-29,17.52,20.5,16.9,19.58,59772414,1119746068,0
2024-03-31,19.56,29.2,19.48,28.75,159313120,4073832300,0
2024-04-30,29.2,35.5,28.2,33.9,188999798,6048293643,0
2024-05-31,33.35,38.45,33.25,37.1,151689772,5475597804,0
2024-06-30,37.45,40.85,35.95,38.25,102739068,3956201880,0
2024-07-31,38.25,42.3,34.4,41.45,115262702,4429240313,0
2024-08-31,41.5,48.25,36.5,45.85,150074233,6494581495,0
2024-09-30,46.0,55.0,45.35,53.25,113759502,5619457161,0
2024-10-31,56.95,78.0,52.5,70.5,261580504,17207023775,0
2024-11-30,70.0,92.2,67.5,89.85,170753364,13303164768,0
2024-12-31,89.95,96.9,82.35,89.65,129274670,11740613008,0
2025-01-31,89.8,96.0,79.5,94.0,126045749,11055590812,0
2025-02-28,93.15,114.5,91.0,104.2,139569060,14740450368,0
2025-03-31,104.2,160.0,103.9,156.5,249607350,33039991552,0
2025-04-30,156.5,199.0,118.8,193.8,334936459,53052241232,0
2025-05-31,191.1,235.0,176.8,220.4,232980491,47658219408,0
2025-06-30,223.6,283.4,222.2,266.6,368258956,93040434544,0
2025-07-31,268.0,272.0,239.8,246.0,243764474,61724146144,0
2025-08-31,245.6,339.8,235.4,322.4,223734247,65294424672,0
2025-09-30,318.2,319.4,251.6,266.8,346996523,95557820128,0
2025-10-31,268.0,291.4,220.2,221.6,391452255,98625494848,0
2025-11-30,220.0,232.0,192.0,224.8,303834002,64866644224,0
2025-12-31,226.6,228.0,184.6,187.7,228669407,45474197248,0
2026-01-31,189.5,207.4,189.1,197.0,53428286,10612284576,0
