datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,56.1,57.2,50.1,50.2,102564511,5562899651,0
2020-02-29,49.7,52.25,48.6,48.7,128511969,6475943788,0
2020-03-31,48.8,49.35,33.4,42.45,319853057,13114783472,0
2020-04-30,42.15,49.7,41.5,49.0,159336309,7355833274,0
2020-05-31,46.8,50.55,40.55,42.15,213595480,9732465629,0
2020-06-30,43.5,48.3,42.8,46.2,167102471,7700309117,0
2020-07-31,46.1,49.4,41.55,43.05,172640325,7806498729,0
2020-08-31,42.4,45.6,40.35,42.1,198401830,8396869849,0
2020-09-30,41.9,42.1,37.3,37.75,165074948,6643266995,0
2020-10-31,38.3,39.45,35.65,35.9,97759398,3669999244,0
2020-11-30,36.25,44.4,35.85,42.45,171921058,7144312545,0
2020-12-31,41.35,43.5,38.3,39.8,191071715,7869710194,0
2021-01-31,39.8,42.55,38.8,38.95,141030758,5713611033,0
2021-02-28,38.95,47.9,38.25,45.55,213156346,9108237866,0
2021-03-31,45.3,50.5,44.25,47.2,229754308,10861035047,0
2021-04-30,47.5,49.35,46.85,48.75,104726169,5029700648,0
2021-05-31,49.0,53.05,48.2,51.4,172095934,8586244462,0
2021-06-30,51.4,54.1,49.6,53.6,245120994,12679125646,0
2021-07-31,53.55,56.05,52.55,52.95,104750311,5642796813,0
2021-08-31,52.95,54.0,50.1,50.7,100493653,5185275204,0
2021-09-30,50.65,51.4,41.35,45.1,230431613,10646692904,0
2021-10-31,44.25,48.45,43.75,48.05,66433717,3071900987,0
2021-11-30,48.0,48.55,44.15,44.6,112722806,5247590447,0
2021-12-31,44.45,49.9,44.4,49.15,100857016,4713904203,0
2022-01-31,49.3,53.95,48.3,51.85,97590864,5044473694,0
2022-02-28,52.5,53.45,48.55,49.35,76524632,3958633190,0
2022-03-31,49.35,54.6,47.2,53.7,138010134,7051485113,0
2022-04-30,54.05,55.5,52.65,53.4,71816940,3897941364,0
2022-05-31,52.4,54.95,50.2,51.25,100866119,5317497276,0
2022-06-30,51.0,56.75,50.95,55.5,95338167,5077499530,0
2022-07-31,54.55,57.0,54.5,55.45,69834671,3890620100,0
2022-08-31,55.7,56.3,52.8,53.1,83174705,4503548010,0
2022-09-30,52.5,53.85,46.1,47.2,115015578,5803877362,0
2022-10-31,46.65,48.95,42.9,43.4,89364096,4094379637,0
2022-11-30,43.85,48.9,42.75,46.55,82883167,3839948334,0
2022-12-31,46.8,48.75,45.15,48.05,114074912,5318859997,0
2023-01-31,46.95,51.7,46.55,50.1,66478227,3310194388,0
2023-02-28,50.5,52.25,48.95,49.2,56365732,2841884539,0
2023-03-31,49.0,50.8,45.6,47.65,92762985,4449541814,0
2023-04-30,47.6,48.8,45.2,46.3,69331012,3249194590,0
2023-05-31,46.3,47.2,42.0,42.2,123516731,5483362122,0
2023-06-30,42.6,45.3,42.6,43.4,97984236,4306010623,0
2023-07-31,43.45,45.6,41.6,45.0,65653606,2853190682,0
2023-08-31,45.0,45.25,41.4,43.3,88169929,3781807796,0
2023-09-30,42.95,43.5,39.4,41.25,75127876,3077837206,0
2023-10-31,40.35,42.1,38.35,39.1,66282554,2648774043,0
2023-11-30,39.2,40.9,37.0,37.05,84001018,3255355643,0
2023-12-31,37.2,39.55,36.95,39.2,79027327,2997653777,0
2024-01-31,38.8,39.35,34.15,35.25,83774644,3034540264,0
2024-02-29,35.25,38.05,34.5,36.15,82799747,2981827224,0
2024-03-31,35.9,38.4,32.0,32.2,181847981,6292865214,0
2024-04-30,32.45,34.15,30.7,33.65,126961193,4097948847,0
2024-05-31,33.65,36.45,30.65,30.85,129507218,4392028870,0
2024-06-30,31.0,31.8,29.0,29.25,239423653,7110811639,0
2024-07-31,29.4,31.85,29.0,29.9,116650432,3495655760,0
2024-08-31,29.9,32.35,29.35,31.55,123726989,3823197220,0
2024-09-30,31.5,35.1,30.15,34.2,139977661,4520238739,0
2024-10-31,34.75,37.25,31.65,31.85,157158442,5364008765,0
2024-11-30,32.15,34.0,31.1,31.8,90641638,2906891007,0
2024-12-31,31.95,33.6,30.15,31.9,93339600,2959393221,0
2025-01-31,31.65,33.4,30.7,32.45,88376767,2819598493,0
2025-02-28,32.25,34.8,31.5,33.8,155880531,5167735243,0
2025-03-31,33.7,36.35,31.05,31.45,191996502,6409163498,0
2025-04-30,31.5,31.95,28.1,31.75,135292032,4088067416,0
2025-05-31,31.75,33.8,31.0,32.5,107328670,3496007179,0
2025-06-30,32.9,35.7,31.8,34.6,126997080,4261715333,0
2025-07-31,34.95,37.2,33.95,36.05,87808708,3124630455,0
2025-08-31,36.0,38.48,35.3,36.72,89665240,3311460539,0
2025-09-30,36.92,38.62,35.86,37.72,94259828,3501034723,0
2025-10-31,38.0,39.08,36.66,38.44,85512685,3243554980,0
2025-11-30,38.44,41.8,38.42,39.92,81889076,3261225086,0
2025-12-31,40.2,41.06,38.3,39.32,66904911,2662751672,0
2026-01-31,39.34,42.24,39.34,42.1,24504851,1011006502,0
