datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,56.1,56.8,55.5,55.65,7335928,410740081,0
2020-01-10,55.55,56.0,53.75,55.85,25233636,1383781786,0
2020-01-17,56.7,57.2,54.5,56.45,25919663,1454868665,0
2020-01-24,56.8,57.0,53.05,53.4,18953762,1027789103,0
2020-01-31,50.65,51.9,50.1,50.2,25121522,1285720016,0
2020-02-07,49.7,51.65,49.3,51.25,55667349,2807431728,0
2020-02-14,50.5,52.0,50.5,51.85,20817983,1070151177,0
2020-02-21,52.1,52.25,49.9,50.05,19963519,1016816578,0
2020-02-28,49.9,50.05,48.6,48.7,32063118,1581544305,0
2020-03-06,48.8,49.35,47.75,47.75,41705041,2022087824,0
2020-03-13,46.85,47.0,40.1,42.1,67110462,2940581936,0
2020-03-20,40.15,42.75,33.4,39.05,102803465,3956215440,0
2020-03-27,35.3,41.4,35.1,41.0,80095487,3032659152,0
2020-04-03,40.6,43.55,39.95,43.55,59816977,2519260752,0
2020-04-10,44.25,46.6,43.3,46.5,34582560,1570741696,0
2020-04-17,46.5,48.75,46.2,47.8,40707043,1936463488,0
2020-04-24,48.2,48.3,46.05,46.95,33736119,1587729147,0
2020-05-01,46.65,49.7,46.55,49.0,18632212,904877311,0
2020-05-08,46.8,48.85,46.8,48.7,46124992,2221956494,0
2020-05-15,49.0,50.55,46.1,47.0,44716879,2149436315,0
2020-05-22,46.4,48.25,42.4,42.6,55854260,2554088532,0
2020-05-29,41.75,43.2,40.55,42.15,66899349,2806984288,0
2020-06-05,43.5,46.3,42.8,46.15,53862704,2366829408,0
2020-06-12,46.8,48.3,45.05,47.0,40207520,1891724400,0
2020-06-19,45.8,48.0,45.55,48.0,33546296,1584035636,0
2020-06-26,47.9,48.15,46.65,47.3,23104640,1098061721,0
2020-07-03,47.65,47.95,45.75,47.75,33038237,1546216048,0
2020-07-10,48.05,49.4,46.0,46.1,46443544,2218449504,0
2020-07-17,46.15,46.7,44.7,44.95,28432841,1296392138,0
2020-07-24,44.0,44.95,42.95,43.3,43298034,1896079344,0
2020-07-31,43.4,43.95,41.55,43.05,37808980,1609019647,0
2020-08-07,42.4,45.6,40.35,41.45,61079709,2590759343,0
2020-08-14,41.2,43.35,40.85,43.0,53365285,2246401360,0
2020-08-21,43.0,43.75,41.75,42.15,31994609,1357596992,0
2020-08-28,42.7,43.45,41.65,41.9,41078710,1740218106,0
2020-09-04,42.45,43.0,41.1,41.1,50907393,2121730203,0
2020-09-11,41.2,41.95,40.55,40.9,30883175,1270648128,0
2020-09-18,40.9,41.7,39.9,39.9,41708912,1698832731,0
2020-09-25,39.9,40.25,37.95,38.2,32130820,1242811305,0
2020-10-02,38.2,38.45,37.3,37.75,20328165,771138676,0
2020-10-09,38.3,39.45,38.0,38.4,24377134,937603998,0
2020-10-16,38.6,39.1,37.4,37.4,24484695,930878864,0
2020-10-23,37.4,37.85,36.8,37.55,22425170,836460867,0
2020-10-30,37.9,37.9,35.65,35.9,26472399,965055515,0
2020-11-06,36.25,38.6,35.85,38.3,25432244,951919478,0
