datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,10.86,11.22,10.78,11.22,248889455,2757480816,0
2020-01-03,11.2,11.44,10.9,10.9,219547199,2446975232,0
2020-01-06,10.72,11.18,10.64,10.98,179639996,1969578912,0
2020-01-07,11.06,11.3,10.92,11.0,171287427,1899589936,0
2020-01-08,10.82,11.28,10.82,11.08,189314498,2098840128,0
2020-01-09,11.3,11.5,11.22,11.5,186855215,2125542784,0
2020-01-10,11.6,11.62,11.4,11.42,151578463,1745616304,0
2020-01-13,11.52,11.9,11.44,11.9,161150695,1895326192,0
2020-01-14,11.96,12.04,11.62,11.68,248618005,2945162624,0
2020-01-15,11.66,12.26,11.66,12.26,248326019,2977013664,0
2020-01-16,12.1,12.38,12.04,12.22,223205730,2726352464,0
2020-01-17,12.3,13.46,12.28,13.24,436141744,5672521728,0
2020-01-20,13.58,13.94,13.28,13.3,306785920,4150335344,0
2020-01-21,13.28,13.28,12.74,12.76,283025296,3656366960,0
2020-01-22,12.82,14.0,12.68,13.9,309519552,4148150592,0
2020-01-23,13.56,13.72,12.8,13.28,313410176,4154073680,0
2020-01-24,13.32,13.68,13.02,13.34,114577196,1532249984,0
2020-01-29,12.78,13.18,12.52,12.6,305449632,3907833584,0
2020-01-30,12.58,12.74,11.44,11.76,349186544,4158313568,0
2020-01-31,11.98,12.18,11.52,11.52,223262918,2640105664,0
2020-02-03,11.3,12.36,11.0,12.02,375836400,4437889024,0
2020-02-04,12.26,12.8,12.2,12.54,293328800,3676266736,0
2020-02-05,12.7,13.18,12.5,12.64,332528064,4258603856,0
2020-02-06,12.9,13.04,12.56,12.82,206710927,2660358400,0
2020-02-07,12.82,13.08,12.64,12.84,174008032,2241732176,0
2020-02-10,12.66,13.02,12.6,12.96,209946946,2705277664,0
2020-02-11,13.02,13.16,12.78,12.78,176487285,2277629712,0
2020-02-12,12.78,12.98,12.44,12.92,206694750,2631046384,0
2020-02-13,13.0,13.64,12.78,13.38,370025104,4882185472,0
2020-02-14,13.28,13.58,13.0,13.1,213335678,2820528112,0
2020-02-17,13.0,13.34,13.0,13.28,151582824,2008729568,0
2020-02-18,13.18,13.44,12.66,12.82,281500640,3673341616,0
2020-02-19,12.76,13.04,12.76,12.88,116648739,1503284464,0
2020-02-20,13.0,13.04,12.8,12.9,96554307,1247755824,0
2020-02-21,12.88,12.92,12.7,12.72,118516742,1515864800,0
2020-02-24,12.56,12.6,12.08,12.32,230243439,2826880384,0
2020-02-25,12.06,12.72,12.06,12.64,243238089,3030046928,0
2020-02-26,12.36,12.64,12.34,12.46,125562888,1571862880,0
2020-02-27,12.42,13.0,12.42,12.9,144988949,1845301408,0
2020-02-28,12.46,12.78,12.2,12.56,424688656,5304482816,0
2020-03-02,12.56,13.04,12.34,12.94,253741171,3235917104,0
2020-03-03,13.26,13.4,12.72,12.78,170657961,2228287808,0
2020-03-04,12.88,12.96,12.5,12.94,127184705,1621950000,0
2020-03-05,13.1,13.26,12.96,13.1,152699836,2008009808,0
2020-03-06,12.9,13.12,12.9,12.98,101256776,1314366720,0
2020-03-09,12.48,12.66,11.98,12.06,250250033,3078590672,0
2020-03-10,12.2,12.3,11.58,12.04,242481215,2920955120,0
2020-03-11,12.0,12.16,11.54,11.72,193249385,2284032016,0
2020-03-12,11.4,11.4,11.0,11.1,286469024,3183603152,0
2020-03-13,10.1,11.14,10.1,10.98,291997264,3094898032,0
2020-03-16,10.8,10.88,10.02,10.2,253320633,2623024832,0
2020-03-17,10.16,10.46,9.78,10.14,223426011,2258867280,0
2020-03-18,10.16,10.44,9.6,9.71,191627233,1918554384,0
2020-03-19,9.85,9.9,9.2,9.53,230414773,2189905408,0
2020-03-20,9.82,10.22,9.8,10.16,278485616,2798164496,0
2020-03-23,9.66,9.81,9.43,9.5,186372645,1789403232,0
2020-03-24,9.82,10.16,9.78,10.0,182860440,1832754832,0
2020-03-25,10.46,10.5,10.1,10.34,190150223,1964593104,0
2020-03-26,10.34,10.44,10.14,10.24,137555970,1413940224,0
2020-03-27,10.5,10.58,10.14,10.2,117460011,1215819968,0
2020-03-30,9.93,10.28,9.9,10.06,105212599,1058047360,0
2020-03-31,10.32,10.5,10.22,10.44,117140723,1216815152,0
2020-04-01,10.38,10.62,10.02,10.2,158593942,1632847504,0
2020-04-02,10.14,10.42,10.04,10.38,80611901,830018512,0
2020-04-03,10.4,10.42,10.16,10.26,73152317,751742400,0
2020-04-06,10.46,10.58,10.16,10.5,90857989,946963408,0
2020-04-07,10.6,10.74,10.12,10.48,191342565,1991333184,0
2020-04-08,10.3,10.36,10.04,10.18,186014314,1889733120,0
2020-04-09,10.22,10.28,10.06,10.14,132537620,1344657184,0
2020-04-14,10.2,10.22,9.94,10.18,174767316,1759350640,0
2020-04-15,10.3,10.8,10.24,10.48,284993344,3001137520,0
2020-04-16,10.48,10.52,10.28,10.42,121821624,1266151456,0
2020-04-17,10.58,10.68,10.32,10.4,134524610,1413128608,0
2020-04-20,10.48,10.5,10.24,10.34,69463703,716406432,0
2020-04-21,10.26,10.32,9.96,10.04,142941791,1435570624,0
2020-04-22,9.9,10.12,9.83,10.12,80169011,801453136,0
2020-04-23,10.28,10.32,10.08,10.16,101151620,1033066560,0
2020-04-24,10.2,10.2,10.0,10.0,93821990,945537680,0
2020-04-27,10.04,10.24,10.04,10.08,85644939,867827408,0
2020-04-28,10.16,10.28,10.02,10.28,97064248,987044576,0
2020-04-29,10.28,10.34,10.16,10.2,65114874,665730832,0
2020-05-04,9.98,10.04,9.93,10.0,124397182,1242750016,0
2020-05-05,10.1,10.12,9.99,10.08,64447054,647884384,0
2020-05-06,10.04,10.68,10.04,10.5,255864088,2681809136,0
2020-05-07,10.42,10.56,10.36,10.36,92024565,961251824,0
2020-05-08,10.5,11.48,10.48,11.2,364071264,4023158528,0
2020-05-11,11.5,11.84,11.36,11.5,219091895,2540018736,0
2020-05-12,11.46,11.88,11.4,11.64,157421270,1839940832,0
2020-05-13,11.64,11.9,11.5,11.82,160605331,1892238560,0
2020-05-14,11.76,12.0,11.72,11.96,170791073,2034317696,0
2020-05-15,12.0,12.3,11.94,11.96,151882125,1834035408,0
2020-05-18,12.44,12.44,11.62,12.04,269250656,3256697728,0
2020-05-19,12.4,12.82,12.1,12.66,280366416,3495235552,0
2020-05-20,12.68,12.92,12.5,12.8,204333223,2608471712,0
2020-05-21,12.96,13.26,12.54,12.7,410601264,5306163200,0
2020-05-22,12.5,12.5,11.8,11.86,284503392,3427174656,0
2020-05-25,11.72,12.3,11.54,12.26,168991873,2023872624,0
2020-05-26,12.46,12.68,12.36,12.42,157909237,1975570416,0
2020-05-27,12.44,12.56,11.96,12.08,137503555,1667442608,0
2020-05-28,12.0,12.08,11.56,11.82,165177477,1950429632,0
2020-05-29,11.8,12.1,11.66,12.02,140723266,1682599408,0
2020-06-01,12.2,12.34,12.06,12.14,145999483,1778704032,0
2020-06-02,12.2,12.5,11.96,12.46,176150846,2159968992,0
2020-06-03,12.54,12.98,12.54,12.76,210591824,2694219504,0
2020-06-04,13.0,13.0,12.52,12.66,138594400,1763302224,0
2020-06-05,12.56,13.06,12.56,13.02,236866754,3060019040,0
2020-06-08,13.1,13.46,12.78,12.86,279885632,3684348976,0
2020-06-09,13.02,13.3,12.94,12.98,170873349,2248546656,0
2020-06-10,13.06,13.18,12.92,13.14,95249882,1245822112,0
2020-06-11,13.16,13.3,12.78,12.82,145117405,1888874464,0
2020-06-12,12.44,12.8,12.3,12.8,147076355,1856642928,0
2020-06-15,12.66,12.84,12.34,12.46,118541153,1489271792,0
2020-06-16,12.8,12.98,12.7,12.9,115077649,1479280736,0
2020-06-17,12.9,12.9,12.38,12.5,187796953,2355406560,0
2020-06-18,12.44,12.72,12.34,12.66,127789410,1610150320,0
2020-06-19,12.56,12.9,12.56,12.9,186367112,2388355904,0
2020-06-22,12.76,12.96,12.52,12.56,113503823,1441878080,0
2020-06-23,12.6,12.74,12.4,12.72,98101256,1237510960,0
2020-06-24,12.78,13.96,12.76,13.88,541813152,7394097920,0
2020-06-26,13.72,13.96,13.32,13.32,187425152,2548672144,0
2020-06-29,13.3,13.46,12.9,13.0,176624198,2317141728,0
2020-06-30,13.0,13.08,12.64,12.84,182676073,2351340192,0
2020-07-02,12.94,13.64,12.88,13.6,224838647,3005574416,0
2020-07-03,13.64,14.42,13.24,14.26,359435936,5009377792,0
2020-07-06,14.44,15.0,14.3,14.98,370651600,5494360320,0
2020-07-07,15.2,15.54,14.7,14.78,365705120,5546597120,0
2020-07-08,14.88,16.1,14.88,16.1,336440240,5266226176,0
2020-07-09,16.4,16.98,16.3,16.84,408893200,6820423680,0
2020-07-10,16.84,17.5,16.42,16.88,302829632,5143693312,0
2020-07-13,17.1,17.34,16.66,17.04,192347140,3287663856,0
2020-07-14,16.7,16.72,15.8,16.42,293987120,4791206912,0
2020-07-15,16.7,16.98,15.92,16.36,211083375,3463768944,0
2020-07-16,16.32,16.36,15.04,15.08,290634848,4505026304,0
2020-07-17,15.32,15.84,15.28,15.5,155301899,2412957376,0
2020-07-20,15.7,16.0,15.12,15.82,162417931,2543323552,0
2020-07-21,16.4,16.84,16.4,16.6,199690117,3322989904,0
2020-07-22,16.42,16.76,15.64,15.64,156082490,2533920080,0
2020-07-23,15.78,16.14,15.46,15.94,181784152,2882706736,0
2020-07-24,15.46,15.76,15.0,15.1,204179763,3120405696,0
2020-07-27,15.3,15.46,14.42,14.64,174246423,2578842896,0
2020-07-28,14.9,15.12,14.66,14.86,115779167,1726291312,0
2020-07-29,14.72,15.1,14.7,14.9,92730606,1386984816,0
2020-07-30,15.0,15.28,14.76,14.76,134931632,2025664064,0
2020-07-31,15.0,15.2,14.66,14.82,93828659,1398086368,0
2020-08-03,14.94,15.26,14.58,15.02,129893003,1941291296,0
2020-08-04,15.3,15.56,14.94,15.5,185602859,2844845808,0
2020-08-05,15.6,15.66,15.22,15.58,94468870,1461681856,0
2020-08-06,15.64,15.92,15.46,15.92,140678890,2210035152,0
2020-08-07,15.9,15.92,15.0,15.44,141007404,2169163568,0
2020-08-10,15.2,15.3,15.0,15.14,82268121,1244346112,0
2020-08-11,15.28,15.38,14.86,15.02,80588390,1216498768,0
2020-08-12,15.02,15.18,14.54,15.06,132800401,1964738000,0
2020-08-13,15.26,15.48,15.14,15.2,99393377,1518257840,0
2020-08-14,15.24,15.62,15.1,15.34,97266725,1503827232,0
2020-08-17,16.12,16.66,15.82,16.2,303820944,4949195520,0
2020-08-18,16.68,17.24,16.42,17.24,326483888,5516325888,0
2020-08-19,17.2,18.34,16.8,17.82,345139296,6181217280,0
2020-08-20,18.1,18.46,17.64,18.18,274144208,4964835072,0
2020-08-21,18.4,18.62,17.84,18.16,205198036,3729218288,0
2020-08-24,18.34,18.76,18.2,18.44,193050708,3565326352,0
2020-08-25,18.5,18.62,17.86,18.12,171797942,3123269104,0
2020-08-26,18.32,19.18,18.2,19.16,381070816,7211916800,0
2020-08-27,19.96,21.75,19.88,21.35,558134368,11680690432,0
2020-08-28,21.5,23.85,21.15,22.5,608706928,13911769856,0
2020-08-31,23.35,24.3,22.7,23.5,387218784,9134779392,0
2020-09-01,23.8,25.6,23.55,25.6,385276912,9571527424,0
2020-09-02,26.6,26.95,24.7,25.7,442666624,11348558336,0
2020-09-03,25.45,25.75,23.55,23.9,399246224,9766151168,0
2020-09-04,22.15,24.95,22.0,24.5,758759872,18217173504,0
2020-09-07,24.3,25.0,23.65,24.15,443063168,10835667200,0
2020-09-08,24.5,24.7,21.8,22.4,348240832,7971420672,0
2020-09-09,21.8,22.65,20.95,22.1,253198719,5509250048,0
2020-09-10,22.5,23.3,22.3,22.45,160519149,3653251376,0
2020-09-11,22.65,23.35,22.3,23.25,162214747,3723553888,0
2020-09-14,23.45,23.95,22.85,23.55,130446043,3046729456,0
2020-09-15,22.5,22.85,22.1,22.35,644588432,14520666624,0
2020-09-16,22.45,22.85,22.25,22.75,134731396,3033174416,0
2020-09-17,22.55,22.65,21.2,21.3,231538441,5008534016,0
2020-09-18,21.45,22.15,21.4,22.05,156724342,3431094064,0
2020-09-21,22.2,22.3,20.6,20.6,187317195,3952688432,0
2020-09-22,20.65,21.25,20.3,20.45,129288851,2681560080,0
2020-09-23,20.65,21.1,20.45,20.85,101052347,2103181200,0
2020-09-24,20.55,20.55,19.8,19.84,170832138,3423884784,0
2020-09-25,20.15,20.3,19.4,19.72,136205279,2691917904,0
2020-09-28,20.1,20.8,19.94,20.2,124411418,2534263424,0
2020-09-29,20.8,20.8,20.0,20.05,89582316,1824430816,0
2020-09-30,20.5,21.15,20.15,20.45,90010677,1855660560,0
2020-10-05,21.1,21.15,20.25,20.8,70176501,1450752368,0
2020-10-06,21.05,21.7,20.95,21.4,100924903,2161441904,0
2020-10-07,21.4,21.8,20.9,21.7,79640419,1714673968,0
2020-10-08,21.5,21.6,20.3,20.85,194565470,4047393216,0
2020-10-09,21.3,21.45,20.85,20.95,115791835,2447587264,0
2020-10-12,21.0,22.75,21.0,22.7,242412550,5371186176,0
2020-10-14,22.9,23.25,22.15,23.25,209878991,4786778880,0
2020-10-15,23.0,23.55,22.3,22.45,142249601,3267333632,0
2020-10-16,22.65,23.5,22.6,23.15,130955995,3029852032,0
2020-10-19,23.5,23.9,22.15,22.2,151731427,3446946816,0
2020-10-20,22.1,22.65,21.75,22.2,92835745,2069431712,0
2020-10-21,22.35,23.1,22.25,22.4,97681450,2216086768,0
2020-10-22,22.35,22.7,21.85,22.35,77702113,1734897968,0
2020-10-23,22.35,22.55,21.55,21.85,89578040,1966338576,0
2020-10-27,21.25,21.8,21.0,21.1,135274965,2871573520,0
2020-10-28,21.2,21.95,20.95,21.4,121067243,2602024544,0
2020-10-29,20.95,22.2,20.75,21.8,121019750,2621321264,0
2020-10-30,22.3,23.1,21.9,22.0,257486304,5801409536,0
2020-11-02,22.2,22.5,21.45,22.1,139921666,3066056064,0
2020-11-03,22.4,23.0,22.2,22.2,136541260,3075473664,0
2020-11-04,22.2,24.45,21.9,23.95,373003392,8777314048,0
2020-11-05,24.7,24.95,23.55,24.25,252325220,6077592576,0
2020-11-06,24.4,25.45,24.0,25.1,255179544,6362544128,0
2020-11-09,25.7,26.7,25.3,25.55,279888416,7267924480,0
2020-11-10,25.2,25.3,23.8,24.45,226936331,5538414336,0
2020-11-11,23.9,24.35,22.3,22.45,253065768,5867948800,0
2020-11-12,23.25,24.0,22.95,23.25,140980555,3296511824,0
2020-11-13,23.3,24.7,23.15,24.25,167273056,4034368544,0
2020-11-16,24.75,25.25,24.45,25.2,146391550,3652616208,0
2020-11-17,25.15,25.15,23.65,24.1,170353185,4112029456,0
2020-11-18,24.3,24.6,23.65,24.0,109546725,2625504768,0
2020-11-19,23.7,25.4,23.45,25.2,204024563,5043298560,0
2020-11-20,25.25,26.15,25.1,25.55,218433915,5613579776,0
2020-11-23,26.0,27.8,25.9,27.6,359170320,9679587840,0
2020-11-24,28.4,28.4,26.45,27.15,286879872,7807287552,0
2020-11-25,26.5,27.6,25.7,26.15,325589504,8557374976,0
2020-11-26,26.2,26.95,25.85,26.6,143327836,3776278784,0
2020-11-27,26.6,26.7,25.9,26.05,120578792,3155033968,0
2020-11-30,26.0,26.9,25.3,26.5,247554834,6547802624,0
2020-12-01,26.75,26.8,25.8,26.15,127771101,3355415568,0
2020-12-02,23.75,24.8,23.1,24.3,1575804048,37646318080,0
2020-12-03,24.65,25.5,24.45,25.3,269780528,6758562816,0
2020-12-04,25.35,25.8,24.75,25.35,170605853,4316458752,0
2020-12-07,25.65,25.8,24.8,25.15,134779278,3385462384,0
2020-12-08,25.25,27.0,24.9,26.35,248170361,6558243328,0
2020-12-09,26.7,28.1,26.65,27.5,286080976,7868756480,0
2020-12-10,27.3,28.2,27.1,27.6,191064477,5267900160,0
2020-12-11,28.0,28.8,27.4,27.55,195337517,5468203520,0
2020-12-14,27.8,29.5,27.7,29.2,301184848,8707290112,0
