datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,10.86,14.0,10.64,11.52,4869771680,59607430160,0
2020-02-29,11.3,13.64,11.0,12.56,4492427259,57119068224,0
2020-03-31,12.56,13.4,9.2,10.44,4284014247,47250500704,0
2020-04-30,10.38,10.8,9.83,10.2,2364589718,24279700784,0
2020-05-31,9.98,13.26,9.93,12.02,3979956206,47091062656,0
2020-06-30,12.2,13.96,11.96,12.84,3782121861,48993555264,0
2020-07-31,12.94,17.5,12.88,14.82,5027819697,78266091632,0
2020-08-31,14.94,24.3,14.54,23.5,4938733958,92043229616,0
2020-09-30,23.8,26.95,19.4,20.45,5679915122,130704339392,0
2020-10-31,21.1,23.9,20.25,22.0,2430973302,53607030144,0
2020-11-30,22.2,28.4,21.45,26.5,4556966304,113934542976,0
2020-12-31,26.75,33.8,23.1,33.2,5860811719,162004513872,0
2021-01-31,33.6,35.9,28.2,29.2,5982500668,186244522608,0
2021-02-28,29.75,32.3,25.15,25.3,4300247462,121627786432,0
2021-03-31,25.7,27.35,20.65,25.75,6732197190,164423099728,0
2021-04-30,26.3,27.45,24.5,24.6,2464545183,63941497280,0
2021-05-31,24.6,29.6,24.05,29.25,3005395048,80808716288,0
2021-06-30,29.25,30.45,26.6,27.0,3053994252,87076280672,0
2021-07-31,26.8,28.65,23.7,25.35,2897427417,76227533264,0
2021-08-31,25.65,27.9,23.2,25.0,2470648842,62721609568,0
2021-09-30,24.95,25.9,20.8,21.35,2325103881,54181138656,0
2021-10-31,21.0,23.2,19.86,21.35,1455744611,31476387456,0
2021-11-30,21.1,22.0,19.02,19.28,2030626583,41162204480,0
2021-12-31,19.4,19.82,17.5,18.9,1837379035,34488837184,0
2022-01-31,19.08,19.08,15.88,16.4,1389735255,25004159280,0
2022-02-28,16.78,17.08,14.38,14.66,1185735760,18819291776,0
2022-03-31,14.66,15.48,11.38,13.94,3561526201,48687544400,0
2022-04-30,13.64,14.06,10.64,12.2,1679260015,20417947216,0
2022-05-31,11.58,12.14,10.3,12.14,1907131992,21627434016,0
2022-06-30,12.16,14.54,11.26,13.64,2617979092,33025242960,0
2022-07-31,13.62,14.28,12.26,12.34,1549938164,20189371712,0
2022-08-31,12.3,12.52,10.82,11.56,1846512542,21474983136,0
2022-09-30,11.48,11.64,8.67,8.96,1645561590,16709106144,0
2022-10-31,8.71,9.49,8.31,8.81,1808467312,16107408128,0
2022-11-30,9.0,11.0,8.88,10.32,2442849460,24250811744,0
2022-12-31,10.58,11.54,10.06,10.94,1898607883,20764980608,0
2023-01-31,10.94,13.78,10.54,12.92,1522592013,18572492976,0
2023-02-28,12.96,14.1,11.64,11.86,1745953024,22563146976,0
2023-03-31,11.88,12.84,10.76,12.1,1829621417,21532983296,0
2023-04-30,12.04,12.76,10.8,11.06,988009918,11641903328,0
2023-05-31,11.18,11.6,10.14,10.34,1108461281,12057064976,0
2023-06-30,10.18,11.2,9.86,10.72,1381018319,14773302848,0
2023-07-31,10.76,12.7,10.62,12.28,1270951294,14545126016,0
2023-08-31,12.44,12.88,11.22,12.36,1523813374,18388847680,0
2023-09-30,12.52,12.6,11.26,12.34,1370303637,16305351056,0
2023-10-31,12.1,14.4,11.56,14.02,1814705569,23842972451,0
2023-11-30,14.16,16.98,13.94,15.62,3286392606,51499204256,0
2023-12-31,15.62,16.7,14.16,15.6,2104205903,32584145472,0
2024-01-31,15.6,15.6,12.14,12.32,1983104103,27207374832,0
2024-02-29,12.26,13.64,11.84,13.22,1302869114,16794234400,0
2024-03-31,13.0,15.46,12.56,14.94,2206848999,31921480496,0
2024-04-30,17.18,17.88,15.08,17.32,3047022691,49894887440,0
2024-05-31,17.3,20.35,17.26,17.48,2621672524,49349375264,0
2024-06-30,17.56,18.72,16.34,16.48,1938261384,34014855968,0
2024-07-31,16.5,17.44,16.04,16.84,1619217047,26938759984,0
2024-08-31,16.78,19.7,15.36,19.5,2312192008,40902900464,0
2024-09-30,19.3,22.95,18.18,22.5,2813406823,57635305312,0
2024-10-31,22.5,27.3,22.5,26.7,3898858047,95900007376,0
2024-11-30,27.0,29.85,26.55,27.75,3538761336,99499110688,0
2024-12-31,28.25,34.95,27.9,34.5,2884461872,89849131840,0
2025-01-31,34.8,38.45,32.2,38.3,3335407049,116019878464,0
2025-02-28,38.9,58.7,37.2,51.85,6096282734,292939668736,0
2025-03-31,52.9,59.45,48.45,49.2,7156360832,382629648896,0
2025-04-30,49.4,50.0,36.05,49.95,7570009917,328348244992,0
2025-05-31,50.5,55.7,48.2,50.95,3659488980,188609317632,0
2025-06-30,50.0,61.45,49.6,59.95,3307136882,182498877648,0
2025-07-31,60.4,60.45,53.05,53.15,2724884027,155270738192,0
2025-08-31,52.8,55.35,50.1,52.85,2807186044,147789909248,0
2025-09-30,53.7,59.9,52.7,54.0,3799298121,211412166144,0
2025-10-31,54.15,56.55,43.2,43.2,3495013336,167642233872,0
2025-11-30,43.8,45.08,36.62,41.02,4247196880,173561182512,0
2025-12-31,41.24,43.64,37.94,39.3,3117541486,128044586672,0
2026-01-31,39.4,40.6,37.3,37.82,905454616,34972742608,0
