datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,10.86,11.44,10.78,10.9,468436654,5204456048,0
2020-01-10,10.72,11.62,10.64,11.42,878675599,9839168064,0
2020-01-17,11.52,13.46,11.44,13.24,1317442193,16216376672,0
2020-01-24,13.58,14.0,12.68,13.34,1327318140,17641176560,0
2020-01-31,12.78,13.18,11.44,11.52,877899094,10706252816,0
2020-02-07,11.3,13.18,11.0,12.84,1382412223,17274850192,0
2020-02-14,12.66,13.64,12.44,13.1,1176489763,15316667344,0
2020-02-21,13.0,13.44,12.66,12.72,764803252,9948976272,0
2020-02-28,12.56,13.0,12.06,12.56,1168722021,14578574416,0
2020-03-06,12.56,13.4,12.34,12.98,805540449,10408531440,0
2020-03-13,12.48,12.66,10.1,10.98,1264446921,14562078992,0
2020-03-20,10.8,10.88,9.2,10.16,1177274266,11788516400,0
2020-03-27,9.66,10.58,9.43,10.2,814399289,8216511360,0
2020-04-03,9.93,10.62,9.9,10.26,534711482,5489470928,0
2020-04-10,10.46,10.74,10.04,10.14,600752488,6172686896,0
2020-04-17,10.2,10.8,9.94,10.4,716106894,7439768224,0
2020-04-24,10.48,10.5,9.83,10.0,487548115,4932034432,0
2020-05-01,10.04,10.34,10.02,10.2,247824061,2520602816,0
2020-05-08,9.98,11.48,9.93,11.2,900804153,9556853888,0
2020-05-15,11.5,12.3,11.36,11.96,859791694,10140551232,0
2020-05-22,12.44,13.26,11.62,11.86,1449054951,18093742848,0
2020-05-29,11.72,12.68,11.54,12.02,770305408,9299914688,0
2020-06-05,12.2,13.06,11.96,13.02,908203307,11456213792,0
2020-06-12,13.1,13.46,12.3,12.8,838202623,10924235136,0
2020-06-19,12.66,12.98,12.34,12.9,735572277,9322465312,0
2020-06-26,12.76,13.96,12.4,13.32,940843383,12622159104,0
2020-07-03,13.3,14.42,12.64,14.26,943574854,12683434128,0
2020-07-10,14.44,17.5,14.3,16.88,1784519792,28271300608,0
2020-07-17,17.1,17.34,15.04,15.5,1143354382,18460623392,0
2020-07-24,15.7,16.84,15.0,15.1,904154453,14403345968,0
2020-07-31,15.3,15.46,14.42,14.82,611516487,9115869456,0
2020-08-07,14.94,15.92,14.58,15.44,691651026,10627017680,0
2020-08-14,15.2,15.62,14.54,15.34,492317014,7447667952,0
2020-08-21,16.12,18.62,15.82,18.16,1454786372,25340792048,0
2020-08-28,18.34,23.85,17.86,22.5,1912760762,39492972544,0
2020-09-04,23.35,26.95,22.0,24.5,2373168416,58038189824,0
2020-09-11,24.3,25.0,20.95,23.25,1367236615,31693143184,0
2020-09-18,23.45,23.95,21.2,22.05,1298028654,29040198576,0
2020-09-25,22.2,22.3,19.4,19.72,724695810,14853232400,0
2020-10-02,20.1,21.15,19.94,20.45,304004411,6214354800,0
2020-10-09,21.1,21.8,20.25,20.95,561099128,11821848720,0
2020-10-16,21.0,23.55,21.0,23.15,725497137,16455150720,0
2020-10-23,23.5,23.9,21.55,21.85,509528775,11433701840,0
2020-10-30,21.25,23.1,20.75,22.0,634848262,13896328864,0
2020-11-06,22.2,25.45,21.45,25.1,1156971082,27358980480,0
2020-11-13,25.7,26.7,22.3,24.25,1068144126,26005167984,0
