datetime,open,high,low,close,volume,turnover,open_interest
2023-06-30,12.44,16.86,12.42,16.86,6810000,103062540,0
2023-07-07,17.16,18.88,14.22,14.94,2192271,34488096,0
2023-07-14,14.92,15.24,13.7,14.06,1156500,16844980,0
2023-07-21,13.8,14.5,12.2,14.18,951000,13035490,0
2023-07-28,14.2,15.48,13.0,13.92,1626500,23677130,0
2023-08-04,14.48,15.4,14.14,15.0,1134000,16597220,0
2023-08-11,15.0,18.18,14.12,17.5,1145500,18673480,0
2023-08-18,16.18,17.48,12.52,14.0,702000,11001290,0
2023-08-25,14.38,16.56,14.38,16.22,350000,5483963,0
2023-09-01,16.42,18.18,15.3,17.54,707500,11948620,0
2023-09-08,18.68,18.68,12.34,12.56,1085500,16869830,0
2023-09-15,11.06,13.34,10.32,11.4,1655500,19409530,0
2023-09-22,11.36,17.72,11.34,12.64,6548500,96019620,0
2023-09-29,12.6,16.04,11.4,13.7,3265500,44538970,0
2023-10-06,13.34,14.86,13.0,14.62,356500,5132430,0
2023-10-13,15.0,19.06,15.0,16.94,3846500,65546890,0
2023-10-20,17.34,19.62,15.2,15.66,6567500,116514750,0
2023-10-27,15.32,21.95,15.32,18.74,2874640,51464877,0
2023-11-03,18.74,26.45,18.64,22.3,7937200,173509135,0
2023-11-10,22.45,24.1,20.0,21.0,3154064,69427985,0
2023-11-17,21.05,23.45,20.0,22.65,1476998,32027625,0
2023-11-24,23.3,25.9,22.0,22.75,1742032,42130621,0
2023-12-01,23.95,23.95,18.1,19.24,2441000,47952885,0
2023-12-08,20.0,20.25,14.6,15.18,1544500,25714755,0
2023-12-15,15.18,18.8,13.5,18.64,3064360,49480412,0
2023-12-22,19.5,20.95,16.98,17.8,2108500,39947240,0
2023-12-29,18.82,20.9,17.8,19.9,1180500,23343000,0
2024-01-05,17.06,19.76,13.2,13.8,2806000,42023000,0
2024-01-12,15.28,14.84,12.44,12.72,3903500,52117950,0
2024-01-19,12.88,13.6,11.02,12.0,2192500,26994640,0
2024-01-26,12.14,12.28,7.0,7.85,6549500,57644025,0
2024-02-02,7.4,7.4,3.7,3.71,21734642,102761877,0
2024-02-09,3.78,4.93,3.15,3.85,40646920,167742049,0
2024-02-16,3.41,4.21,3.41,4.12,896500,3310350,0
2024-02-23,4.16,4.19,3.41,3.46,15386000,56245105,0
2024-03-01,3.59,8.75,3.46,7.26,73435500,418317615,0
2024-03-08,7.5,8.77,6.61,7.41,64853798,507166503,0
2024-03-15,7.73,9.3,7.05,7.33,37490000,299534735,0
2024-03-22,7.51,7.85,6.18,6.43,12781000,87425095,0
2024-03-29,6.45,7.29,5.66,5.69,9490000,61500340,0
2024-04-05,5.9,5.9,5.11,5.11,1712000,9381115,0
2024-04-12,5.08,5.77,4.8,4.81,5247000,28163720,0
2024-04-19,4.81,8.45,4.29,5.19,52873522,366295967,0
2024-04-26,5.25,6.74,5.16,6.18,37712500,225634295,0
2024-05-03,6.15,6.79,6.08,6.25,8920500,56733155,0
2024-05-10,6.37,7.9,5.84,6.59,26996500,180921135,0
2024-05-17,6.87,8.08,6.45,7.36,30830500,228166720,0
2024-05-24,7.68,8.07,6.9,7.06,23402500,176162660,0
2024-05-31,7.3,7.38,6.74,6.74,6400000,44629475,0
2024-06-07,6.99,7.12,6.5,6.51,4351000,29711870,0
2024-06-14,6.52,6.65,5.53,5.71,3355836,20362784,0
2024-06-21,5.71,6.3,5.58,5.67,3423000,19723935,0
2024-06-28,5.57,6.16,5.11,5.21,7220500,40153315,0
2024-07-05,5.42,5.42,4.65,4.83,4753500,23446910,0
2024-07-12,5.08,5.58,4.6,5.39,8493500,43717890,0
2024-07-19,5.41,5.65,4.23,4.3,6635500,32259305,0
2024-07-26,4.38,4.57,3.9,4.09,3414500,14522820,0
2024-08-02,4.04,5.07,4.0,4.6,6387500,29103180,0
2024-08-09,4.26,5.24,4.26,4.45,11901000,57145230,0
2024-08-16,4.54,4.88,4.36,4.77,3374500,15554180,0
2024-08-23,4.85,5.9,4.56,5.46,10541356,55727356,0
2024-08-30,5.4,5.69,5.08,5.13,6773500,36341160,0
2024-09-06,5.24,5.23,4.74,4.85,3251000,16085140,0
2024-09-13,4.82,4.95,4.2,4.58,5611500,25190320,0
2024-09-20,4.56,4.85,4.25,4.68,3216000,14880570,0
2024-09-27,4.6,5.88,4.44,5.58,11869000,60751544,0
2024-10-04,5.82,7.15,5.69,6.45,9774000,62388705,0
2024-10-11,6.78,7.5,5.31,5.75,10798000,67865075,0
2024-10-18,5.98,8.41,5.48,8.18,68191706,501459869,0
2024-10-25,8.21,10.46,8.0,9.36,61411320,554452245,0
2024-11-01,9.52,9.68,7.9,9.13,23833536,209456281,0
2024-11-08,9.27,12.14,9.0,10.7,55225794,610664742,0
2024-11-15,10.6,12.4,10.28,11.14,30614617,346771697,0
2024-11-22,11.28,15.98,10.18,13.88,92189737,1243357902,0
2024-11-29,14.14,17.78,14.12,14.38,61803698,977993200,0
2024-12-06,14.44,15.3,12.64,14.44,31875459,449466673,0
2024-12-13,14.7,15.0,11.44,11.88,37603470,504740299,0
2024-12-20,11.6,12.08,8.84,9.01,52926432,528883903,0
2024-12-27,9.01,9.92,8.6,9.06,14414500,134412171,0
2025-01-03,9.2,11.96,8.32,10.8,46515822,459257773,0
2025-01-10,10.94,13.12,9.98,12.5,62776970,732975163,0
2025-01-17,12.08,12.96,9.76,9.95,30341696,327251719,0
2025-01-24,10.0,10.52,8.86,9.12,19636500,188960510,0
2025-01-31,9.0,9.78,8.98,9.25,3574000,33639880,0
2025-02-07,9.05,9.4,8.29,8.66,13497500,116156155,0
2025-02-14,8.88,10.34,8.53,9.05,32895500,307314430,0
2025-02-21,8.99,12.88,8.74,12.66,66507062,741107744,0
2025-02-28,12.6,13.98,10.88,12.52,48215260,613825676,0
2025-03-07,13.16,15.36,12.1,14.74,46850000,650892737,0
2025-03-14,14.74,15.22,11.44,13.58,31228618,407233549,0
2025-03-21,13.02,14.96,12.9,13.22,12037096,166498726,0
2025-03-28,13.44,15.6,12.7,14.54,14351500,202756774,0
