datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,15.76,16.08,15.65,15.91,220504,350030832.0,0
2020-01-03,15.85,16.79,15.73,16.46,295744,479594272.0,0
2020-01-06,16.1,16.73,15.97,16.27,219545,358127936.0,0
2020-01-07,16.26,16.82,16.21,16.64,264052,437259568.0,0
2020-01-08,16.41,16.68,15.84,15.85,244014,397001392.0,0
2020-01-09,16.55,17.44,16.55,17.44,198297,341754112.0,0
2020-01-10,17.99,18.99,17.3,17.39,733488,1337790848.0,0
2020-01-13,16.97,18.23,16.97,17.93,462572,824219232.0,0
2020-01-14,17.92,18.89,17.64,18.35,474563,864161248.0,0
2020-01-15,18.15,18.69,17.98,18.19,312290,571355056.0,0
2020-01-16,18.21,18.28,17.57,17.84,261728,466859968.0,0
2020-01-17,17.89,17.97,17.42,17.5,191769,339264688.0,0
2020-01-20,17.68,17.93,17.4,17.84,200004,354323424.0,0
2020-01-21,17.79,17.79,17.01,17.11,200705,346812368.0,0
2020-01-22,17.07,17.29,16.39,17.06,171113,289937504.0,0
2020-01-23,16.99,17.24,15.89,16.22,221073,364927952.0,0
2020-02-03,14.6,14.6,14.6,14.6,12777,18667197.0,0
2020-02-04,13.14,14.17,13.14,13.78,323516,445318528.0,0
2020-02-05,13.95,14.54,13.8,14.1,232622,330745376.0,0
2020-02-06,14.13,14.59,13.95,14.47,222801,319259680.0,0
2020-02-07,14.42,14.92,14.27,14.79,255101,373034224.0,0
2020-02-10,14.58,15.07,14.49,14.84,209675,310093968.0,0
2020-02-11,14.89,14.99,14.49,14.59,174429,256231010.0,0
2020-02-12,14.52,15.04,14.32,14.89,208651,308936912.0,0
2020-02-13,15.28,15.84,15.09,15.09,301725,465476320.0,0
2020-02-14,14.86,15.98,14.79,15.53,309588,479536224.0,0
2020-02-17,15.85,17.06,15.6,16.99,390021,638779440.0,0
2020-02-18,16.79,17.06,16.3,16.86,333817,558858368.0,0
2020-02-19,16.74,17.66,16.58,16.91,384070,658386128.0,0
2020-02-20,16.79,18.35,16.5,17.95,543116,952672640.0,0
2020-02-21,17.77,19.14,17.63,18.0,623896,1139378560.0,0
2020-02-24,17.71,18.25,17.45,17.93,427332,764681888.0,0
2020-02-25,17.36,17.81,16.5,17.6,423319,735488624.0,0
2020-02-26,17.24,17.74,16.62,16.88,282665,488045840.0,0
2020-02-27,16.97,17.68,16.91,17.12,257979,445716544.0,0
2020-02-28,16.26,16.76,15.8,15.92,281948,461913984.0,0
2020-03-02,16.39,17.36,16.29,17.08,244326,411121680.0,0
2020-03-03,17.5,17.84,16.89,17.12,274102,478057600.0,0
2020-03-04,17.16,17.53,16.71,17.38,215268,370039296.0,0
2020-03-05,17.74,17.86,17.07,17.51,267353,468160448.0,0
2020-03-06,17.17,17.37,16.84,16.94,195943,334818064.0,0
2020-03-09,16.56,16.84,15.78,15.89,211643,343541376.0,0
2020-03-10,15.69,16.45,15.64,16.38,170301,274001888.0,0
2020-03-11,16.38,16.57,15.7,15.71,152939,247090223.0,0
2020-03-12,15.57,15.63,15.04,15.24,139295,213487783.0,0
2020-03-13,13.9,15.11,13.9,14.87,162414,237341645.0,0
2020-03-16,15.16,15.24,13.92,14.14,148207,217791628.0,0
2020-03-17,14.29,14.54,13.39,14.13,143443,201579864.0,0
2020-03-18,14.41,14.44,13.79,13.8,131624,186231660.0,0
2020-03-19,13.8,14.15,13.5,14.06,118888,164666350.0,0
2020-03-20,14.28,14.33,13.91,14.23,92598,131043657.0,0
2020-03-23,13.78,13.94,13.39,13.43,87872,120368872.0,0
2020-03-24,13.79,14.07,13.43,14.07,109534,151298692.0,0
2020-03-25,14.48,14.55,14.09,14.23,102877,147046878.0,0
2020-03-26,14.14,14.19,13.86,13.94,71488,100367104.0,0
2020-03-27,14.2,14.2,13.8,13.83,67602,94786133.0,0
2020-03-30,13.69,13.69,13.17,13.29,80234,107229068.0,0
2020-03-31,13.52,13.57,13.17,13.17,58600,78226584.0,0
2020-04-01,13.09,13.44,13.04,13.12,60388,80033413.0,0
2020-04-02,13.13,13.56,12.99,13.56,72590,96654307.0,0
2020-04-03,13.5,13.54,13.23,13.27,60606,81000825.0,0
2020-04-07,13.79,14.6,13.59,14.6,170193,242205615.0,0
2020-04-08,14.94,16.0,14.64,15.69,435056,676984464.0,0
2020-04-09,16.43,17.26,16.42,17.26,654224,1116444064.0,0
2020-04-10,16.57,16.94,15.53,15.53,493032,784662032.0,0
2020-04-13,14.3,14.89,13.99,14.23,336187,483184320.0,0
2020-04-14,14.27,15.16,14.21,14.88,289692,428763936.0,0
2020-04-15,14.87,15.38,14.49,14.5,246994,367182208.0,0
2020-04-16,14.52,15.18,14.37,14.96,260218,384967632.0,0
2020-04-17,15.45,15.71,14.9,14.95,308463,472714032.0,0
2020-04-20,14.99,15.49,14.94,15.31,253750,387787264.0,0
2020-04-21,15.09,15.37,14.74,15.03,209255,314916656.0,0
2020-04-22,14.99,15.11,14.6,15.04,183120,272997680.0,0
2020-04-23,14.97,15.38,14.5,14.8,234077,348007328.0,0
2020-04-24,14.67,14.93,14.02,14.18,185964,269084480.0,0
2020-04-27,14.25,14.45,13.75,13.76,136741,192101973.0,0
2020-04-28,13.76,13.97,12.9,13.71,152723,207063068.0,0
2020-04-29,13.61,13.87,13.47,13.57,95935,131021676.0,0
2020-04-30,13.68,14.24,13.61,14.13,118142,165624325.0,0
2020-05-06,13.94,14.37,13.89,14.37,117928,167468101.0,0
2020-05-07,14.37,14.49,14.0,14.07,151401,214144808.0,0
2020-05-08,14.21,14.68,14.19,14.43,191174,276900448.0,0
2020-05-11,14.61,14.61,14.09,14.32,125190,179488923.0,0
2020-05-12,14.18,14.24,13.8,14.09,110262,154853859.0,0
2020-05-13,14.0,14.17,13.94,14.15,76224,107342721.0,0
2020-05-14,14.01,14.27,13.75,13.89,111895,156589563.0,0
2020-05-15,14.41,14.59,14.1,14.1,179587,258097089.0,0
2020-05-18,13.8,14.27,13.8,13.87,106025,147791641.0,0
2020-05-19,14.0,14.09,13.81,13.92,95123,132432911.0,0
2020-05-20,13.89,13.89,13.52,13.59,93014,127092069.0,0
2020-05-21,13.68,13.72,13.34,13.38,75986,102581212.0,0
2020-05-22,13.4,13.59,13.29,13.47,85511,115188135.0,0
2020-05-25,13.5,13.69,13.34,13.69,59531,80503917.0,0
2020-05-26,13.75,13.86,13.67,13.78,83245,114658573.0,0
2020-05-27,13.82,13.88,13.37,13.41,81611,111274930.0,0
2020-05-28,13.44,13.76,13.32,13.51,84223,113909480.0,0
2020-05-29,13.42,13.54,13.35,13.41,55927,75252181.0,0
2020-06-01,13.78,14.17,13.7,14.01,172931,242108728.0,0
2020-06-02,13.99,14.12,13.87,14.01,107482,150332889.0,0
2020-06-03,14.34,14.42,13.89,13.9,133077,188168814.0,0
2020-06-04,14.02,14.09,13.63,13.71,103018,141904327.0,0
2020-06-05,13.61,14.09,13.61,14.01,123435,171037272.0,0
2020-06-08,13.98,14.04,13.79,13.82,78068,108507948.0,0
2020-06-09,13.84,14.01,13.74,13.93,84358,117283295.0,0
2020-06-10,13.88,13.9,13.7,13.79,59292,81678690.0,0
2020-06-11,13.99,14.98,13.98,14.35,311129,450376336.0,0
2020-06-12,13.9,14.19,13.75,14.03,156540,218822905.0,0
2020-06-15,13.94,14.37,13.84,13.95,165464,234505881.0,0
2020-06-16,14.17,14.3,13.99,14.29,138214,195781263.0,0
2020-06-17,14.29,14.29,13.98,14.25,126501,178772883.0,0
2020-06-18,14.24,14.29,14.06,14.18,109035,154798081.0,0
2020-06-19,14.24,14.67,14.19,14.47,236009,341060224.0,0
2020-06-22,14.39,14.97,14.34,14.49,214256,314594928.0,0
2020-06-23,14.45,14.59,14.29,14.39,140418,202742889.0,0
2020-06-24,14.35,14.49,14.15,14.18,119936,171138526.0,0
2020-06-29,15.6,15.6,14.52,14.55,353700,533524192.0,0
2020-06-30,14.24,16.01,14.22,16.01,334193,519941856.0,0
2020-07-01,17.01,17.19,15.74,16.06,696929,1151081936.0,0
2020-07-02,16.07,16.83,15.41,16.48,664748,1068430864.0,0
2020-07-03,16.31,18.13,16.16,18.13,907920,1576809712.0,0
2020-07-06,18.76,19.94,18.27,19.94,673166,1307333584.0,0
2020-07-07,20.85,21.94,19.39,20.47,1070594,2276230032.0,0
2020-07-08,21.09,22.52,20.85,22.52,621877,1375347088.0,0
2020-07-09,23.36,24.77,22.77,24.77,455444,1114245344.0,0
2020-07-10,27.17,27.25,26.01,27.25,368934,999888848.0,0
2020-07-13,28.15,29.98,24.52,26.71,1070199,2919902544.0,0
2020-07-14,25.6,27.24,24.28,25.51,824064,2126505024.0,0
2020-07-15,25.6,27.99,24.64,26.53,849685,2259723392.0,0
2020-07-16,26.99,27.01,23.88,23.88,652048,1634713136.0,0
2020-07-17,23.59,25.46,22.74,24.3,631881,1534758160.0,0
2020-07-20,25.59,26.57,24.64,25.92,590014,1511459216.0,0
2020-07-21,26.49,27.54,24.12,24.49,604854,1553341984.0,0
2020-07-22,23.79,25.27,23.79,24.32,526997,1291512208.0,0
2020-07-23,23.82,24.16,22.21,23.11,628522,1446034992.0,0
2020-07-24,23.03,23.03,20.81,21.12,530860,1167601840.0,0
2020-07-27,21.14,21.81,20.92,21.37,400311,856199760.0,0
2020-07-28,21.55,22.1,20.91,21.41,380138,814531888.0,0
2020-07-29,21.11,22.15,20.96,22.15,446354,971290976.0,0
2020-07-30,21.78,22.04,21.21,21.31,381907,824095168.0,0
2020-07-31,21.3,23.44,21.3,23.13,760045,1747166672.0,0
2020-08-03,22.99,23.39,22.06,23.39,620333,1412855456.0,0
2020-08-04,23.79,25.68,23.27,23.98,639688,1567384640.0,0
2020-08-05,24.09,24.98,22.57,24.49,436315,1039077680.0,0
2020-08-06,25.29,26.09,24.54,25.42,532502,1346491392.0,0
2020-08-07,24.25,24.89,23.14,23.63,446721,1070453744.0,0
2020-08-10,22.87,23.5,22.62,22.88,256269,589094496.0,0
2020-08-11,22.64,23.22,21.36,21.54,314215,699241312.0,0
2020-08-12,21.39,21.77,20.41,21.02,234240,492304960.0,0
2020-08-13,21.24,21.28,20.8,20.91,165169,347175216.0,0
2020-08-14,20.74,22.13,20.69,21.83,259578,558597904.0,0
2020-08-17,22.46,23.33,22.46,22.89,326641,748409760.0,0
2020-08-18,22.57,23.09,22.18,22.3,259253,585252000.0,0
2020-08-19,22.15,22.3,21.09,21.14,224648,483042064.0,0
2020-08-20,20.85,22.35,20.83,21.38,232666,505041328.0,0
2020-08-21,21.48,21.69,20.87,21.12,174550,370155840.0,0
2020-08-24,21.29,22.57,20.8,22.18,312203,688776816.0,0
2020-08-25,21.91,24.18,21.84,23.68,505972,1183836562.0,0
2020-08-26,23.67,23.67,21.49,21.89,394259,881998910.0,0
2020-08-27,21.5,22.39,20.99,21.91,202397,440012496.0,0
2020-08-28,21.79,23.59,21.57,23.21,373744,854214344.0,0
2020-08-31,23.99,25.08,23.46,23.49,523691,1265584940.0,0
2020-09-01,23.39,24.18,22.89,23.31,338598,793370248.0,0
2020-09-02,23.35,24.99,23.04,24.64,520042,1258860592.0,0
2020-09-03,24.39,28.73,24.01,27.41,832631,2204333798.0,0
2020-09-04,26.11,29.87,26.11,27.5,843658,2372005576.0,0
2020-09-07,27.88,29.84,25.6,25.84,834361,2331958794.0,0
2020-09-08,25.0,26.31,23.56,24.54,662465,1635987263.0,0
2020-09-09,23.66,24.42,22.34,22.58,542706,1261128999.0,0
2020-09-10,22.87,23.09,21.11,21.27,373662,825881040.0,0
2020-09-11,21.13,21.71,20.79,21.58,259758,553686452.0,0
2020-09-14,21.49,22.36,21.44,22.18,281562,620016549.0,0
2020-09-15,22.18,23.04,21.7,22.05,264823,593043388.0,0
2020-09-16,21.81,21.87,21.09,21.33,220155,472056146.0,0
2020-09-17,21.27,22.17,20.89,21.96,222086,478822731.0,0
2020-09-18,21.72,26.09,21.52,25.09,586957,1397272024.0,0
2020-09-21,25.94,26.97,24.6,24.84,578782,1482199827.0,0
2020-09-22,24.49,26.67,24.4,25.19,546459,1393713408.0,0
2020-09-23,24.88,25.48,24.0,24.49,391925,961887526.0,0
2020-09-24,24.02,25.49,23.99,24.24,395210,977513188.0,0
2020-09-25,24.09,25.19,24.02,24.54,304734,749904486.0,0
2020-09-28,24.41,24.79,22.0,23.52,325431,768530232.0,0
2020-09-29,24.1,24.48,23.61,23.82,296512,712441219.0,0
2020-09-30,23.98,24.16,23.04,23.09,259322,607647202.0,0
2020-10-09,24.1,25.19,23.36,24.98,391200,945505177.0,0
2020-10-12,29.39,29.79,27.05,27.76,789635,2222914423.0,0
2020-10-13,27.09,28.03,26.21,27.35,569537,1542019392.0,0
2020-10-14,27.29,27.49,26.24,26.45,367053,979374806.0,0
2020-10-15,26.76,27.2,25.74,26.34,346950,920912869.0,0
2020-10-16,26.33,26.67,25.95,26.4,279789,738355216.0,0
2020-10-19,26.89,26.89,25.61,25.65,250327,653800880.0,0
2020-10-20,25.54,25.87,25.21,25.84,219479,562063376.0,0
2020-10-21,25.84,25.89,24.95,25.18,215049,544420544.0,0
2020-10-22,25.19,25.97,25.03,25.86,267621,684383728.0,0
2020-10-23,25.84,26.31,24.68,25.0,249516,636308768.0,0
2020-10-26,24.85,25.29,23.95,24.24,219771,541238240.0,0
2020-10-27,24.25,24.48,24.0,24.3,149621,363512896.0,0
2020-10-28,23.29,23.54,21.99,23.11,314009,715332752.0,0
2020-10-29,22.5,24.34,22.39,23.71,241122,564299824.0,0
2020-10-30,23.69,24.1,22.37,22.37,225649,521684544.0,0
2020-11-02,22.97,23.29,22.36,22.92,153413,350512656.0,0
2020-11-03,23.26,24.02,22.75,23.9,223034,527001952.0,0
2020-11-04,23.99,24.64,23.51,24.06,249423,601440896.0,0
2020-11-05,24.49,24.63,23.61,23.96,187824,451688112.0,0
2020-11-06,24.17,24.18,22.99,23.2,173243,406933312.0,0
2020-11-09,23.39,25.49,23.23,25.29,392974,966931632.0,0
2020-11-10,24.99,25.04,24.17,24.27,235976,580370752.0,0
2020-11-11,24.01,24.32,23.13,23.24,177491,418013120.0,0
2020-11-12,23.69,23.69,23.03,23.11,121533,283215088.0,0
2020-11-13,22.04,22.4,21.5,22.38,214869,474828720.0,0
2020-11-16,22.49,22.59,22.0,22.42,110788,247504918.0,0
2020-11-17,22.29,22.37,21.56,21.9,129248,282323840.0,0
2020-11-18,21.89,22.65,21.85,22.11,129812,288820752.0,0
2020-11-19,21.89,22.65,21.59,22.5,136770,304738944.0,0
2020-11-20,22.3,22.74,22.17,22.68,121430,272946736.0,0
2020-11-23,22.7,24.09,22.15,23.52,280655,657084848.0,0
2020-11-24,23.24,23.64,22.83,23.02,154805,359421200.0,0
2020-11-25,23.06,23.51,23.02,23.05,156991,365457168.0,0
2020-11-26,22.85,23.01,22.07,22.68,148992,335439728.0,0
2020-11-27,22.49,22.58,21.59,22.12,196093,432231536.0,0
2020-11-30,22.25,23.58,22.08,22.73,283888,655849664.0,0
2020-12-01,23.05,23.79,22.67,23.44,298611,692499520.0,0
2020-12-02,23.22,23.52,22.84,23.02,225799,521939632.0,0
2020-12-03,22.79,22.87,22.34,22.37,163966,370238992.0,0
2020-12-04,22.08,22.28,21.86,22.11,127248,280908992.0,0
2020-12-07,22.19,22.39,21.67,21.69,125157,275329440.0,0
2020-12-08,21.69,21.89,20.92,21.09,191040,408493600.0,0
2020-12-09,20.99,21.35,19.75,19.79,206896,425464272.0,0
2020-12-10,19.53,19.96,19.11,19.65,127996,250900191.0,0
2020-12-11,19.7,19.78,18.87,19.18,156461,299750240.0,0
2020-12-14,19.22,19.38,18.89,19.17,94553,181078304.0,0
2020-12-15,19.13,19.19,18.47,18.98,109150,206203877.0,0
2020-12-16,19.09,19.09,18.33,18.44,108535,202021832.0,0
2020-12-17,18.55,19.32,18.3,19.06,169632,320784048.0,0
2020-12-18,18.94,19.19,18.65,18.81,102666,193931664.0,0
2020-12-21,18.79,19.18,18.57,18.99,113860,215632857.0,0
2020-12-22,18.7,18.87,18.05,18.05,149874,276359600.0,0
2020-12-23,18.27,18.28,17.7,18.05,124764,224364166.0,0
2020-12-24,17.99,18.05,17.13,17.23,142324,249027808.0,0
2020-12-25,17.22,17.51,17.04,17.32,92400,160125001.0,0
2020-12-28,17.59,18.12,17.09,17.44,164005,288839200.0,0
2020-12-29,17.31,18.25,17.24,17.83,156975,281105328.0,0
2020-12-30,17.68,17.95,17.32,17.71,104236,184312277.0,0
2020-12-31,17.89,18.85,17.85,18.48,209421,386623712.0,0
2021-01-04,18.7,18.7,18.02,18.3,170733,312985344.0,0
2021-01-05,18.0,18.55,17.62,17.9,170948,307392080.0,0
2021-01-06,17.8,17.85,16.89,17.06,174846,300688256.0,0
2021-01-07,16.99,17.18,15.74,16.16,208389,339129696.0,0
2021-01-08,16.25,17.27,15.47,16.73,175947,294195488.0,0
2021-01-11,16.59,16.88,16.14,16.22,117097,193522916.0,0
2021-01-12,16.17,17.07,15.94,17.06,149209,249262266.0,0
2021-01-13,16.87,16.98,16.34,16.4,112287,186382251.0,0
2021-01-14,16.3,16.97,16.18,16.67,107127,178774276.0,0
2021-01-15,16.67,17.27,16.52,16.75,101907,171995518.0,0
2021-01-18,16.69,17.18,16.42,16.9,91483,154844021.0,0
2021-01-19,16.86,17.69,16.61,17.02,146737,251434574.0,0
2021-01-20,16.96,17.12,16.43,16.51,102589,170523358.0,0
2021-01-21,16.59,17.37,16.51,16.91,147014,250137876.0,0
2021-01-22,16.7,16.79,16.11,16.16,131480,215077461.0,0
2021-01-25,16.22,16.4,15.62,15.67,95679,151901702.0,0
2021-01-26,15.67,15.97,15.04,15.14,95984,148315958.0,0
2021-01-27,15.13,15.48,15.01,15.27,68500,104479933.0,0
2021-01-28,15.19,15.42,14.75,14.77,78791,118680255.0,0
2021-01-29,15.32,16.46,15.03,15.62,200992,314566512.0,0
2021-02-01,15.4,16.15,15.37,15.63,151565,239585406.0,0
2021-02-02,15.58,15.77,15.16,15.44,107129,164392547.0,0
2021-02-03,15.36,15.39,14.57,14.63,113011,168810256.0,0
2021-02-04,14.59,14.59,13.78,14.29,114342,161100814.0,0
2021-02-05,14.28,14.55,13.82,13.84,75856,107797781.0,0
2021-02-08,13.76,14.52,13.76,14.22,94754,134540794.0,0
2021-02-09,14.49,15.13,14.49,14.88,127159,187927120.0,0
2021-02-10,14.9,15.39,14.8,15.13,99703,150943732.0,0
2021-02-18,15.88,17.2,15.69,17.17,263622,437384288.0,0
2021-02-19,16.7,16.95,16.35,16.88,203061,339679408.0,0
2021-02-22,17.19,17.43,16.4,16.63,213380,363040976.0,0
2021-02-23,16.2,16.96,16.04,16.14,135909,222467486.0,0
2021-02-24,16.3,16.88,16.15,16.58,167734,276988320.0,0
2021-02-25,16.65,16.73,15.97,16.43,150609,245900489.0,0
2021-02-26,16.14,16.44,15.95,15.97,101944,164886892.0,0
2021-03-01,16.1,16.55,16.1,16.44,101762,166600463.0,0
2021-03-02,16.45,17.16,16.25,16.66,184955,308297456.0,0
2021-03-03,16.57,16.64,16.1,16.46,102824,168125282.0,0
2021-03-04,16.43,16.74,16.08,16.45,135475,222658473.0,0
2021-03-05,16.27,16.78,16.14,16.64,127311,211325673.0,0
2021-03-08,16.74,16.87,15.98,16.11,121669,199878100.0,0
2021-03-09,16.11,16.11,14.85,14.95,149393,228493751.0,0
2021-03-10,15.22,15.27,14.31,14.49,111787,164941601.0,0
2021-03-11,14.57,14.8,14.29,14.64,102120,149029103.0,0
2021-03-12,14.69,14.71,14.21,14.43,81474,117672542.0,0
2021-03-15,14.44,14.55,14.16,14.22,65651,94057998.0,0
2021-03-16,14.22,14.99,14.19,14.79,103893,151213402.0,0
2021-03-17,14.69,14.89,14.5,14.76,87579,128982011.0,0
2021-03-18,14.72,14.79,14.41,14.42,68345,99865883.0,0
2021-03-19,14.24,14.63,14.09,14.39,64380,92948396.0,0
2021-03-22,14.51,14.85,14.44,14.76,79784,117239571.0,0
2021-03-23,14.69,16.44,14.56,15.5,234386,364752016.0,0
2021-03-24,15.22,16.14,15.16,15.68,180851,284412304.0,0
2021-03-25,15.58,16.96,15.39,16.49,314697,517864192.0,0
2021-03-26,16.32,16.59,16.09,16.27,189042,308706528.0,0
2021-03-29,16.38,16.93,16.02,16.05,174581,287467040.0,0
