datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,15.76,18.99,15.65,16.22,4671461,8123420400.0,0
2020-02-29,14.6,19.14,13.14,15.92,6199048,10151221455.0,0
2020-03-31,16.39,17.86,13.17,13.17,3246551,5078296493.0,0
2020-04-30,13.09,17.26,12.9,14.13,4957350,7503401298.0,0
2020-05-31,13.94,14.68,13.29,13.41,1883857,2635570561.0,0
2020-06-30,13.78,16.01,13.61,16.01,3267056,4717081927.0,0
2020-07-31,17.01,29.98,15.41,23.13,14737491,33528204368.0,0
2020-08-31,22.99,26.09,20.41,23.49,7435054,17129001860.0,0
2020-09-30,23.39,29.87,20.79,23.09,9881839,24452260688.0,0
2020-10-31,24.1,29.79,21.99,22.37,5096328,13136127435.0,0
2020-11-30,22.97,25.49,21.5,22.73,3979252,9262755574.0,0
2020-12-31,23.05,23.79,17.04,18.48,3465569,6895934553.0,0
2021-01-31,18.7,18.7,14.75,15.62,2647739,4414289741.0,0
2021-02-28,15.4,17.43,13.76,15.97,2119778,3365446309.0,0
2021-03-31,16.1,17.16,14.09,15.81,3093297,4881656518.0,0
2021-04-30,15.68,17.45,14.77,14.82,3118515,4955753595.0,0
2021-05-31,14.77,16.15,14.2,15.53,2291142,3497185313.0,0
2021-06-30,15.45,20.98,14.85,17.64,5835735,10238052355.0,0
2021-07-31,17.57,17.99,14.8,15.21,3227053,5346461335.0,0
2021-08-31,15.19,16.99,14.88,15.25,2861184,4471249808.0,0
2021-09-30,15.19,17.17,14.33,14.72,2564435,4080588492.0,0
2021-10-31,14.94,15.49,12.87,13.21,882839,1268080105.0,0
2021-11-30,13.25,15.5,12.88,14.73,1917503,2665488479.0,0
2021-12-31,14.6,15.99,14.05,15.32,3368158,5047064046.0,0
2022-01-31,15.29,19.5,13.02,13.26,5828485,9359353598.0,0
2022-02-28,13.6,14.88,12.41,14.05,3196952,4380349829.0,0
2022-03-31,13.7,14.05,11.8,12.73,2434025,3141751863.0,0
2022-04-30,12.6,13.16,8.05,8.91,1442146,1544259836.0,0
2022-05-31,8.85,9.72,8.73,9.38,1053909,970461183.0,0
2022-06-30,9.43,12.98,9.26,10.99,3422883,3774915697.0,0
2022-07-31,11.02,11.06,9.98,10.46,1105485,1159848943.0,0
2022-08-31,10.43,11.32,9.66,9.93,1524896,1613705358.0,0
2022-09-30,9.93,10.18,8.61,8.66,806781,769296804.0,0
2022-10-31,8.69,9.89,8.51,9.72,1011942,948820639.0,0
2022-11-30,9.85,11.5,9.5,9.75,2552671,2621442365.0,0
2022-12-31,9.83,10.24,8.95,9.3,952629,918367313.0,0
2023-01-31,9.26,11.31,9.23,10.76,2014671,2085205795.0,0
2023-02-28,10.75,12.27,10.63,10.95,3844964,4348604357.0,0
2023-03-31,10.86,12.77,10.7,12.03,4177118,4911158124.0,0
2023-04-30,12.07,13.9,10.9,13.9,4646044,5767029266.0,0
2023-05-31,14.29,15.96,11.2,12.18,6972629,9456539634.0,0
2023-06-30,12.02,13.29,11.1,11.76,3472011,4351786498.0,0
2023-07-31,11.73,13.4,11.1,12.93,3213751,3849108408.0,0
2023-08-31,12.73,16.5,12.66,13.18,12387471,17684387278.0,0
2023-09-30,13.13,13.24,11.49,12.76,3451456,4231167239.0,0
2023-10-31,12.76,14.2,11.93,12.04,4941335,6458548082.0,0
2023-11-30,12.17,15.88,11.8,13.51,7378576,10392067871.0,0
2023-12-31,13.46,16.99,13.29,14.32,8809656,13647871043.0,0
2024-01-31,14.42,14.48,10.01,10.07,4342093,5541902334.0,0
2024-02-29,10.05,11.96,8.0,11.26,3560775,3620198212.0,0
2024-03-31,11.15,12.55,10.81,12.39,4022289,4715425830.0,0
2024-04-30,11.69,12.1,8.93,10.43,2843159,2942910893.0,0
2024-05-31,10.52,10.72,8.85,9.24,1702291,1642020908.0,0
2024-06-30,9.21,9.33,7.85,8.08,1715068,1450981522.0,0
2024-07-31,8.15,9.23,7.91,8.98,2969342,2501877337.0,0
2024-08-31,8.87,9.14,7.74,8.52,2049033,1734473560.0,0
2024-09-30,8.42,32.81,8.25,32.81,10128814,16152586440.0,0
2024-10-31,39.37,66.5,30.08,58.45,30495273,134717912538.0,0
2024-11-30,56.5,61.43,42.77,52.71,21168849,108351469960.0,0
2024-12-31,50.22,58.9,38.09,38.25,14722278,72714433201.0,0
2025-01-31,37.97,48.01,32.7,38.09,12713981,52198788173.0,0
2025-02-28,38.98,44.8,37.85,38.23,9606200,39550647692.0,0
2025-03-31,37.85,44.59,35.5,35.96,10303785,40351377708.0,0
2025-04-30,36.31,36.37,27.86,31.43,6455094,20751203667.0,0
2025-05-31,31.01,38.75,31.0,35.62,8956070,30669692682.0,0
2025-06-30,35.06,48.53,35.06,44.06,14484895,58474065911.0,0
2025-07-31,44.89,46.6,41.0,41.18,10863044,47333096978.0,0
2025-08-31,41.19,61.8,40.71,57.5,14329694,69892919449.0,0
2025-09-30,56.35,61.87,47.48,52.14,14594817,79509466088.0,0
2025-10-31,51.88,52.72,46.1,47.42,4479228,21876641385.0,0
2025-11-30,47.35,47.81,37.24,39.42,4176467,17447254662.0,0
2025-12-31,39.23,43.63,36.92,40.09,8018932,32444761640.0,0
2026-01-31,40.01,43.98,39.71,41.74,2333590,9791124399.17,0
