datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,15.76,16.79,15.65,16.46,516248,829625104.0,0
2020-01-10,16.1,18.99,15.84,17.39,1659396,2871933856.0,0
2020-01-17,16.97,18.89,16.97,17.5,1702922,3065860192.0,0
2020-01-24,17.68,17.93,15.89,16.22,792895,1356001248.0,0
2020-02-07,14.6,14.92,13.14,14.79,1046817,1487025005.0,0
2020-02-14,14.58,15.98,14.32,15.53,1204068,1820274434.0,0
2020-02-21,15.85,19.14,15.6,18.0,2274920,3948075136.0,0
2020-02-28,17.71,18.25,15.8,15.92,1673243,2895846880.0,0
2020-03-06,16.39,17.86,16.29,16.94,1196992,2062197088.0,0
2020-03-13,16.56,16.84,13.9,14.87,836592,1315462915.0,0
2020-03-20,15.16,15.24,13.39,14.23,634760,901313159.0,0
2020-03-27,13.78,14.55,13.39,13.83,439373,613867679.0,0
2020-04-03,13.69,13.69,12.99,13.27,332418,443144197.0,0
2020-04-10,13.79,17.26,13.59,15.53,1752505,2820296175.0,0
2020-04-17,14.3,15.71,13.99,14.95,1441554,2136812128.0,0
2020-04-24,14.99,15.49,14.02,14.18,1066166,1592793408.0,0
2020-05-01,14.25,14.45,12.9,14.13,503541,695811042.0,0
2020-05-08,13.94,14.68,13.89,14.43,460503,658513357.0,0
2020-05-15,14.61,14.61,13.75,14.1,603158,856372155.0,0
2020-05-22,13.8,14.27,13.29,13.47,455659,625085968.0,0
2020-05-29,13.5,13.88,13.32,13.41,364537,495599081.0,0
2020-06-05,13.78,14.42,13.61,14.01,639943,893552030.0,0
2020-06-12,13.98,14.98,13.7,14.03,689387,976669174.0,0
2020-06-19,13.94,14.67,13.84,14.47,775223,1104918332.0,0
2020-06-26,14.39,14.97,14.15,14.18,474610,688476343.0,0
2020-07-03,15.6,18.13,14.22,18.13,2957490,4849788560.0,0
2020-07-10,18.76,27.25,18.27,27.25,3190015,7073044896.0,0
2020-07-17,28.15,29.98,22.74,24.3,4027877,10475602256.0,0
2020-07-24,25.59,27.54,20.81,21.12,2881247,6969950240.0,0
2020-07-31,21.14,23.44,20.91,23.13,2368755,5213284464.0,0
2020-08-07,22.99,26.09,22.06,23.63,2675559,6436262912.0,0
2020-08-14,22.87,23.5,20.41,21.83,1229471,2686413888.0,0
2020-08-21,22.46,23.33,20.83,21.12,1217758,2691900992.0,0
2020-08-28,21.29,24.18,20.8,23.21,1788575,4048839128.0,0
2020-09-04,23.99,29.87,22.89,27.5,3058620,7894155154.0,0
2020-09-11,27.88,29.84,20.79,21.58,2672952,6608642548.0,0
2020-09-18,21.49,26.09,20.89,25.09,1575583,3561210838.0,0
2020-09-25,25.94,26.97,23.99,24.54,2217110,5565218435.0,0
2020-10-02,24.41,24.79,22.0,23.09,881265,2088618653.0,0
2020-10-09,24.1,25.19,23.36,24.98,391200,945505177.0,0
2020-10-16,29.39,29.79,25.74,26.4,2352964,6403576706.0,0
2020-10-23,26.89,26.89,24.68,25.0,1201992,3080977296.0,0
2020-10-30,24.85,25.29,21.99,22.37,1150172,2706068256.0,0
2020-11-06,22.97,24.64,22.36,23.2,986937,2337576928.0,0
2020-11-13,23.39,25.49,21.5,22.38,1142843,2723359312.0,0
2020-11-20,22.49,22.74,21.56,22.68,628048,1396335190.0,0
2020-11-27,22.7,24.09,21.59,22.12,937536,2149634480.0,0
2020-12-04,22.25,23.79,21.86,22.11,1099512,2521436800.0,0
2020-12-11,22.19,22.39,18.87,19.18,807550,1659937743.0,0
2020-12-18,19.22,19.38,18.3,18.81,584536,1104019725.0,0
2020-12-25,18.79,19.18,17.04,17.32,623222,1125509432.0,0
2021-01-01,17.59,18.85,17.09,18.48,634637,1140880517.0,0
2021-01-08,18.7,18.7,15.47,16.73,900863,1554390864.0,0
2021-01-15,16.59,17.27,15.94,16.75,587627,979937227.0,0
2021-01-22,16.69,17.69,16.11,16.16,619303,1042017290.0,0
2021-01-29,16.22,16.46,14.75,15.62,539946,837944360.0,0
2021-02-05,15.4,16.15,13.78,13.84,561903,841686804.0,0
2021-02-12,13.76,15.39,13.76,15.13,321616,473411646.0,0
2021-02-19,15.88,17.2,15.69,16.88,466683,777063696.0,0
2021-02-26,17.19,17.43,15.95,15.97,769576,1273284163.0,0
2021-03-05,16.1,17.16,16.08,16.64,652327,1077007347.0,0
2021-03-12,16.74,16.87,14.21,14.43,566443,860015097.0,0
2021-03-19,14.44,14.99,14.09,14.39,389848,567067690.0,0
2021-03-26,14.51,16.96,14.44,16.27,998760,1592974611.0,0
2021-04-02,16.38,16.93,15.45,15.88,707282,1134749770.0,0
2021-04-09,15.79,16.24,14.89,15.01,374504,582215734.0,0
2021-04-16,15.09,16.01,14.77,15.93,611137,946171363.0,0
2021-04-23,15.78,16.43,15.34,15.83,710438,1126978503.0,0
2021-04-30,15.91,17.45,14.79,14.82,1201073,1950229998.0,0
2021-05-07,14.77,15.43,14.77,15.23,197899,300121413.0,0
2021-05-14,15.35,15.76,14.2,15.58,734702,1106098770.0,0
2021-05-21,15.37,15.44,14.6,14.86,506302,762620669.0,0
2021-05-28,14.83,16.15,14.7,15.52,754995,1177348011.0,0
2021-06-04,15.52,15.74,14.85,15.05,548751,841580254.0,0
2021-06-11,14.97,17.43,14.97,16.2,1265384,2064448567.0,0
2021-06-18,16.44,18.5,15.94,17.72,1369144,2370578720.0,0
2021-06-25,17.46,20.98,17.46,17.77,2034174,3812989664.0,0
2021-07-02,17.5,18.97,16.11,16.25,1083943,1914996292.0,0
2021-07-09,16.34,17.24,16.15,16.59,689062,1145792588.0,0
2021-07-16,16.78,17.49,15.98,16.28,676931,1139067917.0,0
