datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,11.31,12.51,9.72,9.99,6959896,8299281472.0,0
2020-02-29,8.93,11.66,7.98,10.26,6898427,7510130196.0,0
2020-03-31,10.13,10.57,8.19,8.33,6809945,6688603685.0,0
2020-04-30,8.24,10.28,8.03,10.05,5141169,4914243788.0,0
2020-05-31,9.93,11.12,9.66,11.12,3655946,4030028898.0,0
2020-06-30,11.26,11.89,10.29,10.38,4067712,4703797393.0,0
2020-07-31,10.46,15.92,10.27,12.77,8533259,11744137904.0,0
2020-08-31,13.3,17.03,12.75,15.67,7600596,11437794389.0,0
2020-09-30,15.82,17.51,14.28,16.13,7923938,12849475461.0,0
2020-10-31,14.48,14.71,11.25,11.63,5308015,7065114937.0,0
2020-11-30,11.68,12.53,10.99,12.44,5026387,6173875163.0,0
2020-12-31,12.44,13.2,10.17,11.54,4478167,5522667623.0,0
2021-01-31,11.64,12.86,11.0,12.57,5443543,6857476316.0,0
2021-02-28,12.82,13.82,11.45,13.05,4982712,6608759776.0,0
2021-03-31,13.08,13.19,10.6,11.45,3265482,4010117716.0,0
2021-04-30,11.38,12.67,10.39,12.48,2215841,2711612112.0,0
2021-05-31,11.77,12.31,11.07,12.13,2162662,2644547467.0,0
2021-06-30,12.08,12.41,10.08,10.29,3086276,3581002355.0,0
2021-07-31,10.31,10.41,8.25,8.37,4892222,4897564100.0,0
2021-08-31,8.28,9.12,7.99,8.79,5136554,4649290655.0,0
2021-09-30,8.8,9.83,8.78,9.4,5589021,5506807791.0,0
2021-10-31,9.33,9.53,8.39,8.84,3312179,3106022530.0,0
2021-11-30,8.68,10.22,8.46,9.63,4035889,4002226022.0,0
2021-12-31,9.67,12.62,9.54,12.33,5842399,6778273738.0,0
2022-01-31,12.21,12.56,9.51,10.01,5220970,5966974587.0,0
2022-02-28,9.62,10.12,8.6,8.91,3652710,3598766948.0,0
2022-03-31,8.86,9.1,6.88,7.68,4342419,3649261494.0,0
2022-04-30,7.61,8.04,5.68,6.73,5432887,4042667693.0,0
2022-05-31,6.58,7.31,6.2,7.26,3208465,2331130153.0,0
2022-06-30,7.26,9.39,7.23,9.15,4885421,4231201143.0,0
2022-07-31,9.08,9.13,7.68,8.03,2970310,2553511777.0,0
2022-08-31,7.98,9.56,7.7,8.93,3543747,3201715593.0,0
2022-09-30,8.92,9.17,6.62,6.78,4073897,3330636073.0,0
2022-10-31,6.77,6.93,6.15,6.41,2279331,1579284548.0,0
2022-11-30,6.44,8.17,6.34,7.96,5137675,3944574926.0,0
2022-12-31,8.19,8.66,7.63,8.34,4587823,3912135192.0,0
2023-01-31,8.38,9.2,7.82,7.88,6454559,5751111025.0,0
2023-02-28,7.89,7.93,7.19,7.28,4121185,3268428444.0,0
2023-03-31,7.28,9.38,6.95,8.57,13980822,12290317215.0,0
2023-04-30,8.45,11.82,8.4,9.9,20260937,21103948337.0,0
2023-05-31,9.68,11.38,7.69,8.54,17610953,17147451870.0,0
2023-06-30,8.45,9.39,7.63,7.82,10576826,9448994160.0,0
2023-07-31,7.87,8.38,7.48,8.11,8291022,6822355962.0,0
2023-08-31,8.1,9.33,7.91,9.07,8880684,7858849615.0,0
2023-09-30,9.07,9.54,8.08,8.33,6332205,5722146744.0,0
2023-10-31,7.94,7.98,6.98,7.56,5101093,3934399277.0,0
2023-11-30,7.56,8.29,7.52,7.68,5585168,4543559933.0,0
2023-12-31,7.66,8.53,7.4,7.88,7477176,6141821522.0,0
2024-01-31,7.96,8.32,7.11,7.12,6059721,4875746475.0,0
2024-02-29,7.12,9.09,6.23,8.81,6975927,5604943630.0,0
2024-03-31,8.81,10.64,8.77,10.41,8950362,8792503167.0,0
2024-04-30,10.51,10.62,8.5,9.09,6854457,6588963775.0,0
2024-05-31,9.22,9.67,8.47,8.89,7158189,6543040225.0,0
2024-06-30,8.9,9.24,8.08,8.21,5267228,4699674486.0,0
2024-07-31,8.17,8.28,6.93,7.52,6499036,4977688074.0,0
2024-08-31,7.48,7.54,6.44,6.92,4523858,3263231207.0,0
2024-09-30,6.9,8.85,6.23,8.7,5912890,4301600501.0,0
2024-10-31,10.1,10.29,7.46,8.64,12432772,10696555184.0,0
2024-11-30,8.58,9.24,7.94,8.63,11065580,9807484494.0,0
2024-12-31,8.58,10.1,8.57,9.24,13910545,13335551341.0,0
2025-01-31,9.37,9.56,8.08,9.33,10901927,10011728843.0,0
2025-02-28,11.24,41.48,10.7,23.71,60669392,147135418779.0,0
2025-03-31,23.81,24.61,20.31,20.93,26652284,61733595233.0,0
2025-04-30,21.0,22.67,17.25,19.08,23656637,47473067175.0,0
2025-05-31,19.13,19.48,17.25,17.32,10044173,18485029787.0,0
2025-06-30,17.28,22.98,17.22,20.27,23094671,45672722197.0,0
2025-07-31,20.23,21.36,19.05,19.8,15965837,31452872578.0,0
2025-08-31,20.08,22.0,19.16,19.76,20172796,40959443270.0,0
2025-09-30,19.78,20.44,17.91,19.37,16902286,32535007185.0,0
2025-10-31,18.3,18.38,16.12,16.85,8654068,14540424837.0,0
2025-11-30,16.93,17.59,15.7,16.41,7316272,12275694211.0,0
2025-12-31,16.81,17.16,15.55,16.38,8453615,13862428556.0,0
2026-01-31,16.3,17.33,16.24,17.31,2787941,4705420975.92,0
