datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,11.31,11.79,11.12,11.3,699260,844089952.0,0
2020-01-10,11.31,11.98,11.13,11.61,1881245,2280009712.0,0
2020-01-17,11.66,12.51,11.52,11.8,1795393,2264619024.0,0
2020-01-24,11.7,11.7,9.72,9.99,2583998,2910562784.0,0
2020-02-07,8.93,10.04,7.98,9.68,2076632,2063127867.0,0
2020-02-14,9.42,10.84,9.38,10.48,1827418,1994244486.0,0
2020-02-21,10.42,11.66,10.32,11.42,1476018,1715799162.0,0
2020-02-28,11.32,11.37,10.0,10.26,1518359,1736958681.0,0
2020-03-06,10.13,10.57,9.65,9.93,1382127,1467279650.0,0
2020-03-13,9.68,10.3,8.64,9.15,1812989,1844456800.0,0
2020-03-20,9.12,9.13,8.35,8.76,1475683,1363587816.0,0
2020-03-27,8.45,9.61,8.3,9.18,1348228,1302764032.0,0
2020-04-03,8.72,8.86,8.03,8.51,1562429,1402165167.0,0
2020-04-10,8.65,9.34,8.52,9.07,918004,868093850.0,0
2020-04-17,8.93,9.62,8.57,9.38,1108748,1061350487.0,0
2020-04-24,9.38,9.39,8.5,8.7,1014877,959583239.0,0
2020-05-01,8.63,10.28,8.63,10.05,1328029,1333566432.0,0
2020-05-08,9.93,10.47,9.66,10.38,855569,905500016.0,0
2020-05-15,10.52,10.89,10.08,10.62,1186193,1305100513.0,0
2020-05-22,10.52,11.0,10.26,10.4,834052,934677506.0,0
2020-05-29,10.39,11.12,10.23,11.12,780132,884750863.0,0
2020-06-05,11.26,11.89,11.13,11.57,938193,1124725354.0,0
2020-06-12,11.53,11.79,10.97,11.31,828957,991748256.0,0
2020-06-19,10.98,11.2,10.42,10.77,1085931,1225689439.0,0
2020-06-26,10.75,11.21,10.48,10.9,705428,802753576.0,0
2020-07-03,10.76,11.6,10.27,11.47,1432771,1635372112.0,0
2020-07-10,11.61,13.83,11.42,13.83,1901713,2474546592.0,0
2020-07-17,14.22,15.92,13.03,13.43,2710828,4031990528.0,0
2020-07-24,13.65,14.27,12.77,13.27,1525049,2117617856.0,0
2020-07-31,13.37,13.89,12.57,12.77,1472101,2043491584.0,0
2020-08-07,13.3,14.1,12.75,12.89,1680105,2350888406.0,0
2020-08-14,12.89,14.72,12.82,14.4,1561478,2234510256.0,0
2020-08-21,14.97,15.89,13.94,14.6,1786231,2703652240.0,0
2020-08-28,14.82,17.03,14.26,15.48,2202817,3539685983.0,0
2020-09-04,15.47,17.36,15.27,16.96,2104095,3546882900.0,0
2020-09-11,16.89,17.51,14.87,15.64,1981462,3249729789.0,0
2020-09-18,15.97,16.24,14.28,14.91,1908784,3021903937.0,0
2020-09-25,14.95,15.45,14.57,14.87,1161958,1817489373.0,0
2020-10-02,15.22,16.16,14.97,16.13,1137604,1822526966.0,0
