datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,8.28,8.42,8.28,8.34,106235,89106951.0,0
2020-01-03,8.37,8.46,8.14,8.42,144464,120804199.0,0
2020-01-06,8.2,8.44,8.2,8.31,145603,121716888.0,0
2020-01-07,8.36,8.76,8.33,8.75,270791,233544223.0,0
2020-01-08,8.6,8.74,8.42,8.53,205211,177127084.0,0
2020-01-09,8.61,8.94,8.59,8.72,205035,180677337.0,0
2020-01-10,8.8,8.84,8.46,8.61,154200,132985703.0,0
2020-01-13,8.56,8.58,8.29,8.52,122749,104034021.0,0
2020-01-14,8.55,8.58,8.42,8.57,114143,97472057.0,0
2020-01-15,8.57,9.08,8.46,8.86,316282,280675920.0,0
2020-01-16,8.81,8.86,8.56,8.64,162294,141577342.0,0
2020-01-17,8.73,8.86,8.5,8.51,116922,101780198.0,0
2020-01-20,8.86,9.01,8.64,8.79,169187,149405116.0,0
2020-01-21,8.71,8.74,8.48,8.6,124842,107806443.0,0
2020-01-22,8.51,8.63,8.28,8.56,119142,101332420.0,0
2020-01-23,8.44,8.52,7.82,8.07,144488,118806978.0,0
2020-02-03,7.26,7.26,7.26,7.26,8525,6223250.0,0
2020-02-04,6.53,7.02,6.53,6.87,160712,110533243.0,0
2020-02-05,6.92,7.19,6.9,6.93,134683,95192954.0,0
2020-02-06,6.93,7.29,6.91,7.23,146518,105002375.0,0
2020-02-07,7.21,7.62,7.12,7.53,160473,119816231.0,0
2020-02-10,7.64,7.81,7.52,7.72,159665,122945578.0,0
2020-02-11,7.64,7.68,7.44,7.56,116290,88599504.0,0
2020-02-12,7.59,7.73,7.52,7.7,106481,81948710.0,0
2020-02-13,7.77,7.94,7.59,7.61,125026,97201778.0,0
2020-02-14,7.56,7.86,7.54,7.66,122968,94893838.0,0
2020-02-17,7.71,8.0,7.67,7.97,161135,127637731.0,0
2020-02-18,8.06,8.19,7.91,8.19,175279,142312888.0,0
2020-02-19,8.11,8.24,8.01,8.02,125429,102064058.0,0
2020-02-20,7.99,8.39,7.9,8.29,214471,176339979.0,0
2020-02-21,8.31,9.12,8.25,9.12,537599,483721328.0,0
2020-02-24,8.84,9.26,8.64,9.11,543668,491654608.0,0
2020-02-25,8.76,8.94,8.2,8.85,401578,349682752.0,0
2020-02-26,8.61,8.7,8.37,8.46,230623,197927883.0,0
2020-02-27,8.49,8.9,8.46,8.77,293731,257490521.0,0
2020-02-28,8.36,8.54,7.96,7.98,226216,187620528.0,0
2020-03-02,8.11,8.47,8.04,8.36,174929,145597928.0,0
2020-03-03,8.54,8.73,8.34,8.51,219064,188308568.0,0
2020-03-04,8.14,8.52,8.06,8.42,232709,194644758.0,0
2020-03-05,8.58,8.65,8.37,8.64,244801,210309760.0,0
2020-03-06,8.46,8.62,8.35,8.39,153618,130262546.0,0
2020-03-09,8.21,8.24,7.66,7.73,197068,157468206.0,0
2020-03-10,7.6,7.95,7.51,7.94,126001,98219596.0,0
2020-03-11,8.0,8.22,7.83,7.84,127546,102896354.0,0
2020-03-12,7.65,7.76,7.51,7.62,95129,73193894.0,0
