datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,14.9,15.2,14.8,15.08,114638,172332867,0
2025-11-26 11:30:00,15.08,15.13,14.98,15.07,46792,70383329,0
2025-11-26 14:00:00,15.06,15.15,14.88,14.92,48515,72809578,0
2025-11-26 15:00:00,14.92,14.93,14.79,14.8,79942,118564643,0
2025-11-27 10:30:00,14.9,15.4,14.82,15.19,206423,314246586,0
2025-11-27 11:30:00,15.19,15.23,15.03,15.05,40403,61060332,0
2025-11-27 14:00:00,15.05,15.26,15.05,15.11,45193,68395399,0
2025-11-27 15:00:00,15.11,15.11,14.95,15.0,69371,104158070,0
2025-11-28 10:30:00,14.9,15.07,14.54,14.91,170809,252345599,0
2025-11-28 11:30:00,14.9,15.05,14.86,14.91,36011,53773550,0
2025-11-28 14:00:00,14.93,14.94,14.78,14.87,43869,65159135,0
2025-11-28 15:00:00,14.87,15.15,14.82,15.13,98440,148073620,0
2025-12-01 10:30:00,15.05,15.25,15.0,15.15,97843,147708064,0
2025-12-01 11:30:00,15.15,15.35,15.11,15.16,77657,118216923,0
2025-12-01 14:00:00,15.17,15.17,14.95,15.0,60003,90237273,0
2025-12-01 15:00:00,15.0,15.1,14.99,15.04,58289,87653633,0
2025-12-02 10:30:00,14.96,15.08,14.57,14.59,148467,218218229,0
2025-12-02 11:30:00,14.59,14.62,14.31,14.44,96944,140591109,0
2025-12-02 14:00:00,14.44,14.5,14.39,14.44,40805,58879201,0
2025-12-02 15:00:00,14.44,14.48,14.39,14.39,69246,99827988,0
2025-12-03 10:30:00,14.48,14.97,14.4,14.47,191220,281655354,0
2025-12-03 11:30:00,14.47,14.59,14.46,14.51,28116,40801196,0
2025-12-03 14:00:00,14.52,14.58,14.47,14.5,33493,48615892,0
2025-12-03 15:00:00,14.5,14.5,14.42,14.42,56441,81562542,0
2025-12-04 10:30:00,14.31,14.45,13.87,14.27,172621,243576006,0
2025-12-04 11:30:00,14.26,14.44,14.15,14.18,43423,62051771,0
2025-12-04 14:00:00,14.18,14.25,14.1,14.16,21273,30120886,0
2025-12-04 15:00:00,14.16,14.25,14.14,14.15,52622,74633328,0
2025-12-05 10:30:00,14.2,14.55,14.05,14.3,99870,143031180,0
2025-12-05 11:30:00,14.31,14.7,14.3,14.55,101584,147689864,0
2025-12-05 14:00:00,14.54,16.08,14.44,16.08,434057,665747057,0
2025-12-05 15:00:00,16.09,16.42,15.42,15.58,226237,358205264,0
2025-12-08 10:30:00,15.5,16.4,15.5,16.16,514693,818172595,0
2025-12-08 11:30:00,16.15,16.29,15.81,16.01,101242,162830754,0
2025-12-08 14:00:00,16.02,16.1,15.81,15.86,77254,123125025,0
2025-12-08 15:00:00,15.86,15.92,15.81,15.82,127738,202399325,0
2025-12-09 10:30:00,15.47,15.77,15.31,15.33,274274,424829338,0
2025-12-09 11:30:00,15.33,15.49,15.32,15.46,52265,80563988,0
2025-12-09 14:00:00,15.46,15.46,15.31,15.32,51366,78910977,0
2025-12-09 15:00:00,15.32,15.55,15.31,15.37,89877,138578224,0
2025-12-10 10:30:00,15.38,15.66,15.2,15.52,185688,287358076,0
2025-12-10 11:30:00,15.52,15.75,15.5,15.52,92394,144219677,0
2025-12-10 14:00:00,15.54,15.92,15.44,15.64,153478,241512150,0
2025-12-10 15:00:00,15.64,15.79,15.63,15.71,99050,155473832,0
2025-12-11 10:30:00,15.56,15.67,15.03,15.12,220989,337879099,0
2025-12-11 11:30:00,15.13,15.19,15.0,15.06,68503,103213211,0
2025-12-11 14:00:00,15.08,15.13,15.01,15.08,45036,67803737,0
2025-12-11 15:00:00,15.08,15.16,14.9,14.9,102302,153216937,0
2025-12-12 10:30:00,14.94,15.29,14.81,15.18,124611,187613406,0
2025-12-12 11:30:00,15.19,15.4,15.12,15.18,89181,136129583,0
2025-12-12 14:00:00,15.17,15.35,15.08,15.1,69860,106386776,0
2025-12-12 15:00:00,15.1,15.13,14.8,14.89,102519,153154476,0
2025-12-15 10:30:00,14.65,14.87,14.46,14.77,139998,205042462,0
2025-12-15 11:30:00,14.76,14.92,14.69,14.7,41980,62117526,0
2025-12-15 14:00:00,14.7,15.0,14.7,14.76,41943,62307929,0
2025-12-15 15:00:00,14.75,14.79,14.64,14.7,58089,85457093,0
2025-12-16 10:30:00,14.52,14.93,14.4,14.83,166476,243644697,0
2025-12-16 11:30:00,14.83,15.07,14.77,14.96,120659,180149442,0
2025-12-16 14:00:00,14.96,15.2,14.81,14.92,93598,140934513,0
2025-12-16 15:00:00,14.92,14.95,14.81,14.82,58659,87150860,0
2025-12-17 10:30:00,14.6,14.74,14.2,14.25,190046,273619872,0
2025-12-17 11:30:00,14.25,14.3,14.1,14.18,64169,91002556,0
2025-12-17 14:00:00,14.2,14.98,14.14,14.93,113134,164789806,0
2025-12-17 15:00:00,14.93,15.14,14.77,14.8,131619,196148698,0
2025-12-18 10:30:00,14.66,15.02,14.55,14.6,145668,214433867,0
2025-12-18 11:30:00,14.6,14.65,14.45,14.55,48303,70213204,0
2025-12-18 14:00:00,14.55,14.7,14.47,14.49,39080,56866633,0
2025-12-18 15:00:00,14.49,14.5,14.3,14.34,81108,116622476,0
2025-12-19 10:30:00,14.42,14.91,14.28,14.74,162065,236514983,0
2025-12-19 11:30:00,14.75,14.78,14.6,14.72,42236,61948024,0
2025-12-19 14:00:00,14.73,14.75,14.63,14.65,42762,62833417,0
2025-12-19 15:00:00,14.64,14.7,14.58,14.58,71660,104774343,0
2025-12-22 10:30:00,14.57,15.1,14.57,14.98,169808,252974582,0
