datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,8.28,9.08,7.82,8.07,2621588,2258852880.0,0
2020-02-29,7.26,9.26,6.53,7.98,4151070,3438809737.0,0
2020-03-31,8.11,9.23,6.82,6.95,3785587,3017261376.0,0
2020-04-30,6.86,11.79,6.82,9.35,12314882,12248669413.0,0
2020-05-31,8.99,10.09,7.95,8.09,7147761,6588453214.0,0
2020-06-30,8.24,9.9,7.88,9.61,5833599,5184698083.0,0
2020-07-31,9.46,11.56,9.09,10.14,8795808,9077545284.0,0
2020-08-31,10.13,22.63,10.02,22.63,16175232,24329941692.0,0
2020-09-30,21.47,25.52,16.77,21.65,17642526,38204704856.0,0
2020-10-31,22.47,24.97,17.61,18.48,6629420,14052359057.0,0
2020-11-30,18.77,20.14,13.97,15.11,5126701,8819660903.0,0
2020-12-31,15.3,15.65,12.76,13.63,4857402,6974816090.0,0
2021-01-31,13.78,14.07,11.22,11.77,4196380,5228526010.0,0
2021-02-28,11.85,14.85,9.91,13.35,5075669,6459343807.0,0
2021-03-31,13.57,14.83,11.48,13.55,7687868,10341586151.0,0
2021-04-30,13.54,14.82,12.2,12.62,5703695,7824256825.0,0
2021-05-31,12.63,13.35,11.83,12.25,2498969,3108199033.0,0
2021-06-30,12.19,13.91,11.85,12.2,3571261,4518072141.0,0
2021-07-31,12.23,12.99,9.87,11.02,2895634,3498805679.0,0
2021-08-31,10.96,11.83,10.35,10.49,2481034,2773141516.0,0
2021-09-30,10.55,13.27,10.29,10.64,3048154,3566358375.0,0
2021-10-31,10.78,11.58,9.94,10.18,1045057,1122591187.0,0
2021-11-30,10.17,11.24,9.63,10.69,2201480,2257679656.0,0
2021-12-31,10.7,11.14,9.95,10.26,2609313,2754386158.0,0
2022-01-31,10.31,12.89,8.89,9.09,5078758,5597594762.0,0
2022-02-28,9.29,11.34,8.69,10.77,4014907,4106802893.0,0
2022-03-31,10.61,10.74,8.3,8.62,3081480,2855497812.0,0
2022-04-30,8.53,8.82,5.67,6.13,1596771,1147459760.0,0
2022-05-31,6.14,7.79,6.0,7.04,2050182,1425336463.0,0
2022-06-30,7.08,7.71,6.87,7.28,1686930,1224855295.0,0
2022-07-31,7.3,7.36,6.72,7.2,962469,683500565.0,0
2022-08-31,7.2,7.59,6.5,6.6,1239366,879971564.0,0
2022-09-30,6.62,6.85,5.8,5.85,757846,481652700.0,0
2022-10-31,5.86,6.51,5.62,6.37,769054,479214582.0,0
2022-11-30,6.41,6.98,6.08,6.24,1558618,1022589158.0,0
2022-12-31,6.28,6.71,5.73,5.8,998862,621743711.0,0
2023-01-31,5.81,6.38,5.8,6.29,768094,469939874.0,0
2023-02-28,6.26,6.95,6.23,6.57,1690299,1120587563.0,0
2023-03-31,6.57,8.07,6.5,7.34,5215230,3822079914.0,0
2023-04-30,7.33,7.68,6.13,6.67,2418589,1712305756.0,0
2023-05-31,6.69,6.92,6.32,6.7,1409515,933156986.0,0
2023-06-30,6.66,7.25,6.34,6.64,1728410,1190470719.0,0
2023-07-31,6.65,8.82,6.35,7.88,7700648,5958008291.0,0
2023-08-31,7.78,9.9,7.4,8.69,15407730,13086433959.0,0
2023-09-30,8.67,8.77,7.41,7.53,4122317,3292034625.0,0
2023-10-31,7.53,8.62,6.96,7.28,3456982,2675432543.0,0
2023-11-30,7.34,8.15,7.16,7.37,2479684,1906335794.0,0
2023-12-31,7.4,8.15,6.43,6.82,2239234,1634418126.0,0
2024-01-31,6.84,7.68,5.9,5.94,4108160,2807346127.0,0
2024-02-29,5.88,6.38,4.35,5.89,3160195,1723892057.0,0
2024-03-31,5.86,6.18,5.22,5.53,2527188,1469561462.0,0
2024-04-30,5.53,5.65,4.34,4.96,1737931,853914340.0,0
2024-05-31,5.04,5.07,2.32,2.36,3958391,1192458826.0,0
2024-06-30,2.29,2.76,1.97,2.26,6409558,1524035740.0,0
2024-07-31,2.26,2.68,2.19,2.55,4053258,978268797.0,0
2024-08-31,2.54,3.17,2.32,2.5,5249530,1397139775.0,0
2024-09-30,2.49,3.59,2.35,3.59,3885203,1075733679.0,0
2024-10-31,4.31,5.13,3.59,4.57,7222527,3052873057.0,0
2024-11-30,4.48,5.11,4.05,4.58,4743991,2133326420.0,0
2024-12-31,4.55,5.09,3.95,4.34,3655565,1686268751.0,0
2025-01-31,4.32,4.57,4.06,4.26,1800524,781649171.0,0
2025-02-28,4.31,4.95,4.28,4.76,2051184,937236676.0,0
2025-03-31,4.79,5.25,4.6,4.7,2397330,1168665912.0,0
2025-04-30,4.7,6.11,3.88,5.99,3388218,1763924074.0,0
2025-05-31,6.2,8.39,6.1,7.36,5446507,3838428443.0,0
2025-06-30,7.61,13.63,7.1,11.72,22443712,24785103345.0,0
2025-07-31,11.53,13.0,9.6,11.01,16089954,17981154547.0,0
2025-08-31,11.01,18.38,10.48,16.55,23205957,35826759641.0,0
2025-09-30,16.6,20.17,13.35,19.11,18937637,30849346101.0,0
2025-10-31,18.88,20.92,17.01,17.79,17114987,32134903318.0,0
2025-11-30,17.55,18.2,14.48,15.13,8603951,13819764823.0,0
2025-12-31,15.05,16.42,13.87,15.16,9689491,14538343742.0,0
2026-01-31,15.03,16.1,14.71,14.86,2504743,3838771035.24,0
