datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,8.28,8.46,8.14,8.42,250699,209911150.0,0
2020-01-10,8.2,8.94,8.2,8.61,980840,846051235.0,0
2020-01-17,8.56,9.08,8.29,8.51,832390,725539538.0,0
2020-01-24,8.86,9.01,7.82,8.07,557659,477350957.0,0
2020-02-07,7.26,7.62,6.53,7.53,610911,436768053.0,0
2020-02-14,7.64,7.94,7.44,7.66,630430,485589408.0,0
2020-02-21,7.71,9.12,7.67,9.12,1213913,1032075984.0,0
2020-02-28,8.84,9.26,7.96,7.98,1695816,1484376292.0,0
2020-03-06,8.11,8.73,8.04,8.39,1025121,869123560.0,0
2020-03-13,8.21,8.39,7.51,8.39,674011,539907282.0,0
2020-03-20,9.23,9.23,6.86,7.28,1327530,1059347924.0,0
2020-03-27,7.06,7.57,6.86,7.04,644575,469409318.0,0
2020-04-03,6.97,7.07,6.82,6.99,281541,196533484.0,0
2020-04-10,7.24,7.77,7.17,7.26,842611,636269877.0,0
2020-04-17,7.24,9.75,7.06,9.75,2130095,1950705488.0,0
2020-04-24,9.38,11.79,8.86,10.6,5822992,6106621328.0,0
2020-05-01,10.31,11.66,8.95,9.35,3351993,3438012528.0,0
2020-05-08,8.99,9.9,8.98,9.45,1620044,1539158352.0,0
2020-05-15,9.28,10.09,8.67,9.35,2620570,2471891472.0,0
2020-05-22,9.16,9.51,8.66,8.7,1767146,1616726507.0,0
2020-05-29,8.6,8.83,7.95,8.09,1140001,960676883.0,0
2020-06-05,8.24,8.64,8.09,8.27,1142139,958028592.0,0
2020-06-12,8.28,8.33,7.88,8.18,798683,654934761.0,0
2020-06-19,8.12,9.75,8.09,9.26,1906642,1698549580.0,0
2020-06-26,9.18,9.9,9.07,9.15,1240353,1173358160.0,0
2020-07-03,9.15,10.2,8.93,10.0,2105577,2026968910.0,0
2020-07-10,10.0,11.56,9.87,10.69,2796719,3004839904.0,0
2020-07-17,10.57,11.54,9.36,9.66,2043662,2166750042.0,0
2020-07-24,9.81,10.69,9.09,9.14,1454903,1457347966.0,0
2020-07-31,9.32,10.28,9.22,10.14,1140729,1121465452.0,0
2020-08-07,10.13,12.83,10.02,11.54,3445794,4078258960.0,0
2020-08-14,10.98,11.63,10.55,11.63,1735950,1928061852.0,0
2020-08-21,12.45,14.08,11.54,13.31,3954102,5205645200.0,0
2020-08-28,13.0,22.15,13.0,18.85,5636621,10078123526.0,0
2020-09-04,19.67,25.52,19.57,21.97,5940027,13481928475.0,0
2020-09-11,21.81,24.45,16.77,18.29,4192061,8802666826.0,0
2020-09-18,18.57,22.04,18.03,21.23,2982507,5828021360.0,0
2020-09-25,22.23,23.96,20.97,22.3,4112862,9280271955.0,0
2020-10-02,21.47,22.17,19.47,21.65,1817834,3851668394.0,0
2020-10-09,22.47,22.72,21.05,22.36,753614,1664900260.0,0
2020-10-16,23.47,24.97,20.2,20.68,2934591,6573319149.0,0
2020-10-23,20.66,21.31,19.75,20.19,1372321,2828915472.0,0
2020-10-30,20.19,20.61,17.61,18.48,1568894,2985224176.0,0
2020-11-06,18.77,20.14,18.22,18.27,1264098,2419835136.0,0
2020-11-13,18.26,19.17,16.18,16.4,1075215,1905944442.0,0
2020-11-20,16.48,17.44,15.65,16.57,1044103,1721226669.0,0
2020-11-27,16.47,17.45,13.97,14.46,1328067,2139449168.0,0
2020-12-04,14.46,15.83,14.19,14.86,1226082,1859567440.0,0
2020-12-11,14.96,15.32,14.33,14.67,794443,1186566825.0,0
2020-12-18,14.61,15.45,13.67,14.32,1431724,2080540496.0,0
2020-12-25,14.21,14.56,12.99,13.02,845420,1165698977.0,0
2021-01-01,13.13,13.88,12.76,13.63,974951,1315647840.0,0
2021-01-08,13.78,14.07,11.4,12.36,1179269,1532558544.0,0
2021-01-15,12.27,12.59,11.22,11.68,848673,1008958483.0,0
2021-01-22,11.69,13.17,11.64,12.38,1306240,1634347734.0,0
2021-01-29,12.57,13.02,11.43,11.77,862198,1052661249.0,0
2021-02-05,11.85,12.4,10.06,10.09,732943,827998688.0,0
2021-02-12,10.08,10.36,9.91,10.28,383568,390679439.0,0
2021-02-19,10.66,13.17,10.65,12.79,1227623,1514132864.0,0
2021-02-26,13.17,14.85,12.47,13.35,2731535,3726532816.0,0
2021-03-05,13.57,14.81,13.27,13.84,1959724,2744558032.0,0
2021-03-12,13.77,14.43,11.97,12.63,1262592,1672670767.0,0
2021-03-19,12.79,12.84,11.66,11.72,1126179,1374213782.0,0
2021-03-26,11.73,14.83,11.48,13.83,2382467,3229290450.0,0
2021-04-02,13.98,14.49,13.17,13.38,1403079,1921268672.0,0
2021-04-09,13.27,13.86,12.77,13.58,986094,1320039136.0,0
2021-04-16,13.63,14.82,13.13,14.55,1869345,2643126608.0,0
2021-04-23,14.24,14.46,13.03,13.04,1450787,2015574048.0,0
2021-04-30,13.15,13.67,12.2,12.62,951296,1245101481.0,0
2021-05-07,12.63,13.26,12.63,13.01,304759,396223772.0,0
2021-05-14,13.3,13.35,11.97,12.34,783671,986853750.0,0
2021-05-21,12.21,12.28,11.83,12.05,552078,666412792.0,0
2021-05-28,12.11,12.57,11.98,12.19,765562,945220374.0,0
2021-06-04,12.2,12.44,11.85,11.92,489886,595068212.0,0
2021-06-11,11.92,13.91,11.91,13.18,1014213,1297761735.0,0
2021-06-18,12.57,13.47,12.05,13.14,874807,1103076268.0,0
2021-06-25,13.15,13.24,12.23,12.47,917915,1180097492.0,0
2021-07-02,12.47,12.77,11.69,11.74,573256,702215050.0,0
2021-07-09,11.69,12.46,11.65,11.94,548161,664117788.0,0
2021-07-16,11.99,12.37,11.86,12.0,559106,680532741.0,0
2021-07-23,12.41,12.99,11.82,12.19,959573,1194887774.0,0
2021-07-30,12.2,12.28,9.87,11.02,622877,712609105.0,0
2021-08-06,10.96,11.55,10.75,10.79,473773,527780036.0,0
2021-08-13,10.73,11.82,10.57,11.76,680923,766920685.0,0
2021-08-20,11.64,11.83,10.8,11.12,607395,689169133.0,0
2021-08-27,11.2,11.63,10.39,10.61,511126,567413801.0,0
2021-09-03,10.87,13.27,10.29,12.1,1387391,1645788185.0,0
2021-09-10,12.1,12.37,11.64,11.65,799792,958511610.0,0
2021-09-17,11.59,11.93,10.71,10.98,556824,629102482.0,0
2021-09-24,10.8,11.14,10.78,10.79,231495,253929455.0,0
2021-10-01,10.8,11.03,10.45,10.64,280469,300884504.0,0
2021-10-08,10.78,10.94,10.71,10.85,55659,60484348.0,0
2021-10-15,10.99,11.14,10.51,10.86,317564,344911859.0,0
2021-10-22,10.76,11.58,10.54,10.56,414876,452691305.0,0
2021-10-29,10.57,10.67,9.94,10.18,256958,264503675.0,0
2021-11-05,10.17,10.29,9.73,9.84,358632,357896947.0,0
2021-11-12,9.93,10.27,9.63,10.15,378937,379228446.0,0
