datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,13.71,14.11,13.71,14.01,48718,68627745.0,0
2020-01-03,14.16,14.45,14.03,14.11,52575,75419684.0,0
2020-01-06,13.68,13.99,13.63,13.76,46896,65338973.0,0
2020-01-07,13.8,14.12,13.67,14.07,48826,68600247.0,0
2020-01-08,13.9,14.02,13.51,13.6,43943,61171663.0,0
2020-01-09,13.73,14.74,13.72,14.23,76367,110570604.0,0
2020-01-10,14.16,14.61,14.08,14.3,53452,77154136.0,0
2020-01-13,14.14,14.19,13.8,14.17,37172,52550676.0,0
2020-01-14,14.17,14.6,14.13,14.4,53383,77732351.0,0
2020-01-15,14.26,14.99,14.15,14.84,68132,100843232.0,0
2020-01-16,14.75,14.78,14.28,14.3,42604,62380592.0,0
2020-01-17,14.37,14.49,14.16,14.18,29418,42523046.0,0
2020-01-20,14.3,14.3,13.87,14.21,30055,42753885.0,0
2020-01-21,14.08,14.18,13.33,13.37,44492,61354551.0,0
2020-01-22,13.46,13.78,13.3,13.63,25698,35232375.0,0
2020-01-23,13.57,13.73,12.92,13.19,33988,45798107.0,0
2020-02-03,11.86,11.86,11.86,11.86,3927,4716327.0,0
2020-02-04,10.67,11.53,10.66,11.31,42349,48202071.0,0
2020-02-05,11.35,11.79,11.25,11.55,30915,36421187.0,0
2020-02-06,11.52,11.89,11.51,11.79,27963,33182774.0,0
2020-02-07,11.75,12.34,11.67,12.08,34589,42113667.0,0
2020-02-10,12.0,12.32,11.88,12.25,27886,34294890.0,0
2020-02-11,12.32,12.34,11.94,12.03,25725,31461219.0,0
2020-02-12,12.01,12.23,11.91,12.22,28466,34835888.0,0
2020-02-13,12.16,12.37,11.94,12.0,27255,33331565.0,0
2020-02-14,12.06,12.32,11.86,12.05,30164,36996649.0,0
2020-02-17,12.1,12.69,12.1,12.59,42299,53235754.0,0
2020-02-18,12.55,12.93,12.45,12.85,45580,58390597.0,0
2020-02-19,12.73,13.01,12.69,12.7,39740,51597067.0,0
2020-02-20,12.7,13.21,12.56,13.2,56266,73651361.0,0
2020-02-21,13.36,14.54,13.36,14.54,113668,159718956.0,0
2020-02-24,14.24,14.62,13.84,14.12,123030,175562475.0,0
2020-02-25,13.74,13.87,13.14,13.84,74016,102120972.0,0
2020-02-26,13.58,13.89,13.32,13.35,55168,75963198.0,0
2020-02-27,13.44,14.7,13.4,14.7,108040,156405423.0,0
2020-02-28,14.14,15.14,13.59,13.71,159061,232118083.0,0
2020-03-02,14.08,15.1,14.07,15.1,39110,58471132.0,0
2020-03-03,15.85,16.63,15.1,15.41,224361,360333152.0,0
2020-03-04,14.5,15.26,14.37,15.16,129337,193400513.0,0
2020-03-05,15.26,15.35,14.74,14.89,95648,144692596.0,0
2020-03-06,14.63,14.65,14.18,14.22,78261,113650759.0,0
2020-03-09,14.28,14.56,13.81,14.13,62276,89607264.0,0
2020-03-10,13.85,14.61,13.5,14.57,62854,90191673.0,0
2020-03-11,14.42,14.96,13.99,14.2,62608,91953206.0,0
2020-03-12,13.87,14.15,13.7,13.85,39748,55780589.0,0
2020-03-13,12.75,13.81,12.75,13.52,48905,65733447.0,0
2020-03-16,13.69,13.84,12.55,12.77,45453,60954872.0,0
2020-03-17,12.99,13.16,12.11,12.84,36642,47419668.0,0
