datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,25.6,25.89,25.49,25.63,10021,25758652,0
2025-11-26 11:30:00,25.62,25.63,25.46,25.52,6091,15556999,0
2025-11-26 14:00:00,25.52,25.58,25.31,25.35,6355,16167724,0
2025-11-26 15:00:00,25.33,25.4,25.2,25.34,8860,22398138,0
2025-11-27 10:30:00,25.34,25.56,25.2,25.51,8535,21724780,0
2025-11-27 11:30:00,25.5,25.55,25.41,25.41,4028,10265075,0
2025-11-27 14:00:00,25.41,25.55,25.38,25.44,4673,11889722,0
2025-11-27 15:00:00,25.43,25.47,25.22,25.27,7064,17881663,0
2025-11-28 10:30:00,25.4,25.52,25.15,25.46,9583,24295363,0
2025-11-28 11:30:00,25.46,25.46,25.28,25.36,2463,6244285,0
2025-11-28 14:00:00,25.38,25.39,25.22,25.31,4122,10421656,0
2025-11-28 15:00:00,25.31,25.8,25.26,25.34,19038,48372511,0
2025-12-01 10:30:00,25.34,25.5,25.17,25.3,9580,24266335,0
2025-12-01 11:30:00,25.3,25.37,25.26,25.36,4473,11325072,0
2025-12-01 14:00:00,25.35,25.35,25.14,25.17,6423,16192898,0
2025-12-01 15:00:00,25.17,25.24,25.13,25.2,9354,23546470,0
2025-12-02 10:30:00,25.33,25.33,24.81,24.87,14001,34920547,0
2025-12-02 11:30:00,24.87,24.91,24.81,24.91,4340,10788091,0
2025-12-02 14:00:00,24.92,24.96,24.84,24.92,4230,10534114,0
2025-12-02 15:00:00,24.9,24.92,24.86,24.86,5783,14387790,0
2025-12-03 10:30:00,24.94,25.14,24.37,24.37,14381,35542787,0
2025-12-03 11:30:00,24.37,24.47,24.32,24.35,7832,19097795,0
2025-12-03 14:00:00,24.35,24.36,24.01,24.04,10621,25659934,0
2025-12-03 15:00:00,24.04,24.2,24.01,24.17,10103,24362081,0
2025-12-04 10:30:00,24.27,24.33,23.69,23.96,15911,38007427,0
2025-12-04 11:30:00,23.95,24.2,23.9,24.0,4927,11843445,0
2025-12-04 14:00:00,23.99,24.06,23.8,23.82,4721,11280105,0
2025-12-04 15:00:00,23.82,23.93,23.8,23.8,7705,18365236,0
2025-12-05 10:30:00,23.69,24.2,23.69,24.07,12357,29640690,0
2025-12-05 11:30:00,24.07,24.09,23.96,24.0,3889,9343980,0
2025-12-05 14:00:00,24.0,25.65,23.91,25.44,62057,154862714,0
2025-12-05 15:00:00,25.45,25.56,25.14,25.16,25104,63457694,0
2025-12-08 10:30:00,25.48,26.58,25.09,26.2,70766,183920075,0
2025-12-08 11:30:00,26.18,26.29,26.02,26.07,9371,24503383,0
2025-12-08 14:00:00,26.09,26.41,25.97,26.14,13487,35278855,0
2025-12-08 15:00:00,26.13,26.19,26.0,26.06,15141,39460629,0
2025-12-09 10:30:00,25.67,26.0,25.61,25.63,27183,70154129,0
2025-12-09 11:30:00,25.63,25.76,25.59,25.63,6901,17707015,0
2025-12-09 14:00:00,25.6,25.63,25.48,25.51,8382,21396080,0
2025-12-09 15:00:00,25.5,25.74,25.44,25.47,10456,26702993,0
2025-12-10 10:30:00,25.22,25.61,25.1,25.42,16421,41687702,0
2025-12-10 11:30:00,25.43,25.73,25.4,25.47,8841,22629165,0
2025-12-10 14:00:00,25.47,25.98,25.46,25.65,16078,41410055,0
2025-12-10 15:00:00,25.66,25.86,25.63,25.7,9127,23526031,0
2025-12-11 10:30:00,25.68,25.84,25.31,25.41,17238,44005378,0
2025-12-11 11:30:00,25.41,25.47,25.33,25.41,4797,12178592,0
2025-12-11 14:00:00,25.44,25.49,25.17,25.27,7006,17733398,0
2025-12-11 15:00:00,25.29,25.39,25.01,25.06,11743,29546722,0
2025-12-12 10:30:00,24.93,25.36,24.91,25.35,12841,32272185,0
2025-12-12 11:30:00,25.34,25.57,25.12,25.13,6869,17406767,0
2025-12-12 14:00:00,25.13,25.48,25.12,25.27,5951,15032391,0
2025-12-12 15:00:00,25.26,25.31,24.93,24.96,9238,23191865,0
2025-12-15 10:30:00,24.24,25.02,23.95,24.97,29007,70995076,0
2025-12-15 11:30:00,24.9,25.58,24.65,25.08,16109,40437432,0
2025-12-15 14:00:00,25.09,25.3,24.94,25.05,4887,12245967,0
2025-12-15 15:00:00,25.05,25.05,24.72,24.81,9831,24403806,0
2025-12-16 10:30:00,24.62,24.8,24.22,24.68,24124,59103568,0
2025-12-16 11:30:00,24.67,24.98,24.45,24.72,12571,31045683,0
2025-12-16 14:00:00,24.68,25.25,24.51,24.89,19249,48068698,0
2025-12-16 15:00:00,24.91,24.92,24.65,24.84,8008,19853515,0
2025-12-17 10:30:00,24.61,24.8,23.86,23.97,28459,68950261,0
2025-12-17 11:30:00,23.97,24.22,23.75,24.05,7852,18805791,0
2025-12-17 14:00:00,24.06,25.43,23.92,25.39,21353,52839537,0
2025-12-17 15:00:00,25.31,25.99,25.15,25.4,42669,108857242,0
2025-12-18 10:30:00,25.13,25.62,24.99,25.06,27620,69504770,0
2025-12-18 11:30:00,25.07,25.08,24.8,24.88,8920,22256871,0
2025-12-18 14:00:00,24.85,25.07,24.73,24.75,7456,18561466,0
2025-12-18 15:00:00,24.75,24.86,24.68,24.68,9168,22698691,0
2025-12-19 10:30:00,24.6,25.48,24.56,25.21,24760,61791257,0
2025-12-19 11:30:00,25.23,25.52,25.15,25.4,18543,47001003,0
2025-12-19 14:00:00,25.38,25.38,25.2,25.2,7844,19820792,0
2025-12-19 15:00:00,25.2,25.28,25.16,25.2,9388,23674652,0
2025-12-22 10:30:00,25.19,25.47,25.15,25.22,16006,40448505,0
2025-12-22 11:30:00,25.23,25.26,25.13,25.15,6426,16197247,0
2025-12-22 14:00:00,25.17,25.17,25.05,25.05,6984,17533820,0
2025-12-22 15:00:00,25.05,25.1,24.91,24.93,10065,25156526,0
2025-12-23 10:30:00,24.85,24.92,24.5,24.78,20287,50025016,0
2025-12-23 11:30:00,24.78,24.91,24.58,24.73,7347,18149780,0
2025-12-23 14:00:00,24.73,24.73,24.52,24.54,5554,13682007,0
2025-12-23 15:00:00,24.54,24.59,24.4,24.54,9657,23655783,0
2025-12-24 10:30:00,24.44,24.95,24.41,24.79,14601,36172659,0
2025-12-24 11:30:00,24.79,25.14,24.78,25.09,11632,29115494,0
2025-12-24 14:00:00,25.08,25.25,25.06,25.14,11466,28872606,0
2025-12-24 15:00:00,25.16,25.18,25.1,25.14,10082,25342842,0
2025-12-25 10:30:00,25.2,26.63,25.06,26.14,71321,185594918,0
2025-12-25 11:30:00,26.15,26.18,25.88,25.91,11057,28766944,0
2025-12-25 14:00:00,25.9,26.08,25.83,25.9,6860,17789299,0
2025-12-25 15:00:00,25.9,25.98,25.89,25.91,11046,28631724,0
2025-12-26 10:30:00,25.7,26.35,25.65,26.08,36410,94496678,0
2025-12-26 11:30:00,26.08,26.28,25.54,25.62,15247,39462411,0
2025-12-26 14:00:00,25.64,25.76,25.55,25.71,6892,17688368,0
2025-12-26 15:00:00,25.71,25.71,25.43,25.5,10906,27856675,0
2025-12-29 10:30:00,25.4,25.6,25.25,25.29,16870,42870175,0
2025-12-29 11:30:00,25.28,25.39,25.21,25.26,6866,17367250,0
2025-12-29 14:00:00,25.26,25.72,25.25,25.55,12487,31889220,0
2025-12-29 15:00:00,25.53,25.65,25.4,25.63,12824,32756046,0
2025-12-30 10:30:00,25.4,26.09,25.35,25.95,27065,69696166,0
2025-12-30 11:30:00,25.95,25.95,25.67,25.7,7180,18541649,0
2025-12-30 14:00:00,25.68,25.91,25.54,25.65,7641,19637422,0
2025-12-30 15:00:00,25.64,25.68,25.44,25.59,10650,27226443,0
2025-12-31 10:30:00,25.52,25.75,25.38,25.47,16409,41872328,0
2025-12-31 11:30:00,25.47,25.66,25.43,25.55,8008,20463593,0
2025-12-31 14:00:00,25.58,25.78,25.51,25.53,9174,23537243,0
2025-12-31 15:00:00,25.52,25.55,25.34,25.35,11817,30054875,0
2026-01-05 10:30:00,25.34,27.3,25.12,26.9,77850,204908490,0
2026-01-05 11:30:00,26.96,27.3,26.7,26.83,36564,98718286,0
2026-01-05 14:00:00,26.83,26.89,26.6,26.68,11370,30349045,0
2026-01-05 15:00:00,26.67,26.88,26.66,26.84,23156,62056447,0
2026-01-06 10:30:00,26.71,32.21,26.45,32.21,343050,1036522918,0
2026-01-06 11:30:00,32.21,32.21,32.21,32.21,24753,79729863,0
2026-01-06 14:00:00,32.21,32.21,32.21,32.21,8391,27027411,0
2026-01-06 15:00:00,32.21,32.21,32.21,32.21,4392,14147404,0
2026-01-07 10:30:00,32.04,32.04,29.6,29.93,225114,686130898,0
2026-01-07 11:30:00,29.9,30.24,29.8,30.0,51474,154284417,0
2026-01-07 14:00:00,30.0,30.22,29.8,29.99,42234,126544199,0
2026-01-07 15:00:00,29.99,30.1,29.61,29.66,73223,217952423,0
2026-01-08 10:30:00,28.39,29.16,28.39,28.9,99776,287425448,0
2026-01-08 11:30:00,28.9,29.1,28.71,28.92,36355,105119822,0
2026-01-08 14:00:00,28.92,29.0,28.72,28.97,26987,77945596,0
2026-01-08 15:00:00,28.96,28.99,28.65,28.86,53844,155164386,0
2026-01-09 10:30:00,28.45,29.72,28.41,29.26,101138,295070872,0
2026-01-09 11:30:00,29.29,29.59,28.76,28.76,40062,116925247,0
2026-01-09 14:00:00,28.75,28.99,28.72,28.92,20766,59945328,0
2026-01-09 15:00:00,28.92,29.39,28.88,29.27,60582,176511618,0
