datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,13.71,14.45,13.71,14.11,101293,144047429.0,0
2020-01-10,13.68,14.74,13.51,14.3,269484,382835623.0,0
2020-01-17,14.14,14.99,13.8,14.18,230709,336029897.0,0
2020-01-24,14.3,14.3,12.92,13.19,134233,185138918.0,0
2020-02-07,11.86,12.34,10.66,12.08,139743,164636026.0,0
2020-02-14,12.0,12.37,11.86,12.05,139496,170920211.0,0
2020-02-21,12.1,14.54,12.1,14.54,297553,396593735.0,0
2020-02-28,14.24,15.14,13.14,13.71,519315,742170151.0,0
2020-03-06,14.08,16.63,14.07,14.22,566717,870548152.0,0
2020-03-13,14.28,14.96,12.75,13.52,276391,393266179.0,0
2020-03-20,13.69,13.84,12.11,13.07,182802,238889385.0,0
2020-03-27,12.72,13.69,12.62,12.74,152043,201409475.0,0
2020-04-03,12.57,12.97,12.06,12.24,86061,107251453.0,0
2020-04-10,12.63,16.84,12.45,15.75,564038,852756464.0,0
2020-04-17,15.53,17.66,14.2,15.88,950210,1531269528.0,0
2020-04-24,15.46,18.5,15.05,15.31,756809,1289099563.0,0
2020-05-01,15.19,15.43,13.6,14.26,269326,392044877.0,0
2020-05-08,14.02,15.08,14.0,14.74,175732,259843352.0,0
2020-05-15,15.09,15.2,14.15,14.57,229480,340634895.0,0
2020-05-22,14.44,15.51,13.93,14.84,231373,339039936.0,0
2020-05-29,14.78,16.35,14.55,15.42,371611,581609124.0,0
2020-06-05,15.46,16.73,15.2,16.38,277896,446331743.0,0
2020-06-12,16.39,16.72,14.88,15.32,219746,353242559.0,0
2020-06-19,15.16,16.76,15.16,16.44,248508,405303073.0,0
2020-06-26,16.44,16.99,16.24,16.31,138118,231237269.0,0
2020-07-03,16.14,18.71,15.7,18.25,469791,826619596.0,0
2020-07-10,18.67,21.37,18.02,19.77,575405,1140675911.0,0
2020-07-17,19.75,21.22,17.78,18.24,322816,642867362.0,0
2020-07-24,18.45,19.15,16.93,17.17,208539,383969121.0,0
2020-07-31,17.1,18.03,16.83,17.75,135266,238519577.0,0
2020-08-07,17.87,19.07,17.33,17.65,203710,369643370.0,0
2020-08-14,17.52,17.75,15.87,16.54,134873,228128798.0,0
2020-08-21,16.56,17.47,15.97,16.78,138232,233959994.0,0
2020-08-28,16.81,20.87,16.6,19.52,253827,465108700.0,0
2020-09-04,19.13,21.37,18.56,19.75,486997,966764976.0,0
2020-09-11,19.77,27.06,19.32,23.72,978085,2307286393.0,0
2020-09-18,24.28,26.07,21.47,24.57,672222,1600726772.0,0
2020-09-25,23.37,24.04,19.88,19.91,413059,919990855.0,0
2020-10-02,19.99,20.34,19.52,19.93,115349,230943545.0,0
2020-10-09,20.57,20.67,20.01,20.31,45315,92635752.0,0
2020-10-16,20.5,23.18,19.68,22.22,468216,1007052214.0,0
2020-10-23,21.78,24.64,21.56,22.98,514283,1188088640.0,0
2020-10-30,22.37,23.75,21.37,21.96,374678,858830568.0,0
2020-11-06,21.57,24.09,20.69,23.17,441715,1004778928.0,0
2020-11-13,23.17,24.52,20.08,20.35,421066,958174834.0,0
2020-11-20,20.39,20.64,18.65,19.69,195978,384209769.0,0
2020-11-27,19.48,19.71,17.75,18.15,140521,265392058.0,0
2020-12-04,18.31,20.03,18.17,18.94,166007,319342136.0,0
2020-12-11,19.23,19.23,16.97,17.22,101483,183282910.0,0
2020-12-18,17.38,17.82,16.26,17.09,93851,161787167.0,0
2020-12-25,17.06,17.35,15.37,15.97,96213,158076771.0,0
2021-01-01,15.98,16.56,15.38,16.47,74109,119067963.0,0
2021-01-08,17.03,17.18,13.81,14.28,157540,244840143.0,0
2021-01-15,14.56,14.58,12.98,13.66,119922,165331891.0,0
2021-01-22,13.67,14.41,13.63,13.97,88497,125878626.0,0
2021-01-29,14.01,14.45,12.96,13.18,113579,158476232.0,0
2021-02-05,13.16,13.75,11.43,11.61,97032,121735188.0,0
2021-02-12,11.61,12.12,11.45,12.04,40044,47498487.0,0
2021-02-19,12.17,12.93,12.17,12.86,37912,48382731.0,0
2021-02-26,12.94,13.4,12.53,13.0,83858,110043466.0,0
2021-03-05,13.22,13.65,12.95,13.39,75800,101667247.0,0
2021-03-12,13.47,15.02,12.0,12.21,175572,234531562.0,0
2021-03-19,12.26,12.81,11.86,12.26,91543,113501815.0,0
2021-03-26,12.27,12.97,12.11,12.69,119876,152757169.0,0
2021-04-02,12.65,12.74,11.95,12.15,77717,95798345.0,0
2021-04-09,12.15,12.95,11.92,12.06,87079,108791774.0,0
2021-04-16,12.06,12.35,11.85,12.28,64613,78623745.0,0
2021-04-23,12.27,12.69,12.03,12.05,84796,105893032.0,0
2021-04-30,11.99,12.14,9.25,10.05,107519,117398887.0,0
2021-05-07,10.08,10.32,9.97,10.08,22637,23213561.0,0
2021-05-14,10.24,10.95,10.09,10.95,72463,77357209.0,0
2021-05-21,10.83,11.05,10.48,10.76,58451,63487182.0,0
2021-05-28,10.68,11.2,10.65,10.82,55174,61147808.0,0
2021-06-04,10.87,11.33,10.82,10.87,60375,67716937.0,0
2021-06-11,10.88,12.37,10.88,12.25,135870,160424045.0,0
2021-06-18,12.21,12.66,11.51,12.21,124252,150263957.0,0
2021-06-25,11.89,12.53,11.53,11.97,110783,134981333.0,0
2021-07-02,11.87,12.67,11.56,12.15,150624,184552349.0,0
2021-07-09,11.99,12.74,11.92,12.01,157927,197230042.0,0
2021-07-16,12.01,13.07,11.8,11.81,162103,203360240.0,0
2021-07-23,11.76,12.13,11.3,11.32,91942,108320360.0,0
2021-07-30,11.32,11.41,10.14,10.81,90911,98884024.0,0
2021-08-06,10.7,11.47,10.69,10.79,79948,89662986.0,0
2021-08-13,10.81,11.61,10.81,11.31,91532,104076559.0,0
2021-08-20,11.32,11.47,10.54,10.74,80735,89245899.0,0
2021-08-27,10.69,11.23,10.56,10.56,79573,87898282.0,0
2021-09-03,10.58,11.02,10.17,10.53,71017,74876341.0,0
2021-09-10,10.47,11.19,10.41,10.89,77062,84646890.0,0
2021-09-17,10.82,11.39,10.5,10.62,83774,92763484.0,0
2021-09-24,10.56,10.7,10.33,10.64,63701,67535305.0,0
2021-10-01,10.69,10.69,9.52,9.93,75990,76495692.0,0
2021-10-08,9.98,11.69,9.98,10.92,52300,57046604.0,0
2021-10-15,10.89,11.41,10.67,10.82,123943,136885991.0,0
2021-10-22,10.64,10.87,10.03,10.03,60117,63651746.0,0
2021-10-29,9.94,10.25,9.5,9.82,70652,70268310.0,0
2021-11-05,9.89,10.28,9.58,10.14,68352,68893995.0,0
2021-11-12,10.14,10.81,9.97,10.75,89045,94044815.0,0
2021-11-19,10.77,11.39,10.75,11.08,111898,126094722.0,0
2021-11-26,11.18,11.44,10.71,11.01,95119,106143850.0,0
2021-12-03,10.89,11.84,10.8,11.24,141617,163122392.0,0
2021-12-10,11.09,13.04,10.62,11.49,366828,441381452.0,0
2021-12-17,11.49,11.99,11.15,11.76,176225,205629175.0,0
2021-12-24,11.65,12.27,11.32,11.38,200718,241935603.0,0
2021-12-31,11.41,12.27,11.14,12.01,138188,163491975.0,0
2022-01-07,12.01,12.73,11.85,11.88,196185,241986994.0,0
2022-01-14,11.76,14.77,11.56,12.46,547536,728318338.0,0
2022-01-21,12.69,15.24,12.61,14.21,817552,1160232491.0,0
2022-01-28,14.29,16.09,12.03,14.75,888095,1268188833.0,0
2022-02-11,14.85,18.69,13.39,15.72,1027690,1671635263.0,0
2022-02-18,15.19,16.15,13.74,14.34,523841,787978990.0,0
2022-02-25,14.33,14.76,12.9,13.2,427338,600831241.0,0
2022-03-04,13.59,13.74,12.54,12.66,307394,407927287.0,0
2022-03-11,12.54,12.88,11.72,12.73,238131,299578198.0,0
2022-03-18,12.49,12.88,11.77,12.81,275931,347027571.0,0
2022-03-25,12.83,13.24,12.07,12.11,235089,297321634.0,0
2022-04-01,12.06,12.36,11.74,11.98,156398,190121924.0,0
2022-04-08,11.95,12.54,11.12,11.22,121545,146057555.0,0
2022-04-15,11.11,11.29,10.24,10.31,144954,158575539.0,0
2022-04-22,10.32,10.6,9.66,9.79,109007,112143152.0,0
2022-04-29,9.69,9.69,8.19,8.96,156486,138846562.0,0
2022-05-06,8.97,9.24,8.79,9.16,52824,48566326.0,0
2022-05-13,9.29,9.85,9.07,9.64,135929,131566467.0,0
2022-05-20,9.65,10.14,9.6,10.1,144969,144849944.0,0
2022-05-27,10.15,12.02,10.09,10.55,406001,446656606.0,0
2022-06-03,10.79,10.87,10.29,10.54,195360,208397392.0,0
2022-06-10,10.54,10.69,10.0,10.19,151282,158524854.0,0
2022-06-17,10.09,11.39,9.97,10.73,270516,294038322.0,0
2022-06-24,10.68,10.97,10.49,10.72,124112,134881595.0,0
2022-07-01,10.71,11.05,10.5,10.73,123662,134745646.0,0
2022-07-08,10.73,10.88,10.32,10.64,112199,119958881.0,0
2022-07-15,10.52,10.69,9.98,10.17,106214,111082225.0,0
2022-07-22,10.2,11.25,10.2,10.97,141887,155943392.0,0
2022-07-29,10.99,11.56,10.85,11.22,95039,107041728.0,0
2022-08-05,11.24,11.45,10.51,11.42,113219,125718286.0,0
2022-08-12,11.44,11.88,11.26,11.68,115518,134701416.0,0
2022-08-19,11.73,11.86,11.08,11.24,134019,153185627.0,0
2022-08-26,11.31,11.74,10.49,10.5,154495,174375886.0,0
2022-09-02,10.3,10.88,10.19,10.64,95076,100663690.0,0
2022-09-09,10.66,10.73,10.1,10.14,82165,86021980.0,0
2022-09-16,10.17,10.33,9.79,9.81,56660,57576864.0,0
2022-09-23,9.81,9.95,9.42,9.54,67432,65918463.0,0
2022-09-30,9.45,9.55,8.99,9.09,53175,49873911.0,0
2022-10-14,9.2,9.87,8.8,9.78,56452,53478975.0,0
2022-10-21,9.78,10.13,9.74,10.03,55305,55790865.0,0
