datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,16.54,17.95,16.4,17.44,435360,766779552.0,0
2020-01-03,17.44,18.03,17.37,17.62,397805,715399680.0,0
2020-01-06,17.26,18.18,17.19,17.69,433463,781070880.0,0
2020-01-07,17.72,19.49,17.58,19.26,600321,1145014000.0,0
2020-01-08,18.81,19.14,18.58,18.65,416435,796818768.0,0
2020-01-09,18.98,19.28,18.39,18.89,393934,753072880.0,0
2020-01-10,18.79,18.99,18.36,18.7,258036,491441712.0,0
2020-01-13,18.52,19.03,18.2,19.03,307697,582906208.0,0
2020-01-14,19.01,19.54,18.65,18.75,336445,653566656.0,0
2020-01-15,18.65,19.06,18.42,18.66,269734,512953024.0,0
2020-01-16,18.71,19.33,18.57,19.28,395967,764075696.0,0
2020-01-17,18.8,18.8,17.32,17.32,617625,1117466656.0,0
2020-01-20,17.03,18.26,17.03,17.89,521397,947449888.0,0
2020-01-21,18.09,18.57,17.8,17.98,311411,575938192.0,0
2020-01-22,17.96,18.56,17.61,18.47,288295,532326800.0,0
2020-01-23,18.34,19.34,17.91,18.47,443406,843955888.0,0
2020-02-03,18.35,20.35,17.57,19.44,1005288,1972941424.0,0
2020-02-04,19.53,21.42,19.19,21.42,708737,1493262240.0,0
2020-02-05,22.69,23.59,22.5,23.59,818629,1934580064.0,0
2020-02-06,24.57,25.75,23.57,24.96,993211,2492233824.0,0
2020-02-07,24.53,26.56,24.29,25.41,977005,2518530864.0,0
2020-02-10,24.64,27.39,24.55,25.3,1083416,2790449840.0,0
2020-02-11,25.13,25.48,23.39,24.54,694722,1718672896.0,0
2020-02-12,24.69,25.43,24.19,25.3,603149,1519587328.0,0
2020-02-13,24.99,25.08,24.1,24.5,538502,1343658704.0,0
2020-02-14,24.47,24.98,23.59,23.74,493448,1207663904.0,0
2020-02-17,24.22,24.38,23.71,23.95,493752,1201403424.0,0
2020-02-18,23.99,25.44,23.91,24.72,599447,1499133424.0,0
2020-02-19,24.39,24.66,23.59,23.59,495731,1204213312.0,0
2020-02-20,23.68,24.14,23.38,24.04,386062,930189872.0,0
2020-02-21,24.29,25.01,23.99,24.11,526243,1298020256.0,0
2020-02-24,23.7,24.69,23.51,24.49,483617,1190266528.0,0
2020-02-25,24.19,24.78,22.57,23.8,580919,1398662128.0,0
2020-02-26,23.4,24.19,22.57,23.02,443603,1047547872.0,0
2020-02-27,23.24,24.84,22.59,24.73,739148,1798201472.0,0
2020-02-28,24.89,26.46,22.68,23.04,1264927,3212270656.0,0
2020-03-02,23.49,23.79,20.71,22.21,983804,2176319632.0,0
2020-03-03,22.35,23.04,21.59,21.97,642433,1456112496.0,0
2020-03-04,21.69,22.43,21.51,22.17,398047,889077232.0,0
2020-03-05,22.39,22.52,21.71,21.95,357553,798168800.0,0
2020-03-06,21.69,22.34,21.5,21.99,338498,753200160.0,0
2020-03-09,22.54,22.97,21.04,21.08,541632,1211573040.0,0
2020-03-10,20.87,22.49,20.83,22.34,455952,1007491824.0,0
2020-03-11,22.29,22.42,21.24,21.29,353215,781406016.0,0
2020-03-12,21.29,21.62,20.85,21.04,315673,679259856.0,0
2020-03-13,19.89,20.97,19.31,20.48,408635,833191680.0,0
2020-03-16,20.68,21.11,19.38,19.69,403571,831612688.0,0
2020-03-17,19.89,20.19,19.32,20.04,308504,620986512.0,0
2020-03-18,20.18,20.23,19.07,19.22,432902,865592112.0,0
2020-03-19,19.12,19.42,18.46,19.18,347688,670843456.0,0
2020-03-20,19.3,19.64,18.87,19.13,275612,538940688.0,0
2020-03-23,18.44,18.68,17.72,18.02,288870,535925568.0,0
2020-03-24,18.49,18.75,17.59,18.29,282071,522188288.0,0
2020-03-25,18.7,18.95,18.42,18.73,297396,566132304.0,0
2020-03-26,18.62,18.94,18.32,18.36,228195,431831328.0,0
2020-03-27,18.7,18.82,17.8,18.14,225574,419997568.0,0
2020-03-30,17.79,17.83,16.7,17.32,357386,627385440.0,0
2020-03-31,17.63,17.91,17.42,17.49,194139,348126480.0,0
2020-04-01,17.61,18.03,17.37,17.66,189960,343536128.0,0
2020-04-02,17.78,18.35,17.72,18.29,252029,461779168.0,0
2020-04-03,18.24,18.35,17.62,17.7,226694,413399088.0,0
2020-04-07,18.19,18.85,18.14,18.64,378251,713988656.0,0
2020-04-08,18.49,19.12,18.46,18.84,295242,567429152.0,0
2020-04-09,18.94,19.24,18.82,19.06,238237,461397328.0,0
2020-04-10,19.07,19.12,18.04,18.37,274406,515846352.0,0
2020-04-13,18.29,18.59,17.89,18.49,178743,333025168.0,0
2020-04-14,18.57,19.89,18.52,19.63,394060,776082528.0,0
2020-04-15,19.54,19.76,19.12,19.12,294553,581510176.0,0
2020-04-16,19.17,19.88,19.11,19.82,381462,760211280.0,0
2020-04-17,19.99,20.09,19.34,19.5,378227,753055872.0,0
2020-04-20,19.5,19.81,19.17,19.73,278665,552598736.0,0
2020-04-21,19.54,19.56,19.19,19.39,199256,392260944.0,0
2020-04-22,19.34,19.56,19.2,19.53,200619,395919248.0,0
2020-04-23,19.53,19.56,19.0,19.11,256673,500269232.0,0
2020-04-24,19.11,19.29,18.48,18.58,193870,371167344.0,0
2020-04-27,18.69,19.23,18.58,18.96,169675,327242880.0,0
2020-04-28,19.14,19.54,18.2,19.46,273724,532036848.0,0
2020-04-29,19.61,20.03,19.24,19.75,327991,654541552.0,0
2020-04-30,19.95,20.46,19.94,20.18,341561,699997872.0,0
2020-05-06,19.88,20.41,19.63,20.31,342321,695016608.0,0
2020-05-07,20.27,20.27,19.81,19.92,268614,546272336.0,0
2020-05-08,20.01,20.4,19.96,20.08,250629,512889360.0,0
2020-05-11,20.1,20.35,19.79,19.96,266094,541277248.0,0
2020-05-12,19.94,19.97,19.35,19.61,276324,551452640.0,0
2020-05-13,19.49,19.85,19.45,19.69,209984,419598448.0,0
2020-05-14,19.64,21.69,19.55,21.69,939077,2013519712.0,0
2020-05-15,21.38,21.76,21.29,21.32,614614,1339116016.0,0
2020-05-18,21.4,21.53,20.41,20.65,435777,923381728.0,0
2020-05-19,21.08,22.44,20.87,22.17,598041,1326367632.0,0
