datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,16.54,19.54,16.4,18.47,6427331,11980236480.0,0
2020-02-29,18.35,27.39,17.57,23.04,13929556,33771490032.0,0
2020-03-31,23.49,23.79,16.7,17.49,8437350,17565363168.0,0
2020-04-30,17.61,20.46,17.37,20.18,5723898,11107295552.0,0
2020-05-31,19.88,22.65,19.35,21.9,7048873,15078770576.0,0
2020-06-30,21.95,24.89,20.81,24.67,8628938,19760079952.0,0
2020-07-31,24.68,30.84,23.95,26.67,11494035,31039671392.0,0
2020-08-31,26.67,29.89,23.22,27.56,7926508,21209715539.0,0
2020-09-30,27.58,30.56,24.85,25.76,9457772,26641971124.0,0
2020-10-31,26.31,27.38,24.15,24.21,4141796,10819965860.0,0
2020-11-30,24.21,24.99,20.26,21.75,4158965,9558176515.0,0
2020-12-31,21.71,23.29,18.21,19.66,4229234,8879298925.0,0
2021-01-31,19.69,25.48,18.46,23.69,8499396,18968289088.0,0
2021-02-28,23.71,24.26,19.58,22.92,5133938,11554079744.0,0
2021-03-31,23.76,27.38,22.03,23.42,8880938,21965883376.0,0
2021-04-30,23.31,24.1,18.23,18.26,4190033,8849317274.0,0
2021-05-31,18.29,19.01,17.5,18.82,2768093,5107379426.0,0
2021-06-30,18.8,18.97,15.99,16.09,3146771,5690428585.0,0
2021-07-31,16.17,19.41,16.06,16.81,4795678,8552435017.0,0
2021-08-31,16.87,17.28,15.18,16.71,3376391,5466763298.0,0
2021-09-30,16.7,20.88,16.54,16.83,6101154,11378635484.0,0
2021-10-31,16.93,18.98,16.87,18.57,3056871,5549524680.0,0
2021-11-30,19.17,24.98,18.98,20.99,13388280,30366755824.0,0
2021-12-31,20.91,23.74,20.09,23.03,8801566,19486255568.0,0
2022-01-31,23.16,28.01,18.56,18.63,10179820,24048110864.0,0
2022-02-28,18.56,19.22,16.73,17.45,3845726,7037034451.0,0
2022-03-31,17.31,17.83,14.86,16.72,4465689,7476805438.0,0
2022-04-30,16.78,17.82,12.54,14.21,4084597,6368953951.0,0
2022-05-31,13.98,15.13,13.7,14.64,2945035,4278821841.0,0
2022-06-30,14.56,16.03,14.21,15.88,4050699,6244328025.0,0
2022-07-31,15.96,15.96,13.8,14.29,2671245,3982151185.0,0
2022-08-31,14.29,15.39,13.45,14.62,3501219,5150584718.0,0
2022-09-30,14.54,14.79,12.23,12.33,2186688,2986818811.0,0
2022-10-31,12.36,13.41,11.89,12.96,1283729,1644175858.0,0
2022-11-30,13.04,16.03,12.98,14.07,4479566,6497355639.0,0
2022-12-31,14.26,14.9,13.52,14.36,2854916,4047005917.0,0
2023-01-31,14.34,16.62,14.13,16.37,2882092,4360937819.0,0
2023-02-28,16.26,26.5,16.22,22.15,22378965,49949468514.0,0
2023-03-31,22.7,46.75,22.63,46.73,26798570,82102731218.0,0
2023-04-30,45.4,65.11,40.35,65.11,26716490,137230374101.0,0
2023-05-31,66.21,70.61,47.64,57.32,21720838,123773233784.0,0
2023-06-30,55.76,64.65,39.33,40.23,22290951,120191621113.0,0
2023-07-31,40.46,42.04,35.23,37.0,13954670,54166739159.0,0
2023-08-31,36.8,40.02,31.46,36.13,19092796,69714944190.0,0
2023-09-30,36.25,40.1,30.12,38.29,14069166,49531474470.0,0
2023-10-31,37.72,38.6,27.4,31.47,11581435,37870813772.0,0
2023-11-30,31.03,37.45,30.22,32.3,13362589,45810972836.0,0
2023-12-31,32.45,42.94,32.45,37.35,18608600,71940833022.0,0
2024-01-31,37.23,39.1,29.2,29.61,14853093,51524693093.0,0
2024-02-29,28.82,43.5,26.17,40.32,14088938,50639637046.0,0
2024-03-31,40.4,45.55,36.15,39.8,16408779,68352160744.0,0
2024-04-30,41.43,45.38,34.76,39.93,12990392,53177828959.0,0
2024-05-31,41.35,42.84,34.46,34.84,8843049,33463864438.0,0
2024-06-30,34.75,35.98,29.45,32.24,7676957,25599931926.0,0
2024-07-31,31.74,33.25,28.14,30.14,7068954,21489778000.0,0
2024-08-31,30.18,30.6,25.25,27.16,7470592,20783326360.0,0
2024-09-30,27.0,37.96,25.59,37.55,8542045,24651012353.0,0
2024-10-31,44.73,45.67,33.93,40.75,18596443,76069999842.0,0
2024-11-30,40.68,51.98,37.49,46.11,20645365,91680934110.0,0
2024-12-31,45.63,52.55,38.48,38.48,12996710,59700606848.0,0
2025-01-31,38.47,38.85,33.52,36.89,6787453,24693864165.0,0
2025-02-28,39.0,44.65,36.87,37.01,14964795,62929780256.0,0
2025-03-31,37.25,42.0,33.82,34.46,6435986,24402635777.0,0
2025-04-30,34.63,34.86,27.13,31.9,5156311,15797621017.0,0
2025-05-31,32.28,39.5,30.57,33.42,9547189,33666395789.0,0
2025-06-30,32.97,35.12,31.01,33.63,7028828,23496701912.0,0
2025-07-31,33.6,36.8,32.31,35.9,9775157,33734868167.0,0
2025-08-31,36.19,45.19,33.43,42.0,16904065,65942439548.0,0
2025-09-30,42.25,54.0,38.58,48.59,24581859,107109994431.0,0
2025-10-31,49.0,51.0,39.9,46.07,11548590,51393023250.0,0
2025-11-30,46.8,47.99,39.1,43.5,12897452,55802468775.0,0
2025-12-31,43.27,43.76,37.78,41.7,8915118,36141671073.0,0
2026-01-31,42.05,54.02,41.73,54.02,5596934,25989285095.35,0
