datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,16.54,18.03,16.4,17.62,833165,1482179232.0,0
2020-01-10,17.26,19.49,17.19,18.7,2102189,3967418240.0,0
2020-01-17,18.52,19.54,17.32,17.32,1927468,3630968240.0,0
2020-01-24,17.03,19.34,17.03,18.47,1564509,2899670768.0,0
2020-02-07,18.35,26.56,17.57,25.41,4502870,10411548416.0,0
2020-02-14,24.64,27.39,23.39,23.74,3413237,8580032672.0,0
2020-02-21,24.22,25.44,23.38,24.11,2501235,6132960288.0,0
2020-02-28,23.7,26.46,22.57,23.04,3512214,8646948656.0,0
2020-03-06,23.49,23.79,20.71,21.99,2720335,6072878320.0,0
2020-03-13,22.54,22.97,19.31,20.48,2075107,4512922416.0,0
2020-03-20,20.68,21.11,18.46,19.13,1768277,3527975456.0,0
2020-03-27,18.44,18.95,17.59,18.14,1322106,2476075056.0,0
2020-04-03,17.79,18.35,16.7,17.7,1220208,2194226304.0,0
2020-04-10,18.19,19.24,18.04,18.37,1186136,2258661488.0,0
2020-04-17,18.29,20.09,17.89,19.5,1627045,3203885024.0,0
2020-04-24,19.5,19.81,18.48,18.58,1129083,2212215504.0,0
2020-05-01,18.69,20.46,18.2,20.18,1112951,2213819152.0,0
2020-05-08,19.88,20.41,19.63,20.08,861564,1754178304.0,0
2020-05-15,20.1,21.76,19.35,21.32,2306093,4864964064.0,0
2020-05-22,21.4,22.65,20.41,21.29,2111440,4636600336.0,0
2020-05-29,21.29,22.28,20.27,21.9,1769776,3823027872.0,0
2020-06-05,21.95,22.75,21.74,22.17,1530224,3453911520.0,0
2020-06-12,22.29,23.53,21.56,22.72,2048985,4677613536.0,0
2020-06-19,23.62,23.87,20.81,21.31,2491043,5529057904.0,0
2020-06-26,21.56,24.46,21.42,24.11,1736815,4075065728.0,0
2020-07-03,24.22,25.2,23.75,24.74,1948325,4831946976.0,0
2020-07-10,24.89,30.37,24.48,29.86,3076668,8452182736.0,0
