datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,25.67,25.67,25.18,25.39,24105,65303946.0,0
2020-01-03,25.31,25.92,25.04,25.76,31342,85361613.0,0
2020-01-06,25.65,26.98,25.56,26.6,55601,157233326.0,0
2020-01-07,26.6,27.99,26.2,27.7,56135,162761825.0,0
2020-01-08,27.38,27.59,26.78,26.87,31668,91047531.0,0
2020-01-09,27.25,28.84,26.88,28.67,61694,185091700.0,0
2020-01-10,28.63,28.8,28.24,28.46,26906,81119608.0,0
2020-01-13,28.95,28.95,27.9,28.53,25847,77780945.0,0
2020-01-14,28.58,28.6,27.7,27.92,30025,89252166.0,0
2020-01-15,28.0,28.7,27.68,27.9,29199,86802089.0,0
2020-01-16,27.96,28.43,27.51,28.0,20056,59630052.0,0
2020-01-17,27.96,28.15,27.01,27.5,33240,97014547.0,0
2020-01-20,27.86,28.9,27.23,27.79,42839,126893986.0,0
2020-01-21,28.3,30.05,27.91,29.73,77063,240092238.0,0
2020-01-22,29.42,29.7,28.45,29.19,50999,156097867.0,0
2020-01-23,28.83,29.78,27.83,28.21,32752,99709406.0,0
2020-02-03,27.3,30.9,26.8,29.95,125116,383163648.0,0
2020-02-04,29.95,30.3,27.62,29.52,101145,312495952.0,0
2020-02-05,29.5,31.61,28.8,31.14,113174,359949056.0,0
2020-02-06,30.95,33.48,30.3,32.47,110763,377601904.0,0
2020-02-07,32.58,32.86,30.8,31.12,102153,340546464.0,0
2020-02-10,31.05,31.05,29.23,29.75,92959,293494176.0,0
2020-02-11,30.06,30.09,29.0,29.0,55869,173324939.0,0
2020-02-12,29.2,29.6,28.41,29.45,55982,172978168.0,0
2020-02-13,29.6,29.7,28.13,28.39,63202,191585522.0,0
2020-02-14,28.68,28.92,28.1,28.71,46623,140600792.0,0
2020-02-17,28.61,29.56,28.4,29.24,55530,170678585.0,0
2020-02-18,29.16,29.43,28.71,29.34,48608,149879735.0,0
2020-02-19,29.2,29.29,28.11,28.21,58134,176326019.0,0
2020-02-20,28.18,29.2,28.1,28.89,60852,185344925.0,0
2020-02-21,29.2,30.65,28.91,29.85,87836,277749024.0,0
2020-02-24,30.69,30.79,29.9,30.12,72510,231768297.0,0
2020-02-25,30.32,31.69,29.6,31.65,120336,392895680.0,0
2020-02-26,31.12,31.55,29.3,29.43,71386,229803304.0,0
2020-02-27,29.48,30.98,29.48,30.72,65048,208814103.0,0
2020-02-28,29.84,30.47,28.46,29.01,70396,218387792.0,0
2020-03-02,30.17,30.17,28.58,29.12,61215,188543794.0,0
2020-03-03,29.82,32.2,29.3,31.29,143497,472523568.0,0
2020-03-04,31.3,31.59,30.1,30.82,76812,248330526.0,0
2020-03-05,31.09,32.1,30.69,31.55,80684,268221317.0,0
2020-03-06,31.32,32.59,31.12,32.29,66168,223615110.0,0
2020-03-09,33.09,33.09,30.49,30.62,97213,324996944.0,0
2020-03-10,30.5,31.16,28.5,30.16,103373,326606816.0,0
2020-03-11,30.4,30.47,29.28,29.62,62500,196163203.0,0
2020-03-12,29.5,29.81,28.02,28.27,66179,200716849.0,0
2020-03-13,25.6,28.08,25.6,27.0,75724,217651366.0,0
2020-03-16,27.41,27.92,25.38,25.77,63042,180330624.0,0
2020-03-17,25.96,26.69,24.0,25.3,59810,161445980.0,0
2020-03-18,25.89,26.11,24.7,24.9,50613,137595671.0,0
2020-03-19,25.3,25.37,23.98,24.79,44379,117353650.0,0
2020-03-20,25.15,25.52,24.58,25.41,50527,135479791.0,0
2020-03-23,25.0,25.94,24.25,24.31,44500,119448027.0,0
2020-03-24,24.74,25.2,24.31,25.12,38842,103097737.0,0
2020-03-25,25.95,26.55,25.3,26.51,60361,166479541.0,0
2020-03-26,26.26,28.12,25.83,27.76,78614,229172350.0,0
2020-03-27,28.29,28.71,27.15,27.34,71252,210984463.0,0
2020-03-30,27.53,27.87,25.98,26.3,47197,134385790.0,0
2020-03-31,26.58,26.62,25.86,26.13,31444,87845939.0,0
2020-04-01,26.18,26.67,25.58,25.95,25326,70652116.0,0
2020-04-02,25.62,26.8,25.32,26.8,36087,100250536.0,0
2020-04-03,26.37,27.07,25.96,26.13,41410,116322997.0,0
2020-04-07,26.58,27.07,26.31,26.89,37639,107180874.0,0
2020-04-08,26.94,26.94,26.25,26.39,28076,79015177.0,0
2020-04-09,26.42,27.5,26.21,27.27,51503,148172068.0,0
2020-04-10,26.61,27.5,24.88,25.48,99050,275761904.0,0
2020-04-13,24.8,26.65,24.75,25.93,49934,137682598.0,0
2020-04-14,26.29,27.45,25.75,27.41,75376,215265924.0,0
2020-04-15,27.62,30.32,27.62,30.32,149300,473488720.0,0
2020-04-16,30.28,33.52,29.51,33.52,195568,652312224.0,0
2020-04-17,33.52,36.52,31.8,32.5,300280,1085350144.0,0
2020-04-20,33.96,35.92,33.9,35.92,183308,683844992.0,0
2020-04-21,36.3,38.68,34.7,35.3,291848,1099908784.0,0
2020-04-22,33.95,35.18,33.83,34.3,128669,463842128.0,0
2020-04-23,36.8,37.9,36.8,37.9,262259,1033408848.0,0
2020-04-24,39.31,39.4,35.63,36.5,248681,967549200.0,0
2020-04-27,35.21,38.49,34.6,37.13,216496,829974048.0,0
2020-04-28,36.44,40.42,35.88,39.18,178493,711407456.0,0
2020-04-29,39.1,40.07,37.98,38.35,105670,429565072.0,0
2020-04-30,37.25,37.25,34.98,35.69,158887,596565984.0,0
2020-05-06,35.3,36.6,34.99,36.36,81759,308978464.0,0
2020-05-07,35.73,36.6,35.32,35.8,70373,264151280.0,0
2020-05-08,36.4,36.6,35.23,35.91,85459,321807248.0,0
2020-05-11,36.81,37.03,34.8,35.87,81768,304260816.0,0
2020-05-12,36.24,39.63,36.2,39.63,119006,483587328.0,0
2020-05-13,40.3,41.73,39.8,40.63,175616,741897040.0,0
2020-05-14,39.31,39.7,38.2,38.64,121904,493311584.0,0
2020-05-15,38.75,42.67,38.44,42.67,165410,710711232.0,0
2020-05-18,44.73,47.08,43.6,45.97,151389,713415040.0,0
2020-05-19,46.55,48.04,44.3,46.44,158661,758459120.0,0
2020-05-20,46.71,48.48,44.73,45.44,108211,517148208.0,0
2020-05-21,45.95,50.15,45.1,50.15,150950,757013344.0,0
2020-05-22,48.9,50.39,47.51,49.2,101132,510655344.0,0
2020-05-25,48.9,49.47,46.35,48.6,86952,432762960.0,0
2020-05-26,48.52,51.01,48.11,49.83,83555,429836672.0,0
2020-05-27,49.1,49.7,48.31,48.95,63015,318835408.0,0
2020-05-28,48.8,50.9,47.56,49.02,65020,328802656.0,0
2020-05-29,49.17,52.9,48.31,50.0,91528,480296816.0,0
2020-06-01,49.96,51.91,49.37,50.78,72947,381561200.0,0
2020-06-02,50.31,50.57,47.85,49.31,88464,446136592.0,0
2020-06-03,49.33,51.46,49.02,50.73,66838,349367392.0,0
2020-06-04,50.16,51.2,49.49,50.64,53986,280249776.0,0
2020-06-05,51.29,53.13,48.95,49.26,92548,480616576.0,0
2020-06-08,47.96,49.3,46.9,47.42,122239,604539360.0,0
2020-06-09,48.05,48.4,46.13,47.64,64489,316762704.0,0
2020-06-10,48.3,48.7,47.17,47.3,50855,250504342.0,0
2020-06-11,48.2,48.29,45.12,45.35,92605,443682368.0,0
2020-06-12,45.42,48.69,45.3,48.12,117770,578440240.0,0
2020-06-15,51.3,53.1,51.3,53.1,116110,630435328.0,0
2020-06-16,54.3,58.3,52.3,57.8,184674,1058025488.0,0
2020-06-17,60.46,63.73,58.14,60.52,230782,1441850672.0,0
2020-06-18,59.98,59.98,54.32,54.32,199808,1142403040.0,0
2020-06-19,55.05,55.93,52.59,54.99,127472,717824448.0,0
2020-06-22,54.83,55.79,53.84,54.29,89367,502036416.0,0
2020-06-23,54.25,57.19,53.59,56.4,115822,660775504.0,0
2020-06-24,55.5,56.84,52.99,54.64,106675,596372832.0,0
2020-06-29,55.49,57.0,54.65,56.74,89642,515791056.0,0
2020-06-30,55.5,58.26,54.49,56.72,71881,415276512.0,0
2020-07-01,56.71,56.71,54.49,55.94,69844,395777920.0,0
2020-07-02,55.64,56.77,54.09,55.59,75466,429798576.0,0
2020-07-03,55.0,58.99,54.4,58.21,86893,511908368.0,0
2020-07-06,56.86,56.96,54.79,55.97,123485,703798352.0,0
2020-07-07,55.47,56.69,54.76,56.26,94414,542660032.0,0
2020-07-08,56.69,56.71,54.39,56.11,115378,657232832.0,0
2020-07-09,56.41,58.78,56.12,57.48,110102,651228224.0,0
2020-07-10,57.99,62.51,57.12,61.65,126511,783846176.0,0
2020-07-13,61.66,62.7,58.37,61.53,139649,857904880.0,0
2020-07-14,57.49,60.39,56.08,57.99,147440,881603584.0,0
2020-07-15,56.49,57.98,53.07,54.64,135373,770400336.0,0
2020-07-16,54.88,55.09,49.03,49.03,131982,694065552.0,0
2020-07-17,46.99,50.08,46.94,47.84,120153,598265808.0,0
2020-07-20,48.84,48.89,45.77,47.63,92017,445493760.0,0
2020-07-21,47.49,50.19,47.17,49.81,89999,452129280.0,0
2020-07-22,48.79,50.17,47.99,49.31,62639,317672288.0,0
2020-07-23,48.64,52.32,48.59,50.6,99661,523162176.0,0
2020-07-24,50.9,51.75,45.39,47.08,118111,582081648.0,0
2020-07-27,47.29,48.89,45.25,46.89,95249,462548704.0,0
2020-07-28,47.82,48.29,46.08,47.91,59335,289719264.0,0
2020-07-29,47.88,49.74,47.51,49.72,60760,307334400.0,0
2020-07-30,49.79,51.87,48.4,49.61,82979,429069216.0,0
2020-07-31,49.55,51.04,47.35,49.24,98229,495739872.0,0
2020-08-03,49.44,51.77,48.6,51.29,127785,662460528.0,0
2020-08-04,51.07,56.39,51.07,55.51,144260,813318416.0,0
2020-08-05,54.45,54.53,51.99,53.88,112066,614005728.0,0
2020-08-06,53.47,54.09,50.49,51.74,91327,486996560.0,0
2020-08-07,50.99,52.76,49.77,50.93,85150,448395904.0,0
2020-08-10,50.09,55.98,49.89,55.45,137919,757912336.0,0
2020-08-11,55.45,56.89,53.69,53.88,73453,418947696.0,0
2020-08-12,54.94,54.94,50.59,52.16,61761,330789488.0,0
2020-08-13,53.05,54.17,51.31,53.01,44206,241256064.0,0
2020-08-14,53.95,54.49,51.45,52.13,64763,350487104.0,0
2020-08-17,51.85,52.59,50.52,52.5,64054,339685072.0,0
2020-08-18,52.48,53.97,51.55,51.74,39393,212821175.0,0
2020-08-19,51.74,52.14,48.35,48.49,57328,293247504.0,0
2020-08-20,48.83,48.94,46.8,47.05,56445,277449280.0,0
2020-08-21,47.39,48.01,46.64,47.08,26937,131011789.0,0
2020-08-24,47.18,47.78,45.22,47.39,49383,239546733.0,0
2020-08-25,47.25,48.2,47.03,47.43,31141,153143275.0,0
2020-08-26,47.47,47.8,46.61,46.95,30470,148131462.0,0
2020-08-27,47.24,49.57,46.19,48.59,43403,215615495.0,0
2020-08-28,48.06,49.71,47.59,49.37,39294,198489885.0,0
2020-08-31,49.37,50.49,48.34,49.48,41875,213508609.0,0
2020-09-01,49.1,50.99,49.05,49.95,33575,173108857.0,0
2020-09-02,50.52,50.59,49.16,50.25,22691,117042936.0,0
2020-09-03,50.28,50.97,49.59,49.82,25449,131802910.0,0
2020-09-04,49.45,49.99,48.39,49.77,31987,161615783.0,0
2020-09-07,49.53,50.26,48.4,48.67,25624,130098267.0,0
2020-09-08,49.29,50.35,47.07,48.19,36174,181188527.0,0
2020-09-09,47.43,48.07,45.76,46.09,24956,120423510.0,0
2020-09-10,46.25,47.22,46.1,46.22,26505,127311774.0,0
2020-09-11,45.72,46.66,45.2,46.15,22127,104978545.0,0
2020-09-14,47.19,48.1,45.52,47.02,32259,156420698.0,0
2020-09-15,47.59,48.28,46.74,47.49,15386,75381978.0,0
2020-09-16,47.66,48.29,45.99,46.66,23403,113207714.0,0
2020-09-17,46.49,47.67,45.56,47.09,17211,82891000.0,0
2020-09-18,47.57,47.89,46.64,47.49,17709,86657682.0,0
2020-09-21,47.31,48.01,45.79,47.29,22913,111111153.0,0
2020-09-22,47.03,48.93,46.69,47.13,45907,227616106.0,0
2020-09-23,47.17,48.65,46.74,47.86,39264,193581038.0,0
2020-09-24,47.87,48.14,45.66,46.09,38046,182984881.0,0
2020-09-25,46.79,48.09,46.27,47.64,36575,178658306.0,0
2020-09-28,47.66,50.85,46.99,48.28,80920,410006163.0,0
2020-09-29,48.36,50.66,46.99,49.81,67317,339502544.0,0
2020-09-30,49.99,52.29,49.82,51.47,67251,354262704.0,0
2020-10-09,52.59,53.66,51.02,52.89,53260,287993024.0,0
2020-10-12,53.39,54.63,52.72,53.39,53803,295256128.0,0
2020-10-13,53.42,54.97,53.09,54.38,39483,220470313.0,0
2020-10-14,54.18,54.88,53.09,54.37,51311,286011904.0,0
2020-10-15,53.65,55.07,53.5,54.0,42078,234150501.0,0
2020-10-16,52.96,55.15,52.96,54.88,48435,270950096.0,0
2020-10-19,55.44,55.5,53.37,53.96,42300,236204262.0,0
2020-10-20,53.26,53.97,51.78,51.94,60893,328767824.0,0
2020-10-21,52.54,52.97,51.27,51.55,40543,216743436.0,0
2020-10-22,52.09,52.11,49.89,50.34,32157,167289424.0,0
2020-10-23,50.47,50.94,47.49,47.97,27675,140161748.0,0
2020-10-26,47.0,48.76,46.89,47.81,29610,145968247.0,0
2020-10-27,47.68,48.99,47.09,48.57,34313,171001571.0,0
2020-10-28,48.61,48.89,47.09,47.79,36525,179396985.0,0
2020-10-29,48.48,52.49,47.58,51.46,73406,379947216.0,0
2020-10-30,51.63,52.39,49.69,50.19,47931,251383791.0,0
2020-11-02,50.49,51.99,49.9,51.67,39381,207320322.0,0
2020-11-03,52.55,52.69,50.99,51.4,37729,199712136.0,0
2020-11-04,50.61,51.68,48.99,49.19,48915,251093566.0,0
2020-11-05,50.09,50.19,48.43,49.02,45049,227605181.0,0
2020-11-06,49.43,49.74,46.79,47.1,39149,191676005.0,0
2020-11-09,47.1,49.45,46.51,49.01,64139,318387264.0,0
