datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,25.67,30.05,25.04,28.21,629471,1861192845.0,0
2020-02-29,27.3,33.48,26.8,29.01,1577622,4987388085.0,0
2020-03-31,30.17,33.09,23.98,26.13,1473946,4450989056.0,0
2020-04-30,26.18,40.42,24.75,35.69,2863860,10277521794.0,0
2020-05-31,35.3,52.9,34.8,50.0,1961708,8875930560.0,0
2020-06-30,49.96,63.73,45.12,56.72,2154974,11812651846.0,0
2020-07-31,56.71,62.7,45.25,49.24,2335669,12783441248.0,0
2020-08-31,49.44,56.89,45.22,49.48,1422413,7547220103.0,0
2020-09-30,49.1,52.29,45.2,51.47,753249,3759853076.0,0
2020-10-31,52.59,55.5,46.89,50.19,713723,3811696470.0,0
2020-11-30,50.49,52.69,39.85,40.3,1011551,4692402099.0,0
2020-12-31,40.64,46.26,40.59,45.09,897283,4111894426.0,0
2021-01-31,45.06,54.47,42.67,43.84,1277483,6241836253.0,0
2021-02-28,43.32,44.67,38.11,39.12,824973,3474318159.0,0
2021-03-31,39.24,41.62,34.65,39.12,883224,3499505157.0,0
2021-04-30,39.59,46.13,38.79,46.03,824703,3576749617.0,0
2021-05-31,46.59,47.83,43.06,45.69,714003,3362711322.0,0
2021-06-30,46.1,47.1,39.22,41.01,761318,3318750132.0,0
2021-07-31,41.23,41.75,32.49,34.92,1040311,3927813713.0,0
2021-08-31,35.81,38.92,26.92,27.27,1840814,6345964451.0,0
2021-09-30,27.27,28.34,25.82,27.74,1191353,3359223770.0,0
2021-10-31,27.92,29.61,25.1,26.75,1035030,2947195745.0,0
2021-11-30,26.75,30.7,26.1,30.17,1627463,4766201944.0,0
2021-12-31,30.03,30.3,26.45,28.11,1342988,3884897786.0,0
2022-01-31,28.14,37.16,23.85,23.85,3932745,12343531511.0,0
2022-02-28,24.68,27.03,24.27,26.53,1419433,3803085665.0,0
2022-03-31,26.8,28.51,21.15,23.51,3368651,8863288830.0,0
2022-04-30,23.47,23.85,16.86,18.08,1540473,3290407524.0,0
2022-05-31,18.09,19.18,17.62,18.51,1169087,2240193898.0,0
2022-06-30,18.53,20.27,17.8,19.88,1867679,3663316136.0,0
2022-07-31,21.1,21.36,18.01,18.49,2050647,4141892828.0,0
2022-08-31,18.5,18.79,16.69,16.76,1403808,2602962551.0,0
2022-09-30,16.84,17.62,15.14,16.14,1332581,2278826568.0,0
2022-10-31,16.28,21.98,15.26,18.88,3775934,7661885174.0,0
2022-11-30,18.87,20.32,17.52,18.54,3511730,6845566767.0,0
2022-12-31,18.65,20.03,16.63,16.69,2370000,4533927708.0,0
2023-01-31,16.69,18.27,16.69,17.85,780184,1417120417.0,0
2023-02-28,17.85,18.87,17.8,18.57,1176791,2235200737.0,0
2023-03-31,18.58,19.06,17.43,17.82,1257044,2373332388.0,0
2023-04-30,17.89,18.35,15.13,15.82,1057188,1867943426.0,0
2023-05-31,15.72,16.99,15.37,16.08,849304,1414138179.0,0
2023-06-30,15.98,16.23,14.6,14.86,942212,1467279067.0,0
2023-07-31,14.89,15.27,14.34,14.95,868365,1308688971.0,0
2023-08-31,15.0,15.2,13.8,14.27,983983,1460123046.0,0
2023-09-30,14.33,14.94,13.96,14.77,601907,885267447.0,0
2023-10-31,14.85,15.68,13.67,15.47,868147,1307904782.0,0
2023-11-30,15.44,16.03,15.03,15.71,1036699,1629942802.0,0
2023-12-31,15.71,17.12,14.25,14.81,1560906,2481867441.0,0
2024-01-31,14.79,14.97,11.48,11.48,922052,1255678933.0,0
2024-02-29,11.43,12.96,9.64,12.51,1198967,1433763855.0,0
2024-03-31,12.51,13.51,11.99,12.4,1170410,1528899794.0,0
2024-04-30,12.42,12.92,11.14,12.88,969196,1202287703.0,0
2024-05-31,13.16,13.74,12.37,12.65,1138147,1527542009.0,0
2024-06-30,12.59,12.64,10.96,11.12,721816,868256766.0,0
2024-07-31,11.12,11.73,10.78,11.7,1047709,1188182982.0,0
2024-08-31,11.74,13.68,11.16,12.03,2488316,3016826858.0,0
2024-09-30,12.0,14.65,11.01,14.49,1154927,1419541584.0,0
2024-10-31,16.81,17.21,13.45,13.92,2474450,3612206263.0,0
2024-11-30,13.78,15.42,13.51,14.1,1970231,2849850420.0,0
2024-12-31,14.07,14.54,13.1,13.1,1321233,1854993858.0,0
2025-01-31,13.1,13.19,11.92,12.25,915297,1150066878.0,0
2025-02-28,12.4,13.63,12.17,12.74,1212698,1581800180.0,0
2025-03-31,12.75,15.3,12.72,12.93,2632638,3683653164.0,0
2025-04-30,13.0,13.5,10.8,11.27,1606831,1931891262.0,0
2025-05-31,11.35,12.05,11.3,11.82,1116529,1311809343.0,0
2025-06-30,11.79,12.17,11.37,11.9,1097977,1300124710.0,0
2025-07-31,11.9,13.31,11.81,12.82,2290616,2871409423.0,0
2025-08-31,12.6,13.01,12.09,12.26,2337560,2963040154.0,0
2025-09-30,12.21,12.52,11.41,11.63,1362474,1637903486.0,0
2025-10-31,11.69,11.82,11.23,11.7,891636,1031787537.0,0
2025-11-30,11.77,12.31,11.31,11.48,1066267,1258690302.0,0
2025-12-31,11.54,11.66,11.08,11.19,939594,1068665009.0,0
2026-01-31,11.24,11.77,11.22,11.77,373461,430698776.6,0
