datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,26.91,28.05,26.72,27.19,87441,240787144.0,0
2020-01-03,27.11,27.81,26.79,27.04,68924,188168710.0,0
2020-01-06,26.73,27.68,26.47,27.51,67727,184265966.0,0
2020-01-07,27.47,28.45,27.31,27.44,74724,208330384.0,0
2020-01-08,26.97,27.21,26.11,26.31,67046,179600502.0,0
2020-01-09,26.71,27.01,26.45,26.91,44100,118482040.0,0
2020-01-10,27.12,27.16,26.41,26.62,38767,103745532.0,0
2020-01-13,26.49,27.79,26.39,27.77,84810,231454395.0,0
2020-01-14,27.91,27.94,27.05,27.09,63011,173496215.0,0
2020-01-15,27.02,28.58,26.77,28.31,96779,269413344.0,0
2020-01-16,27.97,29.53,27.8,29.0,127461,368710512.0,0
2020-01-17,28.99,29.31,28.12,28.56,68782,197727317.0,0
2020-01-20,29.01,30.71,28.11,30.11,105476,313939744.0,0
2020-01-21,29.46,29.71,29.05,29.16,71926,211589258.0,0
2020-01-22,28.73,30.61,28.07,29.92,97252,287592416.0,0
2020-01-23,28.91,29.38,26.92,27.18,94800,267173387.0,0
2020-02-03,24.45,24.45,24.45,24.45,3066,7523964.0,0
2020-02-04,22.0,24.21,22.0,23.46,77012,180859351.0,0
2020-02-05,23.46,24.41,23.43,23.7,64102,153591427.0,0
2020-02-06,23.46,24.35,23.15,24.28,57140,137189960.0,0
2020-02-07,24.03,25.46,23.93,25.19,64606,161005407.0,0
2020-02-10,24.91,25.64,24.71,25.47,48929,124220127.0,0
2020-02-11,25.47,26.78,25.21,26.38,92683,242557253.0,0
2020-02-12,26.13,26.91,25.72,26.54,76013,201377293.0,0
2020-02-13,26.51,28.41,26.32,26.86,97759,266394409.0,0
2020-02-14,26.86,28.06,26.53,26.99,112227,308149808.0,0
2020-02-17,27.36,28.27,26.95,28.16,135755,375177168.0,0
2020-02-18,28.15,30.99,27.79,30.99,146623,429012688.0,0
2020-02-19,32.01,34.1,31.96,32.91,287165,958411984.0,0
2020-02-20,32.9,36.21,32.9,36.21,192223,670497248.0,0
2020-02-21,38.71,39.84,36.99,38.03,314080,1217190720.0,0
2020-02-24,37.16,40.51,36.91,38.21,219490,844652640.0,0
2020-02-25,36.44,38.71,34.71,37.33,181229,673321152.0,0
