datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,26.91,30.71,26.11,27.18,1259026,3544476866.0,0
2020-02-29,24.45,40.51,22.0,33.01,2582515,8352469431.0,0
2020-03-31,34.88,44.35,29.51,30.42,3259582,11774143970.0,0
2020-04-30,30.19,34.88,24.41,28.2,1654162,5086482613.0,0
2020-05-31,27.91,33.52,27.91,32.01,1783288,5648067265.0,0
2020-06-30,31.69,37.9,31.69,34.3,1472443,5071825256.0,0
2020-07-31,34.34,41.25,29.22,31.09,1566675,5502535859.0,0
2020-08-31,31.35,33.08,29.04,29.81,549603,1697359834.0,0
2020-09-30,29.64,34.63,25.44,25.64,1105456,3297505862.0,0
2020-10-31,26.29,30.44,25.85,26.31,481461,1344424609.0,0
2020-11-30,26.31,33.94,25.65,32.39,1247996,3760258324.0,0
2020-12-31,32.01,32.79,21.78,25.18,811107,2315219499.0,0
2021-01-31,24.94,26.29,19.78,19.99,421525,973684455.0,0
2021-02-28,19.99,20.8,17.56,19.57,276326,533029199.0,0
2021-03-31,19.89,20.81,17.74,18.14,468174,901628710.0,0
2021-04-30,18.24,19.73,17.84,19.54,423360,804142056.0,0
2021-05-31,19.38,22.43,19.29,20.9,760056,1587545160.0,0
2021-06-30,20.74,32.81,20.44,28.72,1870665,4960692318.0,0
2021-07-31,28.05,39.5,24.73,35.35,2325909,7209197550.0,0
2021-08-31,34.52,37.23,29.05,31.52,2072899,6902591035.0,0
2021-09-30,31.53,31.74,24.75,25.28,841803,2406499582.0,0
2021-10-31,25.75,28.83,24.92,26.49,570201,1539850301.0,0
2021-11-30,26.5,33.88,25.83,31.17,1376716,4151522350.0,0
2021-12-31,31.27,31.61,25.88,27.2,693530,1989440508.0,0
2022-01-31,27.2,28.22,23.75,24.54,351363,934894039.0,0
2022-02-28,25.23,28.85,24.15,26.41,379790,1009567265.0,0
2022-03-31,26.28,26.85,21.73,21.99,840234,2054981602.0,0
2022-04-30,21.93,22.24,15.7,17.68,333152,645732739.0,0
2022-05-31,17.95,20.66,17.44,19.86,356288,694374146.0,0
2022-06-30,19.9,27.76,18.56,25.93,1308502,3141254996.0,0
2022-07-31,25.46,26.55,22.25,24.9,1719977,4257042270.0,0
2022-08-31,25.1,31.19,22.86,23.08,2556979,7153624976.0,0
2022-09-30,23.24,24.85,19.98,20.07,597823,1360843749.0,0
2022-10-31,20.33,25.68,19.13,23.92,662839,1482596825.0,0
2022-11-30,23.96,29.96,23.16,25.47,1775832,4820047399.0,0
2022-12-31,25.8,27.05,22.18,22.96,810942,2043239573.0,0
2023-01-31,22.97,27.06,22.69,26.65,641300,1610507425.0,0
2023-02-28,26.56,30.35,25.17,25.6,1262924,3449715041.0,0
2023-03-31,25.45,30.26,25.02,30.26,1824514,5089574922.0,0
2023-04-30,30.6,32.46,22.62,23.45,1530486,4420510394.0,0
2023-05-31,23.32,25.1,22.24,24.66,651257,1553744215.0,0
2023-06-30,24.57,29.77,23.75,29.35,1147459,3074816225.0,0
2023-07-31,29.43,30.96,23.77,24.53,1256620,3437276002.0,0
2023-08-31,24.52,29.34,22.63,26.16,2119454,5637064942.0,0
2023-09-30,25.98,28.24,25.2,25.68,804243,2164348817.0,0
2023-10-31,25.67,26.63,23.7,26.08,462541,1178481258.0,0
2023-11-30,26.07,28.43,25.76,26.89,907666,2459153012.0,0
2023-12-31,26.74,27.15,23.9,25.85,487596,1240117825.0,0
2024-01-31,26.04,26.1,18.17,18.35,458863,1032607642.0,0
2024-02-29,18.18,20.54,13.72,18.91,603061,1047783956.0,0
2024-03-31,18.98,21.53,18.74,19.88,626713,1256761687.0,0
2024-04-30,19.94,22.27,15.82,18.47,625761,1174358718.0,0
2024-05-31,18.64,21.93,17.39,19.96,1132841,2291392044.0,0
2024-06-30,19.88,22.47,17.8,19.05,1249612,2532558946.0,0
2024-07-31,19.26,20.36,17.58,19.53,840093,1595101161.0,0
2024-08-31,19.64,20.27,16.8,18.0,471273,861748252.0,0
2024-09-30,17.98,22.14,16.6,21.74,403577,750074067.0,0
2024-10-31,26.09,28.1,21.87,24.17,1704128,4225972132.0,0
2024-11-30,24.0,27.77,22.6,25.02,1364994,3409488044.0,0
2024-12-31,24.99,28.88,23.3,24.05,1981324,5156410768.0,0
2025-01-31,23.98,24.4,20.2,21.66,880877,1948797914.0,0
2025-02-28,22.07,24.35,21.94,22.83,804027,1877312848.0,0
2025-03-31,23.07,25.26,21.51,22.09,842104,1970387816.0,0
2025-04-30,22.08,22.85,16.95,20.41,628271,1271458997.0,0
2025-05-31,20.62,22.8,20.36,20.86,580551,1227079640.0,0
2025-06-30,20.79,23.16,20.6,23.0,888408,1972876455.0,0
2025-07-31,23.02,40.0,22.78,36.85,4190301,12638619608.0,0
2025-08-31,36.79,52.98,33.03,42.3,5696368,25373673979.0,0
2025-09-30,43.0,51.55,37.45,41.5,3070577,13550837364.0,0
2025-10-31,41.52,42.88,35.5,37.6,1024058,3941607471.0,0
2025-11-30,37.55,43.0,32.78,34.89,1916989,7374462718.0,0
2025-12-31,34.89,39.25,33.27,33.93,1736697,6243851371.0,0
2026-01-31,34.26,38.76,34.25,37.86,469225,1750932905.08,0
