datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,26.91,28.05,26.72,27.04,156365,428955854.0,0
2020-01-10,26.73,28.45,26.11,26.62,292364,794424424.0,0
2020-01-17,26.49,29.53,26.39,28.56,440843,1240801783.0,0
2020-01-24,29.01,30.71,26.92,27.18,369454,1080294805.0,0
2020-02-07,24.45,25.46,22.0,25.19,265926,640170109.0,0
2020-02-14,24.91,28.41,24.71,26.99,427611,1142698890.0,0
2020-02-21,27.36,39.84,26.95,38.03,1075846,3650289808.0,0
2020-02-28,37.16,40.51,31.61,33.01,813132,2919310624.0,0
2020-03-06,34.88,35.48,31.47,32.41,550086,1852265290.0,0
2020-03-13,31.51,38.03,31.07,38.03,638546,2178629232.0,0
2020-03-20,40.84,44.35,36.61,37.61,1250874,5022234832.0,0
2020-03-27,35.32,36.16,31.05,32.18,640426,2165478736.0,0
2020-04-03,31.5,34.32,29.51,33.18,518131,1642990590.0,0
2020-04-10,33.91,34.88,30.01,30.23,454498,1510329792.0,0
2020-04-17,30.06,30.71,28.5,29.6,334363,993930518.0,0
2020-04-24,29.65,30.69,27.24,27.46,299123,876471272.0,0
2020-05-01,27.69,28.36,24.41,28.2,227697,618296321.0,0
2020-05-08,27.91,30.16,27.91,29.4,218906,642127043.0,0
2020-05-15,29.78,32.35,29.28,31.27,533460,1678366282.0,0
2020-05-22,31.89,33.41,30.26,30.81,506857,1621662324.0,0
2020-05-29,30.81,33.52,30.58,32.01,524065,1705911616.0,0
2020-06-05,31.69,37.9,31.69,35.71,636779,2223763680.0,0
2020-06-12,35.77,36.59,33.03,33.61,308396,1068116691.0,0
2020-06-19,33.03,33.84,32.24,32.84,221191,730894548.0,0
2020-06-26,33.12,34.9,33.03,34.48,189571,650003498.0,0
2020-07-03,34.08,34.94,32.54,33.23,297278,1001826716.0,0
2020-07-10,33.8,41.25,33.61,38.41,610049,2246766416.0,0
2020-07-17,38.06,39.52,31.74,32.1,415054,1518744443.0,0
2020-07-24,32.37,33.22,29.22,29.51,218392,698731681.0,0
2020-07-31,29.94,31.33,29.45,31.09,142408,435513442.0,0
2020-08-07,31.35,33.08,30.74,31.15,191077,609256074.0,0
2020-08-14,31.74,31.78,29.46,30.4,95924,294035507.0,0
2020-08-21,30.69,31.32,29.31,29.87,99362,303016862.0,0
2020-08-28,29.89,31.09,29.04,29.89,135447,407105275.0,0
2020-09-04,29.89,33.93,29.13,32.77,243110,758142766.0,0
2020-09-11,32.5,34.63,25.45,26.04,406139,1284073330.0,0
2020-09-18,26.24,29.97,25.97,28.4,230478,653526528.0,0
2020-09-25,27.98,28.82,25.78,25.82,189208,518542901.0,0
2020-10-02,25.82,26.79,25.44,25.64,64314,167166453.0,0
2020-10-09,26.29,27.03,25.97,26.93,26315,70427510.0,0
2020-10-16,27.26,30.44,27.02,27.88,207300,590271267.0,0
2020-10-23,27.94,28.84,27.37,27.6,141289,398678487.0,0
2020-10-30,27.44,27.93,25.85,26.31,106557,285047345.0,0
2020-11-06,26.31,27.94,25.65,27.63,141058,384095399.0,0
2020-11-13,27.91,33.94,27.75,30.64,414359,1265645429.0,0
2020-11-20,30.66,30.66,28.27,29.75,235117,695660476.0,0
2020-11-27,29.75,31.95,28.83,31.56,360254,1105751724.0,0
2020-12-04,31.38,32.79,30.46,30.74,376469,1193523100.0,0
2020-12-11,31.07,31.49,26.8,27.21,186286,537292294.0,0
2020-12-18,27.29,27.94,25.82,26.7,108893,294552471.0,0
2020-12-25,26.59,27.6,25.31,25.62,110325,292823726.0,0
2021-01-01,25.44,25.48,21.78,25.18,126342,306133204.0,0
2021-01-08,24.94,26.29,22.81,23.44,121771,302650638.0,0
2021-01-15,23.69,24.07,21.3,22.78,123285,277049772.0,0
2021-01-22,22.78,23.73,22.21,22.24,96564,223486197.0,0
