datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,45.75,46.66,44.91,45.92,206116,2213454656.0,0
2020-01-03,45.92,47.41,45.06,47.05,180842,1956828816.0,0
2020-01-06,48.02,49.8,46.08,46.8,265002,2958351776.0,0
2020-01-07,46.75,47.1,45.86,46.47,135075,1461154192.0,0
2020-01-08,46.75,48.13,45.69,47.08,192241,2098374352.0,0
2020-01-09,48.41,50.36,47.31,50.08,201644,2287090672.0,0
2020-01-10,49.63,49.63,48.23,49.14,144280,1628569248.0,0
2020-01-13,50.63,52.01,49.63,51.13,215974,2516539920.0,0
2020-01-14,52.58,53.27,50.18,50.47,217685,2585867744.0,0
2020-01-15,50.47,51.51,48.53,50.25,177587,2031327376.0,0
2020-01-16,50.63,50.91,49.44,50.86,129342,1492301744.0,0
2020-01-17,50.83,51.5,49.52,50.12,146624,1694771904.0,0
2020-01-20,50.07,55.68,48.91,54.63,248922,2992287056.0,0
2020-01-21,54.25,54.52,53.11,53.77,142671,1734790912.0,0
2020-01-22,53.77,60.53,52.51,60.53,349916,4493837312.0,0
2020-01-23,59.8,62.3,55.69,58.73,359862,4755930112.0,0
2020-02-03,56.5,65.9,56.47,61.39,526346,7148822272.0,0
2020-02-04,67.17,68.91,63.97,68.91,359136,5283954944.0,0
2020-02-05,74.06,77.18,73.02,77.18,530824,8588999680.0,0
2020-02-06,72.31,80.57,71.18,80.57,579190,9265611008.0,0
2020-02-07,78.41,80.26,74.5,75.19,454995,7426674432.0,0
2020-02-10,75.63,79.85,75.08,78.0,375409,6161572608.0,0
2020-02-11,79.08,79.52,73.75,74.19,339946,5451183360.0,0
2020-02-12,71.5,76.1,70.65,74.88,325862,5174595072.0,0
2020-02-13,72.85,74.73,71.57,73.05,313610,4914616320.0,0
2020-02-14,74.47,75.02,68.89,69.47,439619,6739413504.0,0
2020-02-17,68.97,72.95,68.9,71.8,344471,5309579008.0,0
2020-02-18,71.8,74.52,71.11,73.2,282305,4400767232.0,0
2020-02-19,77.86,77.91,71.13,71.3,418168,6598898944.0,0
2020-02-20,73.13,77.86,71.19,75.08,518440,8254242560.0,0
2020-02-21,73.86,76.47,72.42,75.02,338051,5376640768.0,0
2020-02-24,73.41,75.0,70.9,71.97,365231,5670551040.0,0
2020-02-25,69.38,78.13,68.88,76.11,516026,8116792576.0,0
2020-02-26,74.36,75.55,69.91,71.11,338280,5273485056.0,0
2020-02-27,72.36,73.22,68.86,69.23,332002,5062343424.0,0
2020-02-28,63.96,66.75,61.47,61.56,508447,7090643712.0,0
2020-03-02,63.3,65.05,61.16,63.96,318150,4426474496.0,0
2020-03-03,67.3,69.35,66.13,67.18,296911,4366384640.0,0
2020-03-04,66.18,67.23,63.85,66.02,205946,2945905664.0,0
2020-03-05,67.6,68.32,65.08,66.87,224633,3254884224.0,0
2020-03-06,65.08,68.02,64.8,65.92,159809,2309879440.0,0
2020-03-09,63.41,64.47,60.08,60.33,294253,4022533008.0,0
2020-03-10,60.42,64.91,60.08,64.26,292745,4026499808.0,0
2020-03-11,65.63,68.73,63.3,64.4,339232,4857506560.0,0
2020-03-12,61.86,62.17,59.15,60.75,333858,4454589952.0,0
2020-03-13,56.25,60.52,56.2,59.58,274553,3557983792.0,0
2020-03-16,57.3,57.79,52.24,52.33,490485,5992811776.0,0
2020-03-17,53.41,54.48,48.0,51.72,392203,4571660032.0,0
2020-03-18,52.25,54.8,50.63,51.38,313384,3757216352.0,0
2020-03-19,52.3,52.58,48.24,50.1,331563,3803916544.0,0
2020-03-20,51.75,52.69,49.09,50.56,225142,2615607088.0,0
2020-03-23,47.75,48.17,44.53,45.9,307618,3324031008.0,0
2020-03-24,47.63,48.9,45.63,48.17,291170,3222263472.0,0
2020-03-25,50.75,54.07,50.63,53.41,385928,4603104768.0,0
2020-03-26,52.31,54.16,51.91,52.65,194371,2344662560.0,0
2020-03-27,54.08,54.71,51.39,52.14,174991,2101160336.0,0
2020-03-30,50.63,53.21,47.69,52.47,261655,3010412512.0,0
2020-03-31,53.01,54.6,51.67,53.07,194852,2350421152.0,0
2020-04-01,54.58,55.95,52.35,53.08,298951,3664714144.0,0
2020-04-02,51.47,54.86,51.03,54.86,209588,2523168224.0,0
2020-04-03,55.44,55.63,52.75,53.41,182204,2225897360.0,0
2020-04-07,54.86,56.24,54.53,55.47,183729,2284706368.0,0
2020-04-08,55.02,55.91,54.3,54.52,119470,1479285376.0,0
2020-04-09,55.07,55.35,52.75,52.97,160528,1944405072.0,0
2020-04-10,53.5,54.56,51.71,52.0,145696,1748457120.0,0
2020-04-13,50.02,51.18,49.01,49.91,124581,1432291936.0,0
2020-04-14,51.75,56.28,51.47,56.28,388939,4803638016.0,0
2020-04-15,58.3,59.46,56.87,57.3,325645,4226641424.0,0
2020-04-16,57.45,60.47,56.65,60.05,216381,2835377040.0,0
2020-04-17,61.79,64.29,61.25,62.27,292522,4024198912.0,0
2020-04-20,61.97,62.16,59.46,60.92,187002,2507578384.0,0
2020-04-21,59.52,60.0,56.75,58.7,193917,2519303200.0,0
2020-04-22,56.93,59.69,56.91,58.88,146869,1904011488.0,0
2020-04-23,60.02,60.02,57.63,58.36,125379,1635621696.0,0
2020-04-24,58.41,61.75,58.41,59.35,169916,2263542704.0,0
2020-04-27,60.09,61.75,59.57,60.58,143655,1933994992.0,0
2020-04-28,62.3,64.02,59.31,63.02,226917,3115997360.0,0
2020-04-29,61.82,64.07,61.75,63.26,119544,1659513008.0,0
2020-04-30,66.19,68.7,66.19,66.4,233385,3409837968.0,0
2020-05-06,63.41,67.75,63.27,67.18,191464,2769607856.0,0
2020-05-07,67.47,67.97,64.52,65.75,160787,2302059536.0,0
2020-05-08,65.63,66.87,64.46,66.23,141339,2024998128.0,0
2020-05-11,66.3,67.29,61.22,62.65,285364,3959234288.0,0
2020-05-12,63.45,63.9,61.6,63.41,160277,2208624432.0,0
2020-05-13,62.48,63.77,62.23,63.0,121542,1678255888.0,0
