datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,375.5,375.5,370.5,370.58,61528,2290812646,0
2025-11-26 11:30:00,370.57,375.0,370.07,373.5,46390,1726586698,0
2025-11-26 14:00:00,373.56,375.2,371.99,373.9,48329,1804409530,0
2025-11-26 15:00:00,373.87,374.16,372.82,372.82,32860,1227095094,0
2025-11-27 10:30:00,373.0,378.88,370.49,373.19,110175,4122752307,0
2025-11-27 11:30:00,372.97,373.88,371.71,371.74,28638,1066831853,0
2025-11-27 14:00:00,371.73,376.64,371.71,373.51,34163,1279136649,0
2025-11-27 15:00:00,373.51,373.91,370.0,371.2,49027,1820403851,0
2025-11-28 10:30:00,370.5,371.25,366.16,369.8,79962,2945592245,0
2025-11-28 11:30:00,369.8,371.99,369.8,371.38,26253,974254957,0
2025-11-28 14:00:00,371.37,375.48,370.6,371.31,41171,1534182996,0
2025-11-28 15:00:00,371.32,374.38,370.86,373.2,56016,2088307074,0
2025-12-01 10:30:00,374.76,381.36,374.06,375.66,108960,4114187114,0
2025-12-01 11:30:00,375.71,377.52,374.03,375.4,33071,1243142460,0
2025-12-01 14:00:00,375.5,378.56,374.58,378.55,38780,1461350334,0
2025-12-01 15:00:00,378.65,382.97,378.38,382.97,86700,3302182930,0
2025-12-02 10:30:00,383.5,384.98,379.39,379.82,75772,2895273100,0
2025-12-02 11:30:00,379.41,381.68,378.56,378.79,26860,1020181399,0
2025-12-02 14:00:00,378.92,379.67,377.4,378.04,29028,1097841510,0
2025-12-02 15:00:00,378.05,380.08,377.89,380.08,31825,1207273467,0
2025-12-03 10:30:00,380.09,383.37,378.7,378.83,58241,2218319878,0
2025-12-03 11:30:00,378.95,378.95,376.36,377.52,24950,942114184,0
2025-12-03 14:00:00,377.69,378.76,376.0,376.17,23338,879840161,0
2025-12-03 15:00:00,376.13,376.55,375.0,376.08,33383,1254597494,0
2025-12-04 10:30:00,379.19,382.66,375.15,379.8,66333,2513585178,0
2025-12-04 11:30:00,380.0,383.0,379.01,382.43,51671,1971094955,0
2025-12-04 14:00:00,382.43,382.68,379.78,380.21,23470,894633832,0
2025-12-04 15:00:00,380.16,383.6,380.16,383.35,50184,1920629104,0
2025-12-05 10:30:00,387.2,387.91,382.0,384.6,77216,2977892022,0
2025-12-05 11:30:00,384.58,385.3,382.64,384.58,32629,1252196105,0
2025-12-05 14:00:00,384.63,388.78,384.07,388.78,64580,2499607165,0
2025-12-05 15:00:00,388.84,389.31,388.16,389.09,58491,2274885502,0
2025-12-08 10:30:00,390.43,392.0,385.5,391.33,84218,3276175407,0
2025-12-08 11:30:00,391.13,393.5,391.01,392.15,44574,1749211707,0
2025-12-08 14:00:00,392.08,395.38,391.25,392.43,49583,1952392890,0
2025-12-08 15:00:00,392.42,393.0,391.36,392.5,38222,1498918666,0
2025-12-09 10:30:00,391.5,392.26,386.28,388.36,79082,3074152819,0
2025-12-09 11:30:00,388.48,390.5,387.51,389.94,26878,1045938543,0
2025-12-09 14:00:00,389.9,390.95,386.5,386.5,34231,1328432430,0
2025-12-09 15:00:00,386.49,387.6,386.0,387.59,46727,1806552268,0
2025-12-10 10:30:00,385.05,388.0,377.26,380.21,95439,3622738741,0
2025-12-10 11:30:00,380.29,384.55,380.2,381.33,35322,1349947475,0
2025-12-10 14:00:00,381.35,381.66,378.9,380.63,27782,1056590471,0
2025-12-10 15:00:00,380.51,384.16,380.37,382.38,35791,1370084528,0
2025-12-11 10:30:00,384.9,398.86,383.38,395.42,171825,6765816839,0
2025-12-11 11:30:00,395.32,396.0,392.38,392.97,33840,1333245136,0
2025-12-11 14:00:00,392.75,393.16,390.58,392.27,34222,1340553570,0
2025-12-11 15:00:00,392.26,392.44,388.73,388.99,42266,1649416408,0
2025-12-12 10:30:00,392.0,393.39,385.5,386.33,81237,3155366541,0
2025-12-12 11:30:00,386.37,389.92,385.85,388.04,37581,1457700672,0
2025-12-12 14:00:00,387.88,393.02,387.88,391.65,52513,2053667831,0
2025-12-12 15:00:00,391.73,392.76,389.96,391.8,68689,2688755851,0
2025-12-15 10:30:00,391.5,394.97,386.6,386.93,82041,3204090562,0
2025-12-15 11:30:00,386.79,389.34,386.01,386.05,36208,1402191941,0
2025-12-15 14:00:00,386.11,388.07,385.21,386.04,30633,1183803158,0
2025-12-15 15:00:00,386.16,387.55,385.5,385.5,33868,1309165779,0
2025-12-16 10:30:00,386.0,389.08,381.34,382.9,70391,2703683857,0
2025-12-16 11:30:00,382.89,383.0,378.03,378.29,49461,1879206768,0
2025-12-16 14:00:00,378.3,381.9,378.17,380.06,34211,1298184128,0
2025-12-16 15:00:00,380.38,381.1,378.41,378.41,37154,1410980059,0
2025-12-17 10:30:00,376.45,380.68,375.06,378.22,68703,2596595428,0
2025-12-17 11:30:00,378.22,379.2,376.7,377.38,28511,1077462796,0
2025-12-17 14:00:00,377.39,380.8,376.0,380.77,51770,1958183058,0
2025-12-17 15:00:00,380.88,384.5,380.77,383.42,73591,2821061925,0
2025-12-18 10:30:00,379.57,380.95,370.68,371.87,144578,5422103141,0
2025-12-18 11:30:00,371.78,373.12,370.01,372.5,54463,2022202735,0
2025-12-18 14:00:00,372.5,375.95,371.8,373.26,43492,1628631904,0
2025-12-18 15:00:00,373.21,373.33,372.0,372.0,53860,2006447649,0
2025-12-19 10:30:00,374.08,377.68,370.8,376.32,79049,2957072175,0
2025-12-19 11:30:00,376.32,377.25,373.77,374.44,24247,909758670,0
2025-12-19 14:00:00,374.52,375.98,373.67,373.92,28043,1050571321,0
2025-12-19 15:00:00,373.66,374.95,372.78,374.0,44261,1655405704,0
2025-12-22 10:30:00,376.0,377.99,371.5,372.32,94542,3542234557,0
2025-12-22 11:30:00,372.22,372.6,368.1,370.59,63321,2345719929,0
2025-12-22 14:00:00,371.0,372.14,370.17,370.49,40433,1500112631,0
2025-12-22 15:00:00,370.48,371.98,370.14,371.84,56640,2101706467,0
2025-12-23 10:30:00,372.0,374.9,371.6,372.11,66182,2468858922,0
2025-12-23 11:30:00,372.13,380.5,372.13,379.0,84907,3201613387,0
2025-12-23 14:00:00,378.94,379.14,376.8,377.62,37136,1403568313,0
2025-12-23 15:00:00,377.61,378.28,376.58,378.1,47815,1805275107,0
2025-12-24 10:30:00,378.08,378.08,372.0,373.91,79443,2977083930,0
2025-12-24 11:30:00,373.82,374.9,372.52,373.42,34606,1292078574,0
2025-12-24 14:00:00,373.41,376.68,373.35,374.71,44127,1655863790,0
2025-12-24 15:00:00,374.82,376.0,374.52,375.6,52707,1977831637,0
2025-12-25 10:30:00,374.21,374.21,369.22,369.36,94424,3504167243,0
2025-12-25 11:30:00,369.39,371.0,369.12,370.5,34499,1275796979,0
2025-12-25 14:00:00,370.5,374.05,370.0,373.52,38538,1436482523,0
2025-12-25 15:00:00,373.55,374.21,372.75,373.01,35971,1342889473,0
2025-12-26 10:30:00,372.96,375.0,370.1,373.9,92508,3442642365,0
2025-12-26 11:30:00,373.98,378.0,372.63,373.6,86366,3240285191,0
2025-12-26 14:00:00,373.62,375.35,371.97,375.29,38089,1424658861,0
2025-12-26 15:00:00,375.3,376.25,373.7,374.43,40273,1508529602,0
2025-12-29 10:30:00,374.0,374.43,368.0,371.56,99302,3675793088,0
2025-12-29 11:30:00,371.5,372.33,370.1,370.1,38716,1438443943,0
2025-12-29 14:00:00,369.99,371.0,368.99,369.0,41937,1549526279,0
2025-12-29 15:00:00,369.0,370.01,368.17,369.31,61286,2260739435,0
2025-12-30 10:30:00,367.1,369.88,366.56,367.79,69164,2544727043,0
2025-12-30 11:30:00,367.77,369.26,367.01,367.68,30540,1123229311,0
2025-12-30 14:00:00,367.8,371.0,366.8,369.05,49212,1816284958,0
2025-12-30 15:00:00,368.96,370.4,368.31,369.2,41391,1529774447,0
2025-12-31 10:30:00,369.79,372.0,369.0,370.21,64005,2372099014,0
2025-12-31 11:30:00,370.53,371.83,368.03,368.15,33189,1227512313,0
2025-12-31 14:00:00,368.15,369.41,367.15,368.16,25781,949673131,0
2025-12-31 15:00:00,368.05,368.9,367.2,367.26,37290,1371147057,0
2026-01-05 10:30:00,370.0,373.3,368.19,371.92,114759,4260035284,0
2026-01-05 11:30:00,371.92,373.59,371.02,373.42,67620,2519990867,0
2026-01-05 14:00:00,373.37,376.26,371.56,376.09,74862,2799878854,0
2026-01-05 15:00:00,376.09,378.0,375.95,377.5,79641,3003514530,0
2026-01-06 10:30:00,380.0,380.5,373.63,373.92,121847,4600044881,0
2026-01-06 11:30:00,373.88,373.89,369.04,370.57,99652,3695809720,0
2026-01-06 14:00:00,370.78,372.99,370.01,372.92,64247,2386858520,0
2026-01-06 15:00:00,372.93,374.25,372.62,373.99,55731,2082082496,0
2026-01-07 10:30:00,372.95,375.48,370.01,370.72,98295,3658995872,0
2026-01-07 11:30:00,370.53,371.92,370.3,370.72,45105,1672885207,0
2026-01-07 14:00:00,370.75,371.6,368.49,369.27,72385,2677550512,0
2026-01-07 15:00:00,369.26,371.22,369.26,371.01,46501,1721512055,0
2026-01-08 10:30:00,368.0,373.33,367.0,372.42,123020,4554013185,0
2026-01-08 11:30:00,372.38,372.49,370.54,370.55,33206,1233207407,0
2026-01-08 14:00:00,370.54,370.7,367.28,367.38,64633,2381046313,0
2026-01-08 15:00:00,367.4,369.21,367.21,369.21,48731,1794130533,0
2026-01-09 10:30:00,369.17,377.63,368.68,372.18,141996,5304442607,0
2026-01-09 11:30:00,372.42,372.99,369.4,369.41,46936,1740514675,0
2026-01-09 14:00:00,369.52,369.82,367.88,367.88,61495,2267083540,0
2026-01-09 15:00:00,367.91,369.57,367.01,369.23,64345,2368994450,0
