datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,45.75,62.3,44.91,58.73,3313783,38901477792.0,0
2020-02-29,56.5,80.57,56.47,61.56,8206358,127309387520.0,0
2020-03-31,63.3,69.35,44.53,53.07,6303452,79919909184.0,0
2020-04-30,54.58,68.7,49.01,66.4,4194818,54142181792.0,0
2020-05-31,63.41,72.52,61.22,67.04,3170483,45835737008.0,0
2020-06-30,68.12,86.02,67.5,83.18,3251608,52184831648.0,0
2020-07-31,85.48,110.92,77.71,104.18,5843266,115684015664.0,0
2020-08-31,105.13,110.19,89.09,100.95,3587365,72255595875.0,0
2020-09-30,101.03,105.76,85.2,102.53,3465566,68039178439.0,0
2020-10-31,108.53,128.87,108.16,123.63,2438196,57210330093.0,0
2020-11-30,123.53,139.22,116.32,121.2,2750718,69808472224.0,0
2020-12-31,118.98,182.92,117.76,181.37,3048147,88228082896.0,0
2021-01-31,185.26,222.42,176.62,183.04,3943670,153076461824.0,0
2021-02-28,182.42,220.76,162.86,165.33,3112890,116154931200.0,0
2021-03-31,170.48,182.53,141.9,165.3,4256983,135295231008.0,0
2021-04-30,166.2,204.09,158.53,201.96,3101908,108007705280.0,0
2021-05-31,202.98,228.3,176.96,227.48,2675782,102029249168.0,0
2021-06-30,219.65,287.42,208.53,283.42,2915759,130138216240.0,0
2021-07-31,284.53,309.89,261.45,292.22,3411086,184272091648.0,0
2021-08-31,295.89,305.88,247.49,261.37,3468593,178747459072.0,0
2021-09-30,259.78,287.0,248.39,278.52,2302710,116598499792.0,0
2021-10-31,283.11,345.05,263.6,341.57,2157533,125868034640.0,0
2021-11-30,342.56,367.37,323.67,364.22,2267458,147238338320.0,0
2021-12-31,364.22,370.89,299.22,313.11,2766695,172936233856.0,0
2022-01-31,323.11,324.5,277.69,315.67,2543483,144546629696.0,0
2022-02-28,323.11,325.32,255.92,282.76,2572951,134526045952.0,0
2022-03-31,286.0,290.93,232.56,271.06,3718851,183622379264.0,0
2022-04-30,268.67,277.83,190.19,213.86,3456746,147689327360.0,0
2022-05-31,189.22,226.45,182.56,213.11,3588504,142059005440.0,0
2022-06-30,214.28,300.32,212.0,283.11,4345513,207656894976.0,0
2022-07-31,282.55,300.32,264.01,269.0,2922635,155119725843.0,0
2022-08-31,268.6,305.89,250.07,254.78,3198692,166138887973.0,0
2022-09-30,253.11,255.89,209.31,209.52,3183999,139217572217.0,0
2022-10-31,210.14,232.55,184.91,193.96,2283369,93031505289.0,0
2022-11-30,195.97,221.7,186.82,200.7,2983253,115638402551.0,0
2022-12-31,207.45,225.75,198.07,205.37,2485773,100840541100.0,0
2023-01-31,204.59,259.34,198.87,245.25,2370104,101907866190.0,0
2023-02-28,248.47,253.31,209.09,211.2,2247147,98202031537.0,0
2023-03-31,210.75,217.35,191.25,212.39,3178095,125698667878.0,0
2023-04-30,212.42,225.54,197.92,219.06,3433272,119428394524.0,0
2023-05-31,219.21,232.77,203.81,209.38,4100111,94410459797.0,0
2023-06-30,210.85,222.38,192.66,217.0,4442048,97887152338.0,0
2023-07-31,220.16,227.71,202.35,225.96,3011372,68537371347.0,0
2023-08-31,225.61,239.54,214.02,224.76,3808985,90525864249.0,0
2023-09-30,224.81,227.72,190.66,191.24,3503245,75588901581.0,0
2023-10-31,189.21,189.49,157.02,173.81,4436244,82306852597.0,0
2023-11-30,174.0,185.31,152.7,155.21,4045822,73711885809.0,0
2023-12-31,155.5,155.91,134.48,151.47,5214934,82469554312.0,0
2024-01-31,150.43,150.74,128.61,139.8,6069113,92472790403.0,0
2024-02-29,139.79,153.21,130.51,151.72,4784707,74997126008.0,0
2024-03-31,151.74,183.21,144.86,178.37,6208168,111578482924.0,0
2024-04-30,182.21,201.71,174.61,195.84,4258413,83662942658.0,0
2024-05-31,204.24,204.94,188.75,191.0,3368743,68319058240.0,0
2024-06-30,191.0,201.09,171.82,173.27,3923668,74429648651.0,0
2024-07-31,172.43,187.42,164.41,179.55,4078788,74254709573.0,0
2024-08-31,178.24,179.24,160.04,177.58,3373424,59771934544.0,0
2024-09-30,177.68,248.24,173.26,245.13,4886205,100320158938.0,0
2024-10-31,289.24,294.74,222.84,239.22,8671835,223424318002.0,0
2024-11-30,239.77,281.44,237.24,254.48,7409353,196449697305.0,0
2024-12-31,251.88,274.74,248.24,259.24,4772798,127230347997.0,0
2025-01-31,259.49,262.0,234.32,251.46,3681294,93780250726.0,0
2025-02-28,254.46,271.34,241.54,258.76,4714035,124578990652.0,0
2025-03-31,259.46,273.76,245.95,247.4,4656842,121334302580.0,0
2025-04-30,247.4,248.96,203.57,230.5,5296646,119987626585.0,0
2025-05-31,232.91,278.99,230.2,249.0,4799259,123308831131.0,0
2025-06-30,251.0,256.45,237.03,251.22,3442440,85642146476.0,0
2025-07-31,251.5,291.2,248.19,263.62,5296163,144708943716.0,0
2025-08-31,263.8,316.66,256.72,306.18,5866077,163452031408.0,0
2025-09-30,306.5,408.88,299.03,402.0,9848383,340468352275.0,0
2025-10-31,399.98,424.36,354.76,388.77,6108789,233026664006.0,0
2025-11-30,387.0,421.3,366.16,373.2,5531426,213949581109.0,0
2025-12-31,374.76,398.86,366.56,367.26,4938380,187319639562.0,0
2026-01-31,370.0,380.5,367.0,369.23,1525005,56722591706.14,0
