datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,45.75,47.41,44.91,47.05,386958,4170283472.0,0
2020-01-10,48.02,50.36,45.69,49.14,938242,10433540240.0,0
2020-01-17,50.63,53.27,48.53,50.12,887212,10320808688.0,0
2020-01-24,50.07,62.3,48.91,58.73,1101371,13976845392.0,0
2020-02-07,56.5,80.57,56.47,75.19,2450491,37714062336.0,0
2020-02-14,75.63,79.85,68.89,69.47,1794446,28441380864.0,0
2020-02-21,68.97,77.91,68.9,75.02,1901435,29940128512.0,0
2020-02-28,73.41,78.13,61.47,61.56,2059986,31213815808.0,0
2020-03-06,63.3,69.35,61.16,65.92,1205449,17303528464.0,0
2020-03-13,63.41,68.73,56.2,59.58,1534641,20919113120.0,0
2020-03-20,57.3,57.79,48.0,50.56,1752777,20741211792.0,0
2020-03-27,47.75,54.71,44.53,52.14,1354078,15595222144.0,0
2020-04-03,50.63,55.95,47.69,53.41,1147250,13774613392.0,0
2020-04-10,54.86,56.24,51.71,52.0,609423,7456853936.0,0
2020-04-17,50.02,64.29,49.01,62.27,1348068,17322147328.0,0
2020-04-24,61.97,62.16,56.75,59.35,823083,10830057472.0,0
2020-05-01,60.09,68.7,59.31,66.4,723501,10119343328.0,0
2020-05-08,63.41,67.97,63.27,66.23,493590,7096665520.0,0
2020-05-15,66.3,68.24,61.22,67.01,1003639,14012677312.0,0
2020-05-22,66.75,72.52,63.8,65.53,897883,13270049776.0,0
2020-05-29,65.46,72.3,64.27,67.04,775371,11456344400.0,0
2020-06-05,68.12,72.24,67.5,70.31,638632,9591311648.0,0
2020-06-12,71.72,80.8,69.9,74.81,1075136,17123526640.0,0
2020-06-19,73.11,80.09,72.71,78.48,762795,12271195600.0,0
2020-06-26,78.4,82.75,77.16,81.59,496491,8368679760.0,0
2020-07-03,81.03,87.37,77.71,79.42,1075873,18410991536.0,0
2020-07-10,79.76,101.4,79.42,99.59,1296976,24944413440.0,0
2020-07-17,103.87,110.92,90.8,95.03,1487252,31025365504.0,0
2020-07-24,99.7,106.04,95.12,96.69,1268106,26106719744.0,0
2020-07-31,96.31,105.92,91.86,104.18,993613,20026643440.0,0
2020-08-07,105.13,110.19,98.6,99.81,804152,17006835680.0,0
2020-08-14,99.76,100.37,90.87,97.63,756158,14907952736.0,0
2020-08-21,97.42,100.2,89.09,93.11,882199,17152443712.0,0
2020-08-28,94.2,102.7,93.11,102.03,1009685,20390108453.0,0
2020-09-04,102.79,105.76,97.75,99.79,750781,15654116224.0,0
2020-09-11,99.03,100.12,85.2,90.37,1124023,21015506107.0,0
2020-09-18,92.15,98.51,91.87,96.33,665184,12987192657.0,0
2020-09-25,98.48,101.87,91.93,92.7,616020,12170898860.0,0
2020-10-02,93.78,103.54,92.87,102.53,444729,9009719885.0,0
2020-10-09,108.53,113.47,108.41,111.24,239672,5378128944.0,0
2020-10-16,112.98,121.92,110.93,113.03,737224,17280151293.0,0
2020-10-23,114.83,120.53,111.01,111.31,634160,14753223984.0,0
2020-10-30,111.85,128.87,108.16,123.63,827140,19798825872.0,0
2020-11-06,123.53,139.22,122.15,132.7,799188,20718576688.0,0
2020-11-13,135.2,137.92,125.67,126.98,644991,16786957216.0,0
2020-11-20,127.36,130.76,117.88,126.36,673318,16652634256.0,0
2020-11-27,126.36,130.59,118.53,120.76,506559,12622960128.0,0
2020-12-04,121.87,125.92,116.32,125.05,540459,13120551712.0,0
2020-12-11,125.7,137.76,125.7,134.4,669922,17732653200.0,0
2020-12-18,134.41,149.06,131.92,147.42,611191,16985343088.0,0
2020-12-25,151.17,169.83,149.26,160.08,730936,22943071104.0,0
2021-01-01,161.42,182.92,154.86,181.37,622301,20473807728.0,0
2021-01-08,185.26,222.42,185.26,211.03,1022903,40776817920.0,0
2021-01-15,214.02,214.37,189.09,197.73,1062562,41007854080.0,0
2021-01-22,195.61,214.25,188.84,212.98,883529,34280689664.0,0
2021-01-29,212.03,218.72,176.62,183.04,974676,37011100160.0,0
2021-02-05,182.42,206.86,173.74,193.78,1037608,38563636480.0,0
2021-02-12,194.65,217.76,193.54,215.57,568894,22923334400.0,0
2021-02-19,220.76,220.76,194.2,201.59,425153,16651352320.0,0
2021-02-26,201.59,206.2,162.86,165.33,1081235,38016608000.0,0
2021-03-05,170.48,182.53,157.61,164.09,816956,27386292560.0,0
2021-03-12,165.76,177.98,146.87,176.01,1123333,35784080896.0,0
2021-03-19,175.2,176.93,156.87,162.15,817640,26467511520.0,0
2021-03-26,163.53,164.65,141.9,160.55,1056472,31649324288.0,0
2021-04-02,160.48,173.08,155.76,170.98,648549,20824310336.0,0
2021-04-09,172.42,174.09,158.53,159.65,410516,13093160672.0,0
2021-04-16,163.12,179.36,160.26,171.78,705953,23374560768.0,0
2021-04-23,172.42,193.53,170.4,192.7,695585,24940716176.0,0
2021-04-30,193.87,204.09,175.35,201.96,1083887,39782979072.0,0
2021-05-07,202.98,202.98,189.72,190.36,341065,12884019456.0,0
2021-05-14,188.98,194.08,176.96,185.76,662329,23775484224.0,0
2021-05-21,186.31,201.47,186.31,194.96,669399,25059644000.0,0
2021-05-28,197.42,220.48,195.3,213.87,802926,31770017776.0,0
2021-06-04,217.42,230.48,214.09,226.43,778391,33131555072.0,0
2021-06-11,221.78,240.67,208.53,237.41,866656,36746089856.0,0
2021-06-18,237.98,239.59,217.98,236.31,500940,21986189056.0,0
2021-06-25,237.31,251.31,230.88,250.88,525437,24181105072.0,0
2021-07-02,250.88,287.42,246.48,274.97,696362,35873136640.0,0
2021-07-09,272.56,303.95,265.28,289.71,820924,43865995264.0,0
2021-07-16,295.4,308.45,279.85,281.45,732841,40764996608.0,0
2021-07-23,286.45,299.77,272.56,290.34,694348,37407460864.0,0
2021-07-30,288.67,309.89,261.45,292.22,911009,48993863168.0,0
2021-08-06,295.89,305.88,277.0,288.6,752864,41430393344.0,0
2021-08-13,282.0,282.28,253.11,265.36,926784,47161925888.0,0
2021-08-20,260.89,269.63,247.49,260.95,805932,39444388864.0,0
2021-08-27,267.0,296.97,265.33,268.39,678249,35385026560.0,0
2021-09-03,268.36,278.56,248.39,256.72,676860,33492684032.0,0
2021-09-10,260.33,279.03,254.78,265.39,562667,28465698048.0,0
2021-09-17,265.39,287.0,259.85,265.89,623084,32124099488.0,0
2021-09-24,261.22,271.17,257.61,264.21,246578,12282100528.0,0
2021-10-01,267.0,282.28,260.89,278.52,498285,25559642112.0,0
2021-10-08,283.11,292.04,276.95,283.11,125169,6710477568.0,0
2021-10-15,283.67,308.04,263.6,302.56,558667,29926046032.0,0
2021-10-22,309.22,328.1,303.11,320.56,673897,39988940032.0,0
2021-10-29,326.45,345.05,315.98,341.57,799800,49242571008.0,0
2021-11-05,342.56,363.67,335.33,338.72,658372,42714716928.0,0
2021-11-12,340.33,357.56,337.0,342.56,508056,33038073344.0,0
2021-11-19,342.55,342.55,323.67,341.45,459868,28648907264.0,0
2021-11-26,344.77,364.78,343.17,352.0,454628,30203854352.0,0
2021-12-03,349.78,370.89,349.22,368.11,428952,29099773696.0,0
2021-12-10,362.06,364.33,326.56,341.97,800985,51185642752.0,0
2021-12-17,341.95,353.67,336.49,348.22,517112,33601976448.0,0
2021-12-24,347.0,347.0,299.22,306.89,690189,41581676288.0,0
2021-12-31,305.45,323.11,302.99,313.11,515991,30099951104.0,0
2022-01-07,323.11,323.67,279.78,286.39,611668,33759829504.0,0
2022-01-14,283.66,309.78,277.69,307.22,680119,37887602176.0,0
2022-01-21,313.59,324.5,293.11,302.83,575247,33431889920.0,0
2022-01-28,299.78,322.0,297.01,315.67,676449,39467308096.0,0
2022-02-11,323.11,325.32,258.11,258.66,998873,52922187520.0,0
2022-02-18,256.45,288.39,255.92,279.5,696182,36364969472.0,0
2022-02-25,278.95,283.67,259.98,280.22,778239,39954519552.0,0
2022-03-04,277.56,290.93,257.56,259.66,581099,29992589824.0,0
2022-03-11,250.33,267.31,232.56,260.64,1118747,52769730560.0,0
2022-03-18,254.78,283.67,236.78,270.06,1098053,54423328000.0,0
2022-03-25,275.33,283.22,263.32,265.37,500376,25758933760.0,0
2022-04-01,269.16,277.83,252.05,274.72,615415,30885639680.0,0
2022-04-08,273.4,274.22,257.03,261.45,298580,14881894912.0,0
2022-04-15,250.48,254.11,226.87,236.92,765010,35061377024.0,0
2022-04-22,232.0,241.77,208.06,217.19,987926,41669706752.0,0
2022-04-29,207.45,214.21,190.19,213.86,1310048,51152875520.0,0
2022-05-06,189.22,201.3,182.56,195.33,843573,31320049408.0,0
2022-05-13,194.22,219.1,184.86,216.89,1011352,39654516224.0,0
2022-05-20,218.11,226.45,212.56,223.61,674495,28327077376.0,0
2022-05-27,223.61,223.61,202.49,205.56,755794,30505526016.0,0
2022-06-03,209.94,232.99,205.06,229.11,669553,27971615744.0,0
2022-06-10,229.22,247.01,223.11,238.67,1173607,52383214848.0,0
2022-06-17,233.12,259.05,224.61,256.48,1262787,58097191936.0,0
2022-06-24,260.8,299.5,260.8,299.5,913592,47504327168.0,0
2022-07-01,299.77,300.32,274.06,276.8,752192,40401659904.0,0
2022-07-08,269.78,300.32,269.78,287.0,819124,43818878208.0,0
2022-07-15,283.25,299.47,264.01,282.56,893201,47494616872.0,0
2022-07-22,287.56,293.14,274.35,282.0,616045,32930602810.0,0
2022-07-29,282.0,283.08,265.95,269.0,471337,24426349745.0,0
2022-08-05,268.6,284.11,261.45,267.36,690160,35503656624.0,0
2022-08-12,262.0,274.56,258.11,265.33,455062,22959834241.0,0
2022-08-19,266.94,297.56,265.82,282.0,732552,39137208582.0,0
2022-08-26,283.11,305.89,265.89,267.99,877645,46844019891.0,0
2022-09-02,265.88,267.99,242.99,245.48,713648,34433735952.0,0
2022-09-09,243.12,251.16,233.05,237.68,921117,42102684810.0,0
2022-09-16,241.45,242.11,213.67,214.22,764435,32825551174.0,0
2022-09-23,214.02,225.33,212.0,218.3,610039,25523649634.0,0
2022-09-30,215.91,228.3,209.31,209.52,618033,26026119282.0,0
2022-10-14,210.14,232.55,204.16,229.54,724329,30434668787.0,0
2022-10-21,227.36,232.36,211.25,216.25,573523,24290103775.0,0
2022-10-28,212.71,216.81,189.59,189.86,819971,32138038091.0,0
2022-11-04,186.81,213.65,184.91,211.47,864267,33380361165.0,0
2022-11-11,213.47,221.7,200.14,210.41,702063,28226945983.0,0
2022-11-18,211.31,213.47,192.37,198.36,799839,30799963675.0,0
