datetime,open,high,low,close,volume,turnover,open_interest
2020-01-17,3.15,3.5,2.81,3.02,6940,2126790,0
2020-01-24,3.2,3.2,2.8,3.01,4470,1343140,0
2020-02-07,3.01,3.18,2.94,2.94,70,20980,0
2020-02-14,2.92,2.92,2.49,2.67,6780,1864310,0
2020-02-21,2.74,2.87,2.35,2.49,2925,743085,0
2020-02-28,2.48,2.82,2.32,2.4,21122,5715234,0
2020-03-06,2.39,2.69,2.04,2.24,7612,1650216,0
2020-03-13,2.34,2.58,2.31,2.42,3267,787371,0
2020-03-20,2.45,2.52,2.31,2.39,2350,564810,0
2020-03-27,2.31,2.6,2.31,2.45,1620,405720,0
2020-04-03,2.45,2.51,2.36,2.48,8649,2109697,0
2020-04-10,2.54,3.05,2.54,2.98,8155,2342506,0
2020-04-17,3.36,3.99,3.0,3.98,87248,31459918,0
2020-04-24,4.02,4.99,4.02,4.3,103267,45513220,0
2020-05-01,4.58,4.61,4.26,4.34,25212,11060073,0
2020-05-08,4.5,4.5,3.98,4.12,16805,7179780,0
2020-05-15,4.12,4.45,3.67,4.38,66357,27690526,0
