datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,17.14,17.2,16.98,17.1,177924,311394032,0
2020-01-03,17.19,17.2,16.89,16.96,163146,284126624,0
2020-01-06,16.82,16.82,16.53,16.66,214553,366006752,0
2020-01-07,16.64,16.87,16.48,16.84,168008,287242096,0
2020-01-08,16.79,16.91,16.53,16.67,166815,284963344,0
2020-01-09,16.75,16.92,16.58,16.76,132893,228140223,0
2020-01-10,16.83,17.49,16.67,17.43,286204,502746208,0
2020-01-13,17.4,17.88,17.28,17.68,275385,498436464,0
2020-01-14,17.68,17.76,17.3,17.4,154833,276828320,0
2020-01-15,17.38,17.52,17.22,17.37,101990,181021968,0
2020-01-16,17.37,17.42,17.18,17.22,88897,157448363,0
2020-01-17,17.22,17.38,17.19,17.23,88479,156431858,0
2020-01-20,17.18,17.23,16.31,16.66,309443,525831536,0
2020-01-21,16.37,16.55,16.23,16.36,220471,370416608,0
2020-01-22,16.25,16.48,16.17,16.27,128791,215292873,0
2020-01-23,16.08,16.08,14.63,14.92,439616,690745232,0
2020-02-03,13.39,14.18,13.39,13.98,589746,827006880,0
2020-02-04,13.93,14.94,13.83,14.83,330358,496923648,0
2020-02-05,14.83,15.24,14.69,14.91,210918,324625280,0
2020-02-06,14.88,15.06,14.71,14.97,128357,197032161,0
2020-02-07,14.97,15.19,14.78,15.16,103822,159265985,0
2020-02-10,15.07,15.73,14.96,15.58,169545,269600000,0
2020-02-11,15.58,15.78,15.41,15.55,81918,131025838,0
2020-02-12,15.43,15.69,15.39,15.57,90553,144679210,0
2020-02-13,15.58,15.64,15.18,15.28,99143,156528970,0
2020-02-14,15.28,15.39,15.18,15.39,59958,94128033,0
2020-02-17,15.42,15.58,15.33,15.58,118436,188832533,0
2020-02-18,15.58,15.63,15.34,15.46,110354,175062615,0
2020-02-19,15.42,15.62,15.31,15.42,104305,165694129,0
2020-02-20,15.46,16.83,15.44,16.59,344592,577358752,0
2020-02-21,16.63,16.86,16.33,16.67,183803,313442880,0
2020-02-24,16.42,16.57,15.83,15.9,265441,435986224,0
2020-02-25,15.52,15.73,15.21,15.41,196392,311364496,0
2020-02-26,15.18,15.66,14.83,15.44,222189,347681824,0
2020-02-27,15.38,15.48,15.09,15.31,123014,193215572,0
2020-02-28,14.93,15.09,14.69,15.06,141930,217005296,0
2020-03-02,14.96,15.52,14.91,15.4,130729,205121195,0
2020-03-03,15.43,15.86,15.43,15.65,116437,186868075,0
2020-03-04,15.52,15.98,15.41,15.88,123917,200544695,0
2020-03-05,15.97,16.51,15.8,16.36,206614,343467712,0
2020-03-06,16.16,16.33,15.74,15.87,140211,230286746,0
2020-03-09,15.52,15.52,15.01,15.08,162959,254915927,0
2020-03-10,14.87,15.47,14.87,15.36,147961,231197455,0
2020-03-11,15.38,15.6,15.14,15.19,103485,162953229,0
2020-03-12,15.03,15.04,14.51,14.55,191117,287549232,0
2020-03-13,13.86,14.36,13.83,14.08,184188,266464995,0
2020-03-16,14.09,14.18,12.91,13.05,244369,341267360,0
2020-03-17,12.94,13.69,12.3,12.79,220784,290112528,0
2020-03-18,12.76,13.33,12.71,12.8,196524,263421111,0
