datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,9.62,9.69,9.6,9.64,49516,47816765,0
2025-11-26 11:30:00,9.64,9.66,9.6,9.61,21574,20757145,0
2025-11-26 14:00:00,9.61,9.62,9.59,9.62,19149,18388191,0
2025-11-26 15:00:00,9.62,9.63,9.6,9.6,31023,29824631,0
2025-11-27 10:30:00,9.61,9.63,9.56,9.62,40900,39231782,0
2025-11-27 11:30:00,9.62,9.62,9.6,9.6,14807,14230640,0
2025-11-27 14:00:00,9.61,9.65,9.59,9.65,22085,21247896,0
2025-11-27 15:00:00,9.64,9.67,9.62,9.62,39262,37860691,0
2025-11-28 10:30:00,9.62,9.65,9.57,9.6,28553,27390702,0
2025-11-28 11:30:00,9.6,9.65,9.58,9.65,23258,22359311,0
2025-11-28 14:00:00,9.65,9.67,9.63,9.65,25207,24331303,0
2025-11-28 15:00:00,9.66,9.68,9.65,9.65,33518,32401697,0
2025-12-01 10:30:00,9.65,9.65,9.58,9.6,74191,71276379,0
2025-12-01 11:30:00,9.6,9.62,9.58,9.62,27794,26682844,0
2025-12-01 14:00:00,9.62,9.63,9.6,9.61,24124,23186957,0
2025-12-01 15:00:00,9.61,9.66,9.61,9.66,35976,34663523,0
2025-12-02 10:30:00,9.66,9.77,9.61,9.73,82089,79626372,0
2025-12-02 11:30:00,9.73,9.75,9.71,9.74,27747,27005428,0
2025-12-02 14:00:00,9.74,9.77,9.73,9.76,38783,37820853,0
2025-12-02 15:00:00,9.76,9.76,9.72,9.75,27415,26718269,0
2025-12-03 10:30:00,9.74,9.82,9.71,9.81,43048,42045901,0
2025-12-03 11:30:00,9.82,9.88,9.79,9.85,46319,45606499,0
2025-12-03 14:00:00,9.85,9.87,9.82,9.83,34672,34130416,0
2025-12-03 15:00:00,9.82,9.87,9.78,9.85,57794,56787877,0
2025-12-04 10:30:00,9.85,9.85,9.74,9.77,49048,47957482,0
2025-12-04 11:30:00,9.77,9.84,9.76,9.79,23450,22980734,0
2025-12-04 14:00:00,9.8,9.8,9.74,9.75,18977,18522977,0
2025-12-04 15:00:00,9.75,9.81,9.74,9.78,25380,24824082,0
2025-12-05 10:30:00,9.8,9.8,9.67,9.67,53343,51818005,0
2025-12-05 11:30:00,9.68,9.75,9.67,9.74,28052,27223801,0
2025-12-05 14:00:00,9.74,9.79,9.72,9.79,20556,20057020,0
2025-12-05 15:00:00,9.79,9.8,9.74,9.76,40088,39142305,0
2025-12-08 10:30:00,9.76,9.82,9.7,9.74,55865,54423244,0
2025-12-08 11:30:00,9.74,9.76,9.73,9.75,14123,13766405,0
2025-12-08 14:00:00,9.75,9.79,9.74,9.79,20455,19976446,0
2025-12-08 15:00:00,9.78,9.78,9.75,9.77,21097,20604898,0
2025-12-09 10:30:00,9.75,9.76,9.67,9.7,53189,51633502,0
2025-12-09 11:30:00,9.71,9.73,9.68,9.69,18724,18174260,0
2025-12-09 14:00:00,9.69,9.71,9.68,9.68,14825,14371890,0
2025-12-09 15:00:00,9.69,9.7,9.65,9.65,29617,28645556,0
2025-12-10 10:30:00,9.62,9.71,9.59,9.7,46180,44555757,0
2025-12-10 11:30:00,9.7,9.7,9.63,9.66,13409,12940139,0
2025-12-10 14:00:00,9.66,9.74,9.65,9.7,25898,25135424,0
2025-12-10 15:00:00,9.7,9.73,9.7,9.71,22703,22060060,0
