datetime,open,high,low,close,volume,turnover,open_interest
2020-01-03,17.14,17.2,16.89,16.96,341070,595520656,0
2020-01-10,16.82,17.49,16.48,17.43,968473,1669098623,0
2020-01-17,17.4,17.88,17.18,17.23,709584,1270166973,0
2020-01-24,17.18,17.23,14.63,14.92,1098321,1802286249,0
2020-02-07,13.39,15.24,13.39,15.16,1363201,2004853954,0
2020-02-14,15.07,15.78,14.96,15.39,501117,795962051,0
2020-02-21,15.42,16.86,15.31,16.67,861490,1420390909,0
2020-02-28,16.42,16.57,14.69,15.06,948966,1505253412,0
2020-03-06,14.96,16.51,14.91,15.87,717908,1166288423,0
2020-03-13,15.52,15.6,13.83,14.08,789710,1203080838,0
2020-03-20,14.09,14.18,12.28,12.88,896494,1201082479,0
2020-03-27,12.58,13.48,12.09,12.81,534864,713840514,0
2020-04-03,12.61,12.73,11.85,12.58,636235,808070200,0
2020-04-10,12.76,13.39,12.28,12.99,412855,549458217,0
2020-04-17,12.97,14.08,12.79,13.77,487992,673589424,0
2020-04-24,13.85,14.68,13.63,13.94,601918,877814975,0
2020-05-01,13.83,15.64,13.58,15.38,1095204,1681891102,0
2020-05-08,15.05,15.23,13.52,13.76,1128695,1632832480,0
2020-05-15,13.76,13.85,13.21,13.28,996294,1385943987,0
2020-05-22,13.28,15.04,13.1,14.47,1457843,2159796685,0
2020-05-29,14.45,16.17,14.13,15.93,939916,1461244405,0
2020-06-05,16.02,17.0,15.58,16.28,1027245,1714516758,0
2020-06-12,16.35,16.48,15.13,15.6,606780,986147224,0
2020-06-19,15.38,15.75,14.78,15.4,706100,1103031488,0
2020-06-26,15.38,15.42,14.65,14.91,509835,779727180,0
2020-07-03,14.77,15.52,14.6,15.2,1142255,1764225493,0
2020-07-10,15.21,16.35,15.09,16.15,2302868,3715826752,0
2020-07-17,16.06,16.21,14.18,14.42,1762993,2804703312,0
2020-07-24,14.45,14.83,13.67,13.77,1476769,2176158576,0
2020-07-31,13.77,13.99,13.26,13.78,1095256,1540593635,0
2020-08-07,13.84,14.0,13.58,13.85,1196473,1686812483,0
2020-08-14,13.88,14.8,13.73,14.77,1643943,2400811984,0
2020-08-21,14.87,15.58,14.56,15.09,1574269,2401202160,0
2020-08-28,15.2,15.53,14.54,14.92,902033,1379467342,0
2020-09-04,14.88,15.09,14.02,14.66,972100,1449353801,0
2020-09-11,14.51,15.36,13.98,14.23,1299222,1948808144,0
2020-09-18,14.28,14.63,13.83,14.41,1014788,1468056702,0
2020-09-25,14.42,14.44,13.28,13.36,730469,1024167176,0
2020-10-02,13.39,13.57,13.25,13.34,258558,353913352,0
2020-10-09,13.45,13.55,13.33,13.37,126317,173038163,0
2020-10-16,13.43,13.65,13.09,13.14,817365,1113407798,0
2020-10-23,13.15,13.25,12.81,12.84,513314,680192916,0
2020-10-30,12.83,12.83,12.13,12.28,535668,680297710,0
2020-11-06,12.22,12.85,11.64,12.68,917294,1140862183,0
2020-11-13,12.82,14.3,12.81,14.11,1888184,2682103719,0
2020-11-20,14.19,15.57,14.04,15.01,1960393,3004899984,0
2020-11-27,14.78,14.97,13.48,14.61,1042635,1549019493,0
2020-12-04,14.63,15.02,14.5,14.72,808212,1216392671,0
2020-12-11,14.68,14.83,13.72,13.91,496526,722760094,0
2020-12-18,13.97,14.43,13.76,13.94,452427,649853555,0
