datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,77.26,77.39,75.58,75.84,158266,1228130512,0
2020-01-03,75.98,76.13,75.42,75.78,91716,708178944,0
2020-01-06,75.38,75.38,73.52,74.08,174588,1324704560,0
2020-01-07,73.88,73.88,73.3,73.73,143461,1076915312,0
2020-01-08,73.48,74.07,73.11,73.54,92660,696447824,0
2020-01-09,74.07,74.54,73.85,74.04,110181,834219376,0
2020-01-10,74.04,74.47,73.28,74.4,133487,1007257808,0
2020-01-13,74.47,74.83,74.12,74.43,88236,670713088,0
2020-01-14,74.49,74.76,72.94,73.04,167355,1256263808,0
2020-01-15,73.05,73.05,71.7,71.98,175186,1287890128,0
2020-01-16,72.16,72.47,71.75,71.97,76266,560767600,0
2020-01-17,72.27,72.46,71.5,71.74,110841,814378288,0
2020-01-20,71.36,71.68,69.73,70.43,257889,1851491328,0
2020-01-21,69.5,69.58,68.17,68.88,245966,1724334432,0
2020-01-22,68.2,70.08,68.18,69.44,188290,1335024624,0
2020-01-23,68.57,68.81,66.97,67.46,217067,1507332176,0
2020-02-03,60.56,63.96,60.56,62.28,520899,3296092432,0
2020-02-04,63.48,67.77,63.14,66.68,359596,2436330592,0
2020-02-05,67.28,69.65,66.87,68.78,235304,1652088080,0
2020-02-06,69.6,70.18,68.88,70.1,182496,1303423328,0
2020-02-07,69.63,70.47,69.16,70.19,120115,858830064,0
2020-02-10,69.48,69.68,67.68,69.2,128646,905903024,0
2020-02-11,69.39,70.91,69.33,70.7,100870,726322096,0
2020-02-12,70.48,71.97,70.14,70.86,131361,956390272,0
2020-02-13,71.18,72.33,70.2,70.88,136725,995638192,0
2020-02-14,70.56,70.86,69.99,70.48,91715,659783632,0
2020-02-17,70.61,70.64,69.03,70.05,167497,1191217264,0
2020-02-18,69.88,70.6,69.13,69.46,129173,920830032,0
2020-02-19,69.63,70.96,69.07,70.56,115360,826793760,0
2020-02-20,70.53,72.7,70.48,72.28,166076,1223427760,0
2020-02-21,72.41,72.45,70.78,71.17,128575,934705888,0
2020-02-24,69.48,69.66,67.38,68.36,296658,2070331840,0
2020-02-25,66.65,67.49,66.35,67.08,205229,1403967408,0
2020-02-26,66.36,66.8,65.48,66.05,170746,1155465376,0
2020-02-27,66.48,67.36,65.76,66.08,185122,1257169312,0
2020-02-28,62.8,66.07,62.8,64.19,224048,1486295472,0
2020-03-02,64.38,68.09,64.38,67.28,196040,1339408192,0
2020-03-03,68.04,69.02,66.81,67.18,145939,1011293808,0
2020-03-04,67.48,70.63,66.94,70.17,221932,1569414672,0
2020-03-05,69.5,72.16,69.46,71.48,188802,1372971392,0
2020-03-06,70.48,71.61,70.28,70.28,120880,876761600,0
2020-03-09,68.63,70.18,67.28,68.89,171067,1199444784,0
2020-03-10,68.72,70.19,67.94,69.48,106749,756335344,0
2020-03-11,69.88,70.0,68.49,68.57,72331,510591440,0
2020-03-12,67.78,68.77,66.66,68.12,123504,853825568,0
2020-03-13,65.18,67.76,65.14,67.4,176628,1196139008,0
2020-03-16,66.78,67.33,64.29,64.68,193203,1292591104,0
2020-03-17,63.49,64.98,61.88,62.48,204611,1318896368,0
2020-03-18,62.48,64.47,61.6,61.78,164503,1062295296,0
2020-03-19,61.28,62.08,58.18,59.48,213001,1304115200,0
2020-03-20,60.36,61.33,58.98,61.33,178267,1101551280,0
2020-03-23,59.47,59.47,56.48,57.79,240569,1421873664,0
2020-03-24,59.28,61.33,58.49,60.65,155658,962218352,0
2020-03-25,62.44,63.49,62.06,63.2,125625,806248352,0
2020-03-26,62.48,63.65,62.08,62.48,105811,680923152,0
2020-03-27,62.45,62.97,59.99,60.57,188742,1186725392,0
2020-03-30,58.93,59.18,57.49,58.17,149188,893180688,0
2020-03-31,59.28,59.98,58.48,59.29,104919,637600864,0
2020-04-01,59.83,61.94,59.29,60.14,124724,777379248,0
2020-04-02,60.28,61.41,59.48,61.02,98520,614076096,0
2020-04-03,61.08,62.44,61.08,61.88,92480,587522320,0
2020-04-07,62.41,63.29,61.49,61.69,129918,827453552,0
2020-04-08,61.43,62.96,61.2,62.42,86628,552296432,0
2020-04-09,62.67,64.58,62.67,64.07,104110,681013152,0
2020-04-10,64.0,65.38,63.19,64.06,80643,532501152,0
2020-04-13,63.43,63.98,62.56,63.38,55921,361352624,0
2020-04-14,63.8,64.64,63.19,64.58,74464,489407184,0
2020-04-15,64.72,64.86,63.26,64.03,107364,702134016,0
2020-04-16,63.61,63.87,63.08,63.7,64632,420285248,0
2020-04-17,64.97,66.6,64.72,66.2,188001,1269887648,0
2020-04-20,66.21,66.51,65.58,66.44,86214,583343776,0
2020-04-21,66.03,66.26,64.19,65.18,80659,536199824,0
2020-04-22,64.76,65.76,63.48,65.76,84204,557932768,0
2020-04-23,65.68,70.28,65.68,69.46,197455,1386188416,0
2020-04-24,69.46,69.74,68.48,68.98,82753,584046336,0
2020-04-27,69.48,69.67,66.6,66.87,131005,905657488,0
2020-04-28,66.98,68.98,66.72,68.98,116218,807876896,0
2020-04-29,68.48,69.08,67.16,67.34,78566,547661440,0
2020-04-30,68.53,70.42,68.53,69.18,128350,912149104,0
2020-05-06,68.21,69.07,66.39,68.69,184722,1276567872,0
2020-05-07,68.36,68.47,66.56,66.88,123504,847947072,0
2020-05-08,67.08,67.77,66.62,67.48,101312,698243504,0
2020-05-11,67.38,68.1,66.69,67.08,99094,682068832,0
2020-05-12,67.03,67.56,66.23,66.38,78038,532300912,0
2020-05-13,66.38,67.43,65.86,67.39,72340,493027088,0
2020-05-14,66.69,67.36,65.5,65.57,86038,581943584,0
2020-05-15,65.57,65.58,63.96,64.08,132191,874747664,0
2020-05-18,64.07,66.0,63.84,65.71,91244,608328096,0
2020-05-19,66.58,68.67,66.58,67.66,126803,880124592,0
2020-05-20,67.49,68.39,66.08,66.18,89786,616452816,0
2020-05-21,66.75,67.22,65.34,65.86,72365,490305440,0
2020-05-22,65.85,65.85,63.49,63.98,112436,739844432,0
2020-05-25,63.98,64.98,63.22,64.93,62166,409593776,0
2020-05-26,65.08,67.5,64.97,67.44,99301,677858960,0
2020-05-27,67.98,68.36,66.7,66.86,69531,480498096,0
2020-05-28,67.3,68.28,66.2,66.98,73546,506165728,0
2020-05-29,67.26,70.88,66.94,70.87,188283,1343373408,0
2020-06-01,70.77,74.35,70.77,73.02,196966,1463460928,0
2020-06-02,72.93,73.48,71.19,72.58,116981,862628592,0
2020-06-03,72.47,73.01,71.48,72.11,78929,581747424,0
2020-06-04,71.68,71.85,69.78,70.61,135605,977633072,0
2020-06-05,70.92,73.58,70.72,72.76,144155,1067565408,0
2020-06-08,74.14,74.36,71.94,72.78,134993,1006246352,0
2020-06-09,73.04,74.98,72.98,74.41,128484,973510576,0
2020-06-10,74.5,75.7,73.82,74.19,105675,804671840,0
2020-06-11,74.1,74.48,73.04,74.36,95636,719696288,0
2020-06-12,72.69,73.48,71.13,73.48,149348,1106074608,0
2020-06-15,71.79,72.07,69.51,69.69,229958,1651099888,0
2020-06-16,70.3,71.04,70.19,70.66,86223,621884592,0
2020-06-17,69.99,70.03,68.48,69.28,140478,992192064,0
2020-06-18,69.25,69.91,68.64,68.95,97304,688301680,0
2020-06-19,69.08,70.35,69.08,70.0,104788,747089888,0
2020-06-22,69.68,70.0,68.75,69.51,102387,725137984,0
2020-06-23,69.21,69.68,68.83,69.24,109954,776386624,0
2020-06-24,69.48,69.87,69.16,69.34,83176,590158160,0
2020-06-29,68.64,69.21,67.47,68.96,160457,1116072944,0
2020-06-30,69.28,70.59,69.18,70.55,115150,823915296,0
2020-07-01,70.55,71.46,69.79,71.45,125161,904031872,0
2020-07-02,70.96,74.39,70.96,74.38,178166,1328754448,0
2020-07-03,74.18,74.18,72.88,73.78,136575,1023097072,0
2020-07-06,73.72,76.48,73.0,75.61,193884,1488256864,0
