datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,31.65,31.88,31.62,31.75,53236,169116561,0
2025-11-26 11:30:00,31.75,31.78,31.58,31.65,20173,63855920,0
2025-11-26 14:00:00,31.66,31.72,31.6,31.71,16198,51258608,0
2025-11-26 15:00:00,31.71,31.74,31.64,31.74,20502,64991870,0
2025-11-27 10:30:00,31.74,31.78,31.5,31.72,33332,105425490,0
2025-11-27 11:30:00,31.72,31.77,31.65,31.68,14302,45358759,0
2025-11-27 14:00:00,31.69,31.77,31.64,31.71,14878,47157684,0
2025-11-27 15:00:00,31.71,31.72,31.6,31.64,17947,56831523,0
2025-11-28 10:30:00,31.54,31.69,31.45,31.58,24318,76763674,0
2025-11-28 11:30:00,31.59,31.67,31.56,31.65,14597,46138065,0
2025-11-28 14:00:00,31.65,31.66,31.57,31.65,11561,36551458,0
2025-11-28 15:00:00,31.65,31.67,31.62,31.66,17315,54796244,0
2025-12-01 10:30:00,31.51,31.63,31.4,31.44,59286,186682399,0
2025-12-01 11:30:00,31.45,31.61,31.42,31.6,21847,68865205,0
2025-12-01 14:00:00,31.6,31.8,31.58,31.79,27246,86375455,0
2025-12-01 15:00:00,31.79,31.94,31.79,31.89,39579,126170522,0
2025-12-02 10:30:00,31.83,31.86,31.63,31.7,31048,98520479,0
2025-12-02 11:30:00,31.7,31.83,31.68,31.76,11872,37707100,0
2025-12-02 14:00:00,31.77,31.86,31.76,31.81,14152,45022473,0
2025-12-02 15:00:00,31.8,31.83,31.77,31.83,15150,48184847,0
2025-12-03 10:30:00,31.84,31.96,31.7,31.94,33375,106308288,0
2025-12-03 11:30:00,31.93,32.11,31.9,32.03,28959,92730884,0
2025-12-03 14:00:00,32.05,32.05,31.94,31.94,12221,39099087,0
2025-12-03 15:00:00,31.93,32.03,31.88,32.02,21540,68839910,0
2025-12-04 10:30:00,32.0,32.07,31.76,31.87,33579,106959271,0
2025-12-04 11:30:00,31.88,32.03,31.87,31.93,21375,68339010,0
2025-12-04 14:00:00,31.94,31.94,31.82,31.84,7534,24008944,0
2025-12-04 15:00:00,31.83,31.91,31.82,31.89,12178,38801226,0
2025-12-05 10:30:00,31.8,31.86,31.68,31.69,21667,68802968,0
2025-12-05 11:30:00,31.69,31.79,31.67,31.73,11950,37905281,0
2025-12-05 14:00:00,31.73,31.84,31.64,31.78,17603,55853010,0
2025-12-05 15:00:00,31.82,31.89,31.75,31.81,18617,59224319,0
2025-12-08 10:30:00,32.0,32.22,31.81,31.89,49267,157544998,0
2025-12-08 11:30:00,31.9,32.04,31.89,31.99,16835,53806809,0
2025-12-08 14:00:00,31.99,32.05,31.9,31.99,16226,51912492,0
2025-12-08 15:00:00,31.99,32.17,31.98,32.15,29010,93154480,0
2025-12-09 10:30:00,32.23,32.23,31.82,31.93,43513,139094365,0
2025-12-09 11:30:00,31.92,31.97,31.84,31.89,11395,36331403,0
2025-12-09 14:00:00,31.91,31.91,31.84,31.85,9930,31646191,0
2025-12-09 15:00:00,31.85,31.88,31.82,31.84,15861,50501308,0
2025-12-10 10:30:00,31.83,32.25,31.8,32.19,67298,215885635,0
2025-12-10 11:30:00,32.18,32.19,32.07,32.14,12139,38979723,0
2025-12-10 14:00:00,32.14,32.48,32.1,32.38,43184,139540407,0
2025-12-10 15:00:00,32.38,32.44,32.34,32.39,24679,79947064,0
2025-12-11 10:30:00,32.25,32.41,32.19,32.3,27440,88624915,0
2025-12-11 11:30:00,32.3,32.4,32.24,32.24,11769,38018003,0
2025-12-11 14:00:00,32.25,32.35,32.16,32.19,18388,59290047,0
2025-12-11 15:00:00,32.2,32.22,31.98,32.01,34261,109996148,0
2025-12-12 10:30:00,31.88,31.89,30.99,31.15,145259,455656397,0
2025-12-12 11:30:00,31.14,31.22,31.01,31.02,68957,214539251,0
2025-12-12 14:00:00,31.01,31.11,30.95,31.07,75986,235634473,0
2025-12-12 15:00:00,31.07,31.09,30.83,31.02,80069,248054643,0
2025-12-15 10:30:00,30.71,30.92,30.71,30.85,43538,134146418,0
2025-12-15 11:30:00,30.86,31.05,30.86,30.93,22378,69305294,0
2025-12-15 14:00:00,30.94,30.99,30.83,30.84,18157,56082832,0
2025-12-15 15:00:00,30.84,30.86,30.74,30.75,31366,96541137,0
2025-12-16 10:30:00,30.72,30.95,30.6,30.67,41344,127047023,0
2025-12-16 11:30:00,30.69,30.71,30.56,30.59,22334,68384838,0
2025-12-16 14:00:00,30.6,30.78,30.58,30.78,19431,59580120,0
2025-12-16 15:00:00,30.78,30.82,30.71,30.73,19232,59168589,0
2025-12-17 10:30:00,30.85,31.09,30.61,30.9,40377,124495661,0
2025-12-17 11:30:00,30.91,30.96,30.85,30.91,8059,24908099,0
2025-12-17 14:00:00,30.9,30.94,30.77,30.94,17074,52686894,0
2025-12-17 15:00:00,30.93,31.0,30.9,30.91,24086,74523016,0
2025-12-18 10:30:00,31.8,32.5,31.7,32.27,231012,742359325,0
2025-12-18 11:30:00,32.28,33.04,32.28,32.78,110198,359844120,0
2025-12-18 14:00:00,32.78,33.05,32.77,32.97,76448,251644138,0
2025-12-18 15:00:00,32.97,33.16,32.85,33.11,88266,291888604,0
2025-12-19 10:30:00,33.03,33.53,32.8,32.86,147542,488979789,0
2025-12-19 11:30:00,32.85,33.31,32.81,33.24,48003,158908167,0
2025-12-19 14:00:00,33.23,33.56,33.21,33.47,66017,220342669,0
2025-12-19 15:00:00,33.47,33.72,33.41,33.57,96894,325410309,0
2025-12-22 10:30:00,33.73,33.98,33.52,33.67,110866,374329431,0
2025-12-22 11:30:00,33.68,33.85,33.59,33.71,43046,145248709,0
2025-12-22 14:00:00,33.71,33.77,33.45,33.49,44931,150929094,0
2025-12-22 15:00:00,33.49,33.64,33.42,33.44,55539,186004687,0
2025-12-23 10:30:00,33.44,33.65,33.1,33.33,79027,263327786,0
2025-12-23 11:30:00,33.33,33.48,33.31,33.42,28684,95863183,0
2025-12-23 14:00:00,33.41,33.41,33.19,33.24,27569,91830395,0
2025-12-23 15:00:00,33.22,33.33,33.15,33.2,54512,181175626,0
2025-12-24 10:30:00,33.1,33.38,33.0,33.28,48298,160620887,0
2025-12-24 11:30:00,33.29,33.71,33.26,33.62,56709,190197692,0
2025-12-24 14:00:00,33.61,33.83,33.53,33.65,49257,166122728,0
2025-12-24 15:00:00,33.64,33.75,33.58,33.65,42337,142603334,0
2025-12-25 10:30:00,33.55,34.16,33.55,33.87,68081,231201363,0
2025-12-25 11:30:00,33.88,34.04,33.87,33.9,25910,88011293,0
2025-12-25 14:00:00,33.91,33.97,33.85,33.87,21810,73953329,0
2025-12-25 15:00:00,33.88,33.9,33.73,33.78,29163,98541903,0
2025-12-26 10:30:00,33.65,33.91,33.55,33.66,37541,126351740,0
2025-12-26 11:30:00,33.66,33.66,33.21,33.26,42543,142034889,0
2025-12-26 14:00:00,33.26,33.43,33.25,33.43,17818,59468569,0
2025-12-26 15:00:00,33.42,33.5,33.36,33.38,27542,92071566,0
2025-12-29 10:30:00,33.38,33.78,33.31,33.69,47150,158592451,0
2025-12-29 11:30:00,33.69,33.69,33.48,33.5,15625,52456074,0
2025-12-29 14:00:00,33.49,33.54,33.4,33.45,19331,64722154,0
2025-12-29 15:00:00,33.46,33.48,33.35,33.39,25367,84733978,0
2025-12-30 10:30:00,33.3,33.43,32.94,32.99,52376,173204498,0
2025-12-30 11:30:00,32.99,33.02,32.77,32.82,29397,96702977,0
2025-12-30 14:00:00,32.82,32.87,32.51,32.57,42696,139505375,0
2025-12-30 15:00:00,32.58,32.79,32.57,32.79,33127,108291718,0
2025-12-31 10:30:00,32.7,32.74,32.4,32.62,39756,129343468,0
2025-12-31 11:30:00,32.62,32.66,32.44,32.46,17000,55297677,0
2025-12-31 14:00:00,32.49,32.86,32.42,32.68,21940,71689785,0
2025-12-31 15:00:00,32.68,32.83,32.65,32.76,20694,67844817,0
2026-01-05 10:30:00,32.76,32.77,32.52,32.72,42232,137849702,0
2026-01-05 11:30:00,32.71,32.73,32.6,32.63,27084,88471914,0
2026-01-05 14:00:00,32.65,32.73,32.62,32.63,22023,71947021,0
2026-01-05 15:00:00,32.62,32.7,32.61,32.7,26097,85183296,0
2026-01-06 10:30:00,32.71,32.99,32.52,32.87,49419,161900913,0
2026-01-06 11:30:00,32.88,32.97,32.74,32.96,24180,79451780,0
2026-01-06 14:00:00,32.96,32.98,32.82,32.92,21813,71824273,0
2026-01-06 15:00:00,32.91,32.97,32.89,32.97,25601,84331325,0
2026-01-07 10:30:00,33.01,33.06,32.78,32.82,49964,164511268,0
2026-01-07 11:30:00,32.81,33.04,32.8,32.99,17453,57513172,0
2026-01-07 14:00:00,33.0,33.06,32.8,32.84,22538,74204375,0
2026-01-07 15:00:00,32.83,32.85,32.76,32.81,23588,77354973,0
2026-01-08 10:30:00,32.82,33.01,32.68,32.84,32384,106376235,0
2026-01-08 11:30:00,32.86,32.86,32.69,32.73,26320,86182570,0
2026-01-08 14:00:00,32.73,32.9,32.7,32.78,20153,66030412,0
2026-01-08 15:00:00,32.77,32.84,32.74,32.83,21199,69505155,0
2026-01-09 10:30:00,32.89,33.03,32.81,32.82,40376,132800930,0
2026-01-09 11:30:00,32.83,32.89,32.65,32.68,24511,80337465,0
2026-01-09 14:00:00,32.69,32.7,32.63,32.67,21424,69977092,0
2026-01-09 15:00:00,32.66,32.7,32.62,32.69,29358,95901957,0
