datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,77.26,77.39,66.97,67.46,2431455,17884049808,0
2020-02-29,60.56,72.7,60.56,64.19,3796211,26261005824,0
2020-03-31,64.38,72.16,56.48,59.29,3547969,23354405520,0
2020-04-30,59.83,70.42,59.29,69.18,2192829,14636364720,0
2020-05-31,68.21,70.88,63.22,70.87,1862700,12739391872,0
2020-06-30,70.77,75.7,67.47,70.55,2516647,18295474208,0
2020-07-31,70.55,77.33,64.98,66.41,4089972,29734748544,0
2020-08-31,66.82,80.94,65.29,75.67,3762341,27985063328,0
2020-09-30,75.28,77.7,67.52,68.05,2577963,18945140608,0
2020-10-31,69.02,70.01,65.1,65.37,1402708,9593451600,0
2020-11-30,65.07,82.26,60.77,77.79,3916358,29357805264,0
2020-12-31,78.77,80.86,69.52,74.93,2591498,19507590464,0
2021-01-31,74.97,80.69,69.07,78.27,4527212,33765722384,0
2021-02-28,70.37,70.37,53.97,61.15,7925022,46938324272,0
2021-03-31,60.17,61.86,54.82,57.17,4202740,25085469920,0
2021-04-30,57.11,59.15,47.35,48.41,3532262,19255436432,0
2021-05-31,47.91,49.5,43.22,48.76,2507150,11808812144,0
2021-06-30,48.75,52.44,46.76,47.4,2847763,14108168432,0
2021-07-31,47.42,47.56,36.78,37.82,3155419,13924740000,0
2021-08-31,36.92,42.77,35.87,42.54,3640237,14423243936,0
2021-09-30,42.17,46.01,41.07,43.52,2793347,12376086464,0
2021-10-31,44.97,53.43,44.62,52.07,3791665,19181106384,0
2021-11-30,51.14,53.13,42.35,42.43,3459013,17024770112,0
2021-12-31,43.17,47.1,42.49,45.96,3107565,14144813088,0
2022-01-31,45.67,54.61,45.57,49.76,3401053,17213498288,0
2022-02-28,50.57,58.35,49.88,51.62,2846023,15693630976,0
2022-03-31,51.62,56.15,44.78,48.47,3799899,19335720576,0
2022-04-30,48.17,52.8,46.08,48.67,2816039,14160685568,0
2022-05-31,48.4,50.6,45.02,49.68,2830499,13623213840,0
2022-06-30,49.68,56.99,46.07,55.97,3780131,19254196096,0
2022-07-31,55.44,55.5,49.15,50.85,2825486,14792687273,0
2022-08-31,50.86,59.4,50.86,55.69,3206904,18101094303,0
2022-09-30,55.57,62.35,53.43,57.05,2285453,13466726016,0
2022-10-31,56.37,60.11,51.86,52.65,2096436,11834052065,0
2022-11-30,52.68,61.55,49.77,54.75,4153854,23278791486,0
2022-12-31,56.27,60.4,52.5,56.98,4264728,24768656542,0
2023-01-31,56.83,63.15,54.77,59.77,3262707,19585168924,0
2023-02-28,60.16,62.12,57.08,57.91,2241536,13577696733,0
2023-03-31,57.91,59.19,53.32,55.0,2154320,12167397082,0
2023-04-30,55.07,56.91,50.28,52.97,1835003,10078828518,0
2023-05-31,52.97,52.97,44.99,45.87,1725761,8531366943,0
2023-06-30,45.72,47.84,44.09,44.69,1764034,8191741468,0
2023-07-31,44.72,48.2,42.78,46.67,2719321,12469610665,0
2023-08-31,46.62,47.63,37.77,38.5,4076286,17543476868,0
2023-09-30,38.59,39.3,36.57,37.16,1897346,7332174310,0
2023-10-31,37.15,37.15,33.63,36.48,1472418,5343529808,0
2023-11-30,36.28,37.27,35.12,35.15,1466311,5440072069,0
2023-12-31,35.06,35.48,30.42,32.05,1860360,6199239433,0
2024-01-31,32.21,34.87,30.01,32.37,2546517,8416132274,0
2024-02-29,32.27,35.36,31.05,34.45,1899864,6566617431,0
2024-03-31,34.45,37.12,33.96,35.53,2571341,9270843348,0
2024-04-30,35.76,37.0,34.69,36.91,2215891,8123492881,0
2024-05-31,37.12,37.13,33.99,34.02,1708113,6216378893,0
2024-06-30,33.94,34.14,31.05,31.52,1404490,4700596046,0
2024-07-31,31.49,35.49,31.47,33.97,2280993,7819593892,0
2024-08-31,33.97,34.77,31.71,32.52,1239781,4195099130,0
2024-09-30,32.5,38.28,29.23,37.91,1753688,5940175364,0
2024-10-31,41.51,41.75,33.16,34.45,2961396,10751531009,0
2024-11-30,34.45,36.68,33.61,34.4,2586470,9267868620,0
2024-12-31,34.44,36.04,33.54,33.64,1931921,6816164220,0
2025-01-31,33.74,33.86,31.67,32.65,1275166,4229403712,0
2025-02-28,32.84,33.06,31.81,31.98,1492337,4900748438,0
2025-03-31,31.98,32.43,31.45,31.82,1554232,5039609733,0
2025-04-30,31.87,32.98,29.17,31.59,2072552,6658111561,0
2025-05-31,31.66,32.37,31.54,31.85,1227707,3986829027,0
2025-06-30,31.84,32.34,30.56,31.26,1266092,4057188515,0
2025-07-31,31.3,32.78,30.93,31.67,2008416,6480738883,0
2025-08-31,31.6,33.07,31.4,32.11,2566189,8301684002,0
2025-09-30,32.19,32.47,31.25,31.68,2518745,8071506313,0
2025-10-31,31.68,32.4,31.07,32.29,1563239,4946805993,0
2025-11-30,32.15,34.92,31.45,31.66,3271823,10786567470,0
2025-12-31,31.51,34.16,30.56,32.76,3709643,12051079648,0
2026-01-31,32.76,33.06,32.52,32.69,567717,1861655828,0
