datetime,open,high,low,close,volume,turnover,open_interest
2020-01-02,21.46,21.59,21.04,21.24,3577366,9157399296,0
2020-01-03,21.11,21.36,20.9,21.14,1837992,4662046464,0
2020-01-06,20.87,21.55,20.81,21.09,2304035,5854929664,0
2020-01-07,21.16,21.47,20.9,21.42,2003054,5097647104,0
2020-01-08,21.19,21.23,20.68,20.76,2066121,5204057600,0
2020-01-09,21.1,21.3,21.0,21.2,1635603,4151017888,0
2020-01-10,21.65,21.76,21.0,21.29,1969462,5049383168,0
2020-01-13,21.21,21.67,20.84,21.66,1895103,4832118272,0
2020-01-14,21.67,21.81,21.26,21.3,1759241,4551674880,0
2020-01-15,21.16,21.33,20.99,21.09,1140792,2890493040,0
2020-01-16,21.13,21.13,20.87,20.91,1038356,2617122448,0
2020-01-17,21.05,21.47,21.01,21.13,1297342,3300089504,0
2020-01-20,21.11,21.49,20.99,21.47,1408183,3600438304,0
2020-01-21,21.22,21.38,20.91,20.96,1691809,4287213232,0
2020-01-22,20.8,21.19,20.31,20.99,2036271,5070795776,0
2020-01-23,20.54,20.69,19.61,19.86,2452484,5960881920,0
2020-02-03,17.78,17.78,17.78,17.78,753370,1620498864,0
2020-02-04,17.16,18.15,17.14,17.97,3485572,7477240064,0
2020-02-05,18.0,18.8,17.79,18.27,2427651,5359496448,0
2020-02-06,18.29,18.89,18.05,18.75,2478402,5544992000,0
2020-02-07,18.62,18.75,18.38,18.67,1836396,4119235888,0
2020-02-10,18.38,18.92,18.38,18.79,1580403,3568549360,0
2020-02-11,18.93,19.19,18.76,18.81,1763409,4024903008,0
2020-02-12,18.65,19.14,18.64,18.99,1701737,3880469520,0
2020-02-13,18.92,19.08,18.64,18.68,1493056,3388496608,0
2020-02-14,18.64,19.29,18.61,19.06,2027590,4649873152,0
2020-02-17,19.73,20.2,19.42,20.1,3209866,7637323008,0
2020-02-18,20.1,20.16,19.7,19.93,1916035,4594404608,0
2020-02-19,19.82,20.34,19.8,19.94,2083406,5045241856,0
2020-02-20,20.01,21.28,20.01,21.18,3898596,9687303424,0
2020-02-21,21.07,21.67,20.81,20.97,3535269,8966404352,0
2020-02-24,20.81,21.1,20.64,20.85,2442126,6120537856,0
2020-02-25,20.39,21.03,19.97,21.0,3280998,8103705088,0
2020-02-26,20.55,21.24,20.41,20.56,2881556,7210136576,0
2020-02-27,20.67,21.07,20.53,20.61,2063952,5149811968,0
2020-02-28,19.94,20.13,19.32,19.42,2914357,6928624384,0
2020-03-02,19.77,20.63,19.61,20.36,2543747,6171344896,0
2020-03-03,20.81,21.21,20.32,20.58,2593144,6463974144,0
2020-03-04,20.52,21.14,20.34,21.1,2760751,6888921600,0
2020-03-05,21.34,21.97,20.87,21.67,4454361,11474858496,0
2020-03-06,21.41,21.56,20.9,20.91,2630401,6677400576,0
2020-03-09,20.2,20.61,20.03,20.21,2734639,6680581376,0
2020-03-10,20.26,20.98,20.08,20.87,2644569,6541104128,0
2020-03-11,20.8,20.81,20.21,20.24,1790690,4421697024,0
2020-03-12,19.94,20.24,19.82,19.93,1696419,4077325248,0
2020-03-13,18.92,20.1,18.78,19.89,2273578,5324452096,0
2020-03-16,19.85,19.86,18.77,18.79,2057914,4797882624,0
2020-03-17,19.09,19.32,18.41,19.01,1727481,3951195248,0
2020-03-18,19.1,19.25,18.38,18.41,1521894,3470413216,0
2020-03-19,18.47,18.75,17.69,18.52,2007876,4433633536,0
2020-03-20,18.68,18.82,18.38,18.78,1213209,2731567136,0
2020-03-23,18.03,18.51,17.99,18.11,1105082,2430578768,0
2020-03-24,18.52,18.59,18.12,18.47,1188219,2641221616,0
2020-03-25,18.91,19.01,18.76,18.87,1293512,2948427984,0
2020-03-26,18.64,18.87,18.61,18.62,697849,1576598832,0
2020-03-27,18.83,19.07,18.66,18.7,905747,2058061968,0
2020-03-30,18.47,18.53,18.25,18.44,804115,1784456096,0
2020-03-31,18.66,18.71,18.34,18.34,638332,1425249184,0
2020-04-01,18.28,18.6,18.25,18.29,666733,1483010928,0
2020-04-02,18.22,18.58,18.21,18.58,775172,1720306240,0
2020-04-03,18.44,18.54,18.27,18.32,581837,1291311200,0
2020-04-07,18.68,18.77,18.55,18.71,1241184,2797518608,0
2020-04-08,18.6,18.74,18.55,18.68,757620,1704870032,0
2020-04-09,18.88,19.06,18.77,18.77,1146930,2615070144,0
2020-04-10,18.84,18.96,18.6,18.63,858502,1942599968,0
2020-04-13,18.55,18.62,18.38,18.44,584928,1305441520,0
2020-04-14,18.54,19.78,18.46,19.26,1956854,4510932224,0
2020-04-15,18.99,19.55,18.93,19.09,1518856,3517827328,0
2020-04-16,18.98,19.94,18.94,19.66,2278962,5385383936,0
2020-04-17,19.67,19.79,19.37,19.41,1504200,3546707312,0
2020-04-20,19.49,19.54,19.31,19.5,803576,1881766144,0
2020-04-21,19.36,19.38,19.04,19.22,907942,2099822720,0
2020-04-22,19.07,19.28,18.99,19.24,582120,1344829424,0
2020-04-23,19.23,19.28,19.01,19.01,623666,1438234896,0
2020-04-24,18.96,19.11,18.68,18.81,723366,1647881616,0
2020-04-27,18.86,19.12,18.82,18.93,615237,1409982016,0
2020-04-28,19.13,19.47,18.87,19.33,1343710,3117771792,0
2020-04-29,19.13,19.51,19.1,19.41,799917,1865959024,0
2020-04-30,19.6,19.84,19.53,19.68,1339571,3177410352,0
2020-05-06,19.23,19.67,19.17,19.61,1118487,2612450912,0
2020-05-07,19.61,19.73,19.42,19.43,846296,1993833216,0
2020-05-08,19.64,19.97,19.46,19.79,1527749,3637115040,0
2020-05-11,19.82,19.93,19.5,19.57,958306,2271423488,0
2020-05-12,19.69,19.75,19.47,19.62,650971,1538307312,0
2020-05-13,19.53,19.79,19.49,19.72,640345,1513294384,0
2020-05-14,19.6,19.63,19.44,19.46,654371,1538767072,0
2020-05-15,19.56,19.6,19.42,19.46,548576,1287375408,0
2020-05-18,19.42,19.45,19.12,19.14,889196,2063763088,0
2020-05-19,19.35,19.41,19.21,19.26,565102,1313883776,0
2020-05-20,19.21,19.3,19.08,19.15,666620,1541298608,0
2020-05-21,19.2,19.32,19.07,19.09,548373,1268712384,0
2020-05-22,19.1,19.1,18.47,18.47,981940,2219689920,0
2020-05-25,18.47,18.56,18.27,18.39,589972,1310653616,0
2020-05-26,18.5,18.62,18.47,18.61,546873,1224514704,0
2020-05-27,18.63,18.63,18.39,18.46,455597,1016818448,0
2020-05-28,18.47,18.86,18.4,18.62,699515,1572007120,0
2020-05-29,18.48,18.58,18.42,18.44,465583,1038654880,0
2020-06-01,18.91,19.36,18.75,19.2,1618561,3720139328,0
2020-06-02,19.12,19.22,18.99,19.09,828478,1907351312,0
2020-06-03,19.2,19.35,18.95,18.99,807511,1865844992,0
2020-06-04,19.14,19.14,18.83,18.87,592800,1354317200,0
2020-06-05,18.89,18.98,18.72,18.94,748216,1700335120,0
2020-06-08,19.06,19.2,18.94,19.05,839778,1932327536,0
2020-06-09,18.99,19.49,18.98,19.33,1131305,2631203072,0
2020-06-10,19.25,19.28,19.07,19.13,581494,1342545168,0
2020-06-11,19.11,19.27,18.88,18.89,850796,1954229072,0
2020-06-12,18.6,18.9,18.55,18.74,842159,1903335056,0
2020-06-15,18.74,19.14,18.7,18.72,1004579,2292521984,0
2020-06-16,18.92,19.07,18.86,18.95,638051,1457966976,0
2020-06-17,18.93,18.97,18.74,18.87,600807,1366425456,0
2020-06-18,18.89,19.26,18.85,19.14,1021775,2353803072,0
2020-06-19,19.21,19.94,19.15,19.81,2770131,6544732928,0
2020-06-22,19.82,20.81,19.72,20.04,2856177,6954609408,0
2020-06-23,19.94,20.14,19.71,19.98,1416648,3396704480,0
2020-06-24,20.17,20.67,20.03,20.16,1286923,3133588048,0
2020-06-29,19.77,19.86,19.43,19.51,1516309,3577555136,0
2020-06-30,19.62,20.34,19.51,20.04,1599808,3825097120,0
2020-07-01,20.03,20.59,19.88,20.57,1842300,4478412288,0
2020-07-02,20.43,21.94,20.41,21.74,4641174,11876896000,0
2020-07-03,22.64,24.01,22.0,24.01,7250830,19916388864,0
2020-07-06,24.99,26.5,24.61,26.5,8073328,24907326720,0
