datetime,open,high,low,close,volume,turnover,open_interest
2025-11-26 10:30:00,27.52,27.72,27.44,27.6,257370,709766636,0
2025-11-26 11:30:00,27.6,27.65,27.55,27.59,114921,317223641,0
2025-11-26 14:00:00,27.59,27.64,27.57,27.6,133465,368410184,0
2025-11-26 15:00:00,27.61,27.63,27.58,27.6,175938,485710128,0
2025-11-27 10:30:00,27.53,27.81,27.52,27.7,281372,779497228,0
2025-11-27 11:30:00,27.7,27.74,27.62,27.62,98264,271882678,0
2025-11-27 14:00:00,27.63,27.72,27.61,27.63,106272,293938683,0
2025-11-27 15:00:00,27.63,27.65,27.54,27.58,162740,449049335,0
2025-11-28 10:30:00,27.61,27.64,27.41,27.54,242012,666446045,0
2025-11-28 11:30:00,27.55,27.6,27.49,27.52,108575,298901458,0
2025-11-28 14:00:00,27.52,27.55,27.48,27.52,153298,421851046,0
2025-11-28 15:00:00,27.52,27.61,27.47,27.59,242714,668704997,0
2025-12-01 10:30:00,27.5,27.73,27.48,27.61,274907,759281765,0
2025-12-01 11:30:00,27.62,27.66,27.6,27.65,94690,261702450,0
2025-12-01 14:00:00,27.65,27.65,27.57,27.61,139147,384125873,0
2025-12-01 15:00:00,27.61,27.68,27.61,27.67,199243,550891591,0
2025-12-02 10:30:00,27.66,27.69,27.47,27.51,229118,631325116,0
2025-12-02 11:30:00,27.51,27.55,27.41,27.41,127235,349701958,0
2025-12-02 14:00:00,27.41,27.48,27.37,27.41,140331,384721681,0
2025-12-02 15:00:00,27.41,27.43,27.35,27.37,156237,427757153,0
2025-12-03 10:30:00,27.45,27.57,27.36,27.37,194364,533497713,0
2025-12-03 11:30:00,27.36,27.37,27.28,27.36,128187,350113330,0
2025-12-03 14:00:00,27.36,27.37,27.15,27.17,194872,530881056,0
2025-12-03 15:00:00,27.16,27.17,27.03,27.15,263682,714764657,0
2025-12-04 10:30:00,27.14,27.26,27.02,27.21,307539,834898673,0
2025-12-04 11:30:00,27.22,27.38,27.21,27.25,143812,392349148,0
2025-12-04 14:00:00,27.26,27.27,27.16,27.18,81970,223087340,0
2025-12-04 15:00:00,27.18,27.21,27.13,27.2,159055,432131632,0
2025-12-05 10:30:00,27.2,27.3,27.16,27.22,205735,560364558,0
2025-12-05 11:30:00,27.22,27.28,27.19,27.23,100118,272657735,0
2025-12-05 14:00:00,27.23,28.09,27.2,28.02,771791,2138162079,0
2025-12-05 15:00:00,28.03,28.08,27.84,27.86,560261,1565131272,0
2025-12-08 10:30:00,28.38,29.06,28.38,28.88,1973714,5673728429,0
2025-12-08 11:30:00,28.88,28.94,28.78,28.88,294772,850827337,0
2025-12-08 14:00:00,28.87,29.05,28.81,28.89,437923,1268144512,0
2025-12-08 15:00:00,28.88,28.92,28.68,28.7,439808,1265005597,0
2025-12-09 10:30:00,28.52,28.83,28.45,28.64,543923,1558670348,0
2025-12-09 11:30:00,28.65,28.7,28.55,28.58,190922,546157079,0
2025-12-09 14:00:00,28.58,28.67,28.38,28.43,305137,869256184,0
2025-12-09 15:00:00,28.43,28.53,28.38,28.53,261303,743880714,0
2025-12-10 10:30:00,28.42,28.52,28.2,28.28,355913,1007170310,0
2025-12-10 11:30:00,28.27,28.35,28.16,28.21,181353,512248605,0
2025-12-10 14:00:00,28.21,28.57,28.2,28.41,249100,707267006,0
2025-12-10 15:00:00,28.43,28.57,28.42,28.52,206531,589049271,0
2025-12-11 10:30:00,28.55,28.58,28.33,28.4,245207,696807702,0
2025-12-11 11:30:00,28.41,28.46,28.33,28.34,137723,391131554,0
2025-12-11 14:00:00,28.34,28.35,28.21,28.3,149868,423917740,0
2025-12-11 15:00:00,28.29,28.36,28.15,28.29,209452,591372402,0
2025-12-12 10:30:00,28.26,28.37,28.08,28.18,334167,941875884,0
2025-12-12 11:30:00,28.18,28.36,28.16,28.25,170190,481457085,0
2025-12-12 14:00:00,28.27,28.56,28.26,28.45,272058,773547340,0
2025-12-12 15:00:00,28.47,28.5,28.33,28.41,291155,826885227,0
2025-12-15 10:30:00,28.26,28.76,28.18,28.67,453964,1295098015,0
2025-12-15 11:30:00,28.68,28.94,28.66,28.72,350697,1009909608,0
2025-12-15 14:00:00,28.72,28.83,28.63,28.66,192029,551216870,0
2025-12-15 15:00:00,28.66,28.69,28.54,28.55,196551,561800274,0
2025-12-16 10:30:00,28.44,28.79,28.37,28.39,418141,1193600347,0
2025-12-16 11:30:00,28.4,28.47,28.28,28.4,214697,608577055,0
2025-12-16 14:00:00,28.4,28.49,28.33,28.41,165706,470842165,0
2025-12-16 15:00:00,28.41,28.53,28.36,28.48,203072,578172867,0
2025-12-17 10:30:00,28.48,28.75,28.4,28.56,249080,711016381,0
2025-12-17 11:30:00,28.56,28.69,28.48,28.64,154817,443002890,0
2025-12-17 14:00:00,28.63,29.0,28.47,28.95,484508,1394918406,0
2025-12-17 15:00:00,28.96,29.15,28.92,28.97,728633,2113569831,0
2025-12-18 10:30:00,28.9,28.9,28.51,28.57,578246,1655859453,0
2025-12-18 11:30:00,28.57,28.62,28.51,28.53,150785,430532936,0
2025-12-18 14:00:00,28.54,28.69,28.47,28.5,212143,605852022,0
2025-12-18 15:00:00,28.5,28.6,28.47,28.53,194764,555769667,0
2025-12-19 10:30:00,28.58,28.94,28.47,28.84,413609,1186224963,0
2025-12-19 11:30:00,28.84,28.87,28.7,28.78,188770,543243094,0
2025-12-19 14:00:00,28.77,28.78,28.62,28.62,181297,519914465,0
2025-12-19 15:00:00,28.62,28.68,28.59,28.68,199806,572331620,0
2025-12-22 10:30:00,28.62,28.79,28.61,28.7,290429,833698003,0
2025-12-22 11:30:00,28.69,28.73,28.64,28.65,146767,420952175,0
2025-12-22 14:00:00,28.64,28.71,28.6,28.64,157328,450793198,0
2025-12-22 15:00:00,28.64,28.68,28.62,28.65,158789,454843465,0
2025-12-23 10:30:00,28.68,28.85,28.59,28.82,352120,1011338461,0
2025-12-23 11:30:00,28.81,28.88,28.76,28.8,211785,610212452,0
2025-12-23 14:00:00,28.8,28.8,28.65,28.67,178708,513236931,0
2025-12-23 15:00:00,28.67,28.69,28.61,28.63,198033,567250596,0
2025-12-24 10:30:00,28.61,28.74,28.55,28.64,208922,598332676,0
2025-12-24 11:30:00,28.64,28.68,28.62,28.68,119938,343657768,0
2025-12-24 14:00:00,28.67,28.83,28.67,28.72,280156,805779356,0
2025-12-24 15:00:00,28.72,28.77,28.7,28.74,180504,518578343,0
2025-12-25 10:30:00,28.75,28.91,28.7,28.91,337713,973065731,0
2025-12-25 11:30:00,28.91,28.97,28.86,28.9,202336,584941351,0
2025-12-25 14:00:00,28.9,28.99,28.86,28.96,247030,714943274,0
2025-12-25 15:00:00,28.97,29.02,28.92,28.96,257869,747123078,0
2025-12-26 10:30:00,28.96,29.3,28.9,29.28,596460,1738666602,0
2025-12-26 11:30:00,29.28,29.4,28.97,29.02,469664,1373694699,0
2025-12-26 14:00:00,29.03,29.15,29.0,29.14,152598,443837822,0
2025-12-26 15:00:00,29.14,29.16,29.02,29.1,194803,566606347,0
2025-12-29 10:30:00,29.03,29.14,28.9,29.07,390073,1131499476,0
2025-12-29 11:30:00,29.07,29.1,28.98,28.98,137788,400110502,0
2025-12-29 14:00:00,28.98,29.03,28.93,28.96,131212,380351903,0
2025-12-29 15:00:00,28.96,28.97,28.86,28.94,247638,716042225,0
2025-12-30 10:30:00,28.86,28.92,28.78,28.82,245903,709148677,0
2025-12-30 11:30:00,28.81,28.83,28.75,28.8,151095,434990303,0
2025-12-30 14:00:00,28.8,29.02,28.75,28.85,249052,719429396,0
2025-12-30 15:00:00,28.85,28.88,28.78,28.83,208298,600380853,0
2025-12-31 10:30:00,28.8,29.07,28.77,28.95,337921,977456929,0
2025-12-31 11:30:00,28.94,29.01,28.82,28.83,129009,373148978,0
2025-12-31 14:00:00,28.83,28.88,28.74,28.76,164783,474613869,0
2025-12-31 15:00:00,28.75,28.78,28.68,28.71,224636,645197064,0
2026-01-05 10:30:00,28.83,29.25,28.8,29.25,696630,2020512239,0
2026-01-05 11:30:00,29.25,29.36,29.17,29.26,437920,1281496285,0
2026-01-05 14:00:00,29.27,29.34,29.18,29.28,271283,793773324,0
2026-01-05 15:00:00,29.28,29.35,29.26,29.33,445937,1307126374,0
2026-01-06 10:30:00,29.36,30.18,29.33,30.05,1391230,4163859804,0
2026-01-06 11:30:00,30.04,30.25,29.86,30.18,784315,2357878355,0
2026-01-06 14:00:00,30.19,30.21,29.85,29.96,489405,1469410724,0
2026-01-06 15:00:00,29.97,30.24,29.94,30.19,684409,2063945569,0
2026-01-07 10:30:00,30.21,30.21,29.76,29.83,850138,2550011900,0
2026-01-07 11:30:00,29.83,29.97,29.8,29.92,258216,771156008,0
2026-01-07 14:00:00,29.93,29.93,29.4,29.52,676883,2003877808,0
2026-01-07 15:00:00,29.52,29.6,29.46,29.5,509784,1504589296,0
2026-01-08 10:30:00,29.29,29.29,28.62,28.74,1392796,4017122789,0
2026-01-08 11:30:00,28.73,28.77,28.61,28.64,493608,1414647897,0
2026-01-08 14:00:00,28.64,28.66,28.53,28.57,551077,1575878058,0
2026-01-08 15:00:00,28.58,28.59,28.45,28.54,712792,2032255137,0
2026-01-09 10:30:00,28.54,28.67,28.35,28.49,1176477,3355320234,0
2026-01-09 11:30:00,28.49,28.62,28.39,28.39,442902,1261716551,0
2026-01-09 14:00:00,28.41,28.43,28.36,28.4,300353,852614682,0
2026-01-09 15:00:00,28.4,28.58,28.38,28.57,407039,1158912569,0
