datetime,open,high,low,close,volume,turnover,open_interest
2020-01-31,21.46,21.81,19.61,19.86,30113214,76287308560,0
2020-02-29,17.78,21.67,17.14,19.42,47773747,113077248032,0
2020-03-31,19.77,21.97,17.69,18.34,41283529,98970945792,0
2020-04-30,18.28,19.94,18.21,19.68,21610883,49804637424,0
2020-05-31,19.23,19.97,18.27,18.44,13353872,30962563376,0
2020-06-30,18.91,20.81,18.55,20.04,23552306,55214632464,0
2020-07-31,20.03,28.85,19.88,25.13,93663875,284736232416,0
2020-08-31,25.43,28.94,24.72,27.16,50002385,159146532064,0
2020-09-30,27.0,27.61,24.97,25.62,23579931,72290149792,0
2020-10-31,26.03,27.21,24.34,24.41,14575014,44181973408,0
2020-11-30,24.25,26.9,23.53,25.86,21248252,62758906480,0
2020-12-31,25.78,27.03,23.6,25.07,23171172,68113115616,0
2021-01-31,25.11,27.52,23.86,24.16,41554422,125475213136,0
2021-02-28,24.28,24.51,22.61,23.21,18285081,50811408208,0
2021-03-31,22.38,22.38,19.64,20.28,22826545,55729570352,0
2021-04-30,20.28,20.88,19.15,20.25,13863841,32812434496,0
2021-05-31,20.48,22.61,19.74,22.21,23101624,58022132864,0
2021-06-30,22.11,22.64,20.69,21.2,19348926,48917066992,0
2021-07-31,21.47,21.55,19.05,19.15,18771459,44483320704,0
2021-08-31,19.14,22.58,18.7,22.19,30551173,74418502736,0
2021-09-30,22.21,24.41,21.66,21.84,31147490,82890192288,0
2021-10-31,21.94,22.59,21.08,22.36,11517264,29048685440,0
2021-11-30,22.29,22.55,20.4,20.53,17573771,43618209872,0
2021-12-31,20.47,23.57,20.42,22.82,22115204,57719492672,0
2022-01-31,22.82,23.34,21.41,22.58,14756458,37580025760,0
2022-02-28,22.94,24.15,20.99,21.31,13377174,32873768464,0
2022-03-31,21.36,21.44,17.36,18.88,24126434,50836788176,0
2022-04-30,18.69,19.38,15.99,17.67,17770391,35758854832,0
2022-05-31,17.45,17.84,16.46,17.77,12155888,23530601728,0
2022-06-30,17.78,20.73,17.32,19.64,29862834,62731247600,0
2022-07-31,19.68,19.72,17.55,17.58,13345908,27214883496,0
2022-08-31,17.53,18.28,16.58,18.04,14553320,28516532094,0
2022-09-30,17.9,18.52,15.84,15.94,12279249,23091402028,0
2022-10-31,15.8,17.07,15.56,15.73,8817762,15683753585,0
2022-11-30,15.8,18.61,15.78,18.34,15707201,29807486706,0
2022-12-31,18.7,19.78,18.08,18.43,15119979,30733738008,0
2023-01-31,18.3,20.81,17.88,19.93,12767520,26853077929,0
2023-02-28,20.01,21.01,18.75,19.17,13377433,28156852526,0
2023-03-31,19.13,19.75,18.21,19.0,13237180,27029242126,0
2023-04-30,19.0,20.44,18.99,19.54,16447039,34775165474,0
2023-05-31,19.35,22.43,18.47,18.57,23289230,50752518022,0
2023-06-30,18.57,18.95,17.8,18.3,12644847,25265211896,0
2023-07-31,18.32,23.39,18.3,22.62,20735149,45683149838,0
2023-08-31,22.42,24.78,21.19,21.21,48971920,118159596259,0
2023-09-30,21.33,21.79,20.66,20.67,15147767,33610456976,0
2023-10-31,20.43,21.2,20.06,20.72,10914067,23638941139,0
2023-11-30,20.94,22.05,20.29,20.46,15192960,33839069422,0
2023-12-31,20.42,20.63,18.63,19.38,11284071,23255630188,0
2024-01-31,19.39,20.09,17.79,19.51,17287473,34459236026,0
2024-02-29,19.31,20.81,18.68,20.31,14718713,30964884913,0
2024-03-31,20.31,20.46,18.11,18.21,16449616,33776836800,0
2024-04-30,18.31,18.53,16.27,18.02,20007201,37022156567,0
2024-05-31,18.26,18.52,17.46,17.63,14597199,27706638299,0
2024-06-30,17.56,17.9,17.01,17.24,10919605,20143744649,0
2024-07-31,17.2,19.25,16.36,18.81,24702710,46989394006,0
2024-08-31,18.56,18.96,17.65,18.77,14426872,27496678223,0
2024-09-30,18.67,26.68,18.23,26.68,24105347,52341903917,0
2024-10-31,29.4,32.37,25.55,27.6,66468570,188541063066,0
2024-11-30,27.6,35.97,27.32,30.23,66660022,213172271840,0
2024-12-31,30.08,32.48,28.87,28.89,31130101,95875530086,0
2025-01-31,28.7,28.72,25.88,26.65,20097022,54953895166,0
2025-02-28,26.99,28.4,26.56,27.05,22145446,62040125602,0
2025-03-31,27.15,28.18,26.02,26.24,19115784,52514649828,0
2025-04-30,26.24,26.44,23.52,24.8,16000272,40071104573,0
2025-05-31,25.0,27.46,24.92,25.24,14841378,38791355932,0
2025-06-30,25.12,28.18,25.08,27.34,18785879,50426794456,0
2025-07-31,27.35,30.15,26.95,28.74,26984285,77946539372,0
2025-08-31,28.72,32.53,28.32,31.48,36436700,112160722145,0
2025-09-30,31.49,31.55,28.14,29.9,43724054,129265313408,0
2025-10-31,29.6,30.63,28.81,29.38,39904906,118519084726,0
2025-11-30,29.35,29.46,27.26,27.59,22081649,63115813268,0
2025-12-31,27.5,29.4,27.02,28.71,25213189,71851322515,0
2026-01-31,28.83,30.25,28.35,28.57,12973193,37956105603,0
